,Concept_ID,kk,mhr
0,Auge::N,көз,шинча́
1,Ohr::N,құлақ,пы́лыш
2,Nase::N,мұрын,нер
3,Mund::N,ауыз,умша́
4,Zahn::N,тіс,пӱй
5,Zunge::N,тіл,йы́лме
6,Lippe::N,ерін,тӱ́рвӧ
7,Wange::N,ұрт,шӱ́ргӧ
8,Gesicht::N,бет-аузы,чури́й
9,Stirn::N,маңдай,саҥга́
10,Haar::N,қыл,ӱп
11,Schnurrbart::N,мұрт,ӧ́рыш
12,Bart::N,сақал,понда́ш
13,Kinn::N,иек,оҥыла́ш
14,Kiefer[Anatomie]::N,жақ,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,жақ,пӱйората́
16,Kehle::N,алқым,лога́р
17,Hals::N,мойын,шӱй
18,Genick::N,желке,шӱйло́дыш
19,Kopf::N,кәллә,вуй
20,Rücken::N,арқа,туп
21,Bauch::N,қарын,мӱ́шкыр
22,Nabel::N,кіндік,кы́лымде
23,Busen::N,омырау,чы́зе
24,Brust::N,кеуде,оҥ
25,Schulter::N,иық,ва́че
26,Arm::N,қол,кид
27,Ellenbogen::N,шынтақ,кынерву́й
28,Hand::N,қол,кид
29,Hand::N,қол,копа́
30,Handfläche::N,алақан,со́во
31,Finger::N,саусақ,парня́
32,Fingernagel::N,тырнақ,кидкӱ́ч
33,Fingernagel::N,тырнақ,парнягӱ́ч
34,Nagel[Anatomie]::N,тырнақ,кӱч
35,Zeh::N,тырнақ,йолварня́
36,Zeh::N,тұяқ,йолварня́
37,Fuß::N,аяқ-басы,йол
38,Fuß::N,аяқ-басы,йолкопа́
39,Ferse::N,өкше,тага́н
40,Ferse::N,өкшелік,тага́н
41,Knie::N,тізе,пулву́й
42,Oberschenkel::N,жамбас,э́рде
43,Bein::N,аяқ,йол
44,Körper::N,дене,кап
45,Haut::N,тері,кова́ште
46,Blut::N,қан,вӱр
47,Ader::N,көктамыр,шӧн
48,Ader::N,күретамыр,шӧн
49,Sehne::N,сіңір,шӧн
50,Sehne::N,сіңір,кӱсе́н
51,Knochen::N,жілік,лу
52,Gehirn::N,ми,вем
53,Gehirn::N,ми,вуйве́м
54,Herz::N,жүрек,шӱм
55,Magen::N,асқазан,пага́р
56,Leber::N,бауыр,мокш
57,Atem::N,леп,шӱ́лыш
58,Hunger::N,ашаршылық,шужыма́ш
59,Träne::N,жас,шинчавӱ́д
60,Geschmack::N,дәм,там
61,Geschmack::N,татым,там
62,Geschmack::N,талғам,там
63,Geruch::N,иіс,пуш
64,Schlaf::N,ұйқы,о́мо
65,Schlaf::N,ұйықтау,о́мо
66,Traum::N,түс,йӱдо́мо
67,Himmel::N,аспан,кава́
68,Himmel::N,көқ,кава́
69,Himmel::N,таңдай,кава́
70,Sonne::N,күн,ке́че
71,Mond::N,ай,ты́лзе
72,Stern::N,жұлдыз,шӱ́дыр
73,Luft::N,әуе,юж
74,Wind::N,жел,марде́ж
75,Welle::N,толқын,то́лкын
76,Wasser::N,су,вӱд
77,Stein::N,тас,кӱ
78,Boden::N,қыртыс,рок
79,Erde::N,топырақ,мла́нде
80,Staub::N,шаң,пура́к
81,Rauch::N,түтін,шикш
82,Funke::N,ұшқын,сеске́м
83,Funke::N,ұшқын,тулйы́п
84,Feuer::N,алау,тул
85,Licht::N,шұғыла,со́то
86,Schatten::N,көлеңке,ӱ́мыл
87,Wetter::N,ауа райы,иге́че
88,Nebel::N,тұман,тӱтыра́
89,Wolke::N,бұлт,пыл
90,Regen::N,жаңбыр,йӱр
91,Schnee::N,қар,лум
92,Eis::N,мұз,ий
93,Frost::N,суық,чатлама́
94,Kälte::N,ызғар,йӱ́штӧ
95,Kälte::N,суықтық,йӱ́штӧ
96,Hitze::N,аптап,шо́кшо
97,Raureif::N,қырау,пӧрш
98,Raureif::N,қырау,по́кшым
99,Regenbogen::N,кемпірқосақ,шонанпы́л
100,Donner::N,күн күркіреу,кӱ́дырчӧ
101,Strömung::N,ағын,йо́гын
102,Tropfen::N,тамшы,чӱча́лтыш
103,Schaum::N,көбік,шоҥ
104,Schmutz::N,кір,лавыра́
105,See::N,көл,ер
106,Sumpf::N,саз,лӱ́кӧ
107,Moor::N,саз,куп
108,Wiese::N,шалғын,о́лык
109,Wald::N,орман,чодыра́
110,Hügel::N,төбе,арка́
111,Hügel::N,белес,арка́
112,Hügel::N,белес-белес,арка́
113,Anhöhe::N,дөң,тӧва́
114,Anhöhe::N,дөң,кӱкшака́
115,Anhöhe::N,адыр,тӧва́
116,Anhöhe::N,адыр,кӱкшака́
117,Anhöhe::N,қырат,тӧва́
118,Anhöhe::N,қырат,кӱкшака́
119,Berg::N,тау,ку́рык
120,Gipfel::N,төбе,чаҥга́
121,Gipfel::N,төбе,курыкву́й
122,Höhle::N,үңгір,пеще́р
123,Höhle::N,үңгір,курыкпо́мыш
124,Abhang::N,бауыр,та́йыл
125,Quelle::N,қайнар,важ
126,Quelle::N,қайнар,вӱдшинча́
127,Bach::N,жылға,изэҥе́р
128,Fluss::N,өзен,эҥе́р
129,Ufer::N,жиек,сер
130,Küste::N,жиегі,вӱдтӱ́р
131,Küste::N,жағалау,вӱдтӱ́р
132,Festland::N,құрылық,мла́нде
133,Meer::N,теңіз,те́ҥыз
134,Bucht::N,шығанақ,икса́
135,Insel::N,арал,отро́
136,Blume::N,гүл,пеле́дыш
137,Gras::N,от,шу́до
138,Wurzel::N,түбір,вож
139,Baum::N,ағаш,пуше́ҥге
140,Baum::N,дарақ,пуше́ҥге
141,Stamm::N,сояу,йы́тыр
142,Stamm::N,оқпан,йы́тыр
143,Rinde::N,қабық,шӱм
144,Ast::N,бұтақ,укш
145,Zweig::N,шыбық,торма́к
146,Blatt::N,жапырақ,лышта́ш
147,Birke::N,қайың,куэ́
148,Kiefer[Baum]::N,қарағай,пӱ́нчӧ
149,Weide[Baum]::N,тал,уа́
150,Tanne::N,шырша,кож
151,Horn::N,мүйіз,шур
152,Feder::N,қаламұш,пы́стыл
153,Fell::N,тері,кова́ште
154,Flügel::N,қанат,шу́лдыр
155,Klaue::N,тырнақ,кӱч
156,Kralle::N,аяқ,ла́па
157,Kralle::N,аяқ,копа́
158,Schwanz::N,құйрық,поч
159,Ei::N,жұмыртқа,му́но
160,Nest::N,ұя,пыжа́ш
161,Bau::N,жатақ,пыжа́ш
162,Tier::N,айуан,я́нлык
163,Tier::N,айуан,живо́тный
164,Tier::N,жануар,я́нлык
165,Tier::N,жануар,живо́тный
166,Herde::N,пада,кӱ́тӱ
167,Herde::N,пада,тӱшка́
168,Kuh::N,сиыр,ушка́л
169,Bulle::N,өгіз,ӱ́шкыж
170,Pferd::N,жылқы,и́мне
171,Schaf::N,қой,шо́рык
172,Schwein::N,шошқа,сӧсна́
173,Hund::N,ит,пий
174,Katze::N,мысық,пы́рыс
175,Bär::N,аю,маска́
176,Eichhörnchen::N,тиін,ур
177,Elch::N,бұғы,шо́рдо
178,Fuchs::N,түлкі,ры́выж
179,Hase::N,қоян,мера́ҥ
180,Maus::N,қаптесер,коля́
181,Wolf::N,бөрі,пи́ре
182,Wolf::N,қасқыр,пи́ре
183,Vogel::N,құс,ка́йык
184,Schwarm::N,топ,каша́к
185,Schwarm::N,үйір,каша́к
186,Huhn::N,тауық,чы́ве
187,Huhn::N,мекиен,чы́ве
188,Hahn::N,әтеш,агыта́н
189,Hahn::N,қораз,агыта́н
190,Gans::N,қаз,ко́мбо
191,Adler::N,бүркіт,карагу́ш
192,Ente::N,үйрек,лу́до
193,Eule::N,жапалақ,тумна́
194,Kranich::N,тырна,турня́
195,Krähe::N,қарға,кора́к
196,Kuckuck::N,көкек,куку́
197,Schwan::N,аққу,йӱ́ксӧ
198,Fisch::N,балық,кол
199,Barsch::N,алабұға,ола́ҥге
200,Hecht::N,шортан,нуж
201,Hecht::N,шортан,чорта́н
202,Schlange[Tier]::N,жылан,ки́шке
203,Wurm::N,шұбалшаң,шукш
204,Spinne::N,өрмекші,эҥыре́мыш
205,Ameise::N,қүмырска,ку́тко
206,Laus::N,бит,тий
207,Mücke::N,маса,шыҥа́
208,Fliege::N,шыбын,ка́рме
209,Schmetterling::N,көбелек,лы́ве
210,Beere::N,жидек,мӧр
211,Apfel::N,алма,олма́
212,Pilz::N,қозықұйрық,по́ҥго
213,Pilz::N,саңыраукулақ,по́ҥго
214,Zwiebel::N,жуа,шога́н
215,Saat::N,тұқым,нӧ́шмӧ
216,Saat::N,тұқым,туш
217,Korn::N,дән,шу́рно
218,Heu::N,шөп,шу́до
219,Schale::N,қабық,шӱм
220,Schale::N,қабығы,шӱм
221,Grube::N,ор,выне́м
222,Falle::N,дұзақ,лӧ́дӧ
223,Falle::N,қақпан,лӧ́дӧ
224,Schlinge::N,ілмек,о́птыш
225,Schlinge::N,ілмек,шӧрга́лтыш
226,Spur::N,із,кыша́
227,Asche::N,күл,ло́мыж
228,Dreck::N,былғаныш,лавыра́
229,Eisen::N,темір,кӱ́ртньӧ
230,Gold::N,алтын,шӧ́ртньӧ
231,Silber::N,күміс,ший
232,Kohle::N,көмір,мландышӱ́й
233,Glas::N,шыны,янда́
234,Lehm::N,балшық,шун
235,Sand::N,құм,ошма́
236,Mensch::N,адам,еҥ
237,Mensch::N,адам,айде́ме
238,Mann::N,еркек,пӧръе́ҥ
239,Mann::N,ер адам,пӧръе́ҥ
240,Frau::N,бике,ӱдырама́ш
241,Frau::N,қатын,ӱдырама́ш
242,Kind::N,бала,аза́
243,Kind::N,перзент,аза́
244,Junge::N,бала,рве́зе
245,Junge::N,ер бала,рве́зе
246,Mädchen::N,қыз,ӱдыра́ш
247,Familie::N,жанұя,еш
248,Großvater::N,ата,коча́
249,Großmutter::N,әже,кова́
250,Großmutter::N,әжей,кова́
251,Eltern::N,ата-аналар,ача́-ава́
252,Vater::N,әке,ача́
253,Mutter::N,ана,ава́
254,Sohn::N,ұл,э́рге
255,Tochter::N,қызым,ӱ́дыр
256,Bruder::N,бауырым,иза́
257,Bruder::N,бауырым,шо́льо
258,Schwester::N,әпке,ака́
259,Onkel::N,көке,иза́
260,Tante::N,тәте,кока́
261,Ehemann::N,ер,мари́й
262,Ehefrau::N,зайып,ва́те
263,Freude::N,қуаныш,куа́н
264,Freude::N,қуаныш,куаныма́ш
265,Freude::N,сүйініш,куа́н
266,Freude::N,сүйініш,куаныма́ш
267,Freude::N,шат-думан,куа́н
268,Freude::N,шат-думан,куаныма́ш
269,Freude::N,қуаныштылық,куа́н
270,Freude::N,қуаныштылық,куаныма́ш
271,Gelächter::N,күлу,во́штылтыш
272,Glück::N,бақыт,пиа́л
273,Glück::N,бақыттылық,пиа́л
274,Kummer::N,аза,о́йго
275,Kummer::N,қайғы,о́йго
276,Kummer::N,қасырет,о́йго
277,Wunsch::N,мүдде,ку́мыл
278,Lust::N,тәбет,ку́мыл
279,Lust::N,ынтызар,ку́мыл
280,Lust::N,құштарлық,ку́мыл
281,Geist::N,рух,ӧрт
282,Geist::N,рух,чон
283,Gedanke::N,ой,ой
284,Gedanke::N,ой,шоныма́ш
285,Gedächtnis::N,ес,шарныма́ш
286,Gedächtnis::N,жады,шарныма́ш
287,Gedächtnis::N,ақыл-ес,шарныма́ш
288,Verstand::N,ақыл,уш
289,Verstand::N,парасат,уш
290,Sinn::N,мән,смысл
291,Sinn::N,маныз,смысл
292,Sinn::N,мағына,смысл
293,Sinn::N,мән-мағына,смысл
294,Grund::N,себеп,ама́л
295,Wahrheit::N,рас,чын
296,Gespräch::N,әңгіме,мутланыма́ш
297,Märchen::N,ертеп,йома́к
298,Märchen::N,ертек,йома́к
299,Erzählung::N,әңгіме,ойлыма́ш
300,Nachricht::N,хабар,увертарыма́ш
301,Neuigkeit::N,жаңалық,уве́р
302,Name::N,ат,лӱм
303,Name::N,атау,лӱм
304,Rätsel::N,жұмбақ,ту́што
305,Rede::N,сөз,ойлыма́ш
306,Sprache::N,тіл,йы́лме
307,Stimme::N,үн,йӱк
308,Stimme::N,әуен,йӱк
309,Stimme::N,дауыс,йӱк
310,Wort::N,сөз,ой
311,Wort::N,сөз,мут
312,Zeichen::N,ишара,ти́ште
313,Zeichen::N,ишара,знак
314,Ruf::N,айғай,ӱжма́ш
315,Lärm::N,айғай-шу,лӱшкыма́ш
316,Lärm::N,айғай-шу,йӱк-йӱа́н
317,Lärm::N,айғай-ұйғай,лӱшкыма́ш
318,Lärm::N,айғай-ұйғай,йӱк-йӱа́н
319,Laut::N,дыбыс,йӱк
320,Laut::N,дауыс,йӱк
321,Ton::N,әуен,йӱксе́м
322,Lied::N,ән,му́ро
323,Lied::N,жыр,му́ро
324,Lied::N,ән-жыр,му́ро
325,Ruhe::N,тыныштық,ты́мык
326,Leute::N,кісілер,еҥ-влак
327,Volk::N,халық,ка́лык
328,Arbeit::N,еңбек,паша́
329,Gast::N,қонақ,уна́
330,Gast::N,мейман,уна́
331,Geschenk::N,қадия,пӧле́к
332,Spiel::N,ойын,мо́дыш
333,Spiel::N,ойын,модма́ш
334,Gesellschaft::N,қауым,тӱшка́
335,Gesellschaft::N,жұртшылық,тӱшка́
336,Hilfe::N,жэрдем,по́лыш
337,Freund::N,дос,таҥ
338,Freund::N,дос,йолта́ш
339,Kamerad::N,дос-жар,таҥ
340,Angelegenheit::N,жұмыс,паша́
341,Anzahl::N,сан,чот
342,Anzahl::N,саны,чот
343,Art::N,түр,вид
344,Stück::N,тілім,ка́тыш
345,Stück::N,тілім,ла́стык
346,Teil::N,үлес,ужа́ш
347,Teil::N,бөлшек,ужа́ш
348,Hälfte::N,жарты,пел
349,Hälfte::N,жарты,пе́ле
350,Kreis::N,шеңбер,ты́ртыш
351,Kreuz::N,крест,ыре́с
352,Linie::N,сызық,ли́ний
353,Strich::N,сызық,коре́ш
354,Abstand::N,ара,кокла́
355,Abstand::N,аралық,кокла́
356,Entfernung::N,аралық,тора́
357,Entfernung::N,аралық,ку́жыт
358,Gegend::N,өңір,кунде́м
359,Platz::N,орны,ку́мдык
360,Ort::N,орын,вер
361,Ort::N,орын,о́лмо
362,Seite::N,жақ,ӧ́рдыж
363,Seite::N,бүйір,ӧ́рдыж
364,Mitte::N,ортасы,покше́л
365,Gegenstand::N,зат,наста́
366,Gegenstand::N,нәрсе,наста́
367,Sache::N,бұйым,наста́
368,Rand::N,шет,тӱр
369,Rand::N,шеті,тӱр
370,Kante::N,қыр,тӱр
371,Kante::N,қыры,тӱр
372,Ecke::N,қыры,лук
373,Ecke::N,бұрыш,лук
374,Spitze::N,ұшы,вуй
375,Ende::N,аяқ,муча́ш
376,Ende::N,соңы,муча́ш
377,Loch::N,тесік,рож
378,Winkel::N,мүйіс,лук
379,Muster::N,мәнер,пеза́к
380,Muster::N,мәнер,узо́р
381,Muster::N,мәнер,ӱ́лгӧ
382,Größe::N,ауқым,кӱ́кшыт
383,Größe::N,көлемдік,кӱ́кшыт
384,Länge::N,бой,ку́тыш
385,Länge::N,ұзындық,ку́тыш
386,Höhe::N,жоғарылық,кӱ́кшыт
387,Höhe::N,биіктік,кӱ́кшыт
388,Gewicht::N,салмақ,не́лыт
389,Menge::N,мөлшер,чот
390,Haufen::N,үйме,кы́шыл
391,Haufen::N,үйінді,кы́шыл
392,Reihe::N,сап,рада́м
393,Boot::N,қайық,пуш
394,Ruder::N,ескек,эшка́к
395,Schlitten::N,шана,тер
396,Schlitten::N,шана,изде́р
397,Ski::N,шаңғы,е́че
398,Lagerfeuer::N,алау,туло́то
399,Last::N,ауырлық,нӧ́лтыш
400,Last::N,ауыр зат,нӧ́лтыш
401,Gang::N,жүріс,ошкылма́ш
402,Schritt::N,адым,о́шкыл
403,Norden::N,солтүстік,йӱдйыма́л
404,Norden::N,терістік,йӱдйыма́л
405,Süden::N,оңтүстік,кечывалве́л
406,Westen::N,батыс,касве́л
407,Osten::N,күншығыс,эрве́л
408,Holz::N,ағаш,пу
409,Holz::N,сүрек,пу
410,Brett::N,тақта,оҥа́
411,Platte::N,тақта,аста́р
412,Stütze::N,тіреу,чара́к
413,Stange::N,қада,лома́ш
414,Stock::N,сойыл,тоя́
415,Stab::N,сырық,вара́
416,Stab::N,сырық,кашта́
417,Rohr::N,құбыр,пуч
418,Haus::N,үй,пӧрт
419,Heim::N,үйлі,мӧ́ҥгӧ
420,Heim::N,шаңырақ,мӧ́ҥгӧ
421,Ofen::N,ошақ,комака́
422,Ofen::N,пеш,комака́
423,Fußboden::N,еден,кӱва́р
424,Tisch::N,үстел,ӱсте́л
425,Stuhl::N,орындық,пӱке́н
426,Wiege::N,бесік,шепка́
427,Bett::N,кереует,ва́кшыш
428,Regal::N,сөре,шӧ́рлык
429,Kiste::N,жәшік,шо́ндык
430,Kiste::N,жәшік,я́шлык
431,Fenster::N,терезе,окна́
432,Tür::N,есік,омса́
433,Tor::N,дарбаза,капка́
434,Zaun::N,дуал,сава́р
435,Dach::N,шатыр,леве́дыш
436,Leiter::N,саты,тошка́лтыш
437,Leiter::N,басқыш,тошка́лтыш
438,Besen::N,сыпырғыш,ӱштерво́штыр
439,Spaten::N,күрек,ко́льмо
440,Schaufel::N,қалақ,сово́к
441,Schaufel::N,қалақ,су́ско
442,Gabel::N,аша,ви́лке
443,Gabel::N,шанышқы,ви́лке
444,Löffel::N,қасық,па́не
445,Löffel::N,қасық,совла́
446,Messer::N,пышақ,кӱ́зӧ
447,Nagel::N,мық,пуда́
448,Nagel::N,шеге,пуда́
449,Netz::N,керегекөз,вапш
450,Haken::N,ілмек,са́гыле
451,Griff::N,сап,кыл
452,Griff::N,тұтқа,кыл
453,Schloss::N,құлып,кӧгӧ́н
454,Schloss::N,бекіткіш,кӧгӧ́н
