,Concept_ID,kk,tr
255,Kind::N,перзент,çocuk
256,Junge::N,бала,erkek çocuk
257,Junge::N,ер бала,erkek çocuk
258,Mädchen::N,қыз,kız
259,Familie::N,жанұя,aile
260,Großvater::N,ата,dede
261,Großvater::N,ата,büyükbaba
262,Großmutter::N,әже,nine
263,Großmutter::N,әже,büyükanne
264,Großmutter::N,әжей,nine
265,Großmutter::N,әжей,büyükanne
266,Eltern::N,ата-аналар,ebeveyn
267,Eltern::N,ата-аналар,ana baba
268,Vater::N,әке,ata
269,Vater::N,әке,baba
270,Mutter::N,ана,ana
271,Mutter::N,ана,anne
272,Sohn::N,ұл,oğul
273,Tochter::N,қызым,kız
274,Tochter::N,қызым,kız evlât
275,Bruder::N,бауырым,abi
276,Bruder::N,бауырым,erkek kardeş
277,Schwester::N,әпке,abla
278,Schwester::N,әпке,kız kardeş
279,Onkel::N,көке,dayı
280,Tante::N,тәте,hala
281,Tante::N,тәте,teyze
282,Ehemann::N,ер,koca
283,Ehefrau::N,зайып,karı
284,Freude::N,қуаныш,neşe
285,Freude::N,қуаныш,sevinç
286,Freude::N,сүйініш,neşe
287,Freude::N,сүйініш,sevinç
288,Freude::N,шат-думан,neşe
289,Freude::N,шат-думан,sevinç
290,Freude::N,қуаныштылық,neşe
291,Freude::N,қуаныштылық,sevinç
292,Gelächter::N,күлу,gülme
293,Gelächter::N,күлу,kahkaha
294,Glück::N,бақыт,mutluluk
295,Glück::N,бақыттылық,mutluluk
296,Kummer::N,аза,dert
297,Kummer::N,аза,keder
298,Kummer::N,қайғы,dert
299,Kummer::N,қайғы,keder
300,Kummer::N,қасырет,dert
301,Kummer::N,қасырет,keder
302,Wunsch::N,мүдде,arzu
303,Wunsch::N,мүдде,istek
304,Lust::N,тәбет,arzu
305,Lust::N,тәбет,heves
306,Lust::N,ынтызар,arzu
307,Lust::N,ынтызар,heves
308,Lust::N,құштарлық,arzu
309,Lust::N,құштарлық,heves
310,Geist::N,рух,tin
311,Gedanke::N,ой,fikir
312,Gedanke::N,ой,düşünce
313,Gedächtnis::N,ес,bellek
314,Gedächtnis::N,жады,bellek
315,Gedächtnis::N,ақыл-ес,bellek
316,Verstand::N,ақыл,zekâ
317,Verstand::N,парасат,zekâ
318,Sinn::N,мән,anlam
319,Sinn::N,маныз,anlam
320,Sinn::N,мағына,anlam
321,Sinn::N,мән-мағына,anlam
322,Grund::N,себеп,sebep
323,Wahrheit::N,рас,doğruluk
324,Wahrheit::N,рас,gerçeklik
325,Gespräch::N,әңгіме,görüşme
326,Märchen::N,ертеп,masal
327,Märchen::N,ертек,masal
328,Erzählung::N,әңгіме,öykü
329,Erzählung::N,әңгіме,hikâye
330,Nachricht::N,хабар,haber
331,Neuigkeit::N,жаңалық,haber
332,Name::N,ат,ad
333,Name::N,ат,isim
334,Name::N,атау,ad
335,Name::N,атау,isim
336,Rätsel::N,жұмбақ,bilmece
337,Rede::N,сөз,söylev
338,Rede::N,сөз,konuşma
339,Sprache::N,тіл,dil
340,Sprache::N,тіл,lisan
341,Stimme::N,үн,ses
342,Stimme::N,әуен,ses
343,Stimme::N,дауыс,ses
344,Wort::N,сөз,kelime
345,Zeichen::N,ишара,işaret
346,Ruf::N,айғай,çağırma
347,Lärm::N,айғай-шу,şamata
348,Lärm::N,айғай-шу,gürültü
349,Lärm::N,айғай-ұйғай,şamata
350,Lärm::N,айғай-ұйғай,gürültü
351,Laut::N,дыбыс,ses
352,Laut::N,дауыс,ses
353,Ton::N,әуен,ses
354,Lied::N,ән,türkü
355,Lied::N,жыр,türkü
356,Lied::N,ән-жыр,türkü
357,Ruhe::N,тыныштық,sakinlik
358,Leute::N,кісілер,halk
359,Leute::N,кісілер,insanlar
360,Volk::N,халық,ulus
361,Volk::N,халық,millet
362,Arbeit::N,еңбек,iş
363,Arbeit::N,еңбек,çalışma
364,Gast::N,қонақ,konuk
365,Gast::N,қонақ,misafir
366,Gast::N,мейман,konuk
