,Concept_ID,br,pl
0,Auge::N,lagad,oko
1,Ohr::N,skouarn,ucho
2,Nase::N,fri,nos
3,Mund::N,genoù,usta
4,Zahn::N,dant,ząb
5,Zunge::N,teod,język
6,Lippe::N,muzell,warga
7,Wange::N,chot,policzek
8,Gesicht::N,dremm,twarz
9,Stirn::N,tal,czoło
10,Haar::N,blev,włos
11,Haar::N,blev,włosy
12,Schnurrbart::N,mourenn,wąsy
13,Bart::N,barv,broda
14,Kinn::N,groñj,podbródek
15,Kiefer[Anatomie]::N,javed,czeluść
16,Kehle::N,gouzoug,gardło
17,Hals::N,gouzoug,szyja
18,Genick::N,choug,kark
19,Kopf::N,penn,głowa
20,Rücken::N,kein,plecy
21,Rücken::N,kein,grzbiet
22,Bauch::N,kof,brzuch
23,Nabel::N,begel,pępek
24,Busen::N,bronn,biust
25,Brust::N,bruched,pierś
26,Schulter::N,skoaz,bark
27,Schulter::N,skoaz,ramię
28,Arm::N,brec'h,ręka
29,Arm::N,brec'h,ramię
30,Ellenbogen::N,ilin,łokieć
31,Hand::N,dorn,dłoń
32,Handfläche::N,palv,dłoń
33,Finger::N,biz,palec
34,Fingernagel::N,ivin,paznokieć
35,Nagel[Anatomie]::N,ivin,paznokieć
36,Zeh::N,biz-troad,palec
37,Fuß::N,troad,stopa
38,Ferse::N,seul,pięta
39,Knie::N,glin,kolano
40,Oberschenkel::N,morzhed,udo
41,Bein::N,gar,noga
42,Körper::N,korf,ciało
43,Haut::N,kroc'hen,skóra
44,Blut::N,gwad,krew
45,Ader::N,gwazhi,żyła
46,Sehne::N,stir,ścięgno
47,Knochen::N,askorn,kość
48,Gehirn::N,empenn,mózg
49,Herz::N,kalon,serce
50,Magen::N,stomog,żołądek
51,Leber::N,avu,wątroba
52,Atem::N,anal,dech
53,Atem::N,anal,oddech
54,Hunger::N,naon,głód
55,Träne::N,daer,łza
56,Geschmack::N,blaz,smak
57,Geruch::N,c'hwezh,woń
58,Geruch::N,c'hwezh,zapach
59,Schlaf::N,kousked,sen
60,Traum::N,hune,sen
61,Himmel::N,oabl,niebo
62,Sonne::N,heol,słońce
63,Mond::N,loar,księżyc
64,Stern::N,steredenn,gwiazda
65,Luft::N,aer,powietrze
66,Wind::N,avel,wiatr
67,Welle::N,houlenn,fala
68,Wasser::N,dour,woda
69,Stein::N,maen,kamień
70,Boden::N,tachenn,grunt
71,Erde::N,douar,ziemia
72,Staub::N,poultr,pył
73,Staub::N,poultr,kurz
74,Rauch::N,moged,dym
75,Funke::N,ful,iskra
76,Feuer::N,tan,ogień
77,Licht::N,gouloù,światło
78,Schatten::N,disheol,cień
79,Wetter::N,amzer,pogoda
80,Nebel::N,brumenn,mgła
81,Wolke::N,koumoulenn,obłok
82,Wolke::N,koumoulenn,chmura
83,Regen::N,glav,deszcz
84,Schnee::N,erc'h,śnieg
85,Eis::N,skorn,lód
