,Concept_ID,,kk
0,Auge::N,,көз
1,Ohr::N,,құлақ
2,Nase::N,,мұрын
3,Mund::N,,ауыз
4,Zahn::N,,тіс
5,Zunge::N,,тіл
6,Lippe::N,,ерін
7,Wange::N,,ұрт
8,Gesicht::N,,бет-аузы
9,Stirn::N,,маңдай
10,Haar::N,,қыл
11,Schnurrbart::N,,мұрт
12,Bart::N,,сақал
13,Kinn::N,,иек
14,Kiefer[Anatomie]::N,,жақ
15,Kehle::N,,алқым
16,Hals::N,,мойын
17,Genick::N,,желке
18,Kopf::N,,кәллә
19,Rücken::N,,арқа
20,Bauch::N,,қарын
21,Nabel::N,,кіндік
22,Busen::N,,омырау
23,Brust::N,,кеуде
24,Schulter::N,,иық
25,Arm::N,,қол
26,Ellenbogen::N,,шынтақ
27,Hand::N,,қол
28,Handfläche::N,,алақан
29,Finger::N,,саусақ
30,Fingernagel::N,,тырнақ
31,Nagel[Anatomie]::N,,тырнақ
32,Zeh::N,,тырнақ
33,Zeh::N,,тұяқ
34,Fuß::N,,аяқ-басы
35,Ferse::N,,өкше
36,Ferse::N,,өкшелік
37,Knie::N,,тізе
38,Oberschenkel::N,,жамбас
39,Bein::N,,аяқ
40,Körper::N,,дене
41,Haut::N,,тері
42,Blut::N,,қан
43,Ader::N,,көктамыр
44,Ader::N,,күретамыр
45,Sehne::N,,сіңір
46,Knochen::N,,жілік
47,Gehirn::N,,ми
48,Herz::N,,жүрек
49,Magen::N,,асқазан
50,Leber::N,,бауыр
51,Atem::N,,леп
52,Hunger::N,,ашаршылық
53,Träne::N,,жас
54,Geschmack::N,,дәм
55,Geschmack::N,,татым
56,Geschmack::N,,талғам
57,Geruch::N,,иіс
58,Schlaf::N,,ұйқы
59,Schlaf::N,,ұйықтау
60,Traum::N,,түс
61,Himmel::N,,аспан
62,Himmel::N,,көқ
63,Himmel::N,,таңдай
64,Sonne::N,,күн
65,Mond::N,,ай
66,Stern::N,,жұлдыз
67,Luft::N,,әуе
68,Wind::N,,жел
69,Welle::N,,толқын
70,Wasser::N,,су
71,Stein::N,,тас
72,Boden::N,,қыртыс
73,Erde::N,,топырақ
74,Staub::N,,шаң
75,Rauch::N,,түтін
76,Funke::N,,ұшқын
77,Feuer::N,,алау
78,Licht::N,,шұғыла
79,Schatten::N,,көлеңке
80,Wetter::N,,ауа райы
81,Nebel::N,,тұман
82,Wolke::N,,бұлт
83,Regen::N,,жаңбыр
84,Schnee::N,,қар
85,Eis::N,,мұз
86,Frost::N,,суық
87,Kälte::N,,ызғар
88,Kälte::N,,суықтық
89,Hitze::N,,аптап
90,Raureif::N,,қырау
91,Regenbogen::N,,кемпірқосақ
92,Donner::N,,күн күркіреу
93,Strömung::N,,ағын
94,Tropfen::N,,тамшы
95,Schaum::N,,көбік
96,Schmutz::N,,кір
97,See::N,,көл
98,Sumpf::N,,саз
99,Moor::N,,саз
100,Wiese::N,,шалғын
101,Wald::N,,орман
102,Hügel::N,,төбе
103,Hügel::N,,белес
104,Hügel::N,,белес-белес
105,Anhöhe::N,,дөң
106,Anhöhe::N,,адыр
107,Anhöhe::N,,қырат
108,Berg::N,,тау
109,Gipfel::N,,төбе
110,Höhle::N,,үңгір
111,Abhang::N,,бауыр
112,Quelle::N,,қайнар
113,Bach::N,,жылға
114,Fluss::N,,өзен
115,Ufer::N,,жиек
116,Küste::N,,жиегі
117,Küste::N,,жағалау
118,Festland::N,,құрылық
119,Meer::N,,теңіз
120,Bucht::N,,шығанақ
121,Insel::N,,арал
122,Blume::N,,гүл
123,Gras::N,,от
124,Wurzel::N,,түбір
125,Baum::N,,ағаш
126,Baum::N,,дарақ
127,Stamm::N,,сояу
128,Stamm::N,,оқпан
129,Rinde::N,,қабық
130,Ast::N,,бұтақ
131,Zweig::N,,шыбық
132,Blatt::N,,жапырақ
133,Birke::N,,қайың
134,Kiefer[Baum]::N,,қарағай
135,Weide[Baum]::N,,тал
136,Tanne::N,,шырша
137,Horn::N,,мүйіз
138,Feder::N,,қаламұш
139,Fell::N,,тері
140,Flügel::N,,қанат
141,Klaue::N,,тырнақ
142,Kralle::N,,аяқ
143,Schwanz::N,,құйрық
144,Ei::N,,жұмыртқа
145,Nest::N,,ұя
146,Bau::N,,жатақ
147,Tier::N,,айуан
148,Tier::N,,жануар
149,Herde::N,,пада
150,Kuh::N,,сиыр
151,Bulle::N,,өгіз
152,Pferd::N,,жылқы
153,Schaf::N,,қой
154,Schwein::N,,шошқа
155,Hund::N,,ит
156,Katze::N,,мысық
157,Bär::N,,аю
158,Eichhörnchen::N,,тиін
159,Elch::N,,бұғы
160,Fuchs::N,,түлкі
161,Hase::N,,қоян
162,Maus::N,,қаптесер
163,Wolf::N,,бөрі
164,Wolf::N,,қасқыр
165,Vogel::N,,құс
166,Schwarm::N,,топ
167,Schwarm::N,,үйір
168,Huhn::N,,тауық
169,Huhn::N,,мекиен
170,Hahn::N,,әтеш
171,Hahn::N,,қораз
172,Gans::N,,қаз
173,Adler::N,,бүркіт
174,Ente::N,,үйрек
175,Eule::N,,жапалақ
176,Kranich::N,,тырна
177,Krähe::N,,қарға
178,Kuckuck::N,,көкек
179,Schwan::N,,аққу
180,Fisch::N,,балық
181,Barsch::N,,алабұға
182,Hecht::N,,шортан
183,Schlange[Tier]::N,,жылан
184,Wurm::N,,шұбалшаң
185,Spinne::N,,өрмекші
186,Ameise::N,,қүмырска
187,Laus::N,,бит
188,Mücke::N,,маса
189,Fliege::N,,шыбын
190,Schmetterling::N,,көбелек
191,Beere::N,,жидек
192,Apfel::N,,алма
193,Pilz::N,,қозықұйрық
194,Pilz::N,,саңыраукулақ
195,Zwiebel::N,,жуа
196,Saat::N,,тұқым
197,Korn::N,,дән
198,Heu::N,,шөп
199,Schale::N,,қабық
200,Schale::N,,қабығы
201,Grube::N,,ор
202,Falle::N,,дұзақ
203,Falle::N,,қақпан
204,Schlinge::N,,ілмек
205,Spur::N,,із
206,Asche::N,,күл
207,Dreck::N,,былғаныш
208,Eisen::N,,темір
209,Gold::N,,алтын
210,Silber::N,,күміс
211,Kohle::N,,көмір
212,Glas::N,,шыны
213,Lehm::N,,балшық
214,Sand::N,,құм
215,Mensch::N,,адам
216,Mann::N,,еркек
217,Mann::N,,ер адам
218,Frau::N,,бике
219,Frau::N,,қатын
220,Kind::N,,бала
221,Kind::N,,перзент
222,Junge::N,,бала
223,Junge::N,,ер бала
224,Mädchen::N,,қыз
225,Familie::N,,жанұя
226,Großvater::N,,ата
227,Großmutter::N,,әже
228,Großmutter::N,,әжей
229,Eltern::N,,ата-аналар
230,Vater::N,,әке
231,Mutter::N,,ана
