,Concept_ID,lbe,mrj
0,Auge::N,я,сӹнзӓ
1,Ohr::N,вичӏи,пӹлӹш
2,Nase::N,май,нер
3,Mund::N,кьацӏ,ышма
4,Zahn::N,ккарччи,пӱ
5,Zunge::N,маз,йӹлмӹ
6,Lippe::N,мурччи,тӹрвӹ
7,Wange::N,чӏав,шӹргӹ
8,Gesicht::N,лажин,лицӓ
9,Stirn::N,ненттабакӏ,лепкӓ
10,Haar::N,чӏара,ӱп
11,Schnurrbart::N,ссирссилтту,öрш
12,Bart::N,чӏири,пандаш
13,Kinn::N,лунттубакӏ,онгылаш
14,Kiefer[Anatomie]::N,ххинчулул,пӱ арата
15,Kehle::N,кьакьари,логер
16,Hals::N,ссурссу,шӱ
17,Genick::N,махъабакӏ,ланга
18,Kopf::N,бакӏ,вуй
19,Rücken::N,ттиликӏ,туп
20,Bauch::N,лякьа,мӹшкӹр
21,Nabel::N,цӏумуккутӏ,кӹлӹмдӹ
22,Busen::N,ккукку,цӹзӹ
23,Brust::N,хъазам,мел
24,Schulter::N,хъачӏ,ӹнгӹжӓ
25,Arm::N,ка,кид
26,Ellenbogen::N,ссюрхъ,кӹнервуй
27,Hand::N,бартка,лапа
28,Handfläche::N,хъат,кид лапа
29,Handfläche::N,битӏянхъ,кид лапа
30,Finger::N,кӏисса,парня
31,Fingernagel::N,михь,кӹч
32,Nagel[Anatomie]::N,михь,кӹч
33,Zeh::N,кӏисса,парня
34,Fuß::N,чӏанччан,ял лапа
35,Ferse::N,никъа,ялгавал
36,Ferse::N,никъа,ял кавал
37,Knie::N,ник,пылвуй
38,Oberschenkel::N,жира,ӓрдӹ
39,Bein::N,ччан,ял
40,Körper::N,чурх,монгыр
41,Haut::N,бурчу,кавашты
42,Blut::N,оь,вӹр
43,Ader::N,тунну,вӹршӓр
44,Sehne::N,хьхьа,кукшышӱн
45,Knochen::N,ттаркӏ,лу
46,Gehirn::N,ня,вим
47,Herz::N,дакӏ,шӱм
48,Herz::N,къюкӏ,шӱм
49,Magen::N,лякьа,шӱм
50,Atem::N,ссихӏ ласаву,шӱлӹш
51,Atem::N,ссихӏ бигьаву,шӱлӹш
52,Hunger::N,ккаши,шужымаш
53,Träne::N,макь,сӹнзӓвӹд
54,Geschmack::N,тӏин,тот
55,Geschmack::N,тӏааьн,тот
56,Geruch::N,кьанкь,пыш
57,Schlaf::N,шану,ом
58,Traum::N,макӏру,ом
59,Himmel::N,ссав,пӹлгом
60,Sonne::N,баргъ,кечӹ
61,Mond::N,барз,тӹлзӹ
62,Stern::N,цӏуку,шӹдӹр
63,Luft::N,гьава,юж
64,Luft::N,гьава,воздух
65,Wind::N,марч,мардеж
66,Welle::N,щатӏи,ко
67,Welle::N,щатӏи,коэ
68,Wasser::N,щин,вӹд
69,Stein::N,чару,кӱ
70,Boden::N,аьрщи,рок
71,Erde::N,аьрщи,свет
72,Staub::N,ххит,пырак
73,Rauch::N,пуркӏу,шӹкш
74,Funke::N,пиягь,ип
75,Funke::N,пиягь,тылип
76,Feuer::N,цӏу,тыл
77,Licht::N,чани,соты
78,Licht::N,чани,валгыды
79,Schatten::N,ххют,ӹмӹл
80,Wetter::N,гьава,игечӹ
81,Nebel::N,шархь ттурлу,тӹтӹрӓ
82,Wolke::N,ттурлу,пӹл
83,Regen::N,гъарал,юр
84,Schnee::N,марххала,лым
85,Eis::N,микӏ,и
86,Frost::N,дяркъу,ӱштӹ
87,Frost::N,замгьар,ӱштӹ
88,Kälte::N,дяркъу,ӱштӹ
89,Hitze::N,кӏиришиву,шокшы
90,Raureif::N,сил,пöрш
91,Raureif::N,бурса,пöрш
92,Regenbogen::N,ссурул ккуртта,шанавӹл
93,Donner::N,къув,хӹдӹртӹш
94,Strömung::N,экьинанаву,йогы
95,Tropfen::N,кӏунтӏ,капльы
96,Tropfen::N,кӏунтӏ,капльык
97,Schaum::N,хьама,шонг
98,Schmutz::N,кьяркьи,лявӹрӓ
99,See::N,бяр,йӓр
100,Sumpf::N,кунцӏа,лӱкӹ
101,Wiese::N,кьан,алык
102,Wald::N,вацӏа,шӹргӹ
103,Hügel::N,бакӏу,пӱгӹрикӓ
104,Berg::N,зунтту,кырык
105,Gipfel::N,мицӏ,неркӓ
106,Höhle::N,нух,ы́раж
107,Abhang::N,сун,полом
108,Quelle::N,дайдихьу,вӹдсӹнзӓ
109,Quelle::N,бакӏ,вӹдсӹнзӓ
110,Bach::N,чӏрир нех,ӓнгӹр
111,Fluss::N,нех,вӹд
112,Ufer::N,зума,сир
113,Küste::N,зумаинхалу,сир
114,Küste::N,зуманицӏалу,сир
115,Festland::N,кьири,мӱлӓндӹ
116,Meer::N,хьхьири,тангыж
117,Insel::N,жазира,острок
118,Blume::N,тӏутӏи,пеледӹш
119,Gras::N,уртту,шуды
120,Wurzel::N,мархха,важ
121,Baum::N,мурхь,пушӓнгӹ
122,Stamm::N,ттарцӏ,пушӓнгӹ тӹнг
123,Rinde::N,ккамара,каргыж
124,Ast::N,матӏи,укш
125,Zweig::N,къяртта,укш
126,Blatt::N,чӏапӏи,листӹ
127,Birke::N,кӏялахӏи,куги
128,Birke::N,кӏялахӏилул мурхь,куги
129,Kiefer[Baum]::N,ттар,йӓктӹ
130,Kiefer[Baum]::N,ттарлил мурхь,йӓктӹ
131,Weide[Baum]::N,щавщи,уа
132,Tanne::N,ттарлил мурхь,кож
133,Horn::N,хъи,шур
134,Feder::N,лелуххул тӏиму,пын
135,Fell::N,бурчу,кавашты
136,Flügel::N,хъа,шылдыр
137,Flügel::N,ххурупӏайрал тӏиму,шылдыр
138,Klaue::N,михь,кӹч
139,Kralle::N,ххяппа,лапа
140,Schwanz::N,магъ,пач
141,Ei::N,ккунук,мыны
142,Nest::N,кюру,пӹжӓш
143,Bau::N,цукъуккутӏ,ыраж
144,Tier::N,хӏайван,во́льык
145,Herde::N,газу,кӹтö
146,Kuh::N,оьл,ышкал
147,Bulle::N,ниц,ӱшкӱж
148,Pferd::N,чу,имни
149,Schaf::N,тта,шарык
150,Schwein::N,дунгъуз,сасна
151,Hund::N,ккаччи,пи
152,Katze::N,ччиту,коти
153,Bär::N,цуша,мöскӓ
154,Eichhörnchen::N,бюрхттукку,ур
155,Elch::N,ниц-бюрин,шарды
156,Fuchs::N,цулчӏа,рӹвӹж
157,Fuchs::N,куча цулчӏа,рӹвӹж
158,Hase::N,бюрх,морен
159,Maus::N,кӏулу,каля
160,Wolf::N,барцӏ,пирӹ
161,Vogel::N,лелуххи,кек
162,Schwarm::N,гьухъала,цуца
163,Huhn::N,аьнакӏи,цӹвӹ
164,Hahn::N,ажари,ӓптӓн
165,Gans::N,къаз,комбы
166,Adler::N,барзу,кучкыж
167,Ente::N,урдак,лыды
168,Eule::N,ису,тымана
169,Eule::N,ччиккумяв,тымана
170,Kranich::N,кьурукь,тырня
171,Kranich::N,кьурукь,тыртня
172,Krähe::N,хъатӏу,лудыгарак
173,Kuckuck::N,ччикку,куку
174,Schwan::N,урттил къаз,йӱксӹ
175,Fisch::N,чавахъ,кол
176,Schlange[Tier]::N,шатта,кӹшкы
177,Wurm::N,кьюнукьай шатта,шукш
178,Spinne::N,ххялцу,ӓнгӹремшӹ
179,Ameise::N,митӏикьукьу,кыткы
180,Mücke::N,мичӏак,кужнер
181,Mücke::N,мичӏак,кужынер
182,Fliege::N,зимиз,шӹнгӓ
183,Schmetterling::N,чӏимучӏали,лӹпӹ
184,Beere::N,хӏаллил ахъулсса,мöр
185,Apfel::N,гьивч,олма
186,Pilz::N,ттуккул иис,понгы
187,Zwiebel::N,лаччул чсмусул бакӏ,охыра
188,Saat::N,гьанна,нӱшмӹ
189,Saat::N,гьанна,нӱшмӱ
190,Korn::N,къама,пӹрцӹ
191,Heu::N,ххулув,шуды
192,Schale::N,ккиртту,аваха
193,Schale::N,ккиртту,карлангы
194,Grube::N,кӏаланг,йӓм
195,Falle::N,къатӏа,лӱдӹ
196,Falle::N,къатӏа,лӱдӹш
197,Schlinge::N,хӏатӏ,онгы
198,Spur::N,ша,кишӓ
199,Asche::N,лах,ломых
200,Asche::N,лах,ломпыж
201,Dreck::N,кьяркьи,лявӹрӓ
202,Dreck::N,венп,лявӹрӓ
203,Eisen::N,мах,кӹртни
204,Gold::N,муси,шöртни
205,Gold::N,муси,шöртньӹ
206,Silber::N,арцу,ши
207,Kohle::N,кӏалаш,шӱ
208,Kohle::N,хъуручӏ,шӱ
209,Glas::N,пюрун,охоница
210,Lehm::N,сина аьрщи,шун
211,Sand::N,къун,ошма
212,Mensch::N,инсан,эдем
213,Mann::N,чув,пӱэргӹ
214,Mann::N,адимина,пӱэргӹ
215,Frau::N,щарсса,ӹдӹрӓмӓш
