,Concept_ID,en,mn
0,Auge::N,eye,нүд
1,Ohr::N,ear,чих
2,Nase::N,nose,хамар
3,Mund::N,mouth,ам
4,Zahn::N,tooth,шүд
5,Zunge::N,tongue,хэл
6,Lippe::N,lip,уруул
7,Wange::N,cheek,хацар
8,Gesicht::N,face,царай
9,Gesicht::N,face,нүүр
10,Stirn::N,forehead,дух
11,Haar::N,hair,үс
12,Schnurrbart::N,moustache,дээд сахал
13,Schnurrbart::N,moustache,живэр сахал
14,Bart::N,beard,сахал
15,Kinn::N,chin,эрүү
16,Kiefer[Anatomie]::N,jaw,эрүү
17,Kehle::N,throat,хоолой
18,Hals::N,neck,хүзүү
19,Genick::N,nape,шил
20,Genick::N,nape,хүзүү
21,Kopf::N,head,толгой
22,Rücken::N,back,ар
23,Rücken::N,back,нуруу
24,Rücken::N,spine,ар
25,Rücken::N,spine,нуруу
26,Bauch::N,belly,хэвлий
27,Bauch::N,belly,гэдэс
28,Nabel::N,navel,хүйс
29,Busen::N,bosom,хөх
30,Brust::N,chest,цээж
31,Brust::N,breast,цээж
32,Schulter::N,shoulder,мөр
33,Schulter::N,shoulder,бугалга
34,Arm::N,arm,гар
35,Ellenbogen::N,elbow,тохой
36,Hand::N,hand,гар
37,Hand::N,hand,алга
38,Handfläche::N,palm,алга
39,Finger::N,finger,хуруу
40,Fingernagel::N,fingernail,хурууны хумс
41,Nagel[Anatomie]::N,nail,хумс
42,Zeh::N,toe,хуруу
43,Fuß::N,foot,хөл
44,Ferse::N,heel,өсгий
45,Knie::N,knee,өвдөг
46,Oberschenkel::N,thigh,гуя
47,Bein::N,leg,хөл
48,Körper::N,body,бие
49,Haut::N,skin,арьс
50,Blut::N,blood,цус
51,Ader::N,vein,судас
52,Sehne::N,sinew,бүлх
53,Sehne::N,sinew,шандас
54,Knochen::N,bone,яс
55,Gehirn::N,brain,тархи
56,Herz::N,heart,зүрх
57,Magen::N,stomach,ходоод
58,Leber::N,liver,элэг
59,Atem::N,breath,амьсгаа
60,Hunger::N,hunger,өлсгөлөн
61,Träne::N,tear,нулимс
62,Geschmack::N,flavour,амт
63,Geschmack::N,flavor,амт
64,Geruch::N,odour,үнэр
65,Geruch::N,odor,үнэр
66,Schlaf::N,sleep,нойр
67,Traum::N,dream,зүүд
68,Himmel::N,sky,тэнгэр
69,Himmel::N,sky,огторгуй
70,Sonne::N,sun,нар
71,Mond::N,moon,сар
72,Stern::N,star,од
73,Luft::N,air,агаар
74,Wind::N,wind,салхи
75,Welle::N,wave,долгио
76,Welle::N,wave,давалгаа
77,Wasser::N,water,ус
78,Stein::N,stone,чулуу
79,Boden::N,soil,хөрс
80,Boden::N,ground,хөрс
81,Erde::N,earth,газар
82,Erde::N,earth,шороо
83,Staub::N,dust,тоос
84,Rauch::N,smoke,утаа
85,Funke::N,spark,оч
86,Feuer::N,fire,гал
87,Licht::N,light,гэрэл
88,Licht::N,light,гэгээ
89,Schatten::N,shadow,сүүдэр
90,Wetter::N,weather,тэнгэр
91,Wetter::N,weather,цаг уур
92,Nebel::N,fog,будан
93,Wolke::N,cloud,үүл
94,Regen::N,rain,бороо
95,Schnee::N,snow,цас
96,Eis::N,ice,мөс
97,Frost::N,frost,хүйт
98,Kälte::N,chill,хүйт
99,Hitze::N,heat,халуун
100,Raureif::N,hoarfrost,цан
101,Raureif::N,hoarfrost,хяруу
102,Regenbogen::N,rainbow,солонго
103,Donner::N,thunder,тэнгэрийн дуу
104,Strömung::N,current,урсгал
105,Tropfen::N,drop,дусал
106,Schaum::N,foam,хөөс
