,Concept_ID,ar,ab
0,Auge::N,عين,ала
1,Ohr::N,أذن,алымҳа
2,Nase::N,أنف,аҧынҵа
3,Mund::N,فم,аҧышə
4,Zahn::N,سن,ахаҧыц
5,Zunge::N,لسان,абз
6,Lippe::N,شفة,ақьышə
7,Wange::N,خد,аӡамҩа
8,Wange::N,وجنة,аӡамҩа
9,Gesicht::N,وجه,аҿы
10,Stirn::N,جبين,алахь
11,Haar::N,شعر,ахəыц
12,Schnurrbart::N,شارب,аҧаҵа
13,Bart::N,لحية,ажакьа
14,Kinn::N,ذقن,ацламкəыгə
15,Kiefer[Anatomie]::N,فك,ацламҳəа
16,Kehle::N,حلق,ахəда
17,Hals::N,عنق,ахəда
18,Hals::N,رقبة,ахəда
19,Genick::N,قفا,ахəдаџьал
20,Kopf::N,رأس,ахы
21,Rücken::N,ظهر,азқəа
22,Bauch::N,بطن,амгəа
23,Nabel::N,سرة,аҷапан
24,Busen::N,ثدي,агəыҧҳəы
25,Brust::N,صدر,агəышҧы
26,Schulter::N,كتف,ажəҩахыр
27,Arm::N,ذراع,амахəар
28,Ellenbogen::N,كوع,амашьхəылҵ
29,Hand::N,يد,анапы
30,Handfläche::N,كف,анапсаргəыҵа
31,Finger::N,إصبع,анацəа
32,Fingernagel::N,ظفر,анапхыц
33,Nagel[Anatomie]::N,ظفر,ашьапхыц
34,Zeh::N,إصبع القدم,ашьацəа
35,Fuß::N,قدم,ашьапсыргəыҵа
36,Ferse::N,كعب,ашьхəа
37,Knie::N,ركبة,ашьамхы
38,Oberschenkel::N,فخذ,ауаҭəа
39,Bein::N,ساق,ашьапы
40,Körper::N,جسم,ацəеижь
41,Haut::N,بشرة,ацəа
42,Blut::N,دم,ашьа
43,Ader::N,عرق,ада
44,Sehne::N,طنب,адаш
45,Knochen::N,عظم,абаҩ
46,Gehirn::N,دماغ,ахшлыбаҩ
47,Gehirn::N,دماغ,ахшыбаҩ
48,Herz::N,قلب,агəы
49,Magen::N,معدة,аца
50,Magen::N,معدة,ацар
51,Leber::N,كبد,агəаҵəа
52,Atem::N,نفس,аҧсыҧлагаҩгара
53,Hunger::N,جوع,амла
54,Träne::N,دمعة,алабжыш
55,Geschmack::N,طعم,агьама
56,Geschmack::N,مذاق,агьама
57,Geruch::N,رائحة,афҩы
58,Schlaf::N,نوم,ацəа
