,Concept_ID,sah,bg
0,Auge::N,харах,око
1,Ohr::N,кулгаах,ухо
2,Nase::N,мурун,нос
3,Mund::N,айах,уста
4,Zahn::N,тиис,зъб
5,Zunge::N,тыл,език
6,Lippe::N,уос,устна
7,Wange::N,иэдэс,буза
8,Gesicht::N,сирэй,лице
9,Gesicht::N,сирэй,образ
10,Stirn::N,сүүс,чело
11,Haar::N,баттах,коса
12,Haar::N,баттах,косъм
13,Schnurrbart::N,уос бытыга,мустаци
14,Bart::N,сэҥийэ бытыга,брада
15,Kinn::N,сэҥийэ,брада
16,Kinn::N,сэҥийэ,брадичка
17,Kiefer[Anatomie]::N,сыҥаах,челюст
18,Kehle::N,тамах,гърло
19,Kehle::N,күөмэй,гърло
20,Hals::N,моой,врат
21,Genick::N,кэтэх,тил
22,Kopf::N,бас,глава
23,Rücken::N,көҕүс,гръб
24,Bauch::N,ис,корем
25,Nabel::N,киин,пъп
26,Busen::N,эмиий,бозка
27,Brust::N,түөс,гръд
28,Schulter::N,сарын,рамо
29,Schulter::N,сарын,плещи
30,Arm::N,илии,ръка
31,Ellenbogen::N,тоҕонох,лакът
32,Hand::N,илии,ръка
33,Hand::N,илии,китка
34,Handfläche::N,ытыс,длан
35,Finger::N,тарбах,пръст
36,Fingernagel::N,тыҥырах,нокът
37,Nagel[Anatomie]::N,тыҥырах,нокът
38,Zeh::N,тарбах,пръст на крак
39,Fuß::N,уллуҥах,крак
40,Fuß::N,уллуҥах,нога
41,Ferse::N,тилэх,пета
42,Knie::N,тобук,коляно
43,Knie::N,дьилбэк,коляно
44,Oberschenkel::N,уллук,бедро
45,Oberschenkel::N,өттүк,бедро
46,Bein::N,атах,крак
47,Bein::N,атах,нога
48,Körper::N,бэйэ,тяло
49,Haut::N,тирии,кожа
50,Blut::N,хаан,кръв
51,Ader::N,вена,вена
52,Ader::N,вена,артерия
53,Ader::N,күөх_тымыр,вена
54,Ader::N,күөх_тымыр,артерия
55,Sehne::N,иҥиир,жила
56,Sehne::N,иҥиир,сухожилие
57,Knochen::N,уҥуох,кост
58,Knochen::N,уҥгуох,кост
59,Gehirn::N,мэйии,мозък
60,Herz::N,сүрэх,сърце
61,Magen::N,куртах,стомах
62,Leber::N,быар,черен дроб
63,Atem::N,тыын,дишане
64,Hunger::N,аас,глад
65,Träne::N,харах уута,сълза
66,Geschmack::N,амтан,вкус
67,Geruch::N,сыт,миризма
68,Schlaf::N,утуйуу,сън
69,Traum::N,түүл,сън
70,Himmel::N,халлаан,небе
71,Sonne::N,күн,слънце
72,Mond::N,ый,луна
73,Mond::N,ый,месец
74,Stern::N,сулус,звезда
75,Luft::N,салгын,въздух
76,Wind::N,тыал,вятър
77,Welle::N,долгун,вълна
78,Welle::N,балхаан,вълна
79,Wasser::N,уу,вода
80,Stein::N,таас,камък
81,Boden::N,сир,земя
82,Boden::N,сир,почва
83,Erde::N,буор,земя
84,Erde::N,буор,почва
85,Staub::N,быыл,прах
86,Rauch::N,буруо,дим
87,Rauch::N,буруо,пушек
88,Funke::N,кыым,искра
89,Feuer::N,уот,огън
90,Licht::N,уот,светлина
91,Schatten::N,күлүк,сянка
92,Wetter::N,күн-дьыл,време
93,Nebel::N,туман,мъгла
94,Wolke::N,былыт,облак
95,Regen::N,самыыр,дъжд
96,Schnee::N,хаар,сняг
97,Eis::N,муус,лед
98,Frost::N,тымныы,мраз
99,Kälte::N,тымныы,студ
100,Hitze::N,куйаас,жега
101,Hitze::N,куйаас,горещина
102,Raureif::N,кырыа,скреж
103,Raureif::N,кырыа,слана
104,Regenbogen::N,кустук,дъга
105,Donner::N,этиҥ,гръм
106,Strömung::N,сүүрүк,течение
107,Tropfen::N,таммах,капка
108,Tropfen::N,хааппыла,капка
109,Schaum::N,күүгэн,пяна
110,Schmutz::N,кир,кал
111,Schmutz::N,кир,мръсотия
112,See::N,күөл,езеро
113,Sumpf::N,бадараан,блато
114,Moor::N,дьэбэрэ,мочурище
115,Wiese::N,ходуһа,ливада
116,Wald::N,ойуур,гора
117,Hügel::N,булгунньах,рид
118,Hügel::N,булгунньах,хълм
119,Anhöhe::N,үрдэл,могила
120,Anhöhe::N,үрдэл,възвишение
121,Berg::N,хайа,планина
122,Gipfel::N,чыпчаал,връх
123,Höhle::N,хайа_хаспаҕа,пещера
124,Höhle::N,көҥүс,пещера
125,Abhang::N,эниэ,склон
126,Abhang::N,эниэ,стръмнина
127,Quelle::N,дьүүктэ,извор
128,Bach::N,үрүйэ,поток
129,Fluss::N,өрүс,река
130,Ufer::N,биэрэк,бряг
131,Küste::N,кытыл,бряг
132,Küste::N,кытыл,крайбрежие
133,Festland::N,кураанах сир,суша
134,Meer::N,муора,море
135,Bucht::N,хомо,залив
136,Bucht::N,бухта,залив
137,Insel::N,арыы,остров
138,Blume::N,сибэкки,цвете
139,Gras::N,от,трева
140,Wurzel::N,силис,корен
141,Baum::N,мас,дърво
142,Stamm::N,умнас,стъбло
143,Rinde::N,хатырык,кора
144,Ast::N,мутук,клон
145,Zweig::N,лабаа,клон
146,Blatt::N,сэбирдэх,лист
147,Birke::N,хатыҥ,бреза
148,Kiefer[Baum]::N,бэс,бор
149,Weide[Baum]::N,үөт,върба
150,Weide[Baum]::N,талах,върба
151,Tanne::N,харыйа,ела
152,Horn::N,муос,рог
153,Feder::N,куорсун,перо
154,Fell::N,тирии,кожа
155,Flügel::N,кынат,крило
156,Klaue::N,тыҥырах,нокът
157,Kralle::N,баппаҕай,нокът
158,Schwanz::N,кутурук,опашка
159,Ei::N,сымыыт,яйце
160,Nest::N,уйа,гнездо
161,Bau::N,хороон,дупка
162,Tier::N,кыыл,животно
163,Tier::N,харамай,животно
164,Herde::N,үөр,стадо
165,Kuh::N,ынах,крава
166,Bulle::N,оҕус,бик
167,Pferd::N,сылгы,кон
168,Schaf::N,овца,овца
169,Schwein::N,сибиинньэ,свиня
170,Hund::N,ыт,куче
171,Katze::N,куоска,котка
172,Bär::N,эһэ,мечка
173,Eichhörnchen::N,тииҥ,катерица
174,Elch::N,тайах,лос
175,Fuchs::N,саһыл,лисица
176,Hase::N,куобах,заек
177,Maus::N,кутуйах,мишка
178,Wolf::N,бөрө,вълк
179,Vogel::N,көтөр,птица
180,Schwarm::N,бөлөх,рой
181,Schwarm::N,бөлөх,рояк
182,Huhn::N,куурусса,кокошка
183,Hahn::N,бөтүүк,петел
184,Gans::N,хаас,гъска
185,Adler::N,хотой,орел
186,Ente::N,кус,патица
187,Eule::N,мэкчиргэ,сова
188,Kranich::N,туруйа,жерав
189,Krähe::N,тураах,врана
190,Kuckuck::N,кэҕэ,кукувица
191,Schwan::N,куба,лебед
192,Fisch::N,балык,риба
193,Barsch::N,алыһар,костур
194,Hecht::N,сордон,щука
195,Schlange[Tier]::N,моҕой,змия
196,Schlange[Tier]::N,эриэн үөн,змия
197,Wurm::N,үөн,червей
198,Spinne::N,ооҕуй,паяк
199,Ameise::N,кымырдаҕас,мравка
200,Laus::N,быт,въшка
201,Mücke::N,кумаар,комар
202,Fliege::N,сахсырҕа,муха
203,Schmetterling::N,лыах,пеперуда
204,Schmetterling::N,үрүмэччи,пеперуда
205,Beere::N,отон,плод
206,Apfel::N,яблоко,ябълка
207,Pilz::N,тэллэй,гъба
208,Zwiebel::N,луук,лук
209,Zwiebel::N,луук,кромид
210,Saat::N,сиэмэ,семе
211,Korn::N,сиэмэ,зърно
212,Heu::N,от,сено
213,Schale::N,хах,кора
214,Grube::N,дьаама,яма
215,Grube::N,дьаама,дупка
216,Falle::N,сохсо,примка
217,Schlinge::N,уктаа,клуп
218,Spur::N,суол,диря
219,Spur::N,суол,следа
220,Asche::N,күл,пепел
221,Dreck::N,бадараан,кал
222,Eisen::N,тимир,желязо
223,Gold::N,көмүс,злато
224,Gold::N,кыһыл көмүс,злато
225,Silber::N,көмүс,сребро
226,Silber::N,үрүҥ көмүс,сребро
227,Kohle::N,чох,въглища
228,Glas::N,өстүөкүлэ,стъкло
229,Lehm::N,туой,глина
230,Sand::N,кумах,пясък
231,Mensch::N,киһи,човек
232,Mann::N,эр,мъж
233,Frau::N,дьахтар,жена
234,Kind::N,оҕо,дете
235,Junge::N,уол,момче
236,Mädchen::N,кыыс оҕо,момиче
237,Familie::N,кэргэн,фамилия
238,Familie::N,кэргэн,семейство
239,Großvater::N,эһэ,дядо
240,Großmutter::N,эбэ,баба
241,Eltern::N,аҕа-ийэ,родители
242,Vater::N,аҕа,баща
243,Mutter::N,ийэ,майка
244,Sohn::N,уол,син
245,Tochter::N,кыыс,дъщеря
246,Bruder::N,убай,брат
247,Bruder::N,быраат,брат
248,Schwester::N,аҕас,сестра
249,Schwester::N,балыс,сестра
250,Onkel::N,таай,чичо
251,Onkel::N,таай,вуйчо
252,Onkel::N,абаҕа,чичо
253,Onkel::N,абаҕа,вуйчо
254,Tante::N,эдьиий,леля
255,Ehemann::N,эр,съпруг
256,Ehefrau::N,ойох,съпруга
257,Freude::N,үөрүү,радост
258,Gelächter::N,күлүү,смях
259,Glück::N,дьол,щастие
260,Glück::N,соргу,щастие
261,Kummer::N,кутурҕан,тъга
262,Wunsch::N,баҕарыы,желание
263,Lust::N,баҕа,желание
264,Geist::N,тыын,дух
265,Gedanke::N,санаа,мисъл
266,Gedächtnis::N,өй,памет
267,Verstand::N,өй,ум
268,Verstand::N,өй,разум
269,Sinn::N,суолта,смисъл
270,Grund::N,төрүөт,причина
271,Wahrheit::N,кырдьык,правда
272,Gespräch::N,бэсиэдэ,разговор
