,Concept_ID,mdf,ady
0,Auge::N,сельме,нэ
1,Ohr::N,пиле,тхьакӏу́м
2,Nase::N,шалхка,пэ
3,Mund::N,курга,жэ
4,Zahn::N,пей,цэ
5,Zunge::N,кяль,бзэгу
6,Lippe::N,търва́,ӏупшӏэ́
7,Wange::N,щёка,нэкӏу́шъу
8,Gesicht::N,шама,нэ́гу
9,Stirn::N,коня,натӏэ́
10,Haar::N,шя́ярь,шъхьацы́
11,Schnurrbart::N,уса́,
12,Bart::N,сакал,жакӏэ́
13,Kinn::N,ула,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,саласка,жэпкъы́
15,Kehle::N,кълдома,чый
16,Kehle::N,кърга́парь,чый
17,Hals::N,сялдаз,пшъэ
18,Genick::N,шовонь,шъхьэпхэтыку
19,Kopf::N,пря,шъхьэ́
20,Rücken::N,копорь,кӏыбы́
21,Bauch::N,пеке,ныбэ́
22,Nabel::N,по́кон,
23,Busen::N,потя,бгъэ́
24,Brust::N,мяште,бгъэ́
25,Schulter::N,лафту,блыпкъ
26,Arm::N,кядь,ӏэ
27,Ellenbogen::N,кенерьба́карь,ӏэнтэ́гъу
28,Hand::N,кядь,ӏэтхьэцу
29,Handfläche::N,кядьлапш,ӏэ́гу
30,Finger::N,сур,ӏэхъуа́мб
31,Fingernagel::N,кенже,ӏэбжъа́н
32,Nagel[Anatomie]::N,кенже,ӏэбжъа́н
33,Zeh::N,пильгосу́р,ӏэхъуа́мб
34,Fuß::N,пильге,лъэгу
35,Fuß::N,пильгелапа,лъэгу
36,Ferse::N,кочкяря,лъэдакъэ
37,Knie::N,эль,лъагуа́ндж
38,Knie::N,пълма́нжа,лъагуа́ндж
39,Oberschenkel::N,пильгепукша,ко
40,Bein::N,пильге,лъакъо́
41,Körper::N,ро́нга,пкъышъол
42,Körper::N,по́нда,пкъышъол
43,Haut::N,киське,кӏы́шъу
44,Blut::N,вер,лъы
45,Ader::N,сан,льытф
46,Ader::N,верза́н,льытф
47,Sehne::N,коське сан,фэ
48,Knochen::N,пакарь,къупшъхьэ́
49,Gehirn::N,уй,куцӏы
50,Herz::N,седи,гу
51,Magen::N,коткърдазь,мышкӏу
52,Leber::N,макса,шӏу
53,Atem::N,лекома,къэщэныр
54,Atem::N,ваймонь тарксема,къэщэныр
55,Hunger::N,вачеши,гъаблэ́
56,Träne::N,сельмове́дь,нэпсы
57,Geschmack::N,таньф,ӏэшӏугъа́кӏ
58,Geruch::N,шине,мэ
59,Schlaf::N,удома́,пчыхьы́пӏ
60,Traum::N,он,пчыхьы́пӏ
61,Himmel::N,менель,уашъо́
62,Sonne::N,ши,тыгъэ
63,Mond::N,ков,мазэ
64,Stern::N,тяште,жъуагъо́
65,Luft::N,кожф,жьы
66,Wind::N,варма,жьыбгъэ́
67,Welle::N,тавла,ор
68,Welle::N,тавла,оры
69,Wasser::N,ведь,псы
70,Stein::N,кев,мыжъо́
71,Boden::N,мода,чӏ́ыгу
72,Boden::N,потмакс,чӏ́ыгу
73,Erde::N,мода,чӏ́ыгу
74,Erde::N,мастор,чӏ́ыгу
75,Staub::N,пуль,сап
76,Rauch::N,качам,ӏугъо́
77,Funke::N,ця́тка,мэшӏуа́ч
78,Feuer::N,тол,машӏо́
79,Licht::N,ва́лда,нэфы
80,Licht::N,ва́лда,нэфын
81,Schatten::N,цильф,жьау́
82,Schatten::N,цильф,ныбжьыкъу
83,Wetter::N,уша,
84,Nebel::N,тума́н,пща́гъу
85,Wolke::N,ковол,ошъуапщэ
86,Regen::N,пизем,ощхы
87,Schnee::N,лов,осы́
88,Eis::N,эй,мылы
89,Frost::N,ке́льме,
90,Kälte::N,якшама,чъыӏэ́
91,Hitze::N,пси,фэба́е
92,Raureif::N,леш,
93,Regenbogen::N,а́тямъёнга, лэгъупэкъо́пс
94,Donner::N,атям,шыблэ́
95,Strömung::N,шудема́,ток
96,Tropfen::N,путькс,ткӏопс
97,Tropfen::N,путькс,гъуаткӏу
98,Tropfen::N,пътняфкс,ткӏопс
99,Tropfen::N,пътняфкс,гъуаткӏу
100,Schaum::N,шов,тхъурбэ
101,Schmutz::N,ърда́з,псынжъы
102,See::N,эрьхке,хыку́м
103,See::N,эрьхке,псыхъура́й
104,Sumpf::N,шяй,орыжъ
105,Moor::N,шяй,орыжъ
106,Wiese::N,луга,хъупӏэ́
107,Wiese::N,луга,мэкъупӏ
108,Wald::N,вирь,мэзы́
109,Hügel::N,губо́р,ӏуашъхь
110,Hügel::N,пандоня,ӏуашъхь
111,Anhöhe::N,губо́р,чӏыӏэтыгъ
112,Berg::N,панда,къушъхьэ́
113,Gipfel::N,пря,шыгу
114,Höhle::N,у́нда,гъочӏэгъ
115,Abhang::N,па́нда ша́ма,чапэ
116,Quelle::N,эшиня,псынэчэ́чъ
117,Bach::N,шудерькс,псышкуашку
118,Fluss::N,ляй,псыхъо́
119,Ufer::N,търва́,нэпкъы
120,Küste::N,ляйтърва́,ӏушъо
121,Festland::N,мода,чӏл́ыгу
122,Meer::N,моря,хы
123,Bucht::N,ведьуське,хыблыгу
124,Insel::N,цёнга,хыгъэхъу́н
125,Blume::N,панчф,къэгъа́гь
126,Gras::N,тише,уцы́
127,Wurzel::N,юр,лъапсэ́
128,Wurzel::N,ункс,лъапсэ́
129,Baum::N,шуфта,чъыгы́
130,Stamm::N,ро́нга,пкъы
131,Rinde::N,кер,пхъашъо́
132,Ast::N,морга,куамэ
133,Zweig::N,тарад,къутамэ́
134,Blatt::N,лопа,тхьап
135,Birke::N,ке́лу,пчэн
136,Kiefer[Baum]::N,пиче,сэснэй
137,Weide[Baum]::N,каль,пце́л
138,Tanne::N,куз,ель
139,Horn::N,сюра,бжъэ
140,Feder::N,толга,къамӏы́й
141,Fell::N,кедь,шъо
142,Flügel::N,паця,тамэ́
143,Klaue::N,кенже,лъэбжъа́н
144,Kralle::N,кенже,лъакъо
145,Schwanz::N,пула,кӏэ
146,Ei::N,ал,кӏэнкӏэ́
147,Nest::N,пиза,набгъо́
148,Bau::N,пиза,гъу
149,Bau::N,пиза,бы
150,Tier::N,жува́та,псэу́шъхь
151,Herde::N,нал,ӏэхъогъу
152,Herde::N,стада,ӏэхъогъу
153,Kuh::N,скал,чэмы́
154,Kuh::N,тракс,чэмы́
155,Bulle::N,бука,цу
156,Pferd::N,лишме,шы
157,Schaf::N,уча́,мэлы́
158,Schwein::N,тува,къо
159,Hund::N,пине,бьэ
160,Katze::N,катоня,чэты́у
161,Katze::N,аваката,чэты́у
162,Bär::N,офта,мышъэ́
