,Concept_ID,az,cv
0,Auge::N,göz,куҫ
1,Ohr::N,qulaq,хӑлха
2,Nase::N,burun,сӑмса
3,Mund::N,ağız,ҫӑвар
4,Zahn::N,diş,шӑл
5,Zunge::N,dil,чӗлхе
6,Lippe::N,dodaq,тута
7,Wange::N,yanaq,пит ҫӑмарти
8,Gesicht::N,üz,пит
9,Gesicht::N,üz,пит-куҫ
10,Stirn::N,alın,ҫамка
11,Haar::N,saç,ҫӳҫ
12,Schnurrbart::N,bığ,усси
13,Bart::N,saqqal,сухал
14,Kinn::N,çənə,янах
15,Kiefer[Anatomie]::N,çənə,янах
16,Kehle::N,boğaz,пыр
17,Kehle::N,boğaz,карланкӑ
18,Hals::N,boyun,пыр
19,Genick::N,ənsə,ӗнсе
20,Kopf::N,baş,пуҫ
21,Rücken::N,bel,ҫурӑм
22,Bauch::N,qarın,
23,Nabel::N,göbək,кӑвапа
24,Busen::N,məmə,кӑкӑр
25,Brust::N,döş,умӗ
26,Schulter::N,çiyin,хул пуҫҫи
27,Arm::N,qol,алӑ
28,Ellenbogen::N,dirsək,чавса
29,Hand::N,əl,алӑ сыппи
30,Handfläche::N,ovuc,ал лаппи
31,Finger::N,barmaq,пӳрне
32,Fingernagel::N,barmaq dırnağı,чӗрне
33,Nagel[Anatomie]::N,dırnak,чӗрне
34,Zeh::N,ayaq barmağı,пӳрне
35,Fuß::N,ayaq,ура лаппи
36,Ferse::N,daban,кӗле
37,Knie::N,diz,чӗркуҫҫи
38,Oberschenkel::N,bud,пӗҫӗ
39,Bein::N,qıç,ура
40,Körper::N,əndam,ӳт
41,Körper::N,əndam,ӳт-пӳ
42,Haut::N,dəri,тир
43,Blut::N,qan,юн
44,Ader::N,damar,вена
45,Sehne::N,vətər,шӑнӑр
46,Knochen::N,sümük,шӑмӑ
47,Gehirn::N,beyin,миме
48,Herz::N,ürək,чӗре
49,Magen::N,mədə,хырӑмлӑх
50,Leber::N,qara ciyər,пӗвер
51,Atem::N,nəfəs,сывлав
52,Hunger::N,aclıq,выҫлӑх
53,Träne::N,göz yaşı,куҫҫуль
54,Geschmack::N,tam,техӗм
55,Geschmack::N,ləzzət,техӗм
56,Geruch::N,qoxu,шӑршӑ
57,Schlaf::N,yuxu,ыйхӑ
58,Traum::N,röya,тӗлӗк
59,Himmel::N,göy,пӗлӗт
60,Himmel::N,səma,пӗлӗт
61,Sonne::N,günəş,хӗвел
62,Mond::N,ay,уйӑх
63,Stern::N,ulduz,ҫӑлтӑр
64,Luft::N,hava,сывлӑш
65,Wind::N,yel,ҫил
66,Wind::N,külək,ҫил
67,Welle::N,dalğa,хум
68,Wasser::N,su,шыв
69,Wasser::N,su,шыв-шур
70,Stein::N,daş,чул
71,Boden::N,yer,тӑпра
72,Boden::N,zəmin,тӑпра
73,Erde::N,yer torpaq,ҫӗр
74,Staub::N,toz,тусан
75,Rauch::N,tüstü,тӗтӗм
76,Funke::N,qığılcım,хӗм
77,Feuer::N,od,вут
78,Feuer::N,od,ҫулӑм
79,Licht::N,işıq,ҫутӑ
80,Schatten::N,kölgə,сулхӑн
81,Wetter::N,hava,ҫанталӑк
82,Nebel::N,duman,тӗтре
83,Wolke::N,bulud,пӗлӗт
84,Regen::N,yağış,ҫумӑр
85,Regen::N,yağmur,ҫумӑр
86,Schnee::N,qar,юр
87,Eis::N,buz,пӑр
88,Frost::N,ayaz,сивӗ
89,Kälte::N,soyuq,сивӗ
90,Hitze::N,coşğunluq,вӗри
91,Hitze::N,coşğunluq,шӑрӑх
92,Raureif::N,qırov,пас
93,Regenbogen::N,göy qurşağı,асамат кӗперӗ
94,Donner::N,göy gurultusu,аслати
95,Strömung::N,axın,юхӑ
96,Tropfen::N,damcı,тумлам
97,Schaum::N,köpük,кӑпӑк
98,Schmutz::N,çamır,пылчӑк
99,See::N,göl,кӳлӗ
100,Sumpf::N,bataqlıq,шур
101,Sumpf::N,bataqlıq,шурлӑх
102,Moor::N,bataqlıq,торфлӑ шурлӑх
103,Wiese::N,çəmən,улӑх
104,Wiese::N,çəmən,ҫаран
105,Wald::N,meşə,вӑрман
106,Hügel::N,təpə,сӑрт
107,Hügel::N,təpə,тӗмеске
108,Anhöhe::N,təpə,сӑрт
109,Berg::N,dağ,ту
110,Gipfel::N,zirvə,тӳпе
111,Höhle::N,mağara,ҫӗр хӑвӑлӗ
112,Abhang::N,yamac,тӑвайкки
113,Quelle::N,bulaq,ҫӑл куҫ
114,Bach::N,kiçik çay,пӗчӗк шыв
115,Fluss::N,çay,юхан шыв
116,Ufer::N,kənar,ҫыран
117,Küste::N,sahil,тинӗс ҫыранӗ
118,Festland::N,materik,тип ҫӗр
119,Meer::N,dəniz,тинӗс
120,Bucht::N,körfəz,тинӗс кукӑрӗ
121,Insel::N,ada,утрав
122,Blume::N,çiçək,чечек
123,Gras::N,ot,курӑк
124,Wurzel::N,kök,тымар
125,Baum::N,ağac,йывӑҫ
126,Stamm::N,gövdə,вулӑ
127,Rinde::N,qabıq,хуйӑр
128,Ast::N,şax,турат
129,Zweig::N,budaq,турат
130,Blatt::N,yarpaq,ҫулҫӑ
131,Birke::N,tozağacı,хурӑн
132,Kiefer[Baum]::N,şam,хыр
133,Weide[Baum]::N,söyüd,хӑва
134,Tanne::N,küknar,чӑрӑш
135,Horn::N,buynuz,мӑйрака
136,Feder::N,tük,тӗк
137,Feder::N,lələk,тӗк
138,Fell::N,xəz,ҫӑм
139,Flügel::N,qanad,ҫунат
140,Klaue::N,pəncə,чӗрне
141,Kralle::N,dırnaq,ура
142,Schwanz::N,quyruq,хӳре
143,Ei::N,yumurta,ҫӑмарта
144,Nest::N,yuva,йӑва
145,Bau::N,yuva,йӗнӗ
146,Tier::N,heyvan,выльӑх
147,Herde::N,sürü,кӗтӳ
148,Kuh::N,inək,ӗне
149,Bulle::N,öküz,вӑкӑр
150,Pferd::N,at,лаша
151,Schaf::N,qoyun,сурӑх
152,Schwein::N,donuz,сысна
153,Hund::N,it,йытӑ
154,Hund::N,köpək,йытӑ
155,Katze::N,pişik,кушак
156,Bär::N,ayı,упа
157,Eichhörnchen::N,dələ,пакша
158,Elch::N,sığın,пӑши
159,Fuchs::N,tülkü,тилӗ
160,Hase::N,dovşan,куян
161,Hase::N,dovşan,мулкач
162,Maus::N,siçan,шӑши
163,Wolf::N,qurd,кашкӑр
164,Vogel::N,quş,кайӑк
165,Vogel::N,quş,вӗҫен кайӑк
166,Schwarm::N,sürü,ушкӑн
167,Huhn::N,toyuq,чӑх
168,Huhn::N,toyuq,чӑхӑ
169,Hahn::N,xoruz,автан
170,Gans::N,qaz,хур
171,Adler::N,qartal,ӑмӑрт кайӑк
172,Adler::N,qaraquş,ӑмӑрт кайӑк
173,Ente::N,ördək,кӑвакал
174,Eule::N,bayquş,тӑмана
175,Kranich::N,durna,тӑрна
176,Krähe::N,qarğa,ула курак
177,Kuckuck::N,ququ,куккук
178,Schwan::N,qu quşu,акӑш
179,Fisch::N,balıq,пулӑ
180,Barsch::N,tar,уланкӑ
181,Hecht::N,durnabalığı,ҫӑрттан
182,Schlange[Tier]::N,ilan,ҫӗлен
183,Wurm::N,qurd,ӑман
184,Spinne::N,hörümçək,эрешмен
185,Ameise::N,qarışqa,кӑткӑ
186,Laus::N,bit,пыйтӑ
187,Mücke::N,ağcaqanad,вӑрӑм туна
188,Fliege::N,milçək,шӑна
189,Schmetterling::N,kəpənək,лӗпӗш
190,Beere::N,gilə,ҫырла
191,Apfel::N,alma,улма
192,Apfel::N,alma,пан улми
193,Pilz::N,göbələk,кӑмпа
194,Zwiebel::N,soğan,сухан
195,Saat::N,əkin,вӑрӑ
196,Korn::N,taxıl,тӗшӗ
197,Korn::N,taxıl,пӗрчӗ
198,Heu::N,quru ot,утӑ
199,Schale::N,qabıq,хупӑ
200,Grube::N,çuxur,шӑтӑк
201,Falle::N,tələ,тапӑ
202,Falle::N,tələ,капкӑн
203,Falle::N,duzaq,тапӑ
204,Falle::N,duzaq,капкӑн
205,Schlinge::N,ilmək,йӑлӑ
206,Spur::N,iz,йӗр
207,Asche::N,kül,кӗл
208,Dreck::N,kir,пылчӑк
209,Eisen::N,dəmir,тимӗр
210,Gold::N,altun,ылтӑн
211,Silber::N,gümüş,кӗмӗл
212,Kohle::N,kömür,кӑмрӑк
213,Glas::N,şüşə,кӗленче
214,Lehm::N,gil,тӑм
215,Lehm::N,palçıq,тӑм
216,Sand::N,qum,хӑйӑр
217,Mensch::N,adam,ҫын
218,Mensch::N,adam,этем
219,Mensch::N,insan,ҫын
220,Mensch::N,insan,этем
221,Mann::N,kişi,ар
222,Frau::N,qadın,хӗрарӑм
223,Kind::N,uşaq,ача
224,Junge::N,oğlan,ача
225,Junge::N,oğlan,ар ҫын ача
226,Mädchen::N,qız,хӗр ача
227,Familie::N,ailə,ҫемье
228,Familie::N,ailə,кил-йыш
229,Großvater::N,baba,кукаҫи
230,Großmutter::N,nənə,кукамай
231,Eltern::N,valideyn,аҫа-ама
232,Vater::N,ata,атте
233,Mutter::N,ana,анне
234,Sohn::N,oğul,ывӑл
235,Tochter::N,qız,хӗр
236,Bruder::N,qardaş,ар тӑван
237,Schwester::N,bacı,аппа
238,Schwester::N,bacı,йӑмӑк
239,Onkel::N,əmi,мучи
240,Onkel::N,əmi,пичче
241,Onkel::N,dayı,мучи
242,Onkel::N,dayı,пичче
243,Tante::N,bibi,аппа
244,Ehemann::N,ər,упӑшка
245,Ehefrau::N,arvad,арӑм
246,Freude::N,nəşə,савӑнӑҫ
247,Freude::N,nəşə,хаваслӑх
248,Freude::N,sevinc,савӑнӑҫ
249,Freude::N,sevinc,хаваслӑх
250,Gelächter::N,gülüş,кулӑ
251,Gelächter::N,qəhqəhə,кулӑ
252,Glück::N,səadət,телей
253,Glück::N,səadət,ӑраскал
254,Glück::N,xoşbəxtlik,телей
255,Glück::N,xoşbəxtlik,ӑраскал
256,Kummer::N,qəm,хурлӑх
257,Kummer::N,kədər,хурлӑх
258,Wunsch::N,arzu,ӗмӗт
259,Wunsch::N,arzu,кӑмӑл
260,Lust::N,həvəs,кӑмӑл
261,Geist::N,ruh,чун-чӗм
262,Geist::N,ruh,ыр-усал
263,Geist::N,ruh,чун хавалӗ
264,Gedanke::N,fikir,шухӑш
265,Gedanke::N,düşüncə,шухӑш
266,Gedächtnis::N,xatir,ас
267,Gedächtnis::N,hafizə,ас
268,Verstand::N,ağıl,ӑс
269,Verstand::N,ağıl,ӑс-тӑн
270,Verstand::N,ağıl,ӑс-хакӑл
271,Sinn::N,məna,тупсӑм
272,Sinn::N,məna,пӗлтерӗш
273,Grund::N,səbəb,сӑлтав
274,Wahrheit::N,haqq,чӑнлӑх
275,Wahrheit::N,doğruluq,чӑнлӑх
276,Gespräch::N,söhbət,калаҫу
277,Gespräch::N,qonuşma,калаҫу
278,Märchen::N,nağıl,юмах
279,Erzählung::N,hekayə,акалав
280,Erzählung::N,hekayə,каласа пани
281,Nachricht::N,xəbər,хыпар
282,Neuigkeit::N,xəbər,ҫӗнӗ хыпар
283,Neuigkeit::N,yenilik,ҫӗнӗ хыпар
284,Name::N,ad,ят
285,Rätsel::N,tapmaca,сутмалли юмах
286,Rede::N,nitq,сӑмах
287,Sprache::N,dil,чӗлхе
288,Stimme::N,səs,сасӑ
289,Wort::N,söz,сӑмах
290,Wort::N,kəlmə,сӑмах
291,Zeichen::N,nişan,паллӑ
292,Ruf::N,çığırtı,йыхрав
293,Ruf::N,çığırtı,чӗнӳ
294,Lärm::N,gurultu,шав
295,Laut::N,səs,сасӑ
296,Ton::N,ton,сасӑ
297,Lied::N,mahnı,юрӑ
298,Ruhe::N,sakitlik,канӑҫлӑх
299,Ruhe::N,sakitlik,лӑпкӑлӑх
300,Leute::N,xalq,ҫамрӑксем
301,Leute::N,xalq,ҫамрӑк ҫынсем
302,Volk::N,millət,халӑх
