,Concept_ID,ru,udm
0,Auge::N,глаз,син
1,Ohr::N,ухо,пель
2,Nase::N,нос,ныр
3,Mund::N,рот,ым
4,Zahn::N,зуб,пинь
5,Zunge::N,язык,кыл
6,Lippe::N,губа,ымдур
7,Wange::N,щека,бам
8,Gesicht::N,лицо,ымныр
9,Stirn::N,лоб,кымес
10,Haar::N,волос,йырси
11,Haar::N,волосы,йырси
12,Schnurrbart::N,ус,мыйык
13,Schnurrbart::N,усы,мыйык
14,Bart::N,борода,туш
15,Kinn::N,подбородок,ангес
16,Kiefer[Anatomie]::N,челюсть,ан
17,Kiefer[Anatomie]::N,челюсть,анлы
18,Kehle::N,горло,гульым
19,Hals::N,шея,чырты
20,Genick::N,затылок,йырбер
21,Kopf::N,голова,йыр
22,Rücken::N,спина,мыш
23,Bauch::N,живот,кӧт
24,Nabel::N,пупок,гогы
25,Busen::N,женская грудь,ноны
26,Brust::N,грудь,мӧля
27,Schulter::N,плечо,пельпум
28,Arm::N,рука,суй
29,Ellenbogen::N,локоть,гырпум
30,Hand::N,кисть,ки
31,Handfläche::N,ладонь,ки пыдэс
32,Handfläche::N,ладонь,кырым пыдэс
33,Finger::N,палец,чиньы
34,Fingernagel::N,ноготь,гижы
35,Fingernagel::N,ноготь,гиждӥнь
36,Nagel[Anatomie]::N,ноготь,гижы
37,Zeh::N,палец,пыдчиньы
38,Fuß::N,ступня,пыд
39,Ferse::N,пята,пыдбер
40,Ferse::N,пятка,пыдбер
41,Knie::N,колено,пыдес
42,Oberschenkel::N,бедро,макес
43,Bein::N,нога,пыд
44,Körper::N,тело,мугор
45,Körper::N,тело,вылтыр
46,Haut::N,кожа,ку
47,Blut::N,кровь,вир
48,Ader::N,вена,вирсэр
49,Ader::N,сосуд,вирсэр
50,Sehne::N,жила,вуж
51,Sehne::N,тетива,вуж
52,Sehne::N,сухожилие,вуж
53,Knochen::N,кость,лы
54,Gehirn::N,мозг,вим
55,Herz::N,сердце,сюлэм
56,Magen::N,желудок,ӝуш
57,Leber::N,печень,мус
58,Atem::N,дух,лул
59,Atem::N,дух,шокан
60,Atem::N,дыхание,лул
61,Atem::N,дыхание,шокан
62,Hunger::N,голод,кӧтсюман
63,Träne::N,слеза,синкыли
64,Geschmack::N,вкус,шӧм
65,Geruch::N,запах,зын
66,Schlaf::N,сон,вӧт
67,Traum::N,сновидение,уйвӧт
68,Himmel::N,небо,ин
69,Sonne::N,солнце,шунды
70,Mond::N,луна,толэзь
71,Stern::N,звезда,кизили
72,Luft::N,воздух,омыр
73,Wind::N,ветер,тӧл
74,Welle::N,волна,тулкым
75,Wasser::N,вода,ву
76,Stein::N,камень,из
77,Boden::N,почва,музъем
78,Erde::N,земля,му
79,Staub::N,пыль,пыль
80,Rauch::N,дым,ӵын
81,Funke::N,искра,гизьы
82,Feuer::N,огонь,тыл
83,Licht::N,свет,тыл
84,Schatten::N,тень,вужер
85,Wetter::N,погода,куазь
86,Nebel::N,туман,бус
87,Wolke::N,облако,пилем
88,Regen::N,дождь,зор
89,Schnee::N,снег,лымы
90,Eis::N,лед,йӧ
91,Frost::N,мороз,кезьыт
92,Kälte::N,холод,кезьыт
93,Hitze::N,жара,пӧсь
94,Raureif::N,иней,гӧр
95,Regenbogen::N,радуга,вуюись
96,Donner::N,гром,гудыри
97,Strömung::N,течение,бызён
98,Tropfen::N,капля,шапык
99,Schaum::N,пена,шукы
100,Schmutz::N,грязь,нӧд
101,Schmutz::N,грязь,дэри
102,See::N,озеро,ты
103,Sumpf::N,топь,нюр
104,Moor::N,болото,нюр
105,Wiese::N,луг,возь
106,Wiese::N,луг,возьвыл
107,Wald::N,лес,сик
108,Wald::N,лес,нюлэс
109,Hügel::N,холм,выр
110,Hügel::N,холм,вырйыл
111,Anhöhe::N,возвышенность,выр
112,Anhöhe::N,возвышенность,вырйыл
113,Berg::N,гора,гурезь
114,Gipfel::N,вершина,йыл
115,Höhle::N,пещера,гу
116,Abhang::N,склон,бам
117,Quelle::N,источник,ошмес
118,Bach::N,ручей,пичи шур
119,Fluss::N,река,шур
120,Ufer::N,берег,ярдур
121,Küste::N,побережье,вудур
122,Festland::N,суша,мувыр
123,Meer::N,море,зарезь
124,Bucht::N,бухта,вукож
125,Insel::N,остров,вумуӵ
126,Insel::N,остров,шормуӵ
127,Blume::N,цветок,сяська
128,Gras::N,трава,турын
129,Wurzel::N,корень,выжы
130,Baum::N,дерево,пу
131,Stamm::N,ствол,модос
132,Rinde::N,кора,сул
133,Ast::N,сук,ул
134,Zweig::N,ветвь,вай
135,Blatt::N,лист,куар
136,Birke::N,береза,кызьпу
137,Kiefer[Baum]::N,сосна,пужым
138,Weide[Baum]::N,ива,бадьпу
139,Tanne::N,ель,кыз
140,Horn::N,рог,сюр
141,Feder::N,перо,тылы
142,Fell::N,шкура,ку
143,Flügel::N,крыло,бурд
144,Klaue::N,коготь,гижы
145,Kralle::N,лапа,пыд
146,Schwanz::N,хвост,быж
147,Ei::N,яйцо,пуз
148,Ei::N,яйцо,кукей
149,Nest::N,гнездо,кар
150,Nest::N,гнездо,пузкар
