,Concept_ID,ko,az
0,Auge::N,눈,göz
1,Ohr::N,귀,qulaq
2,Nase::N,코,burun
3,Mund::N,입,ağız
4,Zahn::N,이,diş
5,Zunge::N,혀,dil
6,Lippe::N,입술,dodaq
7,Wange::N,뺨,yanaq
8,Gesicht::N,얼굴,üz
9,Stirn::N,이마,alın
10,Haar::N,털,saç
11,Schnurrbart::N,윗수몀,bığ
12,Schnurrbart::N,코밑수염,bığ
13,Bart::N,수엄,saqqal
14,Kinn::N,아래턱,çənə
15,Kiefer[Anatomie]::N,턱,çənə
16,Kehle::N,인후,boğaz
17,Hals::N,목,boyun
18,Genick::N,먹덜이,ənsə
19,Kopf::N,머리,baş
20,Rücken::N,든,bel
21,Bauch::N,배,qarın
22,Nabel::N,배꼽,göbək
23,Busen::N,가슴속,məmə
24,Brust::N,가슴,döş
25,Schulter::N,어깨,çiyin
26,Arm::N,팔,qol
27,Ellenbogen::N,팔쿰치,dirsək
28,Hand::N,손,əl
29,Handfläche::N,손바닥,ovuc
30,Finger::N,속가락,barmaq
31,Fingernagel::N,손톱,barmaq dırnağı
32,Nagel[Anatomie]::N,손톱,dırnak
33,Zeh::N,발가락,ayaq barmağı
34,Fuß::N,발,ayaq
35,Ferse::N,발꿈치,daban
36,Knie::N,무릎,diz
37,Oberschenkel::N,허벅다리,bud
38,Bein::N,다리,qıç
39,Körper::N,구간,əndam
40,Haut::N,살갗,dəri
41,Blut::N,피,qan
42,Ader::N,정맥,damar
43,Sehne::N,현,vətər
44,Knochen::N,뼈,sümük
45,Gehirn::N,뇌,beyin
46,Gehirn::N,뇌수,beyin
47,Herz::N,염통,ürək
48,Magen::N,위,mədə
49,Leber::N,간,qara ciyər
50,Atem::N,기식,nəfəs
51,Hunger::N,공복,aclıq
52,Träne::N,눈물,göz yaşı
53,Geschmack::N,기호,tam
54,Geschmack::N,기호,ləzzət
55,Geruch::N,냄새,qoxu
56,Schlaf::N,수면,yuxu
57,Traum::N,쿰,röya
58,Himmel::N,하늘,göy
59,Himmel::N,하늘,səma
60,Sonne::N,해,günəş
61,Mond::N,달,ay
62,Stern::N,별,ulduz
63,Luft::N,동준,hava
64,Luft::N,가스채,hava
65,Wind::N,바람,yel
66,Wind::N,바람,külək
67,Welle::N,물결,dalğa
68,Wasser::N,물,su
69,Stein::N,돌,daş
70,Boden::N,바닥,yer
71,Boden::N,바닥,zəmin
72,Erde::N,흙,yer torpaq
73,Staub::N,먼지,toz
74,Rauch::N,연기,tüstü
75,Funke::N,불티,qığılcım
76,Feuer::N,불,od
77,Licht::N,불,işıq
