,Concept_ID,cy,kk
0,Auge::N,llygad,көз
1,Ohr::N,clust,құлақ
2,Nase::N,trwyn,мұрын
3,Mund::N,ceg,ауыз
4,Zahn::N,dant,тіс
5,Zunge::N,tafod,тіл
6,Lippe::N,gwefus,ерін
7,Wange::N,boch,ұрт
8,Gesicht::N,wyneb,бет-аузы
9,Stirn::N,talcen,маңдай
10,Haar::N,blew,қыл
11,Schnurrbart::N,mwstas,мұрт
12,Bart::N,barf,сақал
13,Kinn::N,gên,иек
14,Kiefer[Anatomie]::N,gên,жақ
15,Kehle::N,gwddf,алқым
16,Hals::N,gwddf,мойын
17,Genick::N,gwar,желке
18,Genick::N,gwegil,желке
19,Kopf::N,pen,кәллә
20,Rücken::N,cefn,арқа
21,Bauch::N,bol,қарын
22,Nabel::N,bogail,кіндік
23,Busen::N,bron,омырау
24,Brust::N,brest,кеуде
25,Schulter::N,ysgwydd,иық
26,Arm::N,braich,қол
27,Ellenbogen::N,penelin,шынтақ
28,Hand::N,llaw,қол
29,Handfläche::N,palf,алақан
30,Finger::N,bys,саусақ
31,Fingernagel::N,ewin,тырнақ
32,Nagel[Anatomie]::N,ewin,тырнақ
33,Zeh::N,bys troed,тырнақ
34,Zeh::N,bys troed,тұяқ
35,Fuß::N,troed,аяқ-басы
36,Ferse::N,sawdl,өкше
37,Ferse::N,sawdl,өкшелік
38,Knie::N,glin,тізе
39,Oberschenkel::N,clun,жамбас
40,Bein::N,coes,аяқ
41,Körper::N,corff,дене
42,Haut::N,croen,тері
43,Blut::N,gwaed,қан
44,Ader::N,gwythïen,көктамыр
45,Ader::N,gwythïen,күретамыр
46,Sehne::N,gewyn,сіңір
47,Knochen::N,asgwrn,жілік
48,Gehirn::N,ymennydd,ми
49,Herz::N,calon,жүрек
50,Magen::N,cylla,асқазан
51,Magen::N,stumog,асқазан
52,Leber::N,iau,бауыр
53,Atem::N,anadl,леп
54,Hunger::N,newyn,ашаршылық
55,Träne::N,deigryn,жас
56,Geschmack::N,cyflas,дәм
57,Geschmack::N,cyflas,татым
58,Geschmack::N,cyflas,талғам
59,Geruch::N,aroglau,иіс
60,Schlaf::N,cwsg,ұйқы
61,Schlaf::N,cwsg,ұйықтау
62,Traum::N,breuddwyd,түс
63,Himmel::N,awyr,аспан
64,Himmel::N,awyr,көқ
65,Himmel::N,awyr,таңдай
66,Sonne::N,haul,күн
67,Mond::N,lleuad,ай
68,Stern::N,seren,жұлдыз
69,Luft::N,awyr,әуе
70,Wind::N,gwynt,жел
71,Welle::N,ton,толқын
72,Wasser::N,dŵr,су
73,Stein::N,carreg,тас
74,Boden::N,llawr,қыртыс
75,Erde::N,pridd,топырақ
76,Staub::N,llwch,шаң
77,Rauch::N,mwg,түтін
78,Funke::N,gwreichioni,ұшқын
79,Feuer::N,tân,алау
80,Licht::N,golau,шұғыла
81,Schatten::N,cysgod,көлеңке
82,Wetter::N,tywydd,ауа райы
83,Nebel::N,niwl,тұман
84,Wolke::N,cwmwl,бұлт
85,Regen::N,glaw,жаңбыр
86,Schnee::N,ôd,қар
87,Schnee::N,eira,қар
88,Eis::N,iâ,мұз
89,Frost::N,rhew,суық
90,Kälte::N,oerni,ызғар
91,Kälte::N,oerni,суықтық
92,Kälte::N,annwyd,ызғар
93,Kälte::N,annwyd,суықтық
94,Hitze::N,gwres,аптап
95,Raureif::N,barrug,қырау
96,Regenbogen::N,enfys,кемпірқосақ
97,Donner::N,tyrfau,күн күркіреу
98,Strömung::N,cerrynt,ағын
99,Tropfen::N,dafn,тамшы
100,Tropfen::N,diferyn,тамшы
101,Schaum::N,ewyn,көбік
102,Schmutz::N,baw,кір
103,Schmutz::N,budreddi,кір
104,See::N,llyn,көл
105,Sumpf::N,cors,саз
106,Moor::N,rhos,саз
107,Wiese::N,dôl,шалғын
108,Wald::N,coedwig,орман
109,Hügel::N,bryn,төбе
110,Hügel::N,bryn,белес
111,Hügel::N,bryn,белес-белес
112,Anhöhe::N,bryn,дөң
113,Anhöhe::N,bryn,адыр
114,Anhöhe::N,bryn,қырат
115,Berg::N,mynydd,тау
116,Gipfel::N,copa,төбе
117,Höhle::N,ogof,үңгір
118,Abhang::N,llethr,бауыр
119,Quelle::N,tarddiad,қайнар
120,Quelle::N,ffynhonnell,қайнар
121,Bach::N,nant,жылға
