,Concept_ID,kk,lez
0,Auge::N,көз,вил
1,Ohr::N,құлақ,яб
2,Nase::N,мұрын,нер
3,Mund::N,ауыз,сив
4,Zahn::N,тіс,сас
5,Zahn::N,тіс,свах
6,Zunge::N,тіл,мез
7,Lippe::N,ерін,пӏуз
8,Wange::N,ұрт,хъвехъ
9,Gesicht::N,бет-аузы,ччин
10,Stirn::N,маңдай,пел
11,Haar::N,қыл,чӏар
12,Schnurrbart::N,мұрт,спел
13,Schnurrbart::N,мұрт,спелар
14,Bart::N,сақал,ччуру
15,Kinn::N,иек,чене
16,Kiefer[Anatomie]::N,жақ,чене
17,Kehle::N,алқым,туьд
18,Hals::N,мойын,гардан
19,Genick::N,желке,кьам
20,Kopf::N,кәллә,кьил
21,Rücken::N,арқа,далу
22,Bauch::N,қарын,руфун
23,Nabel::N,кіндік,пицӏ
24,Busen::N,омырау,мам
25,Brust::N,кеуде,хур
26,Schulter::N,иық,къуьн
27,Arm::N,қол,гъил
28,Ellenbogen::N,шынтақ,кьуьнт
29,Hand::N,қол,капаш
30,Handfläche::N,алақан,капан юкь
31,Finger::N,саусақ,тӏуб
32,Fingernagel::N,тырнақ,кек
33,Nagel[Anatomie]::N,тырнақ,кек
34,Zeh::N,тырнақ,кул
35,Zeh::N,тұяқ,кул
36,Fuß::N,аяқ-басы,кӏвач
37,Ferse::N,өкше,дабан
38,Ferse::N,өкшелік,дабан
39,Knie::N,тізе,мет
40,Oberschenkel::N,жамбас,
41,Bein::N,аяқ,кӏвач
42,Körper::N,дене,беден
43,Haut::N,тері,хам
44,Blut::N,қан,иви
45,Ader::N,көктамыр,дамар
46,Ader::N,күретамыр,дамар
47,Sehne::N,сіңір,кьуру дамар
48,Knochen::N,жілік,кӏараб
49,Gehirn::N,ми,мефт
50,Herz::N,жүрек,рикӏ
51,Magen::N,асқазан,хук
52,Leber::N,бауыр,лекь
53,Atem::N,леп,ял
54,Atem::N,леп,нефес
55,Hunger::N,ашаршылық,каш
56,Träne::N,жас,вилин нагъв
57,Geschmack::N,дәм,дад
58,Geschmack::N,дәм,тӏям
59,Geschmack::N,татым,дад
60,Geschmack::N,татым,тӏям
61,Geschmack::N,талғам,дад
62,Geschmack::N,талғам,тӏям
63,Geruch::N,иіс,ни
64,Schlaf::N,ұйқы,ахвар
65,Schlaf::N,ұйықтау,ахвар
66,Traum::N,түс,ахвар
67,Himmel::N,аспан,цав
68,Himmel::N,көқ,цав
69,Himmel::N,таңдай,цав
70,Sonne::N,күн,рагъ
71,Mond::N,ай,варз
72,Stern::N,жұлдыз,гъед
73,Luft::N,әуе,гьава
74,Wind::N,жел,гар
75,Welle::N,толқын,лепе
76,Wasser::N,су,яд
77,Stein::N,тас,къван
78,Boden::N,қыртыс,накьв
79,Erde::N,топырақ,ччил
80,Staub::N,шаң,руг
81,Rauch::N,түтін,гум
82,Funke::N,ұшқын,цӏелхем
83,Feuer::N,алау,цӏай
84,Licht::N,шұғыла,экв
85,Schatten::N,көлеңке,серин
86,Wetter::N,ауа райы,гьава
87,Nebel::N,тұман,ччилин циф
88,Wolke::N,бұлт,циф
89,Regen::N,жаңбыр,марф
90,Schnee::N,қар,жив
91,Eis::N,мұз,мурк
92,Frost::N,суық,аяз
93,Kälte::N,ызғар,мекь
94,Kälte::N,ызғар,мекьивал
95,Kälte::N,суықтық,мекь
96,Kälte::N,суықтық,мекьивал
97,Hitze::N,аптап,зегьем
