,Concept_ID,ro,en
0,Auge::N,ochi,eye
1,Ohr::N,ureche,ear
2,Nase::N,nas,nose
3,Mund::N,gură,mouth
4,Zahn::N,dinte,tooth
5,Zunge::N,limbă,tongue
6,Lippe::N,buză,lip
7,Wange::N,bucă,cheek
8,Wange::N,obraz,cheek
9,Gesicht::N,față,face
10,Gesicht::N,figură,face
11,Stirn::N,frunte,forehead
12,Haar::N,păr,hair
13,Schnurrbart::N,mustață,moustache
14,Bart::N,barbă,beard
15,Kinn::N,bărbie,chin
16,Kiefer[Anatomie]::N,falcă,jaw
17,Kehle::N,beregată,throat
18,Hals::N,gât,neck
19,Genick::N,ceafă,nape
20,Kopf::N,cap,head
21,Rücken::N,dos,back
22,Rücken::N,dos,spine
23,Rücken::N,spate,back
24,Rücken::N,spate,spine
25,Rücken::N,spinare,back
26,Rücken::N,spinare,spine
27,Bauch::N,burtă,belly
28,Bauch::N,pântece,belly
29,Nabel::N,buric,navel
30,Busen::N,sân,bosom
31,Brust::N,piept,chest
32,Brust::N,piept,breast
33,Schulter::N,umăr,shoulder
34,Schulter::N,spate,shoulder
35,Arm::N,braț,arm
36,Ellenbogen::N,cot,elbow
37,Hand::N,mână,hand
38,Handfläche::N,palmă,palm
39,Finger::N,deget,finger
40,Fingernagel::N,unghie,fingernail
41,Nagel[Anatomie]::N,unghie,nail
42,Zeh::N,deget de la picior,toe
43,Fuß::N,picior,foot
44,Ferse::N,călcâi,heel
45,Knie::N,genunchi,knee
46,Oberschenkel::N,coapsă,thigh
47,Bein::N,picior,leg
48,Körper::N,corp,body
49,Haut::N,piele,skin
50,Blut::N,sânge,blood
51,Ader::N,vână,vein
52,Ader::N,arteră,vein
53,Sehne::N,tendon,sinew
54,Knochen::N,os,bone
55,Gehirn::N,creier,brain
56,Herz::N,inimă,heart
57,Magen::N,stomac,stomach
58,Leber::N,ficat,liver
59,Atem::N,răsuflare,breath
60,Atem::N,respirație,breath
61,Hunger::N,foame,hunger
62,Träne::N,lacrimă,tear
63,Geschmack::N,gust,flavour
64,Geschmack::N,gust,flavor
65,Geruch::N,miros,odour
66,Geruch::N,miros,odor
67,Schlaf::N,somn,sleep
68,Traum::N,vis,dream
69,Himmel::N,cer,sky
70,Sonne::N,soare,sun
71,Mond::N,lună,moon
72,Stern::N,stea,star
73,Luft::N,aer,air
74,Wind::N,vânt,wind
75,Welle::N,val,wave
76,Welle::N,undă,wave
77,Wasser::N,apă,water
78,Stein::N,piatră,stone
79,Boden::N,sol,soil
80,Boden::N,sol,ground
81,Boden::N,pământ,soil
82,Boden::N,pământ,ground
83,Erde::N,pământ,earth
84,Staub::N,praf,dust
