,Concept_ID,uz,mhr
0,Auge::N,ko'z,шинча́
1,Ohr::N,quloq,пы́лыш
2,Nase::N,burun,нер
3,Mund::N,og'iz,умша́
4,Zahn::N,tish,пӱй
5,Zunge::N,til,йы́лме
6,Lippe::N,dudoq,тӱ́рвӧ
7,Wange::N,bet,шӱ́ргӧ
8,Gesicht::N,yuz,чури́й
9,Stirn::N,manglay,саҥга́
10,Haar::N,soch,ӱп
11,Schnurrbart::N,mo'ylov,ӧ́рыш
12,Bart::N,soqol,понда́ш
13,Kinn::N,ängak,оҥыла́ш
14,Kiefer[Anatomie]::N,iyak,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,iyak,пӱйората́
16,Kehle::N,bo'g'iz,лога́р
17,Hals::N,bo'yin,шӱй
18,Genick::N,gardan,шӱйло́дыш
19,Kopf::N,bosh,вуй
20,Rücken::N,orqa,туп
21,Bauch::N,qorin,мӱ́шкыр
22,Nabel::N,kindik,кы́лымде
23,Busen::N,ämchak,чы́зе
24,Brust::N,ko'krak,оҥ
25,Schulter::N,elka,ва́че
26,Arm::N,bilak,кид
27,Ellenbogen::N,tirsak,кынерву́й
28,Hand::N,qo'l,кид
29,Hand::N,qo'l,копа́
30,Handfläche::N,kaft,со́во
31,Finger::N,barmoq,парня́
32,Fingernagel::N,tirnoq,кидкӱ́ч
33,Fingernagel::N,tirnoq,парнягӱ́ч
34,Nagel[Anatomie]::N,tirnoq,кӱч
35,Zeh::N,oyoq barmog'i,йолварня́
36,Fuß::N,oyoq,йол
37,Fuß::N,oyoq,йолкопа́
38,Ferse::N,tovon,тага́н
39,Knie::N,tiz,пулву́й
40,Oberschenkel::N,son,э́рде
41,Bein::N,oyoq,йол
42,Körper::N,badna,кап
43,Haut::N,teri,кова́ште
44,Blut::N,qon,вӱр
45,Ader::N,qon tomir,шӧн
46,Sehne::N,tomir,шӧн
47,Sehne::N,tomir,кӱсе́н
48,Knochen::N,suyak,лу
49,Gehirn::N,miya,вем
50,Gehirn::N,miya,вуйве́м
51,Herz::N,qalb,шӱм
52,Magen::N,oshqozon,пага́р
53,Leber::N,bag'ir,мокш
54,Atem::N,dam,шӱ́лыш
55,Hunger::N,ochlik,шужыма́ш
56,Träne::N,yosh,шинчавӱ́д
57,Geschmack::N,tam,там
58,Geruch::N,jid,пуш
59,Schlaf::N,uyqu,о́мо
60,Traum::N,tush,йӱдо́мо
61,Himmel::N,osmon,кава́
62,Sonne::N,quyosh,ке́че
63,Mond::N,oy,ты́лзе
64,Stern::N,yulduz,шӱ́дыр
65,Luft::N,havo,юж
66,Wind::N,el,марде́ж
67,Welle::N,to'lqin,то́лкын
68,Wasser::N,suv,вӱд
69,Stein::N,tosh,кӱ
70,Boden::N,tuproq,рок
71,Erde::N,er,мла́нде
72,Staub::N,chang,пура́к
73,Rauch::N,tutun,шикш
74,Funke::N,yalt,сеске́м
75,Funke::N,yalt,тулйы́п
76,Feuer::N,o't,тул
77,Licht::N,yorug',со́то
78,Schatten::N,soya,ӱ́мыл
79,Wetter::N,havo,иге́че
80,Nebel::N,tuman,тӱтыра́
81,Wolke::N,bulut,пыл
82,Regen::N,yomg'ir,йӱр
83,Schnee::N,qor,лум
84,Eis::N,muz,ий
85,Frost::N,ajoz,чатлама́
86,Kälte::N,ajoz,йӱ́штӧ
87,Hitze::N,issiq,шо́кшо
88,Raureif::N,qirov,пӧрш
89,Raureif::N,qirov,по́кшым
90,Regenbogen::N,kamalak,шонанпы́л
91,Donner::N,guldur,кӱ́дырчӧ
92,Strömung::N,oqim,йо́гын
93,Tropfen::N,tomchi,чӱча́лтыш
94,Schaum::N,ko'pik,шоҥ
95,Schmutz::N,gard,лавыра́
96,See::N,ko'l,ер
97,Sumpf::N,botqoq,лӱ́кӧ
98,Moor::N,qir-adir,куп
99,Wiese::N,o'tzor,о́лык
100,Wald::N,o'rmon,чодыра́
101,Hügel::N,tepa,арка́
102,Anhöhe::N,adir,тӧва́
103,Anhöhe::N,adir,кӱкшака́
104,Berg::N,tog',ку́рык
105,Gipfel::N,cho'qqi,чаҥга́
106,Gipfel::N,cho'qqi,курыкву́й
107,Höhle::N,kavak,пеще́р
108,Höhle::N,kavak,курыкпо́мыш
109,Abhang::N,to'sh,та́йыл
110,Quelle::N,buloq,важ
