,Concept_ID,ca,fi
0,Auge::N,ull,silmä
1,Ohr::N,orella,korva
2,Nase::N,nas,nenä
3,Mund::N,boca,suu
4,Zahn::N,dent,hammas
5,Zunge::N,llēngua,kieli
6,Lippe::N,llavi,huuli
7,Wange::N,galta,poski
8,Gesicht::N,cara,naama
9,Gesicht::N,cara,kasvot
10,Stirn::N,front,otsa
11,Haar::N,cabēll,hius
12,Haar::N,cabēll,tukka
13,Schnurrbart::N,bigoti,viikset
14,Bart::N,barba,parta
15,Kinn::N,mentó,leuka
16,Kinn::N,barbeta,leuka
17,Kiefer[Anatomie]::N,queix,leukaluu
18,Kiefer[Anatomie]::N,mandíbula,leukaluu
19,Kehle::N,gola,kurkku
20,Kehle::N,gorja,kurkku
21,Hals::N,coll,kaula
22,Genick::N,nuca,niska
23,Kopf::N,cap,pää
24,Rücken::N,esquena,selkä
25,Bauch::N,panxa,maha
26,Bauch::N,panxa,vatsa
27,Nabel::N,llombrígol,napa
28,Busen::N,pit,rinta
29,Busen::N,mama,rinta
30,Brust::N,pit,rinta
31,Schulter::N,espatlla,olka
32,Schulter::N,espatlla,hartia
33,Schulter::N,espatlla,olkapää
34,Arm::N,braç,käsivarsi
35,Ellenbogen::N,colze,kyynärpää
36,Hand::N,mà,käsi
37,Handfläche::N,palma,kämmen
38,Finger::N,dit,sormi
39,Fingernagel::N,ungla,kynsi
40,Nagel[Anatomie]::N,ungla,kynsi
41,Zeh::N,dit del peu,varvas
42,Fuß::N,peu,jalka
43,Ferse::N,taló,kantapää
44,Knie::N,genoll,polvi
45,Oberschenkel::N,cuixa,reisi
46,Bein::N,cama,jalka
47,Körper::N,cos,keho
48,Körper::N,cos,ruumis
49,Haut::N,pell,iho
50,Blut::N,sang,veri
51,Ader::N,vena,suoni
52,Sehne::N,tendó,jänne
53,Knochen::N,os,luu
54,Gehirn::N,cervell,aivot
55,Herz::N,cor,sydän
56,Magen::N,estómac,maha
57,Magen::N,estómac,vatsa
58,Leber::N,fetge,maksa
59,Atem::N,alè,henki
60,Atem::N,alè,hengitys
61,Atem::N,hàlit,henki
62,Atem::N,hàlit,hengitys
63,Hunger::N,fam,nälkä
64,Hunger::N,gana,nälkä
65,Träne::N,llàgrima,kyynel
66,Geschmack::N,gust,maku
67,Geschmack::N,sabor,maku
68,Geruch::N,olor,haju
69,Schlaf::N,son,uni
70,Traum::N,somni,uni
71,Himmel::N,celm,taivas
72,Sonne::N,sol,aurinko
73,Mond::N,lluna,kuu
74,Stern::N,estel,tähti
75,Stern::N,estrella,tähti
76,Luft::N,aire,ilma
77,Wind::N,vent,tuuli
