,Concept_ID,it,sl
0,Auge::N,occhio,okó
1,Ohr::N,orecchio,uhó
2,Nase::N,naso,nós
3,Mund::N,bocca,ústa
4,Zahn::N,dente,zób
5,Zunge::N,lingua,jêzik
6,Lippe::N,labbro,ústnica
7,Wange::N,guancia,líce
8,Gesicht::N,viso,oblíčje
9,Gesicht::N,faccia,oblíčje
10,Stirn::N,fronte,čêlo
11,Haar::N,capello,lás
12,Schnurrbart::N,baffi,bŕki
13,Schnurrbart::N,mustacchi,bŕki
14,Bart::N,barba,bráda
15,Kinn::N,mento,bráda
16,Kiefer[Anatomie]::N,mascella,čeljúst
17,Kehle::N,gola,gŕlo
18,Hals::N,collo,vrát
19,Genick::N,nuca,zatílnik
20,Kopf::N,capo,gláva
21,Kopf::N,testa,gláva
22,Rücken::N,dorso,hrbèt
23,Rücken::N,schiena,hrbèt
24,Bauch::N,ventre,trébuh
25,Nabel::N,ombelico,pópek
26,Busen::N,seno,nédrja
27,Brust::N,petto,pŕsi
28,Schulter::N,spalla,ráma
29,Schulter::N,spalla,plêče
30,Arm::N,braccio,rôka
31,Ellenbogen::N,gomito,komólec
32,Hand::N,mano,rôka
33,Handfläche::N,palma,dlán
34,Finger::N,dito,pŕst
35,Fingernagel::N,unghia,nóht na rôki
36,Nagel[Anatomie]::N,unghia,nóht
37,Zeh::N,dito del piede,pŕst na nôgi
38,Fuß::N,piede,nôga
39,Ferse::N,tallone,pêta
40,Ferse::N,calcagno,pêta
41,Knie::N,ginocchio,koléno
42,Oberschenkel::N,fèmore,stêgno
43,Bein::N,gamba,nôga
44,Körper::N,corpo,teló
45,Haut::N,pelle,kóža
46,Blut::N,sangue,krí
47,Ader::N,vena,žíla
48,Sehne::N,tèndine,kíta
49,Knochen::N,osso,kóst
50,Gehirn::N,cervello,možgáni
51,Herz::N,cuore,srcé
52,Magen::N,stòmaco,želódec
53,Leber::N,fegato,jétra
54,Atem::N,fiato,díh
55,Atem::N,respiro,díh
56,Hunger::N,fame,glád
57,Träne::N,làcrima,sólza
58,Geschmack::N,gusto,okús
59,Geschmack::N,sapore,okús
60,Geruch::N,odore,vónj
61,Schlaf::N,sonno,sèn
62,Schlaf::N,sonno,spánec
63,Traum::N,sogno,sánje
64,Himmel::N,cielo,nebó
65,Sonne::N,sole,sónce
66,Mond::N,luna,lúna
67,Mond::N,luna,mésec
68,Stern::N,stella,zvézda
69,Luft::N,aria,zràk
70,Wind::N,vento,véter
71,Welle::N,onda,vál
72,Wasser::N,acqua,vôda
73,Stein::N,sasso,kámen
74,Stein::N,pietra,kámen
75,Boden::N,suolo,tlà
76,Boden::N,terreno,tlà
77,Erde::N,terra,pŕst
78,Erde::N,terra,zêmlja
79,Staub::N,polvere,práh
80,Rauch::N,fumo,dìm
81,Funke::N,scintilla,ískra
82,Feuer::N,fuoco,ôgenj
83,Licht::N,luce,lúč
84,Schatten::N,ombra,sénca
85,Wetter::N,tempo,vrême
86,Nebel::N,nebbia,meglà
87,Wolke::N,nube,oblák
88,Wolke::N,nùvola,oblák
89,Regen::N,pioggia,dèž
90,Schnee::N,neve,snég
91,Eis::N,ghiaccio,léd
92,Frost::N,gelo,zmrzál
93,Kälte::N,freddo,mràz
94,Hitze::N,caldo,pripéka
95,Hitze::N,calura,pripéka
96,Raureif::N,brina,ívje
97,Raureif::N,brina,slána
98,Regenbogen::N,arcobaleno,mávrica
99,Donner::N,tuono,gròm
100,Strömung::N,corrente,strúja
101,Tropfen::N,goccia,káplja
102,Schaum::N,spuma,péna
103,Schaum::N,schiuma,péna
104,Schmutz::N,sudiciume,nesnága
105,See::N,lago,jézero
106,Sumpf::N,palude,močvírje
107,Moor::N,torbiera,bárje
108,Wiese::N,prato,trávnik
109,Wald::N,bosco,lés
110,Wald::N,bosco,gòzd
111,Wald::N,foresta,lés
112,Wald::N,foresta,gòzd
113,Hügel::N,colle,brég
114,Hügel::N,colle,goríca
115,Hügel::N,collina,brég
116,Hügel::N,collina,goríca
