,Concept_ID,kk,cy
0,Auge::N,көз,llygad
1,Ohr::N,құлақ,clust
2,Nase::N,мұрын,trwyn
3,Mund::N,ауыз,ceg
4,Zahn::N,тіс,dant
5,Zunge::N,тіл,tafod
6,Lippe::N,ерін,gwefus
7,Wange::N,ұрт,boch
8,Gesicht::N,бет-аузы,wyneb
9,Stirn::N,маңдай,talcen
10,Haar::N,қыл,blew
11,Schnurrbart::N,мұрт,mwstas
12,Bart::N,сақал,barf
13,Kinn::N,иек,gên
14,Kiefer[Anatomie]::N,жақ,gên
15,Kehle::N,алқым,gwddf
16,Hals::N,мойын,gwddf
17,Genick::N,желке,gwar
18,Genick::N,желке,gwegil
19,Kopf::N,кәллә,pen
20,Rücken::N,арқа,cefn
21,Bauch::N,қарын,bol
22,Nabel::N,кіндік,bogail
23,Busen::N,омырау,bron
24,Brust::N,кеуде,brest
25,Schulter::N,иық,ysgwydd
26,Arm::N,қол,braich
27,Ellenbogen::N,шынтақ,penelin
28,Hand::N,қол,llaw
29,Handfläche::N,алақан,palf
30,Finger::N,саусақ,bys
31,Fingernagel::N,тырнақ,ewin
32,Nagel[Anatomie]::N,тырнақ,ewin
33,Zeh::N,тырнақ,bys troed
34,Zeh::N,тұяқ,bys troed
35,Fuß::N,аяқ-басы,troed
36,Ferse::N,өкше,sawdl
37,Ferse::N,өкшелік,sawdl
38,Knie::N,тізе,glin
39,Oberschenkel::N,жамбас,clun
40,Bein::N,аяқ,coes
41,Körper::N,дене,corff
42,Haut::N,тері,croen
43,Blut::N,қан,gwaed
44,Ader::N,көктамыр,gwythïen
45,Ader::N,күретамыр,gwythïen
46,Sehne::N,сіңір,gewyn
47,Knochen::N,жілік,asgwrn
48,Gehirn::N,ми,ymennydd
49,Herz::N,жүрек,calon
50,Magen::N,асқазан,cylla
51,Magen::N,асқазан,stumog
52,Leber::N,бауыр,iau
53,Atem::N,леп,anadl
54,Hunger::N,ашаршылық,newyn
55,Träne::N,жас,deigryn
56,Geschmack::N,дәм,cyflas
57,Geschmack::N,татым,cyflas
58,Geschmack::N,талғам,cyflas
59,Geruch::N,иіс,aroglau
60,Schlaf::N,ұйқы,cwsg
61,Schlaf::N,ұйықтау,cwsg
62,Traum::N,түс,breuddwyd
63,Himmel::N,аспан,awyr
64,Himmel::N,көқ,awyr
65,Himmel::N,таңдай,awyr
66,Sonne::N,күн,haul
67,Mond::N,ай,lleuad
68,Stern::N,жұлдыз,seren
69,Luft::N,әуе,awyr
70,Wind::N,жел,gwynt
71,Welle::N,толқын,ton
72,Wasser::N,су,dŵr
73,Stein::N,тас,carreg
74,Boden::N,қыртыс,llawr
75,Erde::N,топырақ,pridd
76,Staub::N,шаң,llwch
77,Rauch::N,түтін,mwg
78,Funke::N,ұшқын,gwreichioni
79,Feuer::N,алау,tân
80,Licht::N,шұғыла,golau
81,Schatten::N,көлеңке,cysgod
82,Wetter::N,ауа райы,tywydd
83,Nebel::N,тұман,niwl
84,Wolke::N,бұлт,cwmwl
85,Regen::N,жаңбыр,glaw
86,Schnee::N,қар,ôd
87,Schnee::N,қар,eira
88,Eis::N,мұз,iâ
89,Frost::N,суық,rhew
90,Kälte::N,ызғар,oerni
91,Kälte::N,ызғар,annwyd
92,Kälte::N,суықтық,oerni
93,Kälte::N,суықтық,annwyd
94,Hitze::N,аптап,gwres
95,Raureif::N,қырау,barrug
96,Regenbogen::N,кемпірқосақ,enfys
97,Donner::N,күн күркіреу,tyrfau
98,Strömung::N,ағын,cerrynt
99,Tropfen::N,тамшы,dafn
100,Tropfen::N,тамшы,diferyn
101,Schaum::N,көбік,ewyn
102,Schmutz::N,кір,baw
103,Schmutz::N,кір,budreddi
104,See::N,көл,llyn
105,Sumpf::N,саз,cors
106,Moor::N,саз,rhos
107,Wiese::N,шалғын,dôl
108,Wald::N,орман,coedwig
109,Hügel::N,төбе,bryn
110,Hügel::N,белес,bryn
111,Hügel::N,белес-белес,bryn
112,Anhöhe::N,дөң,bryn
113,Anhöhe::N,адыр,bryn
114,Anhöhe::N,қырат,bryn
115,Berg::N,тау,mynydd
116,Gipfel::N,төбе,copa
117,Höhle::N,үңгір,ogof
118,Abhang::N,бауыр,llethr
119,Quelle::N,қайнар,tarddiad
120,Quelle::N,қайнар,ffynhonnell
121,Bach::N,жылға,nant
122,Bach::N,жылға,afonig
123,Bach::N,жылға,cornant
124,Fluss::N,өзен,afon
125,Ufer::N,жиек,glan
126,Küste::N,жиегі,traeth
127,Küste::N,жиегі,arfordir
128,Küste::N,жағалау,traeth
129,Küste::N,жағалау,arfordir
130,Festland::N,құрылық,tir
131,Meer::N,теңіз,môr
132,Bucht::N,шығанақ,bae
133,Insel::N,арал,ynys
134,Blume::N,гүл,blodyn
135,Gras::N,от,glaswellt
136,Wurzel::N,түбір,gwreiddyn
137,Baum::N,ағаш,coeden
138,Baum::N,дарақ,coeden
139,Stamm::N,сояу,colfen
140,Stamm::N,сояу,boncyff
141,Stamm::N,оқпан,colfen
142,Stamm::N,оқпан,boncyff
143,Rinde::N,қабық,rhisgl
144,Ast::N,бұтақ,cangen
145,Zweig::N,шыбық,cainc
146,Zweig::N,шыбық,cangen
147,Blatt::N,жапырақ,deilen
148,Birke::N,қайың,bedwen
149,Kiefer[Baum]::N,қарағай,pinwydden
150,Weide[Baum]::N,тал,helygen
151,Tanne::N,шырша,ffynidwydden
152,Horn::N,мүйіз,corn
153,Feder::N,қаламұш,plufyn
154,Fell::N,тері,ffwr
155,Flügel::N,қанат,adain
156,Klaue::N,тырнақ,crafanc
157,Kralle::N,аяқ,ewin
158,Schwanz::N,құйрық,cwt
159,Schwanz::N,құйрық,cynffon
160,Ei::N,жұмыртқа,wy
161,Nest::N,ұя,nyth
162,Bau::N,жатақ,ffau
163,Tier::N,айуан,anifail
164,Tier::N,жануар,anifail
165,Herde::N,пада,praidd
166,Herde::N,пада,diadell
167,Kuh::N,сиыр,buwch
168,Bulle::N,өгіз,tarw
169,Pferd::N,жылқы,ceffyl
170,Schaf::N,қой,dafad
171,Schwein::N,шошқа,mochyn
172,Hund::N,ит,ci
173,Katze::N,мысық,cath
174,Bär::N,аю,arth
175,Eichhörnchen::N,тиін,gwiwer
176,Elch::N,бұғы,elc
177,Fuchs::N,түлкі,cadno
178,Hase::N,қоян,ysgyfarnog
179,Maus::N,қаптесер,llygoden
180,Wolf::N,бөрі,blaidd
181,Wolf::N,қасқыр,blaidd
182,Vogel::N,құс,aderyn
183,Schwarm::N,топ,haid
184,Schwarm::N,үйір,haid
185,Huhn::N,тауық,cyw
186,Huhn::N,мекиен,cyw
187,Hahn::N,әтеш,ceiliog
188,Hahn::N,қораз,ceiliog
189,Gans::N,қаз,gŵydd
190,Adler::N,бүркіт,eryr
191,Ente::N,үйрек,hwyad
192,Eule::N,жапалақ,tylluan
193,Kranich::N,тырна,garan
194,Kranich::N,тырна,crychydd
195,Krähe::N,қарға,brân
196,Kuckuck::N,көкек,cog
197,Kuckuck::N,көкек,cwcw
198,Schwan::N,аққу,alarch
199,Fisch::N,балық,pysgod
200,Barsch::N,алабұға,draenog
201,Hecht::N,шортан,penhwyad
202,Schlange[Tier]::N,жылан,neidr
203,Wurm::N,шұбалшаң,abwydyn
204,Wurm::N,шұбалшаң,pryf genwair
205,Spinne::N,өрмекші,cor
206,Spinne::N,өрмекші,pryf copyn
207,Ameise::N,қүмырска,morgrugyn
208,Laus::N,бит,lleuen
209,Mücke::N,маса,gwybedyn
210,Fliege::N,шыбын,cleren
211,Schmetterling::N,көбелек,glöyn byw
212,Schmetterling::N,көбелек,iâr fach yr haf
213,Beere::N,жидек,aeronen
214,Apfel::N,алма,afal
215,Pilz::N,қозықұйрық,madarch
216,Pilz::N,саңыраукулақ,madarch
217,Zwiebel::N,жуа,nionyn
218,Zwiebel::N,жуа,winwnsyn
219,Saat::N,тұқым,had
220,Korn::N,дән,grawn
221,Heu::N,шөп,gwair
222,Schale::N,қабық,croen
223,Schale::N,қабық,plisgyn
224,Schale::N,қабығы,croen
225,Schale::N,қабығы,plisgyn
226,Grube::N,ор,pwll
227,Grube::N,ор,pydew
228,Falle::N,дұзақ,magl
229,Falle::N,қақпан,magl
230,Schlinge::N,ілмек,cwlwm rhedeg
231,Spur::N,із,ôl
232,Asche::N,күл,lludw
233,Dreck::N,былғаныш,baw
234,Dreck::N,былғаныш,budreddi
235,Eisen::N,темір,haearn
236,Gold::N,алтын,aur
237,Silber::N,күміс,arian
238,Kohle::N,көмір,glo
239,Glas::N,шыны,gwydr
240,Lehm::N,балшық,clai
241,Sand::N,құм,tywod
242,Mensch::N,адам,dyn
243,Mann::N,еркек,dyn
244,Mann::N,ер адам,dyn
245,Frau::N,бике,merch
246,Frau::N,бике,gwraig
247,Frau::N,қатын,merch
248,Frau::N,қатын,gwraig
249,Kind::N,бала,plentyn
250,Kind::N,перзент,plentyn
251,Junge::N,бала,hogyn
252,Junge::N,бала,bachgen
253,Junge::N,ер бала,hogyn
254,Junge::N,ер бала,bachgen
255,Mädchen::N,қыз,merch
256,Mädchen::N,қыз,geneth
257,Familie::N,жанұя,teulu
258,Familie::N,жанұя,tylwyth
259,Großvater::N,ата,taid
260,Großvater::N,ата,tad-cu
261,Großmutter::N,әже,nain
262,Großmutter::N,әже,mam-gu
263,Großmutter::N,әжей,nain
264,Großmutter::N,әжей,mam-gu
265,Eltern::N,ата-аналар,rhieni
266,Vater::N,әке,tad
267,Mutter::N,ана,mam
268,Sohn::N,ұл,mab
269,Tochter::N,қызым,merch
270,Bruder::N,бауырым,brawd
271,Schwester::N,әпке,chwaer
272,Onkel::N,көке,ewythr
273,Tante::N,тәте,modryb
274,Ehemann::N,ер,gŵr
