,Concept_ID,xal,ro
0,Auge::N,нүдн,ochi
1,Ohr::N,чикн,ureche
2,Nase::N,хамр,nas
3,Mund::N,амн,gură
4,Zahn::N,шүдн,dinte
5,Zunge::N,келн,limbă
6,Lippe::N,урл,buză
7,Wange::N,халх,bucă
8,Wange::N,халх,obraz
9,Gesicht::N,нүр,față
10,Gesicht::N,нүр,figură
11,Stirn::N,маңна,frunte
12,Haar::N,үсн,păr
13,Schnurrbart::N,сахл,mustață
14,Bart::N,сахл,barbă
15,Bart::N,өргнә сахл,barbă
16,Kinn::N,өргн,bărbie
17,Kiefer[Anatomie]::N,өргн,falcă
18,Kehle::N,хол,beregată
19,Hals::N,күзүн,gât
20,Genick::N,гиҗг,ceafă
21,Kopf::N,толһа,cap
22,Rücken::N,нурһн,dos
23,Rücken::N,нурһн,spate
24,Rücken::N,нурһн,spinare
25,Bauch::N,гесн,burtă
26,Bauch::N,гесн,pântece
27,Nabel::N,киисн,buric
28,Busen::N,көкн,sân
29,Brust::N,чееҗ,piept
30,Schulter::N,ээм,umăr
31,Schulter::N,ээм,spate
32,Arm::N,һар,braț
33,Ellenbogen::N,тоха,cot
34,Hand::N,баһлцг,mână
35,Handfläche::N,альхн,palmă
36,Finger::N,хурһн,deget
37,Finger::N,һарин хурһн,deget
38,Fingernagel::N,хумсн,unghie
39,Nagel[Anatomie]::N,хумсн,unghie
40,Zeh::N,хурһн,deget de la picior
41,Zeh::N,көлин хурһн,deget de la picior
42,Fuß::N,тавг,picior
43,Ferse::N,өскә,călcâi
44,Knie::N,өвдг,genunchi
45,Oberschenkel::N,һуй,coapsă
46,Bein::N,көл,picior
47,Körper::N,махмуд,corp
48,Haut::N,арсн,piele
49,Blut::N,цусн,sânge
50,Ader::N,судцн,vână
51,Ader::N,судцн,arteră
52,Sehne::N,шүрүсн,tendon
53,Knochen::N,ясн,os
54,Gehirn::N,экн,creier
55,Herz::N,зүркн,inimă
56,Magen::N,гесн,stomac
57,Leber::N,элкн,ficat
58,Atem::N,әмсхл,răsuflare
59,Atem::N,әмсхл,respirație
60,Hunger::N,харһнлһн,foame
61,Träne::N,нульмсн,lacrimă
62,Geschmack::N,амтн,gust
63,Geruch::N,үнр,miros
64,Schlaf::N,нөр,somn
65,Traum::N,зүүдн,vis
66,Himmel::N,теңгр,cer
67,Sonne::N,нарн,soare
68,Mond::N,сар,lună
69,Stern::N,одн,stea
70,Luft::N,аһар,aer
71,Wind::N,салькн,vânt
72,Welle::N,дольган,val
73,Welle::N,дольган,undă
74,Wasser::N,усн,apă
75,Stein::N,чолун,piatră
76,Boden::N,Һазр,sol
77,Boden::N,Һазр,pământ
78,Erde::N,Һазр,pământ
79,Staub::N,тоосн,praf
80,Rauch::N,утан,fum
81,Funke::N,очн,scânteie
82,Feuer::N,һал,foc
83,Licht::N,герл,lumină
84,Schatten::N,сүүдр,umbră
85,Wetter::N,теңгр,timp
86,Wetter::N,теңгр,vreme
87,Nebel::N,будн,ceață
88,Nebel::N,будн,negură
89,Wolke::N,үүлн,nor
90,Regen::N,хур,ploaie
91,Schnee::N,цасн,zăpadă
92,Eis::N,мөсн,gheață
93,Frost::N,киитн,ger
94,Kälte::N,киитн,frig
95,Hitze::N,халун,arșiță
96,Hitze::N,халун,căldură
97,Raureif::N,цаң,chiciură
98,Raureif::N,кирү,chiciură
99,Regenbogen::N,солңһ,curcubeu
100,Donner::N,оһтрһун дун,tunet
101,Strömung::N,урсхл,curent
102,Tropfen::N,дусал,picătură
103,Schaum::N,көөсн,spumă
104,Schmutz::N,кир,murdărie
105,See::N,нур,lac
106,Sumpf::N,унул,mlaștină
107,Moor::N,улм,bărăgan
108,Wiese::N,хадлһн,fânaț
109,Wiese::N,хадлһн,livadă
110,Wald::N,ө-модн,codru
111,Wald::N,ө-модн,pădure
112,Hügel::N,толһа,deal
113,Hügel::N,толһа,movilă
114,Anhöhe::N,хамр,deal
115,Anhöhe::N,хамр,ridicătură
116,Berg::N,уул,munte
117,Gipfel::N,ора,pisc
118,Höhle::N,хадин көндә,peșteră
119,Abhang::N,ташу,pantă
120,Abhang::N,ташу,versant
121,Quelle::N,булг,izvor
122,Bach::N,һооҗур,gârlă
123,Fluss::N,һол,râu
124,Fluss::N,һол,fluviu
125,Ufer::N,көвә,mal
126,Ufer::N,көвә,țărm
127,Küste::N,көвә,coastă
128,Küste::N,теңгсин көвә,coastă
