,Concept_ID,is,ar
0,Auge::N,auga,عين
1,Ohr::N,eyra,أذن
2,Nase::N,nef,أنف
3,Mund::N,munnur,فم
4,Zahn::N,tönn,سن
5,Zunge::N,tunga,لسان
6,Lippe::N,vör,شفة
7,Wange::N,kinn,خد
8,Wange::N,kinn,وجنة
9,Wange::N,vangi,خد
10,Wange::N,vangi,وجنة
11,Gesicht::N,andlit,وجه
12,Stirn::N,enni,جبين
13,Haar::N,hár,شعر
14,Schnurrbart::N,yfirskegg,شارب
15,Bart::N,skegg,لحية
16,Kinn::N,haka,ذقن
17,Kiefer[Anatomie]::N,kjálki,فك
18,Kiefer[Anatomie]::N,skoltur,فك
19,Kehle::N,kverk,حلق
20,Hals::N,háls,عنق
21,Hals::N,háls,رقبة
22,Genick::N,hnakki,قفا
23,Kopf::N,höfuð,رأس
24,Rücken::N,hryggur,ظهر
25,Bauch::N,kviður,بطن
26,Nabel::N,nafli,سرة
27,Busen::N,barmur,ثدي
28,Brust::N,brjóst,صدر
29,Schulter::N,öxl,كتف
30,Arm::N,armur,ذراع
31,Ellenbogen::N,olnbogi,كوع
32,Hand::N,hönd,يد
33,Handfläche::N,lófi,كف
34,Finger::N,fingur,إصبع
35,Fingernagel::N,fingurnögl,ظفر
36,Nagel[Anatomie]::N,nögl,ظفر
37,Zeh::N,tá,إصبع القدم
38,Fuß::N,fótur,قدم
39,Ferse::N,hæll,كعب
40,Knie::N,kné,ركبة
41,Oberschenkel::N,læri,فخذ
42,Bein::N,fótleggur,ساق
43,Körper::N,búkur,جسم
44,Körper::N,líkami,جسم
45,Haut::N,húð,بشرة
46,Haut::N,skinn,بشرة
47,Blut::N,blóð,دم
48,Ader::N,æð,عرق
49,Sehne::N,sin,طنب
50,Knochen::N,bein,عظم
51,Gehirn::N,heili,دماغ
52,Herz::N,hjarta,قلب
53,Magen::N,magi,معدة
54,Leber::N,lifur,كبد
55,Atem::N,andi,نفس
56,Atem::N,andardráttur,نفس
