,Concept_ID,cs,fr
0,Auge::N,oko,œil
1,Ohr::N,ucho,oreille
2,Nase::N,nos,nez
3,Mund::N,pusa,bouche
4,Zahn::N,zub,dent
5,Zunge::N,jazyk,langue
6,Lippe::N,ret,lèvre
7,Wange::N,tvář,joue
8,Gesicht::N,obličej,face
9,Gesicht::N,obličej,visage
10,Stirn::N,čelo,front
11,Haar::N,vlas,cheveu
12,Haar::N,vlasy,cheveu
13,Schnurrbart::N,kníry,moustache
14,Bart::N,vousy,barbe
15,Kinn::N,brada,menton
16,Kiefer[Anatomie]::N,čelist,mâchoire
17,Kehle::N,hrdlo,gorge
18,Hals::N,krk,cou
19,Genick::N,týl,nuque
20,Kopf::N,hlava,tête
21,Rücken::N,záda,dos
22,Rücken::N,hřbet,dos
23,Bauch::N,břicho,ventre
24,Nabel::N,pupek,nombril
25,Busen::N,ňadra,sein
26,Brust::N,prsa,poitrine
27,Schulter::N,plece,épaule
28,Schulter::N,rameno,épaule
29,Arm::N,ruka,bras
30,Ellenbogen::N,loket,coude
31,Hand::N,ruka,main
32,Handfläche::N,dlaň,paume
33,Finger::N,prst,doigt
34,Fingernagel::N,nehet,ongle
35,Nagel[Anatomie]::N,nehet,ongle
36,Zeh::N,prst u nohy,orteil
37,Zeh::N,prst u nohy,doigt de pied
38,Fuß::N,noha,pied
39,Ferse::N,pata,talon
40,Knie::N,koleno,genou
41,Oberschenkel::N,stehno,cuisse
42,Bein::N,noha,jambe
43,Körper::N,tělo,corps
44,Haut::N,kůže,peau
45,Blut::N,krev,sang
46,Ader::N,céva,veine
47,Sehne::N,šlacha,tendon
48,Knochen::N,kost,os
49,Gehirn::N,mozek,cerveau
50,Herz::N,srdce,cœur
51,Magen::N,žaludek,estomac
52,Leber::N,játra,foie
53,Atem::N,dech,haleine
54,Hunger::N,hlad,faim
55,Träne::N,slza,larme
56,Geschmack::N,vkus,goût
57,Geschmack::N,vkus,saveur
58,Geruch::N,vůně,odeur
59,Geruch::N,zápach,odeur
60,Schlaf::N,spánek,sommeil
61,Traum::N,sen,songe
62,Himmel::N,nebe,ciel
63,Sonne::N,slunce,soleil
64,Mond::N,měsíc,lune
65,Stern::N,hvězda,étoile
66,Luft::N,vzduch,air
67,Wind::N,vítr,vent
68,Welle::N,vlna,vague
69,Wasser::N,voda,eau
70,Stein::N,kámen,pierre
71,Boden::N,půda,sol
72,Boden::N,půda,terrain
73,Erde::N,země,terre
74,Staub::N,prach,poussière
75,Rauch::N,dým,fumée
76,Rauch::N,kouř,fumée
77,Funke::N,jiskra,étincelle
78,Feuer::N,oheň,feu
79,Licht::N,světlo,lumière
80,Schatten::N,stín,ombre
81,Wetter::N,počasí,temps
82,Nebel::N,mlha,brume
83,Nebel::N,mlha,brouillard
84,Wolke::N,mrak,nuage
85,Wolke::N,oblak,nuage
86,Regen::N,déšť,pluie
87,Schnee::N,sníh,neige
88,Eis::N,led,glace
89,Frost::N,mráz,gel
90,Frost::N,mráz,gelée
91,Kälte::N,chlad,froid
92,Hitze::N,horko,chaleur
93,Raureif::N,jinovatka,givre
94,Regenbogen::N,duha,arc-en-ciel
95,Donner::N,hrom,tonnerre
96,Strömung::N,proudění,courant
97,Tropfen::N,kapka,goutte
98,Schaum::N,pěna,écume
99,Schaum::N,pěna,mousse
100,Schmutz::N,špína,boue
101,Schmutz::N,špína,saleté
102,See::N,jezero,lac
103,Sumpf::N,močál,marais
104,Sumpf::N,močál,marécage
105,Sumpf::N,bažina,marais
106,Sumpf::N,bažina,marécage
107,Moor::N,bažina,tourbière
108,Moor::N,slatina,tourbière
109,Wiese::N,louka,pré
110,Wald::N,les,bois
111,Wald::N,les,forêt
112,Hügel::N,kopec,coteau
113,Hügel::N,kopec,colline
114,Anhöhe::N,pahorek,éminence
115,Anhöhe::N,pahorek,élévation
116,Berg::N,hora,mont
117,Berg::N,hora,montagne
118,Gipfel::N,vrchol,cime
119,Gipfel::N,vrchol,sommet
120,Höhle::N,jeskyně,caverne
121,Abhang::N,svah,pente
122,Abhang::N,svah,versant
123,Abhang::N,stráň,pente
124,Abhang::N,stráň,versant
125,Quelle::N,pramen,source
126,Quelle::N,pramen,fontaine
127,Bach::N,potok,ruisseau
128,Fluss::N,řeka,fleuve
129,Fluss::N,řeka,rivière
130,Ufer::N,břeh,bord
131,Ufer::N,břeh,rivage
132,Küste::N,pobřeží,côte
133,Festland::N,souš,terre ferme
134,Festland::N,pevnina,terre ferme
135,Meer::N,moře,mer
136,Bucht::N,záliv,baie
137,Bucht::N,zátoka,baie
138,Insel::N,ostrov,île
139,Blume::N,květina,fleur
140,Gras::N,tráva,herbe
141,Wurzel::N,kořen,racine
142,Baum::N,strom,arbre
143,Stamm::N,kmen,tronc
144,Rinde::N,kůra,écorce
145,Ast::N,větev,branche
146,Zweig::N,větev,rameau
147,Blatt::N,lupen,feuille
148,Birke::N,bříza,bouleau
149,Kiefer[Baum]::N,sosna,pin
150,Kiefer[Baum]::N,borovice,pin
151,Weide[Baum]::N,vrba,saule
152,Tanne::N,jedle,sapin
153,Horn::N,roh,corne
154,Feder::N,pero,plume
155,Fell::N,srst,peau
156,Flügel::N,křídlo,aile
157,Klaue::N,dráp,serre
158,Klaue::N,pazneht,serre
159,Kralle::N,dráp,ongle
160,Kralle::N,dráp,griffe
161,Schwanz::N,ocas,queue
162,Ei::N,vejce,œuf
163,Nest::N,hnízdo,nid
164,Bau::N,nora,terrier
165,Tier::N,zvíře,animal
166,Herde::N,stádo,troupeau
167,Kuh::N,kráva,vache
168,Bulle::N,býk,taureau
169,Pferd::N,kůň,cheval
170,Schaf::N,ovce,mouton
171,Schwein::N,vepř,porc
172,Schwein::N,vepř,cochon
173,Schwein::N,prase,porc
174,Schwein::N,prase,cochon
175,Hund::N,pes,chien
176,Katze::N,kočka,chat
177,Bär::N,medvěd,ours
178,Eichhörnchen::N,veverka,écureuil
179,Elch::N,los,élan
180,Fuchs::N,liška,renard
181,Hase::N,zajíc,lièvre
182,Maus::N,myš,souris
183,Wolf::N,vlk,loup
184,Vogel::N,pták,oiseau
185,Schwarm::N,roj,nuée
186,Schwarm::N,roj,volée
187,Schwarm::N,hejno,nuée
188,Schwarm::N,hejno,volée
189,Huhn::N,kuře,poule
190,Huhn::N,slepice,poule
191,Hahn::N,kohout,coq
192,Gans::N,husa,oie
193,Adler::N,orel,aigle
194,Ente::N,kachna,canard
195,Eule::N,sova,hibou
196,Kranich::N,jeřáb,grue
197,Krähe::N,vrána,corneille
198,Kuckuck::N,kukačka,coucou
199,Schwan::N,labuť,cygne
200,Fisch::N,ryba,poisson
201,Barsch::N,okoun,perche
202,Hecht::N,štika,brochet
203,Schlange[Tier]::N,had,serpent
204,Wurm::N,červ,ver
205,Spinne::N,pavouk,araignée
206,Ameise::N,mravenec,fourmi
207,Laus::N,veš,pou
208,Mücke::N,komár,moucheron
209,Fliege::N,moucha,mouche
210,Schmetterling::N,motýl,papillon
211,Beere::N,bobule,baie
212,Apfel::N,jablko,pomme
213,Pilz::N,houba,champignon
214,Zwiebel::N,cibule,oignon
215,Saat::N,osivo,semence
216,Korn::N,zrno,grain
217,Heu::N,seno,foin
218,Schale::N,slupka,pelure
219,Schale::N,skořápka,pelure
220,Grube::N,jáma,fosse
221,Falle::N,past,piège
222,Falle::N,léčka,piège
223,Schlinge::N,smyčka,lacs
224,Spur::N,stopa,trace
225,Asche::N,popel,cendre
226,Dreck::N,špína,crotte
227,Eisen::N,železo,fer
228,Gold::N,zlato,or
229,Silber::N,stříbro,argent
230,Kohle::N,uhlí,charbon
231,Glas::N,sklo,verre
232,Lehm::N,jíl,glaise
233,Lehm::N,hlína,glaise
234,Sand::N,písek,sable
235,Mensch::N,člověk,homme
236,Mann::N,muž,homme
237,Frau::N,žena,femme
238,Kind::N,dítě,enfant
239,Junge::N,hoch,garçon
240,Junge::N,chlapec,garçon
241,Mädchen::N,děvče,fille
242,Mädchen::N,děvče,jeune fille
243,Familie::N,rodina,famille
244,Großvater::N,děd,grand-père
245,Großvater::N,dědeček,grand-père
246,Großmutter::N,babička,grand-mère
247,Eltern::N,rodiče,parents
248,Vater::N,otec,père
249,Mutter::N,matka,mère
250,Sohn::N,syn,fils
251,Tochter::N,dcera,fille
252,Bruder::N,bratr,frère
253,Schwester::N,sestra,sœur
254,Onkel::N,strýc,oncle
255,Tante::N,teta,tante
256,Ehemann::N,choť,mari
257,Ehemann::N,choť,époux
258,Ehemann::N,manžel,mari
259,Ehemann::N,manžel,époux
260,Ehefrau::N,choť,femme
261,Ehefrau::N,choť,épouse
262,Ehefrau::N,manželka,femme
263,Ehefrau::N,manželka,épouse
264,Freude::N,radost,joie
265,Freude::N,radost,plaisir
266,Gelächter::N,smích,rires
267,Glück::N,štěstí,bonheur
268,Kummer::N,žal,peine
269,Kummer::N,žal,chagrin
270,Kummer::N,trápení,peine
271,Kummer::N,trápení,chagrin
272,Wunsch::N,přání,désir
273,Lust::N,chuť,envie
274,Geist::N,duch,esprit
275,Gedanke::N,myšlenka,idée
276,Gedanke::N,myšlenka,pensée
277,Gedächtnis::N,paměť,mémoire
278,Verstand::N,rozum,raison
279,Sinn::N,smysl,sens
280,Grund::N,důvod,cause
281,Grund::N,důvod,raison
282,Wahrheit::N,pravda,vérité
283,Gespräch::N,rozhovor,conversation
284,Märchen::N,pohádka,conte
285,Märchen::N,pohádka,conte de fées
286,Erzählung::N,povídka,conte
287,Erzählung::N,povídka,narration
288,Nachricht::N,zpráva,message
289,Neuigkeit::N,novina,nouvelle
290,Neuigkeit::N,novinka,nouvelle
291,Name::N,jméno,nom
292,Rätsel::N,hádanka,énigme
293,Rätsel::N,hádanka,devinette
294,Rede::N,řeč,parole
295,Rede::N,řeč,discours
296,Rede::N,proslov,parole
297,Rede::N,proslov,discours
298,Sprache::N,řeč,langue
299,Sprache::N,řeč,langage
300,Sprache::N,jazyk,langue
301,Sprache::N,jazyk,langage
302,Stimme::N,hlas,voix
303,Wort::N,slovo,mot
304,Zeichen::N,znamení,signe
305,Ruf::N,zavolání,cri
306,Ruf::N,zavolání,appel
307,Lärm::N,hluk,bruit
308,Laut::N,zvuk,son
309,Ton::N,tón,ton
310,Lied::N,píseň,chant
311,Lied::N,píseň,chanson
312,Ruhe::N,klid,calme
313,Ruhe::N,klid,tranquillité
314,Ruhe::N,pokoj,calme
315,Ruhe::N,pokoj,tranquillité
316,Leute::N,lidé,gens
317,Volk::N,národ,peuple
318,Arbeit::N,práce,travail
319,Gast::N,host,hôte
320,Gast::N,host,invité
321,Geschenk::N,dar,cadeau
322,Geschenk::N,dar,présent
323,Spiel::N,hra,jeu
324,Gesellschaft::N,společnost,compagnie
325,Hilfe::N,pomoc,aide
326,Hilfe::N,pomoc,secours
327,Freund::N,přítel,ami
328,Kamerad::N,kamarád,copain
329,Kamerad::N,kamarád,camarade
330,Angelegenheit::N,záležitost,affaire
331,Anzahl::N,počet,nombre
332,Art::N,druh,sorte
333,Art::N,druh,espèce
334,Stück::N,kus,morceau
335,Stück::N,kousek,morceau
336,Teil::N,díl,part
337,Teil::N,díl,partie
338,Teil::N,část,part
339,Teil::N,část,partie
340,Hälfte::N,půl,moitié
341,Kreis::N,kruh,cercle
342,Kreuz::N,kříž,croix
343,Linie::N,linka,ligne
344,Strich::N,čára,trait
345,Strich::N,čárka,trait
346,Abstand::N,vzdálenost,écart
347,Entfernung::N,vzdálenost,distance
348,Gegend::N,krajina,région
349,Gegend::N,krajina,contrée
350,Platz::N,prostor,place
351,Ort::N,místo,lieu
352,Ort::N,místo,endroit
353,Seite::N,strana,côté
354,Mitte::N,střed,milieu
355,Mitte::N,prostředek,milieu
356,Gegenstand::N,předmět,objet
357,Sache::N,věc,chose
358,Rand::N,kraj,bord
359,Rand::N,okraj,bord
360,Kante::N,hrana,arête
361,Ecke::N,roh,coin
362,Ecke::N,roh,tournant
363,Spitze::N,hrot,cime
364,Spitze::N,hrot,pointe
365,Spitze::N,špička,cime
366,Spitze::N,špička,pointe
367,Ende::N,konec,bout
368,Loch::N,díra,trou
369,Winkel::N,kout,coin
370,Winkel::N,kout,réduit
371,Muster::N,vzor,dessin
372,Größe::N,velikost,grandeur
373,Länge::N,délka,longueur
374,Höhe::N,výška,hauteur
375,Höhe::N,výška,altitude
376,Gewicht::N,váha,poids
377,Menge::N,množství,quantité
378,Haufen::N,kupa,tas
379,Haufen::N,hromada,tas
380,Reihe::N,řada,file
381,Reihe::N,řada,rangée
382,Reihe::N,řádek,file
383,Reihe::N,řádek,rangée
384,Boot::N,člun,canot
385,Boot::N,člun,bateau
386,Ruder::N,veslo,rame
387,Ruder::N,veslo,aviron
388,Schlitten::N,sáně,traîneau
389,Ski::N,lyže,ski
390,Lagerfeuer::N,táborák,feu de camp
391,Last::N,náklad,charge
392,Last::N,náklad,fardeau
393,Last::N,břemeno,charge
394,Last::N,břemeno,fardeau
395,Gang::N,chůze,tour
396,Gang::N,chůze,marche
397,Gang::N,chodba,tour
398,Gang::N,chodba,marche
399,Schritt::N,krok,pas
400,Norden::N,sever,nord
401,Süden::N,jih,sud
402,Westen::N,západ,ouest
403,Westen::N,západ,occident
404,Osten::N,východ,est
405,Osten::N,východ,orient
406,Holz::N,dřevo,bois
407,Brett::N,prkno,planche
408,Platte::N,deska,plaque
409,Stütze::N,opěra,appui
410,Stütze::N,opěra,soutien
411,Stange::N,tyč,barre
412,Stange::N,tyč,perche
413,Stange::N,tyčka,barre
414,Stange::N,tyčka,perche
415,Stock::N,hůlka,canne
416,Stab::N,hůl,bâton
417,Rohr::N,trubka,tube
418,Rohr::N,trubka,tuyau
419,Haus::N,dům,maison
420,Heim::N,domov,maison
421,Ofen::N,kamna,poêle
422,Fußboden::N,podlaha,plancher
423,Tisch::N,stůl,table
424,Stuhl::N,židle,chaise
425,Wiege::N,kolébka,berceau
426,Bett::N,postel,lit
