,Concept_ID,ja,hy
0,Auge::N,目,աչք
1,Ohr::N,耳,ականջ
2,Nase::N,鼻,քիթ
3,Mund::N,口,բերան
4,Zahn::N,歯,ատամ
5,Zunge::N,舌,լեզու
6,Lippe::N,唇,շրթունք
7,Wange::N,頬,այտ
8,Wange::N,頬,թուշ
9,Gesicht::N,顔,դեմք
10,Stirn::N,額,ճակատ
11,Haar::N,髪,մազ
12,Schnurrbart::N,口髭,բեղ
13,Bart::N,髭,մորուք
14,Kinn::N,顎,կզակ
15,Kiefer[Anatomie]::N,顎,ծնոտ
16,Kehle::N,喉,կոկորդ
17,Hals::N,首,վիզ
18,Hals::N,首,պարանոց
19,Genick::N,首,ծոծրակ
20,Kopf::N,頭,գլուխ
21,Rücken::N,背中,մեջք
22,Bauch::N,腹,փոր
23,Bauch::N,腹,որովայն
24,Bauch::N,お腹,փոր
25,Bauch::N,お腹,որովայն
26,Nabel::N,へそ,պորտ
27,Busen::N,乳房,ծոց
28,Brust::N,胸,կուրծք
29,Schulter::N,肩,ուս
30,Arm::N,腕,թեւ
31,Arm::N,腕,բազուկ
32,Ellenbogen::N,肘,արմունկ
33,Hand::N,手,ձեռք
34,Handfläche::N,手のひら,ափ
35,Finger::N,指,մատ
36,Fingernagel::N,爪,եղունգ
37,Nagel[Anatomie]::N,爪,եղունգ
38,Zeh::N,足の指,ոտքի մատ
39,Fuß::N,足,ոտք
40,Ferse::N,かかと,գարշապար
41,Knie::N,膝,ծունկ
42,Oberschenkel::N,上腿,ազդր
43,Bein::N,足,ոտք
44,Körper::N,体,մարմին
45,Haut::N,皮膚,մաշկ
46,Blut::N,血,արյուն
47,Ader::N,血管,երակ
48,Sehne::N,腱,ջիղ
49,Sehne::N,腱,ձգտան
50,Knochen::N,骨,ոսկոր
51,Gehirn::N,脳,խելք
52,Herz::N,心,սիրտ
53,Herz::N,心臓,սիրտ
54,Magen::N,胃,ստամոքս
55,Leber::N,肝臓,լյարդ
56,Atem::N,息,շունչ
57,Atem::N,呼吸,շունչ
58,Hunger::N,空腹,քաղց
59,Träne::N,涙,արտասուք
60,Geschmack::N,味,համ
61,Geschmack::N,味,բուրմունք
62,Geruch::N,匂い,հոտ
63,Geruch::N,匂い,բուրում
64,Schlaf::N,睡眠,քուն
65,Traum::N,夢,երազ
66,Himmel::N,空,երկինք
67,Sonne::N,太陽,արեւ
68,Mond::N,月,լուսին
69,Stern::N,星,աստղ
70,Luft::N,空気,օդ
71,Wind::N,風,քամի
72,Welle::N,波,ալիք
73,Wasser::N,水,ջուր
74,Stein::N,石,քար
75,Boden::N,土地,գետին
76,Erde::N,土,հող
77,Staub::N,埃,փոշի
78,Rauch::N,煙,ծուխ
79,Funke::N,火花,կայծ
80,Feuer::N,火,կրակ
81,Feuer::N,火,հրդեհ
82,Licht::N,光,լույս
83,Schatten::N,陰,ստվեր
84,Wetter::N,天気,եղանակ
85,Nebel::N,霧,մեգ
86,Nebel::N,霧,մառախուղ
87,Wolke::N,雲,ամպ
88,Regen::N,雨,անձրև
