,Concept_ID,zh,ab
0,Auge::N,眼睛,ала
1,Ohr::N,耳朵,алымҳа
2,Nase::N,鼻子,аҧынҵа
3,Mund::N,嘴,аҧышə
4,Zahn::N,牙齿,ахаҧыц
5,Zunge::N,舌头,абз
6,Lippe::N,嘴唇,ақьышə
7,Wange::N,面颊,аӡамҩа
8,Gesicht::N,脸,аҿы
9,Stirn::N,额,алахь
10,Haar::N,头发,ахəыц
11,Schnurrbart::N,髭须,аҧаҵа
12,Bart::N,胡子,ажакьа
13,Kinn::N,下巴,ацламкəыгə
14,Kiefer[Anatomie]::N,颌,ацламҳəа
15,Kehle::N,嗓子,ахəда
16,Hals::N,颈,ахəда
17,Genick::N,后颈,ахəдаџьал
18,Kopf::N,头,ахы
19,Rücken::N,背,азқəа
20,Bauch::N,肚子,амгəа
21,Nabel::N,肚脐,аҷапан
22,Busen::N,胸脯,агəыҧҳəы
23,Brust::N,胸,агəышҧы
24,Schulter::N,肩膀,ажəҩахыр
25,Arm::N,臂膀,амахəар
26,Ellenbogen::N,肘,амашьхəылҵ
27,Hand::N,手,анапы
28,Handfläche::N,手掌,анапсаргəыҵа
29,Finger::N,手指,анацəа
30,Fingernagel::N,指甲,анапхыц
31,Nagel[Anatomie]::N,指甲,ашьапхыц
32,Zeh::N,脚趾,ашьацəа
33,Fuß::N,脚,ашьапсыргəыҵа
34,Ferse::N,后跟,ашьхəа
35,Knie::N,膝,ашьамхы
36,Oberschenkel::N,大腿,ауаҭəа
37,Bein::N,腿,ашьапы
38,Körper::N,身体,ацəеижь
39,Haut::N,皮肤,ацəа
40,Blut::N,血,ашьа
41,Ader::N,血管,ада
42,Sehne::N,腱,адаш
43,Knochen::N,骨,абаҩ
44,Gehirn::N,脑,ахшлыбаҩ
45,Gehirn::N,脑,ахшыбаҩ
46,Herz::N,心,агəы
47,Magen::N,胃,аца
48,Magen::N,胃,ацар
49,Leber::N,肝,агəаҵəа
50,Atem::N,呼吸,аҧсыҧлагаҩгара
51,Hunger::N,饿,амла
52,Träne::N,眼泪,алабжыш
53,Geschmack::N,味道,агьама
54,Geruch::N,气味,афҩы
55,Schlaf::N,睡眠,ацəа
56,Traum::N,梦,аҧхыӡ
57,Himmel::N,天空,ажəҩан
58,Sonne::N,太阳,амра
59,Mond::N,月亮,амза
60,Stern::N,星,аеҵəа
61,Luft::N,空气,аҳаир
62,Wind::N,风,аҧша
63,Welle::N,波,ацəқəырҧа
64,Wasser::N,水,аӡы
65,Stein::N,石头,ахаҳə
66,Boden::N,地面,адгьыл
67,Erde::N,地,адгьыл
68,Staub::N,灰尘,асаба
69,Rauch::N,烟,алҩа
70,Funke::N,火花,акəиц
71,Funke::N,火花,ацҧхь
72,Feuer::N,火,амца
73,Licht::N,光,алашара
74,Schatten::N,影子,ашəшьыра
75,Wetter::N,天气,амш
76,Nebel::N,雾,анаҟəа
77,Wolke::N,云,аҧсҭҳəа
78,Regen::N,雨,ақəа
79,Schnee::N,雪,асы
80,Eis::N,冰,аҵаа
81,Frost::N,霜冻,аҵаа
82,Kälte::N,寒冷,ахьҭа
83,Hitze::N,炎热,ашоура
84,Raureif::N,霜,аҵааҧшқа
85,Regenbogen::N,虹,ацəаҟəа
86,Donner::N,雷,адыд
87,Strömung::N,水流,аиасра
88,Strömung::N,水流,амҩасра
89,Tropfen::N,滴,ацəыкəбар
90,Schaum::N,泡沫,ашəах
91,Schmutz::N,赃物,алымт
92,See::N,湖,аӡиа
93,Sumpf::N,沼泽,аӡмах
94,Moor::N,沼泽,
95,Wiese::N,草地,адəы
96,Wald::N,森林,абна
97,Hügel::N,丘陵,ахəы
98,Anhöhe::N,山丘,аҳаракыра
99,Berg::N,山,ашьха
100,Gipfel::N,峰,ацəқəа
101,Höhle::N,洞穴,аҳаҧы
102,Abhang::N,斜坡,анаара
103,Quelle::N,泉,аҵҵырҭа
104,Bach::N,溪,акəараҷҷа
105,Fluss::N,河流,аӡиас
106,Ufer::N,岸,ахықə
107,Küste::N,海岸,ахықə
108,Festland::N,大陆,абарра
109,Meer::N,海,амшын
110,Bucht::N,海湾,аӡбжьахала
111,Insel::N,岛,адгьылбжьаха
112,Blume::N,花,ашəҭ
113,Gras::N,草,аҳасакьын
114,Wurzel::N,根,адац
115,Baum::N,树,аҵла
116,Stamm::N,树干,ашьапы
117,Rinde::N,树皮,ацəа
118,Ast::N,树枝,амахə
119,Ast::N,树枝,амахəҭа
120,Zweig::N,树枝,амахə
121,Zweig::N,树枝,амахəҭа
122,Blatt::N,叶子,абҕьы
123,Birke::N,桦木,аҵааҵла
124,Kiefer[Baum]::N,松树,амза
125,Weide[Baum]::N,柳树,аҧслыш
126,Tanne::N,冷杉,аҧсаӡ
127,Horn::N,角,атəыҩа
128,Feder::N,羽毛,ахӡы
129,Fell::N,皮毛,ацəа
130,Flügel::N,翅膀,амҵəыжəа
131,Klaue::N,爪子,ашьапхыц
132,Kralle::N,爪子,
133,Schwanz::N,尾巴,аҵыхəа
134,Ei::N,蛋,акəтаӷь
135,Nest::N,巢,аҭра
136,Nest::N,巢,аҵысҭра
137,Bau::N,穴,аҭыҩра
138,Tier::N,动物,аҧстəы
139,Tier::N,动物,агыгшəыг
140,Herde::N,群,агəарҭа
141,Kuh::N,母牛,ажə
142,Bulle::N,公牛,ацə
143,Pferd::N,马,аҽы
144,Schaf::N,羊,ауаса
145,Schwein::N,猪,аҳəа
146,Hund::N,狗,ала
147,Katze::N,猫,ацгəы
148,Bär::N,熊,амшə
149,Eichhörnchen::N,松鼠,аеш
150,Elch::N,麋鹿,аҽаҩа
151,Fuchs::N,狐狸,абгахəыҷы
152,Hase::N,兔子,ажьа
