,Concept_ID,ar,ru
0,Auge::N,عين,глаз
1,Ohr::N,أذن,ухо
2,Nase::N,أنف,нос
3,Mund::N,فم,рот
4,Zahn::N,سن,зуб
5,Zunge::N,لسان,язык
6,Lippe::N,شفة,губа
7,Wange::N,خد,щека
8,Wange::N,وجنة,щека
9,Gesicht::N,وجه,лицо
10,Stirn::N,جبين,лоб
11,Haar::N,شعر,волос
12,Haar::N,شعر,волосы
13,Schnurrbart::N,شارب,ус
14,Schnurrbart::N,شارب,усы
15,Bart::N,لحية,борода
16,Kinn::N,ذقن,подбородок
17,Kiefer[Anatomie]::N,فك,челюсть
18,Kehle::N,حلق,горло
19,Hals::N,عنق,шея
20,Hals::N,رقبة,шея
21,Genick::N,قفا,затылок
22,Kopf::N,رأس,голова
23,Rücken::N,ظهر,спина
24,Bauch::N,بطن,живот
25,Nabel::N,سرة,пупок
26,Busen::N,ثدي,женская грудь
27,Brust::N,صدر,грудь
28,Schulter::N,كتف,плечо
29,Arm::N,ذراع,рука
30,Ellenbogen::N,كوع,локоть
31,Hand::N,يد,кисть
32,Handfläche::N,كف,ладонь
33,Finger::N,إصبع,палец
34,Fingernagel::N,ظفر,ноготь
35,Nagel[Anatomie]::N,ظفر,ноготь
36,Zeh::N,إصبع القدم,палец
37,Fuß::N,قدم,ступня
38,Ferse::N,كعب,пята
39,Ferse::N,كعب,пятка
40,Knie::N,ركبة,колено
41,Oberschenkel::N,فخذ,бедро
42,Bein::N,ساق,нога
43,Körper::N,جسم,тело
44,Haut::N,بشرة,кожа
45,Blut::N,دم,кровь
46,Ader::N,عرق,вена
47,Ader::N,عرق,сосуд
48,Sehne::N,طنب,жила
49,Sehne::N,طنب,тетива
50,Sehne::N,طنب,сухожилие
51,Knochen::N,عظم,кость
52,Gehirn::N,دماغ,мозг
53,Herz::N,قلب,сердце
54,Magen::N,معدة,желудок
55,Leber::N,كبد,печень
56,Atem::N,نفس,дух
57,Atem::N,نفس,дыхание
58,Hunger::N,جوع,голод
59,Träne::N,دمعة,слеза
60,Geschmack::N,طعم,вкус
61,Geschmack::N,مذاق,вкус
62,Geruch::N,رائحة,запах
63,Schlaf::N,نوم,сон
64,Schlaf::N,منام,сон
65,Traum::N,حلم,сновидение
66,Himmel::N,سماء,небо
67,Sonne::N,شمس,солнце
68,Mond::N,قمر,луна
69,Stern::N,نجم,звезда
70,Stern::N,كوكب,звезда
71,Luft::N,هواء,воздух
72,Wind::N,ريح,ветер
73,Welle::N,موجة,волна
74,Wasser::N,ماء,вода
75,Stein::N,حجر,камень
76,Boden::N,تراب,почва
77,Erde::N,أرض,земля
78,Staub::N,غبار,пыль
79,Rauch::N,دخان,дым
80,Funke::N,شرارة,искра
81,Feuer::N,نار,огонь
82,Licht::N,نور,свет
83,Licht::N,ضوء,свет
84,Schatten::N,ظل,тень
85,Schatten::N,فيء,тень
86,Wetter::N,جو,погода
87,Wetter::N,طقس,погода
88,Nebel::N,ضباب,туман
89,Wolke::N,غيمة,облако
90,Wolke::N,سحابة,облако
91,Regen::N,مطر,дождь
92,Schnee::N,ثلج,снег
93,Eis::N,جليد,лед
94,Frost::N,صقيع,мороз
95,Kälte::N,برد,холод
96,Hitze::N,حر,жара
97,Hitze::N,حرارة,жара
98,Raureif::N,صقيع,иней
99,Regenbogen::N,قوس قزح,радуга
100,Donner::N,رعد,гром
101,Strömung::N,تيار,течение
102,Tropfen::N,قطرة,капля
103,Schaum::N,زبد,пена
104,Schaum::N,رغوة,пена
105,Schmutz::N,وسخ,грязь
106,See::N,بحيرة,озеро
107,Sumpf::N,مستنقع,топь
108,Moor::N,مستنقع,болото
109,Wiese::N,مرج,луг
110,Wald::N,غابة,лес
111,Hügel::N,تل,холм
112,Anhöhe::N,تل,возвышенность
113,Berg::N,جبل,гора
114,Gipfel::N,قمة,вершина
115,Höhle::N,كهف,пещера
116,Abhang::N,منحدر,склон
117,Quelle::N,منبع,источник
118,Bach::N,مجرى,ручей
119,Fluss::N,نهر,река
120,Ufer::N,ضفة,берег
121,Küste::N,ساحل,побережье
122,Festland::N,بر,суша
123,Meer::N,بحر,море
124,Bucht::N,خليج,бухта
125,Insel::N,جزيرة,остров
126,Blume::N,زهرة,цветок
127,Gras::N,حشيش,трава
128,Wurzel::N,أصل,корень
129,Baum::N,شجرة,дерево
130,Stamm::N,جذع,ствол
131,Rinde::N,قشرة,кора
132,Ast::N,فرع,сук
133,Zweig::N,غصن,ветвь
134,Blatt::N,ورقة,лист
135,Birke::N,قضبان,береза
136,Kiefer[Baum]::N,صنوبرة,сосна
137,Weide[Baum]::N,صفصاف,ива
138,Tanne::N,شوح,ель
139,Tanne::N,تبوب,ель
140,Horn::N,قرن,рог
141,Feder::N,ريشة,перо
142,Fell::N,فرو,шкура
143,Flügel::N,جناح,крыло
144,Klaue::N,مخلب,коготь
145,Kralle::N,مخلب,лапа
146,Schwanz::N,ذيل,хвост
147,Ei::N,بيض,яйцо
148,Nest::N,عش,гнездо
149,Bau::N,جحر,нора
150,Tier::N,حيوان,животное
151,Herde::N,قطيع,стадо
152,Kuh::N,بقرة,корова
153,Bulle::N,ثور,бык
154,Pferd::N,خيل,лошадь
155,Schaf::N,شاة,овца
156,Schwein::N,خنزير,свинья
157,Hund::N,كلب,собака
158,Katze::N,قطة,кошка
159,Bär::N,دب,медведь
160,Eichhörnchen::N,سنجاب,белка
161,Elch::N,موظ,лось
162,Fuchs::N,ثعلب,лиса
163,Hase::N,أرنب,заяц
164,Maus::N,فأرة,мышь
165,Wolf::N,ذئب,волк
166,Vogel::N,طير,птица
167,Schwarm::N,سرب,стая
168,Huhn::N,دجاجة,курица
169,Hahn::N,ديك,петух
170,Gans::N,وزة,гусь
171,Adler::N,نسر,орел
172,Ente::N,بطة,утка
173,Eule::N,بوم,сова
174,Kranich::N,كركي,журавль
175,Krähe::N,غراب,ворона
176,Kuckuck::N,وقواق,кукушка
177,Schwan::N,إوز عراقي,лебедь
178,Fisch::N,سمك,рыба
179,Barsch::N,فرخ أوربي,окунь
180,Hecht::N,سمك الكراكي,щука
181,Schlange[Tier]::N,حية,змея
182,Schlange[Tier]::N,ثعبان,змея
183,Wurm::N,دودة,червяк
184,Spinne::N,عنكبوت,паук
185,Ameise::N,نملة,муравей
186,Laus::N,قملة,вошь
187,Mücke::N,ناموسة,комар
188,Fliege::N,ذبابة,муха
189,Schmetterling::N,فراشة,бабочка
190,Beere::N,حبة,ягода
191,Apfel::N,تفاح,яблоко
192,Pilz::N,فطر,гриб
193,Zwiebel::N,بصل,луковица
194,Saat::N,زرع,семя
195,Korn::N,حبة,зерно
196,Heu::N,دريس,сено
197,Schale::N,قشرة,шелуха
198,Grube::N,نقرة,яма
199,Falle::N,فخ,ловушка
200,Falle::N,مصيدة,ловушка
201,Schlinge::N,عروة,силок
202,Spur::N,أثر,след
203,Asche::N,رماد,зола
204,Asche::N,رماد,пепел
205,Dreck::N,قذر,грязь
206,Eisen::N,حديد,железо
207,Gold::N,ذهب,золото
208,Silber::N,فضة,серебро
209,Kohle::N,فحم,уголь
210,Glas::N,زجاج,стекло
211,Lehm::N,طين,глина
212,Sand::N,رمل,песок
213,Mensch::N,إنسان,человек
214,Mann::N,رجل,мужчина
215,Frau::N,امرأة,женщина
216,Kind::N,طفل,ребенок
217,Junge::N,ولد,мальчик
218,Mädchen::N,بنت,девочка
219,Familie::N,عائلة,семья
220,Großvater::N,جد,дедушка
221,Großmutter::N,جدة,бабушка
222,Eltern::N,أبوان,родители
223,Eltern::N,والدان,родители
224,Vater::N,أب,отец
225,Mutter::N,أم,мать
226,Sohn::N,إبن,сын
227,Tochter::N,بنت,дочь
228,Tochter::N,إبنة,дочь
229,Bruder::N,أخ,брат
230,Bruder::N,شقيق,брат
231,Schwester::N,أخت,сестра
232,Onkel::N,عم,дядя
233,Tante::N,عمة,тетя
234,Ehemann::N,زوج,муж
235,Ehefrau::N,زوجة,жена
236,Freude::N,فرح,радость
237,Freude::N,سرور,радость
238,Gelächter::N,قهقهة,смех
239,Glück::N,سعادة,счастье
240,Kummer::N,غم,горе
241,Wunsch::N,منية,желание
242,Lust::N,شهوة,влечение
243,Geist::N,روح,дух
244,Gedanke::N,فكرة,мысль
245,Gedächtnis::N,ذاكرة,память
246,Verstand::N,عقل,ум
247,Sinn::N,معنى,смысл
248,Grund::N,سبب,повод
249,Wahrheit::N,حقيقة,правда
250,Gespräch::N,محادثة,беседа
251,Märchen::N,خرافة,сказка
252,Erzählung::N,قصة,рассказ
253,Erzählung::N,حكاية,рассказ
254,Nachricht::N,خبر,сообщение
255,Neuigkeit::N,خبر جديد,новость
256,Name::N,اسم,имя
257,Rätsel::N,لغز,загадка
258,Rede::N,خطبة,речь
259,Sprache::N,لغة,язык
260,Stimme::N,صوت,голос
261,Wort::N,كلمة,слово
262,Zeichen::N,رمز,знак
263,Zeichen::N,إشارة,знак
264,Ruf::N,نداء,зов
265,Lärm::N,صخب,шум
266,Lärm::N,ضجة,шум
267,Laut::N,صوت,звук
268,Ton::N,نغمة,звучание
269,Lied::N,أغنية,песня
270,Ruhe::N,هدوء,покой
271,Leute::N,ناس,люди
272,Volk::N,شعب,народ
273,Arbeit::N,عمل,работа
274,Gast::N,ضيف,гость
275,Geschenk::N,هدية,подарок
276,Spiel::N,لعب,игра
277,Gesellschaft::N,صحبة,общество
278,Hilfe::N,عون,помощь
279,Hilfe::N,مساعدة,помощь
280,Freund::N,صديق,друг
281,Kamerad::N,زميل,приятель
282,Angelegenheit::N,أمر,дело
283,Angelegenheit::N,شأن,дело
284,Anzahl::N,عدد,количество
285,Art::N,نوع,вид
286,Stück::N,قطعة,кусок
287,Teil::N,قسم,часть
288,Hälfte::N,نصف,половина
289,Kreis::N,دائرة,круг
290,Kreuz::N,صليب,крест
291,Linie::N,خط,линия
292,Strich::N,شرطة,черта
293,Abstand::N,مسافة,промежуток
294,Entfernung::N,بعد,расстояние
295,Gegend::N,ناحية,местность
296,Platz::N,فراغ,пространство
297,Ort::N,مكان,место
298,Seite::N,جانب,сторона
299,Mitte::N,وسط,середина
300,Gegenstand::N,موضوع,предмет
301,Sache::N,شيء,вещь
302,Rand::N,حافة,край
303,Kante::N,حافة,ребро
304,Ecke::N,ركن,угол
305,Spitze::N,سن,кончик
306,Ende::N,طرف,конец
307,Loch::N,ثقب,дыра
308,Winkel::N,زاوية,угол
309,Muster::N,عينة,узор
310,Größe::N,حجم,размер
311,Länge::N,طول,длина
312,Höhe::N,علو,высота
313,Höhe::N,ارتفاع,высота
314,Gewicht::N,وزن,вес
315,Menge::N,كمية,количество
316,Haufen::N,كوم,куча
317,Reihe::N,صف,ряд
318,Boot::N,قارب,лодка
319,Boot::N,زورق,лодка
320,Ruder::N,مجذاف,весло
321,Schlitten::N,مزلقة,сани
322,Ski::N,زلاجة,лыжа
323,Lagerfeuer::N,نار المخيم,костер
324,Last::N,حمل,тяжесть
325,Gang::N,مشية,ход
326,Schritt::N,خطوة,шаг
327,Norden::N,شمال,север
328,Süden::N,جنوب,юг
329,Westen::N,غرب,запад
330,Osten::N,شرق,восток
331,Holz::N,خشب,древесина
332,Brett::N,لوح,доска
333,Platte::N,صفيحة,плита
334,Stütze::N,سند,подпорка
335,Stütze::N,دعامة,подпорка
336,Stange::N,عود,жердь
337,Stock::N,عصا,палка
338,Stab::N,قضيب,шест
339,Rohr::N,أنبوبة,труба
340,Haus::N,دار,дом
341,Haus::N,بيت,дом
342,Heim::N,بيت,дом
343,Heim::N,مسكن,дом
344,Ofen::N,مدفأة,печь
345,Fußboden::N,أرضية,пол
346,Tisch::N,مائدة,стол
347,Stuhl::N,كرسي,стул
348,Wiege::N,مهد,колыбель
349,Bett::N,سرير,постель
350,Regal::N,رف,полка
351,Kiste::N,صندوق,ящик
352,Fenster::N,شباك,окно
353,Fenster::N,نافذة,окно
354,Tür::N,باب,дверь
355,Tor::N,بوابة,ворота
356,Zaun::N,سياج,забор
357,Dach::N,سطح,крыша
358,Leiter::N,سلم,лестница
359,Besen::N,مكنسة,метла
360,Spaten::N,مسحاة,лопата
361,Schaufel::N,مجرفة,совок
362,Gabel::N,شوكة,вилка
363,Löffel::N,ملعقة,ложка
364,Messer::N,سكين,нож
365,Nagel::N,مسمار,гвоздь
366,Netz::N,شبكة,сеть
367,Haken::N,خطاف,крюк
368,Haken::N,صنارة,крюк
369,Griff::N,قبضة,ручка
370,Schloss::N,قفل,замок
371,Bild::N,صورة,картина
372,Figur::N,تمثال,фигура
373,Puppe::N,دمية,кукла
374,Beutel::N,كيس,мешок
375,Bündel::N,ربطة,связка
376,Tasche::N,شنطة,сумка
377,Tasche::N,محفظة,сумка
378,Eimer::N,سطل,ведро
379,Eimer::N,جردل,ведро
380,Deckel::N,سداد,крышка
381,Geschirr::N,أوان,посуда
382,Sack::N,زكيبة,мешок
383,Tasse::N,فنجان,чашка
384,Topf::N,قدر,кастрюля
385,Topf::N,طنجرة,кастрюля
386,Kessel::N,قدر,котел
387,Kessel::N,غلاية,котел
388,Essen::N,طعام,еда
389,Nahrung::N,غذاء,пища
390,Speise::N,أكل,блюдо
391,Speise::N,أكل,кушанье
392,Fleisch::N,لحم,мясо
393,Getreide::N,حبوب,хлеб
394,Brei::N,عصيدة,каша
395,Brot::N,خبز,хлеб
396,Scheibe::N,شريحة,ломоть
397,Fett::N,سمن,жир
398,Butter::N,زبدة,масло
399,Öl::N,زيت,масло
400,Salz::N,ملح,соль
401,Suppe::N,حساء,суп
402,Suppe::N,شربة,суп
403,Honig::N,عسل,мед
404,Milch::N,حليب,молоко
405,Tee::N,شاي,чай
406,Leder::N,جلد,кожа
407,Wolle::N,صوف,шерсть
408,Stoff::N,قماش,ткань
409,Nadel::N,إبرة,игла
410,Faden::N,خيط,нитка
411,Knopf::N,زر,пуговица
412,Knoten::N,عقدة,узел
413,Farbe::N,صبغة,краска
414,Kleidung::N,ملابس,одежда
415,Hemd::N,قميص,рубашка
416,Kragen::N,ياقة,воротник
417,Ärmel::N,كم,рукав
418,Hose::N,سروال,брюки
419,Hose::N,بنطلون,брюки
420,Gürtel::N,حزام,пояс
421,Mütze::N,طاقية,шапка
422,Schuh::N,حذاء,ботинок
423,Stiefel::N,جزمة,сапог
424,Stiefel::N,حذاء طويل,сапог
425,Ring::N,حلقة,кольцо
426,Band::N,شريط,лента
427,Kamm::N,مشط,расческа
428,Spiegel::N,مرآة,зеркало
429,Riemen::N,سير,ремень
430,Schnur::N,حبل,веревка
431,Schnur::N,دوبارة,веревка
432,Leine::N,قيد,поводок
433,Decke::N,بطانية,одеяло
434,Kissen::N,وسادة,подушка
435,Tuch::N,منديل,платок
436,Handtuch::N,فوطة,полотенце
437,Handtuch::N,منشفة,полотенце
438,Kraft::N,قدرة,сила
439,Stärke::N,قوة,крепость
440,Gesundheit::N,صحة,здоровье
441,Krankheit::N,مرض,болезнь
442,Schmerz::N,ألم,боль
443,Schmerz::N,وجع,боль
444,Wunde::N,جرح,рана
445,Fieber::N,حمى,лихорадка
446,Fieber::N,حمى,температура
447,Arznei::N,دواء,лекарство
448,Brücke::N,جسر,мост
449,Brunnen::N,بئر,колодец
450,Weide::N,مرعى,пастбище
451,Pfad::N,درب,тропа
452,Weg::N,سكة,путь
453,Weg::N,سكة,дорога
454,Straße::N,طريق,улица
455,Straße::N,طريق,дорога
456,Dorf::N,قرية,деревня
457,Stadt::N,مدينة,город
458,Brief::N,خطاب,письмо
459,Brief::N,مكتوب,письмо
460,Buch::N,كتاب,книга
461,Buchstabe::N,حرف,буква
462,Zeitung::N,جريدة,газета
463,Leben::N,عيش,жизнь
464,Leben::N,حياة,жизнь
465,Tod::N,موت,смерть
