,Concept_ID,mrj,cs
0,Auge::N,сӹнзӓ,oko
1,Ohr::N,пӹлӹш,ucho
2,Nase::N,нер,nos
3,Mund::N,ышма,pusa
4,Zahn::N,пӱ,zub
5,Zunge::N,йӹлмӹ,jazyk
6,Lippe::N,тӹрвӹ,ret
7,Wange::N,шӹргӹ,tvář
8,Gesicht::N,лицӓ,obličej
9,Stirn::N,лепкӓ,čelo
10,Haar::N,ӱп,vlas
11,Haar::N,ӱп,vlasy
12,Schnurrbart::N,öрш,kníry
13,Bart::N,пандаш,vousy
14,Kinn::N,онгылаш,brada
15,Kiefer[Anatomie]::N,пӱ арата,čelist
16,Kehle::N,логер,hrdlo
17,Hals::N,шӱ,krk
18,Genick::N,ланга,týl
19,Kopf::N,вуй,hlava
20,Rücken::N,туп,záda
21,Rücken::N,туп,hřbet
22,Bauch::N,мӹшкӹр,břicho
23,Nabel::N,кӹлӹмдӹ,pupek
24,Busen::N,цӹзӹ,ňadra
25,Brust::N,мел,prsa
26,Schulter::N,ӹнгӹжӓ,plece
27,Schulter::N,ӹнгӹжӓ,rameno
28,Arm::N,кид,ruka
29,Ellenbogen::N,кӹнервуй,loket
30,Hand::N,лапа,ruka
31,Handfläche::N,кид лапа,dlaň
32,Finger::N,парня,prst
33,Fingernagel::N,кӹч,nehet
34,Nagel[Anatomie]::N,кӹч,nehet
35,Zeh::N,парня,prst u nohy
36,Fuß::N,ял лапа,noha
37,Ferse::N,ялгавал,pata
38,Ferse::N,ял кавал,pata
39,Knie::N,пылвуй,koleno
40,Oberschenkel::N,ӓрдӹ,stehno
41,Bein::N,ял,noha
42,Körper::N,монгыр,tělo
43,Haut::N,кавашты,kůže
44,Blut::N,вӹр,krev
45,Ader::N,вӹршӓр,céva
46,Sehne::N,кукшышӱн,šlacha
47,Knochen::N,лу,kost
48,Gehirn::N,вим,mozek
49,Herz::N,шӱм,srdce
50,Magen::N,шӱм,žaludek
51,Leber::N,мокш,játra
52,Atem::N,шӱлӹш,dech
53,Hunger::N,шужымаш,hlad
54,Träne::N,сӹнзӓвӹд,slza
55,Geschmack::N,тот,vkus
56,Geruch::N,пыш,vůně
57,Geruch::N,пыш,zápach
58,Schlaf::N,ом,spánek
59,Traum::N,ом,sen
60,Himmel::N,пӹлгом,nebe
61,Sonne::N,кечӹ,slunce
62,Mond::N,тӹлзӹ,měsíc
63,Stern::N,шӹдӹр,hvězda
64,Luft::N,юж,vzduch
65,Luft::N,воздух,vzduch
66,Wind::N,мардеж,vítr
67,Welle::N,ко,vlna
68,Welle::N,коэ,vlna
69,Wasser::N,вӹд,voda
70,Stein::N,кӱ,kámen
71,Boden::N,рок,půda
72,Erde::N,свет,země
73,Staub::N,пырак,prach
