,Concept_ID,lez,ro
0,Auge::N,вил,ochi
1,Ohr::N,яб,ureche
2,Nase::N,нер,nas
3,Mund::N,сив,gură
4,Zahn::N,сас,dinte
5,Zahn::N,свах,dinte
6,Zunge::N,мез,limbă
7,Lippe::N,пӏуз,buză
8,Wange::N,хъвехъ,bucă
9,Wange::N,хъвехъ,obraz
10,Gesicht::N,ччин,față
11,Gesicht::N,ччин,figură
12,Stirn::N,пел,frunte
13,Haar::N,чӏар,păr
14,Schnurrbart::N,спел,mustață
15,Schnurrbart::N,спелар,mustață
16,Bart::N,ччуру,barbă
17,Kinn::N,чене,bărbie
18,Kiefer[Anatomie]::N,чене,falcă
19,Kehle::N,туьд,beregată
20,Hals::N,гардан,gât
21,Genick::N,кьам,ceafă
22,Kopf::N,кьил,cap
23,Rücken::N,далу,dos
24,Rücken::N,далу,spate
25,Rücken::N,далу,spinare
26,Bauch::N,руфун,burtă
27,Bauch::N,руфун,pântece
28,Nabel::N,пицӏ,buric
29,Busen::N,мам,sân
30,Brust::N,хур,piept
31,Schulter::N,къуьн,umăr
32,Schulter::N,къуьн,spate
33,Arm::N,гъил,braț
34,Ellenbogen::N,кьуьнт,cot
35,Hand::N,капаш,mână
36,Handfläche::N,капан юкь,palmă
37,Finger::N,тӏуб,deget
38,Fingernagel::N,кек,unghie
39,Nagel[Anatomie]::N,кек,unghie
40,Zeh::N,кул,deget de la picior
41,Fuß::N,кӏвач,picior
42,Ferse::N,дабан,călcâi
43,Knie::N,мет,genunchi
44,Bein::N,кӏвач,picior
45,Körper::N,беден,corp
46,Haut::N,хам,piele
47,Blut::N,иви,sânge
48,Ader::N,дамар,vână
49,Ader::N,дамар,arteră
50,Sehne::N,кьуру дамар,tendon
51,Knochen::N,кӏараб,os
52,Gehirn::N,мефт,creier
53,Herz::N,рикӏ,inimă
54,Magen::N,хук,stomac
55,Leber::N,лекь,ficat
56,Atem::N,ял,răsuflare
57,Atem::N,ял,respirație
58,Atem::N,нефес,răsuflare
59,Atem::N,нефес,respirație
60,Hunger::N,каш,foame
61,Träne::N,вилин нагъв,lacrimă
62,Geschmack::N,дад,gust
63,Geschmack::N,тӏям,gust
64,Geruch::N,ни,miros
65,Schlaf::N,ахвар,somn
66,Traum::N,ахвар,vis
67,Himmel::N,цав,cer
68,Sonne::N,рагъ,soare
69,Mond::N,варз,lună
70,Stern::N,гъед,stea
71,Luft::N,гьава,aer
72,Wind::N,гар,vânt
73,Welle::N,лепе,val
74,Welle::N,лепе,undă
75,Wasser::N,яд,apă
76,Stein::N,къван,piatră
77,Boden::N,накьв,sol
78,Boden::N,накьв,pământ
79,Erde::N,ччил,pământ
80,Staub::N,руг,praf
81,Rauch::N,гум,fum
82,Funke::N,цӏелхем,scânteie
83,Feuer::N,цӏай,foc
84,Licht::N,экв,lumină
85,Schatten::N,серин,umbră
86,Wetter::N,гьава,timp
87,Wetter::N,гьава,vreme
88,Nebel::N,ччилин циф,ceață
89,Nebel::N,ччилин циф,negură
90,Wolke::N,циф,nor
91,Regen::N,марф,ploaie
92,Schnee::N,жив,zăpadă
93,Eis::N,мурк,gheață
94,Frost::N,аяз,ger
95,Kälte::N,мекь,frig
96,Kälte::N,мекьивал,frig
97,Hitze::N,зегьем,arșiță
98,Hitze::N,зегьем,căldură
99,Raureif::N,къирав,chiciură
100,Regenbogen::N,яргъируш,curcubeu
101,Donner::N,цавун ван,tunet
102,Tropfen::N,стӏал,picătură
103,Schaum::N,каф,spumă
104,Schmutz::N,чирк,murdărie
105,Schmutz::N,кьуруш,murdărie
106,See::N,вир,lac
107,Sumpf::N,уьлен,mlaștină
108,Wiese::N,векь,fânaț
109,Wiese::N,векь,livadă
110,Wald::N,там,codru
111,Wald::N,там,pădure
112,Hügel::N,кӏунтӏ,deal
113,Hügel::N,кӏунтӏ,movilă
114,Anhöhe::N,тепе,deal
115,Anhöhe::N,тепе,ridicătură
116,Anhöhe::N,гьуьндуьрвал,deal
117,Anhöhe::N,гьуьндуьрвал,ridicătură
118,Berg::N,дагъ,munte
119,Gipfel::N,кӏукӏ,pisc
120,Höhle::N,кьветӏ,peșteră
121,Abhang::N,гуьне,pantă
122,Abhang::N,гуьне,versant
123,Quelle::N,чешме,izvor
124,Bach::N,булах,gârlă
125,Fluss::N,вацӏ,râu
126,Fluss::N,вацӏ,fluviu
127,Ufer::N,къерех,mal
128,Ufer::N,къерех,țărm
129,Küste::N,къерех,coastă
130,Festland::N,кьурамат,uscat
131,Meer::N,гьуьл,mare
132,Bucht::N,бухта,golf
133,Insel::N,остров,insulă
134,Blume::N,цуьк,floare
135,Gras::N,хъач,iarbă
136,Wurzel::N,дувул,rădăcină
137,Baum::N,ттар,copac
138,Baum::N,ттар,arbore
139,Stamm::N,тан,tulpină
140,Rinde::N,чкал,scoarță
141,Ast::N,тӏур,cracă
142,Ast::N,тӏур,creangă
143,Zweig::N,хел,ramură
144,Zweig::N,хел,creangă
145,Blatt::N,пеш,frunză
146,Birke::N,верх,mesteacăn
147,Kiefer[Baum]::N,шамагъаж,pin
148,Weide[Baum]::N,цӏвелин ттар,salcie
149,Weide[Baum]::N,цӏвелин ттар,răchită
150,Tanne::N,ель,brad
151,Horn::N,карч,corn
152,Feder::N,цӏакул,pană
153,Fell::N,хам,piele
154,Flügel::N,лув,aripă
155,Klaue::N,къармах,gheară
156,Kralle::N,пац,labă
157,Kralle::N,пац,gheară
158,Kralle::N,тапас,labă
159,Kralle::N,тапас,gheară
160,Schwanz::N,ттум,coadă
161,Ei::N,кака,ou
162,Nest::N,муг,cuib
163,Bau::N,тӏеквен,bârlog
164,Bau::N,тӏеквен,vizuină
165,Tier::N,гьайван,animal
166,Herde::N,суьруь,turmă
167,Herde::N,суьруь,cireadă
168,Kuh::N,ккал,vacă
169,Bulle::N,яц,taur
170,Bulle::N,бугъа,taur
171,Pferd::N,балкӏан,cal
172,Schaf::N,хеб,oaie
173,Schwein::N,вак,porc
174,Hund::N,кицӏ,câine
175,Katze::N,кац,pisică
176,Bär::N,сев,urs
177,Eichhörnchen::N,белка,veveriță
178,Elch::N,лось,elan
179,Fuchs::N,сикӏ,vulpe
180,Hase::N,къуьр,iepure
181,Maus::N,кьиф,șoarece
182,Wolf::N,жанавур,lup
183,Vogel::N,луван ничхир,pasăre
184,Schwarm::N,луж,cârd
185,Huhn::N,верч,găină
186,Hahn::N,кӏек,cocoș
187,Gans::N,къаз,gâscă
188,Adler::N,лекь,vultur
189,Ente::N,пӏатӏ,rață
190,Eule::N,тӏиб,bufniță
191,Kranich::N,дурна,cocor
192,Krähe::N,къаргъа,cioară
193,Kuckuck::N,кукупӏ,cuc
194,Schwan::N,къугь,lebădă
195,Fisch::N,гъед,pește
196,Barsch::N,окунь,biban
197,Hecht::N,щука,știucă
198,Schlange[Tier]::N,илан,șarpe
199,Schlange[Tier]::N,гъуьлягъ,șarpe
200,Wurm::N,квак,vierme
