,Concept_ID,kn,kn
0,Auge::N,ಕಣ್ಣು,ಕಣ್ಣು
1,Ohr::N,ಕಿವಿ,ಕಿವಿ
2,Nase::N,ಮೂಗು,ಮೂಗು
3,Mund::N,ಬಾಯಿ,ಬಾಯಿ
4,Zahn::N,ಹಲ್ಲು,ಹಲ್ಲು
5,Zunge::N,ನಾಲಿಗೆ,ನಾಲಿಗೆ
6,Lippe::N,ತುಟಿ,ತುಟಿ
7,Wange::N,ಗಲ್ಲ,ಗಲ್ಲ
8,Gesicht::N,ಮುಖ,ಮುಖ
9,Stirn::N,ಹಣೆ,ಹಣೆ
10,Haar::N,ಕೂದಲು,ಕೂದಲು
11,Schnurrbart::N,ಮೀಸೆ,ಮೀಸೆ
12,Bart::N,ಗಡ್ಡ,ಗಡ್ಡ
13,Kinn::N,ಗದ್ದ,ಗದ್ದ
14,Kiefer[Anatomie]::N,ದವಡೆ,ದವಡೆ
15,Kehle::N,ಗಂಟಲು,ಗಂಟಲು
16,Hals::N,ಕೊರಳು,ಕೊರಳು
17,Genick::N,ಹಿಂಗತ್ತು,ಹಿಂಗತ್ತು
18,Kopf::N,ತಲೆ,ತಲೆ
19,Rücken::N,ಬೆನ್ನು,ಬೆನ್ನು
20,Bauch::N,ಹೊಟ್ಟೆ,ಹೊಟ್ಟೆ
21,Nabel::N,ಹೊಕ್ಕುಳು,ಹೊಕ್ಕುಳು
22,Busen::N,ಸ್ತನ,ಸ್ತನ
23,Brust::N,ಎದೆ,ಎದೆ
24,Schulter::N,ಭುಜ,ಭುಜ
25,Arm::N,ತೋಳು,ತೋಳು
26,Ellenbogen::N,ಮೊಣಕೈ,ಮೊಣಕೈ
27,Hand::N,ಕೈ,ಕೈ
28,Handfläche::N,ಅಂಗೈ,ಅಂಗೈ
29,Finger::N,ಕೈಬೆರಳು,ಕೈಬೆರಳು
30,Fingernagel::N,ಉಗುರು,ಉಗುರು
31,Nagel[Anatomie]::N,ಉಗುರು,ಉಗುರು
32,Zeh::N,ಕಾಲ್ಬೆರಳು,ಕಾಲ್ಬೆರಳು
33,Fuß::N,ಪಾದ,ಪಾದ
34,Ferse::N,ಹಿಮ್ಮಡಿ,ಹಿಮ್ಮಡಿ
35,Knie::N,ಮಂಡಿ,ಮಂಡಿ
36,Oberschenkel::N,ತೊಡೆ,ತೊಡೆ
37,Bein::N,ಕಾಲು,ಕಾಲು
38,Körper::N,ದೇಹ,ದೇಹ
39,Haut::N,ಚರ್ಮ,ಚರ್ಮ
40,Blut::N,ರಕ್ತ,ರಕ್ತ
41,Ader::N,ನರ,ನರ
42,Sehne::N,ನರ,ನರ
43,Knochen::N,ಮೂಳೆ,ಮೂಳೆ
44,Gehirn::N,ಮಿದುಳು,ಮಿದುಳು
