,Concept_ID,da,ta
0,Auge::N,øje,கண்
1,Ohr::N,øre,காது
2,Nase::N,næse,மூக்கு
3,Mund::N,mund,வாய்
4,Zahn::N,tand,பல்
5,Zunge::N,tunge,நாக்கு
6,Lippe::N,læbe,உதடு
7,Wange::N,kind,கன்னம்
8,Gesicht::N,ansigt,முகம்
9,Stirn::N,pande,முன்னெற்றி
10,Haar::N,hår,முடி
11,Schnurrbart::N,overskæg,மீசை
12,Bart::N,skæg,தாடி
13,Kinn::N,hage,கீழதாடை
14,Kiefer[Anatomie]::N,kæbe,தாடை
15,Kehle::N,strube,தொண்டை
16,Hals::N,hals,கழுத்து
17,Genick::N,nakke,கழுத்து
18,Kopf::N,hoved,தலை
19,Rücken::N,ryg,முதுகு
20,Bauch::N,mave,வயிறு
21,Nabel::N,navle,தொப்புள்
22,Busen::N,barm,மார்பகம்
23,Brust::N,bryst, மார்பு
24,Schulter::N,skulder,தோள்பட்டை
25,Arm::N,arm,கரம்
26,Ellenbogen::N,albue,முழங்கை
27,Hand::N,hånd,கை
28,Handfläche::N,håndflade,உள்ளங்கை
29,Finger::N,finger,விரல்
30,Fingernagel::N,fingernegl,விரல் நகம்
31,Nagel[Anatomie]::N,negl,நகம்
32,Zeh::N,tå,கால்விரல்
33,Fuß::N,fod,கால்
34,Ferse::N,hæl,குதிகால்
35,Knie::N,knæ,முழங்கால்
36,Oberschenkel::N,lår,தொடை
37,Bein::N,ben,கால்
38,Körper::N,krop,உடல்
39,Körper::N,legeme,உடல்
40,Haut::N,hud,சருமம்
41,Blut::N,blod,இரத்தம்
42,Ader::N,åre,நாளம்
43,Sehne::N,sene,தசைநார்
44,Knochen::N,ben,எலுமபு
45,Gehirn::N,hjerne,மூனை
46,Herz::N,hjerte,இதயம
47,Magen::N,mave,வயிறு
48,Leber::N,lever,கல்லீரல்
49,Atem::N,ånde,மூச்சு
50,Hunger::N,sult,பசி
51,Träne::N,tåre,கண்ணீர்
52,Geschmack::N,smag,நறுமணம்
53,Geruch::N,lugt,துர்நாற்றம்
54,Schlaf::N,søvn,தூக்கம்
55,Traum::N,drøm,கனவு
56,Himmel::N,himmel,வானம்
57,Sonne::N,sol,சூரியன்
58,Mond::N,måne,சந்திரன்
59,Stern::N,stjerne,நட்சத்திரம்
60,Luft::N,luft,காறறு
61,Wind::N,vind,காற்று
62,Welle::N,bølge,அலை
63,Wasser::N,vand,நீர்
64,Stein::N,sten,கல்
65,Boden::N,jord,தரை
66,Erde::N,jord,மண்
67,Staub::N,støv,தூசி
68,Rauch::N,røg,புகை
69,Funke::N,gnist,தீப்பொறி
70,Feuer::N,ild,தீ
71,Licht::N,lys,வெளிச்சம்
72,Schatten::N,skygge,நிழல்
73,Wetter::N,vejr,வானிலை
74,Nebel::N,tåge,பனிமூட்டம்
75,Wolke::N,sky,மேகம்
76,Regen::N,regn,மழை
77,Schnee::N,sne,உறைபனி
78,Eis::N,is,பனிக்கட்டி
79,Frost::N,frost,உறைபனி
80,Kälte::N,kulde,குளிர்ந்த
81,Hitze::N,hede,சூடு
82,Raureif::N,rimfrost,உறைபனி வெண்திரை
83,Regenbogen::N,regnbue,வானவில்
84,Donner::N,torden,இடி
85,Strömung::N,strømning,நீரோட்டம்
86,Tropfen::N,dråbe,துளி
87,Schaum::N,skum,நுரை
88,Schmutz::N,snavs,அழுக்கு
89,See::N,sø,ஏரி
90,Sumpf::N,sump,சதுப்பு நிலம்
91,Moor::N,mose,முட்புதற்காடு
92,Wiese::N,eng,பசும் புல்தரை
93,Wald::N,skov,காடு
94,Hügel::N,høj,குன்று
95,Hügel::N,bakke,குன்று
96,Anhöhe::N,høj,பதுக்கை
97,Anhöhe::N,bakke,பதுக்கை
98,Berg::N,bjerg,மலை
99,Gipfel::N,top,உச்சி மாநாடு
100,Höhle::N,hule,குகை
101,Abhang::N,skrænt,சரிவு
102,Abhang::N,skråning,சரிவு
103,Quelle::N,kilde,மூலம்
104,Bach::N,bæk,ஓடை
105,Fluss::N,flod,ஆறு
106,Ufer::N,bred,நீர்க்கரை
107,Küste::N,kyst,கடற்கரை
108,Festland::N,fastland,நிலம்
109,Meer::N,hav,கடல்
110,Bucht::N,bugt,சிறுகுடா
111,Insel::N,ø,தீவு
112,Blume::N,blomst,பூ
113,Gras::N,græs,புல்தரை
114,Wurzel::N,rod,வேர்
115,Baum::N,træ,மரம்
116,Stamm::N,stamme,அடிமரம்
117,Rinde::N,bark,பட்டை
118,Rinde::N,bark,மரப்பட்டை
119,Ast::N,gren,கினை
120,Zweig::N,kvist,குச்சி
121,Blatt::N,blad,இலை
122,Birke::N,birk,பிர்ச் மரம்
123,Kiefer[Baum]::N,fyrretræ,தேவதாரு மரம்
124,Weide[Baum]::N,piletræ,மர வகைகளுள் ஒன்று
125,Tanne::N,gran,சாதிக்கய்
126,Horn::N,horn,கொம்பு
127,Feder::N,fjer,இறகு
128,Fell::N,skind,மென்முடி
129,Flügel::N,vinge,இறக்கை
130,Klaue::N,klov,நகம்
131,Kralle::N,klo,நகம்
132,Schwanz::N,hale,வால்
133,Ei::N,æg,முட்டை
134,Nest::N,rede,கூடு
135,Bau::N,bo,குகை
136,Tier::N,dyr,விலங்கு
137,Herde::N,flok,கூட்டம்
138,Kuh::N,ko,பசு
139,Bulle::N,tyr,காளை
140,Pferd::N,hest,குதிரை
141,Schaf::N,får,செம்மறிஆடு
142,Schwein::N,gris,பன்றி
143,Hund::N,hund,நாய்
144,Katze::N,kat,பூனை
145,Bär::N,bjørn,கரடி
146,Eichhörnchen::N,egern,அணில்
147,Elch::N,elg,கடம்பை
148,Fuchs::N,ræv,நரி
149,Hase::N,hare,முயல்
150,Maus::N,mus,எலி
151,Wolf::N,ulv,ஓநாய்
152,Vogel::N,fugl,பறவை
153,Schwarm::N,sværm,தொகுதி
154,Huhn::N,høne,கோழிக்குஞசு
155,Hahn::N,hane,சேவல்
156,Gans::N,gås,பெண் வாத்து
157,Adler::N,ørn,பருநது
158,Ente::N,and,வாத்து
159,Eule::N,ugle,ஆந்தை
160,Kranich::N,trane,நாரை
161,Krähe::N,krage,காகம்
162,Kuckuck::N,gøg,குயில்
163,Schwan::N,svane,அன்னம்
164,Fisch::N,fisk,மீன்
165,Barsch::N,aborre,பேர்ச்
166,Hecht::N,gedde,கோலாச்சி மீன்
167,Schlange[Tier]::N,slange,பாம்பு
168,Wurm::N,orm,புழு
169,Spinne::N,edderkop,சிலந்தி
