,Concept_ID,kn,hi
0,Auge::N,ಕಣ್ಣು,आँख
1,Auge::N,ಕಣ್ಣು,चक्षु
2,Ohr::N,ಕಿವಿ,कान
3,Ohr::N,ಕಿವಿ,कर्ण
4,Nase::N,ಮೂಗು,नाक
5,Nase::N,ಮೂಗು,नासा
6,Mund::N,ಬಾಯಿ,मुख
7,Mund::N,ಬಾಯಿ,मुँह
8,Zahn::N,ಹಲ್ಲು,दंत
9,Zahn::N,ಹಲ್ಲು,दाँत
10,Zunge::N,ನಾಲಿಗೆ,जीभ
11,Zunge::N,ನಾಲಿಗೆ,ज़बान
12,Zunge::N,ನಾಲಿಗೆ,जिह्वा
13,Lippe::N,ತುಟಿ,ओंठ
14,Lippe::N,ತುಟಿ,होंठ
15,Wange::N,ಗಲ್ಲ,गाल
16,Wange::N,ಗಲ್ಲ,कपोल
17,Gesicht::N,ಮುಖ,मुँह
18,Gesicht::N,ಮುಖ,चेहरा
19,Stirn::N,ಹಣೆ,माथा
20,Stirn::N,ಹಣೆ,मस्तक
21,Haar::N,ಕೂದಲು,बाल
22,Schnurrbart::N,ಮೀಸೆ,मूँछें
23,Bart::N,ಗಡ್ಡ,दाढ़ी
24,Kinn::N,ಗದ್ದ,चिबुक
25,Kiefer[Anatomie]::N,ದವಡೆ,जबड़ा
26,Kehle::N,ಗಂಟಲು,गला
27,Hals::N,ಕೊರಳು,गला
28,Hals::N,ಕೊರಳು,गरदन
29,Genick::N,ಹಿಂಗತ್ತು,गरदन
30,Genick::N,ಹಿಂಗತ್ತು,ग्रीवा
31,Kopf::N,ತಲೆ,सिर
32,Kopf::N,ತಲೆ,शीर्ष
33,Rücken::N,ಬೆನ್ನು,पीठ
34,Bauch::N,ಹೊಟ್ಟೆ,उदर
35,Nabel::N,ಹೊಕ್ಕುಳು,नाभि
36,Nabel::N,ಹೊಕ್ಕುಳು,ढोंढी
37,Busen::N,ಸ್ತನ,कुच
38,Busen::N,ಸ್ತನ,स्तन
39,Brust::N,ಎದೆ,वक्ष
