,Concept_ID,lez,zh
0,Auge::N,вил,眼睛
1,Ohr::N,яб,耳朵
2,Nase::N,нер,鼻子
3,Mund::N,сив,嘴
4,Zahn::N,сас,牙齿
5,Zahn::N,свах,牙齿
6,Zunge::N,мез,舌头
7,Lippe::N,пӏуз,嘴唇
8,Wange::N,хъвехъ,面颊
9,Gesicht::N,ччин,脸
10,Stirn::N,пел,额
11,Haar::N,чӏар,头发
12,Schnurrbart::N,спел,髭须
13,Schnurrbart::N,спелар,髭须
14,Bart::N,ччуру,胡子
15,Kinn::N,чене,下巴
16,Kiefer[Anatomie]::N,чене,颌
17,Kehle::N,туьд,嗓子
18,Hals::N,гардан,颈
19,Genick::N,кьам,后颈
20,Kopf::N,кьил,头
21,Rücken::N,далу,背
22,Bauch::N,руфун,肚子
23,Nabel::N,пицӏ,肚脐
24,Busen::N,мам,胸脯
25,Brust::N,хур,胸
26,Schulter::N,къуьн,肩膀
27,Arm::N,гъил,臂膀
28,Ellenbogen::N,кьуьнт,肘
29,Hand::N,капаш,手
30,Handfläche::N,капан юкь,手掌
31,Finger::N,тӏуб,手指
32,Fingernagel::N,кек,指甲
33,Nagel[Anatomie]::N,кек,指甲
34,Zeh::N,кул,脚趾
35,Fuß::N,кӏвач,脚
36,Ferse::N,дабан,后跟
37,Knie::N,мет,膝
38,Bein::N,кӏвач,腿
39,Körper::N,беден,身体
40,Haut::N,хам,皮肤
41,Blut::N,иви,血
42,Ader::N,дамар,血管
43,Sehne::N,кьуру дамар,腱
44,Knochen::N,кӏараб,骨
45,Gehirn::N,мефт,脑
46,Herz::N,рикӏ,心
47,Magen::N,хук,胃
48,Leber::N,лекь,肝
49,Atem::N,ял,呼吸
50,Atem::N,нефес,呼吸
51,Hunger::N,каш,饿
52,Träne::N,вилин нагъв,眼泪
53,Geschmack::N,дад,味道
54,Geschmack::N,тӏям,味道
55,Geruch::N,ни,气味
56,Schlaf::N,ахвар,睡眠
57,Traum::N,ахвар,梦
58,Himmel::N,цав,天空
59,Sonne::N,рагъ,太阳
60,Mond::N,варз,月亮
61,Stern::N,гъед,星
62,Luft::N,гьава,空气
63,Wind::N,гар,风
64,Welle::N,лепе,波
65,Wasser::N,яд,水
66,Stein::N,къван,石头
67,Boden::N,накьв,地面
68,Erde::N,ччил,地
69,Staub::N,руг,灰尘
70,Rauch::N,гум,烟
71,Funke::N,цӏелхем,火花
72,Feuer::N,цӏай,火
73,Licht::N,экв,光
74,Schatten::N,серин,影子
75,Wetter::N,гьава,天气
76,Nebel::N,ччилин циф,雾
77,Wolke::N,циф,云
78,Regen::N,марф,雨
79,Schnee::N,жив,雪
80,Eis::N,мурк,冰
81,Frost::N,аяз,霜冻
82,Kälte::N,мекь,寒冷
83,Kälte::N,мекьивал,寒冷
84,Hitze::N,зегьем,炎热
85,Raureif::N,къирав,霜
86,Regenbogen::N,яргъируш,虹
87,Donner::N,цавун ван,雷
88,Tropfen::N,стӏал,滴
89,Schaum::N,каф,泡沫
90,Schmutz::N,чирк,赃物
91,Schmutz::N,кьуруш,赃物
92,See::N,вир,湖
93,Sumpf::N,уьлен,沼泽
94,Wiese::N,векь,草地
95,Wald::N,там,森林
96,Hügel::N,кӏунтӏ,丘陵
97,Anhöhe::N,тепе,山丘
98,Anhöhe::N,гьуьндуьрвал,山丘
99,Berg::N,дагъ,山
100,Gipfel::N,кӏукӏ,峰
101,Höhle::N,кьветӏ,洞穴
102,Abhang::N,гуьне,斜坡
103,Quelle::N,чешме,泉
104,Bach::N,булах,溪
105,Fluss::N,вацӏ,河流
106,Ufer::N,къерех,岸
107,Küste::N,къерех,海岸
108,Festland::N,кьурамат,大陆
109,Meer::N,гьуьл,海
110,Bucht::N,бухта,海湾
111,Insel::N,остров,岛
112,Blume::N,цуьк,花
113,Gras::N,хъач,草
114,Wurzel::N,дувул,根
115,Baum::N,ттар,树
116,Stamm::N,тан,树干
117,Rinde::N,чкал,树皮
118,Ast::N,тӏур,树枝
119,Zweig::N,хел,树枝
120,Blatt::N,пеш,叶子
121,Birke::N,верх,桦木
122,Kiefer[Baum]::N,шамагъаж,松树
123,Weide[Baum]::N,цӏвелин ттар,柳树
124,Tanne::N,ель,冷杉
125,Horn::N,карч,角
126,Feder::N,цӏакул,羽毛
127,Fell::N,хам,皮毛
128,Flügel::N,лув,翅膀
129,Klaue::N,къармах,爪子
130,Kralle::N,пац,爪子
131,Kralle::N,тапас,爪子
132,Schwanz::N,ттум,尾巴
133,Ei::N,кака,蛋
134,Nest::N,муг,巢
135,Bau::N,тӏеквен,穴
136,Tier::N,гьайван,动物
137,Herde::N,суьруь,群
138,Kuh::N,ккал,母牛
139,Bulle::N,яц,公牛
140,Bulle::N,бугъа,公牛
141,Pferd::N,балкӏан,马
142,Schaf::N,хеб,羊
143,Schwein::N,вак,猪
144,Hund::N,кицӏ,狗
145,Katze::N,кац,猫
146,Bär::N,сев,熊
147,Eichhörnchen::N,белка,松鼠
148,Elch::N,лось,麋鹿
149,Fuchs::N,сикӏ,狐狸
150,Hase::N,къуьр,兔子
151,Maus::N,кьиф,老鼠
152,Wolf::N,жанавур,狼
153,Vogel::N,луван ничхир,鸟
