,Concept_ID,av,zh
0,Ohr::N,гӏин,耳朵
1,Nase::N,мегӏер,鼻子
2,Mund::N,кӏал,嘴
3,Zahn::N,гӏус,牙齿
4,Zunge::N,мацӏ,舌头
5,Lippe::N,кӏветӏ,嘴唇
6,Wange::N,гӏоно,面颊
7,Gesicht::N,гьумер,脸
8,Stirn::N,нодо,额
9,Haar::N,рас,头发
10,Schnurrbart::N,михъ,髭须
11,Bart::N,мегеж,胡子
12,Kinn::N,нилъу,下巴
13,Kiefer[Anatomie]::N,чанагъ,颌
14,Kehle::N,щекъер,嗓子
15,Hals::N,габур,颈
16,Genick::N,гъванща,后颈
17,Kopf::N,бетӏер,头
18,Rücken::N,мугъ,背
19,Bauch::N,чехь,肚子
20,Nabel::N,цӏину,肚脐
21,Busen::N,керен,胸脯
22,Brust::N,керен,胸
23,Schulter::N,гъажазубетӏер,肩膀
24,Arm::N,гъеж,臂膀
25,Ellenbogen::N,гӏункӏрукь,肘
26,Hand::N,квер,手
27,Handfläche::N,огъохъат,手掌
28,Handfläche::N,жанисахъат,手掌
29,Finger::N,килищ,手指
30,Fingernagel::N,малъ,指甲
31,Nagel[Anatomie]::N,малъ,指甲
32,Zeh::N,килищ,脚趾
33,Fuß::N,хӏетӏ,脚
34,Fuß::N,хӏетӏе,脚
35,Ferse::N,эгъе,后跟
36,Knie::N,наку,膝
37,Oberschenkel::N,мачӏ,大腿
38,Bein::N,бох,腿
39,Körper::N,къаркъала,身体
40,Haut::N,тӏом,皮肤
41,Blut::N,би,血
42,Ader::N,бидурихь,血管
43,Knochen::N,ракьа,骨
44,Gehirn::N,гӏадалнах,脑
45,Herz::N,ракӏ,心
46,Magen::N,кванирукъ,胃
47,Leber::N,тӏул,肝
48,Atem::N,хӏухь,呼吸
49,Hunger::N,ракъи,饿
50,Träne::N,магӏу,眼泪
51,Geschmack::N,тату,味道
52,Geruch::N,махӏ,气味
53,Schlaf::N,макьу,睡眠
54,Traum::N,макьу,梦
55,Himmel::N,зоб,天空
56,Sonne::N,бакъ,太阳
57,Mond::N,моцӏ,月亮
58,Stern::N,цӏва,星
59,Luft::N,гьава,空气
60,Wind::N,гьури,风
61,Welle::N,карачел,波
62,Wasser::N,лъим,水
63,Stein::N,гьецӏо,石头
64,Boden::N,ракь,地面
65,Erde::N,ракь,地
66,Erde::N,дуниял,地
67,Staub::N,хӏур,灰尘
68,Rauch::N,кӏкӏуй,烟
69,Feuer::N,цӏа,火
70,Licht::N,канлъи,光
71,Schatten::N,рагӏад,影子
72,Wetter::N,гьава-бакъ,天气
73,Nebel::N,гӏодобнакӏкӏ,雾
74,Wolke::N,накӏкӏ,云
75,Regen::N,цӏад,雨
76,Schnee::N,гӏазу,雪
77,Eis::N,цӏер,冰
78,Frost::N,замгьари,霜冻
