,Concept_ID,xal,pl
0,Auge::N,нүдн,oko
1,Ohr::N,чикн,ucho
2,Nase::N,хамр,nos
3,Mund::N,амн,usta
4,Zahn::N,шүдн,ząb
5,Zunge::N,келн,język
6,Lippe::N,урл,warga
7,Wange::N,халх,policzek
8,Gesicht::N,нүр,twarz
9,Stirn::N,маңна,czoło
10,Haar::N,үсн,włos
11,Haar::N,үсн,włosy
12,Schnurrbart::N,сахл,wąsy
13,Bart::N,сахл,broda
14,Bart::N,өргнә сахл,broda
15,Kinn::N,өргн,podbródek
16,Kiefer[Anatomie]::N,өргн,czeluść
17,Kehle::N,хол,gardło
18,Hals::N,күзүн,szyja
19,Genick::N,гиҗг,kark
20,Kopf::N,толһа,głowa
21,Rücken::N,нурһн,plecy
22,Rücken::N,нурһн,grzbiet
23,Bauch::N,гесн,brzuch
24,Nabel::N,киисн,pępek
25,Busen::N,көкн,biust
26,Brust::N,чееҗ,pierś
27,Schulter::N,ээм,bark
28,Schulter::N,ээм,ramię
29,Arm::N,һар,ręka
30,Arm::N,һар,ramię
31,Ellenbogen::N,тоха,łokieć
32,Hand::N,баһлцг,dłoń
33,Handfläche::N,альхн,dłoń
34,Finger::N,хурһн,palec
35,Finger::N,һарин хурһн,palec
36,Fingernagel::N,хумсн,paznokieć
37,Nagel[Anatomie]::N,хумсн,paznokieć
38,Zeh::N,хурһн,palec
39,Zeh::N,көлин хурһн,palec
40,Fuß::N,тавг,stopa
41,Ferse::N,өскә,pięta
42,Knie::N,өвдг,kolano
43,Oberschenkel::N,һуй,udo
44,Bein::N,көл,noga
45,Körper::N,махмуд,ciało
46,Haut::N,арсн,skóra
47,Blut::N,цусн,krew
48,Ader::N,судцн,żyła
49,Sehne::N,шүрүсн,ścięgno
50,Knochen::N,ясн,kość
51,Gehirn::N,экн,mózg
52,Herz::N,зүркн,serce
53,Magen::N,гесн,żołądek
54,Leber::N,элкн,wątroba
55,Atem::N,әмсхл,dech
56,Atem::N,әмсхл,oddech
57,Hunger::N,харһнлһн,głód
58,Träne::N,нульмсн,łza
59,Geschmack::N,амтн,smak
60,Geruch::N,үнр,woń
61,Geruch::N,үнр,zapach
62,Schlaf::N,нөр,sen
63,Traum::N,зүүдн,sen
64,Himmel::N,теңгр,niebo
65,Sonne::N,нарн,słońce
66,Mond::N,сар,księżyc
67,Stern::N,одн,gwiazda
68,Luft::N,аһар,powietrze
69,Wind::N,салькн,wiatr
70,Welle::N,дольган,fala
71,Wasser::N,усн,woda
72,Stein::N,чолун,kamień
73,Boden::N,Һазр,grunt
74,Erde::N,Һазр,ziemia
75,Staub::N,тоосн,pył
76,Staub::N,тоосн,kurz
77,Rauch::N,утан,dym
78,Funke::N,очн,iskra
79,Feuer::N,һал,ogień
80,Licht::N,герл,światło
81,Schatten::N,сүүдр,cień
82,Wetter::N,теңгр,pogoda
83,Nebel::N,будн,mgła
84,Wolke::N,үүлн,obłok
85,Wolke::N,үүлн,chmura
86,Regen::N,хур,deszcz
87,Schnee::N,цасн,śnieg
88,Eis::N,мөсн,lód
89,Frost::N,киитн,mróz
90,Kälte::N,киитн,chłód
91,Hitze::N,халун,gorąco
92,Raureif::N,цаң,szron
93,Raureif::N,кирү,szron
94,Regenbogen::N,солңһ,tęcza
95,Donner::N,оһтрһун дун,grzmot
96,Strömung::N,урсхл,nurt
97,Tropfen::N,дусал,kropla
98,Schaum::N,көөсн,piana
99,Schmutz::N,кир,brud
100,See::N,нур,jezioro
101,Sumpf::N,унул,bagno
102,Moor::N,улм,bagno
103,Wiese::N,хадлһн,łąka
104,Wald::N,ө-модн,las
105,Hügel::N,толһа,pagórek
106,Anhöhe::N,хамр,wzgórze
107,Berg::N,уул,góra
108,Gipfel::N,ора,szczyt
109,Gipfel::N,ора,wierzchołek
110,Höhle::N,хадин көндә,pieczara
111,Abhang::N,ташу,stok
112,Abhang::N,ташу,zbocze
113,Quelle::N,булг,zdrój
114,Quelle::N,булг,źródło
115,Bach::N,һооҗур,potok
116,Bach::N,һооҗур,strumień
117,Fluss::N,һол,rzeka
118,Ufer::N,көвә,brzeg
119,Küste::N,көвә,wybrzeże
120,Küste::N,теңгсин көвә,wybrzeże
121,Festland::N,хүүрә һазр,ląd
122,Meer::N,теңгс,morze
123,Bucht::N,цекә,zatoka
124,Bucht::N,теңгсин цекә,zatoka
125,Insel::N,арл,wyspa
126,Blume::N,цецг,kwiat
127,Gras::N,ноһан,trawa
128,Wurzel::N,уңг,korzeń
129,Baum::N,модн,drzewo
130,Stamm::N,шилв,pień
131,Stamm::N,һол модн,pień
132,Rinde::N,көрсн,kora
133,Ast::N,ац,gałąź
134,Zweig::N,ац,gałąź
135,Blatt::N,хамтхасн,liść
136,Birke::N,хусм модн,brzoza
137,Kiefer[Baum]::N,шар харһа,sosna
138,Weide[Baum]::N,удн,wierzba
139,Tanne::N,җөөлн цаһан модн,jodła
140,Horn::N,өвр,róg
141,Feder::N,өрвлг,pióro
142,Fell::N,арсн,futro
143,Flügel::N,җивр,skrzydło
144,Klaue::N,хумсн,szpon
145,Kralle::N,тавг,pazur
146,Schwanz::N,сүл,ogon
147,Ei::N,өндгн,jajko
148,Nest::N,үр,gniazdo
149,Bau::N,нүкн,nora
150,Tier::N,мал,zwierzę
151,Herde::N,сүрг мал,stado
152,Herde::N,сүрг мал,trzoda
153,Kuh::N,үкр,krowa
154,Bulle::N,бух,byk
155,Pferd::N,мөрн,koń
156,Schaf::N,хөн,owca
157,Schwein::N,һаха,świnia
158,Hund::N,ноха,pies
159,Katze::N,мис,kot
160,Katze::N,мис,kotka
161,Bär::N,аю,niedźwiedż
162,Eichhörnchen::N,кермн,wiewiórka
163,Elch::N,хандһа,łóś
164,Fuchs::N,арат,lis
165,Hase::N,туула,zając
166,Maus::N,хулһн,mysz
167,Wolf::N,чон,wilk
168,Vogel::N,шовун,ptak
169,Schwarm::N,зел,stado
170,Huhn::N,така,kura
171,Hahn::N,эр така,kogut
172,Gans::N,һалун,gęś
173,Adler::N,һәрд,orzeł
174,Ente::N,нуһсн,kaczka
175,Eule::N,һурвлһ,sowa
176,Kranich::N,тоһрун,żuraw
177,Krähe::N,шаазһа,wrona
178,Kuckuck::N,эргин хуцдг,kukułka
179,Schwan::N,хун,łabędż
180,Fisch::N,заһсн,ryba
181,Barsch::N,шүрг,okoń
182,Hecht::N,цурх,szczupak
183,Schlange[Tier]::N,моһа,wąż
184,Schlange[Tier]::N,моһа,żmija
185,Wurm::N,өтн,robak
186,Spinne::N,аралҗн,pająk
187,Ameise::N,шорһлҗн,mrówka
188,Laus::N,бөөсн,wesz
189,Mücke::N,бөкүн,komar
190,Fliege::N,батхн,mucha
191,Schmetterling::N,эрвәкә,motyl
192,Beere::N,бөөлҗрһн,jagoda
193,Apfel::N,альмн,jabłko
194,Pilz::N,теңгрин ки,grzyb
195,Zwiebel::N,мәңгрснә толһа,cebula
196,Saat::N,буудян экн,siew
197,Korn::N,экн,ziarno
198,Heu::N,өвсн,siano
199,Schale::N,хальсн,łupina
200,Grube::N,нүкн,dół
201,Grube::N,нүкн,jama
202,Falle::N,урх,pułapka
203,Falle::N,хавх,pułapka
204,Schlinge::N,бүтү,sidła
205,Spur::N,мөр,ślad
206,Asche::N,үмсн,popiół
207,Dreck::N,бальчг,brud
208,Eisen::N,төмр,żelazo
209,Gold::N,алтн,złoto
210,Silber::N,мөңгн,srebro
211,Silber::N,цаһан мөңгн,srebro
212,Kohle::N,нүүрсн,węgiel
213,Glas::N,шил,szkło
214,Lehm::N,шавр,glina
215,Sand::N,элсн,piasek
216,Mensch::N,күн,człowiek
217,Mensch::N,күмн,człowiek
218,Mann::N,эр,mężczyzna
219,Frau::N,күүкд күн,kobieta
220,Kind::N,үрн,dziecko
221,Junge::N,көвүн,chłopak
222,Junge::N,көвүн,chłopiec
223,Mädchen::N,бичкн күүкн,dziewczynka
224,Familie::N,бүл,rodzina
225,Großvater::N,өвк эцк,dziadek
226,Großvater::N,наһц эцк,dziadek
227,Großmutter::N,эмг эк,babka
228,Großmutter::N,наһц эк,babka
229,Eltern::N,эк эцк хойр,rodzice
230,Vater::N,эцк,ojciec
231,Mutter::N,эк,matka
232,Sohn::N,көвүн,syn
233,Tochter::N,күүкн,córka
234,Bruder::N,дү көвүн,brat
235,Schwester::N,эгч,siostra
236,Schwester::N,дү күүкн,siostra
237,Onkel::N,авһ,wuj
238,Onkel::N,авһ,stryj
239,Onkel::N,наһцх,wuj
240,Onkel::N,наһцх,stryj
241,Tante::N,наһц эгч,ciotka
242,Ehemann::N,залу,mąż
243,Ehefrau::N,гергн,żona
244,Freude::N,байр,radość
245,Gelächter::N,инәдн,śmiech
246,Glück::N,җирһл,szczęście
247,Glück::N,сәәхн җирһл,szczęście
248,Kummer::N,зовлң,zmartwienie
249,Wunsch::N,дурн,życzenie
250,Lust::N,җилвтлһн,chęć
251,Lust::N,җилвтлһн,ochota
252,Geist::N,зөрг,duch
253,Gedanke::N,ухан,myśl
254,Gedächtnis::N,чееҗин тодлвр,pamięć
255,Verstand::N,ухан,rozum
256,Sinn::N,учр-утх,zmysł
257,Grund::N,учр,powód
258,Grund::N,шалтан,powód
259,Wahrheit::N,үнн,prawda
260,Gespräch::N,күүндвүр,rozmowa
261,Märchen::N,тууль,bajka
262,Erzählung::N,келвр,opowiadanie
263,Nachricht::N,медүллһн,wiadomość
264,Neuigkeit::N,зәңг,nowina
265,Name::N,нерн,imię
266,Rätsel::N,тәәлвртә тууль,zagadka
267,Rede::N,келлһн,mowa
268,Sprache::N,келн,język
269,Stimme::N,дун,głos
270,Wort::N,үг,słowo
271,Zeichen::N,темдг,znak
272,Ruf::N,дуудлһн,wołanie
273,Lärm::N,шууган,hałas
274,Lärm::N,шууган,zgiełk
275,Laut::N,ә,dźwięk
276,Ton::N,дун,ton
277,Ton::N,дун,dźwięk
278,Lied::N,дун,pieśń
279,Lied::N,дун,piosenka
280,Ruhe::N,амулң,spokój
281,Leute::N,әмтн,ludzie
282,Volk::N,улс,naród
283,Arbeit::N,көдлмш,praca
284,Arbeit::N,көдлмш,robota
285,Gast::N,гиич,gość
286,Geschenk::N,белг,prezent
287,Geschenk::N,белг,podarunek
288,Spiel::N,наадн,gra
289,Spiel::N,наадн,zabawa
290,Gesellschaft::N,олн,towarzystwo
291,Hilfe::N,нөкд,pomoc
292,Freund::N,иньг,przyjaciel
293,Kamerad::N,үр,kolega
294,Angelegenheit::N,керг,sprawa
295,Anzahl::N,то,ilość
296,Art::N,зүүл,rodzaj
297,Stück::N,хусг,kawałek
298,Teil::N,хүв,część
299,Hälfte::N,өрәл,połowa
300,Kreis::N,төгрг,krąg
301,Kreuz::N,кирс,krzyż
302,Linie::N,зурасн,linia
303,Strich::N,татасн,kreska
304,Abstand::N,зә,odstęp
305,Entfernung::N,һазр,odległość
306,Gegend::N,һазр,okolica
307,Platz::N,зә,miejsce
308,Ort::N,бәәрн,miejsce
309,Seite::N,тал,bok
310,Seite::N,тал,strona
311,Seite::N,хаҗу,bok
312,Seite::N,хаҗу,strona
313,Seite::N,хәврһ,bok
314,Seite::N,хәврһ,strona
315,Mitte::N,дунд,środek
316,Gegenstand::N,юмн,przedmiot
317,Sache::N,юмн,rzecz
318,Rand::N,зах,skraj
319,Rand::N,зах,krawędź
320,Kante::N,ирмәг,kant
321,Kante::N,ирмәг,krawędź
322,Ecke::N,өнцг,róg
323,Spitze::N,үзүр,ostrze
324,Ende::N,үзүр,koniec
325,Loch::N,хаһрха,dziura
326,Winkel::N,булң,kąt
327,Winkel::N,булң,kącik
328,Muster::N,намч,wzór
329,Größe::N,кемҗән,rozmiar
330,Größe::N,кемҗән,wielkość
331,Länge::N,ут,długość
332,Höhe::N,өндр,wysokość
333,Gewicht::N,күнд,ciężar
334,Gewicht::N,чиңнүр,ciężar
335,Menge::N,ик,ilość
336,Haufen::N,ова,kupa
337,Reihe::N,зерг,rząd
338,Reihe::N,зерг,szereg
339,Reihe::N,зерглән,rząd
340,Reihe::N,зерглән,szereg
341,Boot::N,оңһц,łódź
342,Boot::N,оңһц,łódka
343,Ruder::N,хәәв,wiosło
344,Schlitten::N,цан,sanki
345,Ski::N,лыҗ,narta
346,Lagerfeuer::N,костёр,ognisko
347,Last::N,күнд,ciężar
348,Last::N,күнд,brzemię
349,Gang::N,йовлһн,chód
350,Schritt::N,ишкм,krok
351,Norden::N,ар үзг,północ
352,Süden::N,өмн,południe
353,Süden::N,өмн үзг,południe
354,Westen::N,барун,zachód
355,Westen::N,барун үзг,zachód
356,Osten::N,зүн,wschód
357,Osten::N,зүн үзг,wschód
358,Holz::N,модн,drzewo
359,Brett::N,харһа,deska
360,Platte::N,хавтха чолун,płyta
361,Stütze::N,тулг,podpora
362,Stange::N,уньн,drąg
363,Stange::N,уньн,żerdź
364,Stock::N,модн,kij
365,Stock::N,модн,laska
366,Stab::N,шуург,pręt
367,Rohr::N,турва,rura
368,Haus::N,гер,dom
369,Heim::N,гер-бул,dom
370,Ofen::N,беш,piec
371,Fußboden::N,девскр,podłoga
372,Tisch::N,ширә,stół
373,Stuhl::N,стул,krzesło
374,Wiege::N,өлгә,kołyska
375,Wiege::N,дүүҗң,kołyska
376,Bett::N,орн,łóżko
377,Bett::N,орн,pościel
378,Bett::N,орндг,łóżko
379,Bett::N,орндг,pościel
380,Regal::N,таг,regał
381,Regal::N,тәвц,regał
382,Kiste::N,яршг,skrzynia
383,Fenster::N,терз,okno
384,Tür::N,үүдн,drzwi
385,Tor::N,үүдн,brama
386,Tor::N,өргн үүдн,brama
387,Tor::N,хашан үүдн,brama
388,Zaun::N,хаша,płot
389,Zaun::N,хаша,parkan
390,Dach::N,деевр,dach
391,Leiter::N,шат,drabina
392,Leiter::N,давшур,drabina
393,Besen::N,сәвүр,miotła
394,Spaten::N,күрз,rydel
395,Schaufel::N,совг,łopata
396,Gabel::N,серә,widelec
397,Löffel::N,ухр,łyżka
398,Messer::N,утх,nóż
399,Nagel::N,хадасн,gwóźdź
400,Netz::N,гөлм,sieć
401,Haken::N,дегә,hak
402,Griff::N,иш,chwyt
403,Griff::N,бәрүл,chwyt
404,Schloss::N,оньс,zamek
405,Bild::N,зург,obraz
406,Figur::N,фигур,figura
407,Puppe::N,наадһа,lalka
408,Beutel::N,мишг,torba
409,Bündel::N,багла,wiązka
410,Bündel::N,боодһа,wiązka
411,Tasche::N,сумк,torba
412,Eimer::N,суулһ,kubeł
413,Eimer::N,суулһ,wiadro
414,Deckel::N,бүркәсн,przykrywka
415,Geschirr::N,сав,statki
416,Geschirr::N,сав,naczynia
417,Geschirr::N,сав-сарх,statki
418,Geschirr::N,сав-сарх,naczynia
419,Sack::N,мишг,worek
420,Tasse::N,ааһ,filiżanka
421,Topf::N,кастрюль,garnek
422,Kessel::N,хәәсн,kocioł
423,Essen::N,зоогллһн,jedzenie
424,Nahrung::N,теҗәл,pokarm
425,Nahrung::N,теҗәл,pożywienie
426,Speise::N,хот,potrawa
427,Speise::N,хот,jedzenie
428,Fleisch::N,махн,mięso
429,Getreide::N,хот болҗ эдлгддг цецгүдтә урһмл,zboże
430,Brei::N,хаш,kasza
431,Brot::N,өдмг,chleb
432,Scheibe::N,зүсм,kromka
433,Fett::N,өөкн,tłuszcz
434,Butter::N,тосн,masło
435,Öl::N,тосн,olej
436,Salz::N,давсн,sól
437,Suppe::N,шөлн,zupa
438,Honig::N,бал,miód
439,Milch::N,үсн,mleko
440,Tee::N,цә,herbata
441,Leder::N,арсн,skóra
442,Wolle::N,утцн,wełna
443,Wolle::N,эд,wełna
444,Stoff::N,эд,tkanina
445,Stoff::N,эд,materiał
446,Nadel::N,зүн,igła
447,Faden::N,утцн,nić
448,Faden::N,утцн,nitka
449,Knopf::N,товч,guzik
450,Knoten::N,зәңгдә,węzeł
451,Farbe::N,будг,farba
452,Kleidung::N,хувцн,odzież
453,Kleidung::N,хувц-хунр,odzież
454,Hemd::N,киилг,koszula
455,Kragen::N,зах,kołnierz
456,Ärmel::N,ханцн,rękaw
457,Hose::N,шалвур,spodnie
458,Gürtel::N,бүс,pasek
459,Mütze::N,махла,czapka
460,Schuh::N,башмгуд,but
461,Schuh::N,башмгуд,bucik
462,Stiefel::N,һосн,but
463,Stiefel::N,һосн,kozak
464,Ring::N,билцг,pierścień
465,Band::N,лент,wstęga
466,Kamm::N,сам,grzebień
467,Spiegel::N,толь,lustro
468,Riemen::N,бүс,rzemień
469,Schnur::N,деесн,sznur
470,Leine::N,бурнтг,smycz
471,Leine::N,нохан көтлвр,smycz
472,Decke::N,көнҗл,kołdra
473,Kissen::N,дер,poduszka
474,Tuch::N,альчур,chustka
475,Handtuch::N,полотенц,ręcznik
476,Handtuch::N,һар-нүүрин альчур,ręcznik
477,Kraft::N,күчн,moc
478,Kraft::N,күчн,siła
479,Stärke::N,чидл,moc
480,Stärke::N,чидл,siła
481,Gesundheit::N,эрүл-менд,zdrowie
482,Krankheit::N,өвчн,choroba
483,Schmerz::N,өвдлһн,ból
484,Wunde::N,шав,rana
485,Fieber::N,безг,gorączka
486,Arznei::N,эм,lekarstwo
487,Brücke::N,тагт,most
488,Brunnen::N,худг,studnia
489,Weide::N,малын идг,pastwisko
490,Pfad::N,цувг,ścieżka
491,Weg::N,хаалһ,droga
492,Straße::N,зам,ulica
493,Dorf::N,хотн,wieś
494,Stadt::N,балһсн,miasto
495,Brief::N,бичг,list
496,Buch::N,дегтр,książka
497,Buchstabe::N,үзг,litera
498,Zeitung::N,газет,gazeta
499,Zeitung::N,газет,dziennik
500,Leben::N,җирһл,życie
501,Tod::N,үкл,śmierć
502,Tod::N,өңгрлһн,śmierć
503,Grab::N,оршалһна нүкн,grób
504,Kirche::N,чонҗ,kościół
505,Sünde::N,нүл,grzech
506,Sünde::N,килнц,grzech
507,Gott::N,бурхн,bóg
508,Arbeiter::N,көдлмшч,robotnik
509,Chef::N,толһач,szef
510,Meister::N,урн,mistrz
511,Meister::N,урн,majster
512,Arzt::N,эмч,lekarz
513,Lehrer::N,багш,nauczyciel
514,Geld::N,мөңгн,pieniądze
515,Geschäft::N,көдлмш,sprawa
516,Geschäft::N,көдлмш,interes
517,Laden::N,лавк,sklep
518,Preis::N,үн,cena
519,Ware::N,эд-тавр,towar
