,Concept_ID,sk,sl
0,Auge::N,oko,okó
1,Ohr::N,ucho,uhó
2,Nase::N,nos,nós
3,Mund::N,ústa,ústa
4,Zahn::N,zub,zób
5,Zunge::N,jazyk,jêzik
6,Lippe::N,pera,ústnica
7,Wange::N,líce,líce
8,Gesicht::N,tvár,oblíčje
9,Gesicht::N,obličaj,oblíčje
10,Stirn::N,čelo,čêlo
11,Haar::N,vlas,lás
12,Schnurrbart::N,fúzy,bŕki
13,Bart::N,brada,bráda
14,Kinn::N,brada,bráda
15,Kiefer[Anatomie]::N,čeľusť,čeljúst
16,Kehle::N,hrdlo,gŕlo
17,Hals::N,krk,vrát
18,Genick::N,väzy,zatílnik
19,Kopf::N,hlava,gláva
20,Rücken::N,chrbát,hrbèt
21,Bauch::N,brucho,trébuh
22,Nabel::N,pupok,pópek
23,Busen::N,prsia,nédrja
24,Brust::N,hruď,pŕsi
25,Schulter::N,plece,ráma
26,Schulter::N,plece,plêče
27,Arm::N,rameno,rôka
28,Ellenbogen::N,lakeť,komólec
29,Hand::N,ruka,rôka
30,Handfläche::N,dlaň,dlán
31,Finger::N,prst,pŕst
32,Fingernagel::N,necht,nóht na rôki
33,Nagel[Anatomie]::N,necht,nóht
34,Zeh::N,prst na nohe,pŕst na nôgi
35,Fuß::N,noha,nôga
36,Ferse::N,päta,pêta
37,Knie::N,koleno,koléno
38,Oberschenkel::N,stehno,stêgno
39,Bein::N,noha,nôga
40,Körper::N,telo,teló
41,Haut::N,koža,kóža
42,Blut::N,krv,krí
43,Ader::N,žila,žíla
44,Sehne::N,šľacha,kíta
45,Knochen::N,kosť,kóst
46,Gehirn::N,mozog,možgáni
47,Herz::N,srdce,srcé
48,Magen::N,žalúdok,želódec
49,Leber::N,pečeň,jétra
50,Atem::N,dych,díh
51,Hunger::N,hlad,glád
52,Träne::N,slza,sólza
53,Geschmack::N,chuť,okús
54,Geruch::N,pach,vónj
55,Schlaf::N,spánok,sèn
56,Schlaf::N,spánok,spánec
57,Traum::N,sen,sánje
58,Himmel::N,nebo,nebó
59,Sonne::N,slnko,sónce
60,Mond::N,mesiac,lúna
61,Mond::N,mesiac,mésec
62,Stern::N,hviezda,zvézda
63,Luft::N,vzduch,zràk
64,Wind::N,vietor,véter
65,Welle::N,vlna,vál
66,Wasser::N,voda,vôda
67,Stein::N,kameň,kámen
68,Boden::N,zem,tlà
69,Boden::N,pôda,tlà
70,Erde::N,zem,pŕst
71,Erde::N,zem,zêmlja
72,Staub::N,prach,práh
73,Rauch::N,dym,dìm
74,Funke::N,iskra,ískra
75,Feuer::N,oheň,ôgenj
76,Licht::N,svetlo,lúč
