,Concept_ID,ko,bn
0,Auge::N,눈,চক্ষু
1,Ohr::N,귀,কর্ণ
2,Nase::N,코,নাক
3,Mund::N,입,মুখ
4,Zahn::N,이,দাঁত
5,Zunge::N,혀,জিহবা
6,Lippe::N,입술,অধর
7,Wange::N,뺨,গণ্ড
8,Gesicht::N,얼굴,মুখমণ্ডল
9,Stirn::N,이마,কপাল
10,Haar::N,털,চুল
11,Schnurrbart::N,윗수몀,গোঁফ
12,Schnurrbart::N,코밑수염,গোঁফ
13,Bart::N,수엄,শ্মশ্রু
14,Kinn::N,아래턱,চিবুক
15,Kiefer[Anatomie]::N,턱,চোয়াল
16,Kehle::N,인후,কণ্ঠ
17,Hals::N,목,গল
18,Genick::N,먹덜이,ঘাড়
19,Kopf::N,머리,মাথা
20,Rücken::N,든,পৃষ্ঠ
21,Bauch::N,배,উদর
22,Nabel::N,배꼽,নাভি
23,Busen::N,가슴속,স্তন
24,Brust::N,가슴,বুক
25,Schulter::N,어깨,স্কন্ধ
26,Arm::N,팔,বাহু
27,Ellenbogen::N,팔쿰치,কনুই
28,Hand::N,손,হাত
29,Handfläche::N,손바닥,করতল
30,Finger::N,속가락,আঙ্গুল
31,Fingernagel::N,손톱,হাতের নখ
32,Nagel[Anatomie]::N,손톱,নখ
33,Zeh::N,발가락,আঙ্গুল
34,Fuß::N,발,পা
35,Ferse::N,발꿈치,গোড়ালি
36,Knie::N,무릎,হাঁটু
37,Oberschenkel::N,허벅다리,ঊরু
38,Bein::N,다리,পা
39,Körper::N,구간,দেহ
40,Haut::N,살갗,ত্বক
41,Blut::N,피,রক্ত
42,Ader::N,정맥,শিরা
43,Sehne::N,현,কণ্ডরা
44,Knochen::N,뼈,অস্থি
45,Gehirn::N,뇌,মস্তিষ্ক
46,Gehirn::N,뇌수,মস্তিষ্ক
47,Herz::N,염통,হৃৎপিণ্ড
48,Magen::N,위,পাকস্থলী
49,Leber::N,간,যকৃৎ
50,Atem::N,기식,শ্বাস
51,Hunger::N,공복,ক্ষুধা
52,Träne::N,눈물,অশ্রু
53,Geschmack::N,기호,স্বাদ
54,Geruch::N,냄새,গন্ধ
55,Schlaf::N,수면,ঘুম
56,Traum::N,쿰,স্বপ্ন
57,Himmel::N,하늘,আকাশ
58,Sonne::N,해,সূর্য
59,Mond::N,달,চন্দ্র
60,Stern::N,별,নক্ষত্র
61,Luft::N,동준,বায়ু
62,Luft::N,가스채,বায়ু
63,Wind::N,바람,বাতাস
64,Welle::N,물결,ঢেউ
65,Welle::N,물결,তরঙ্গ
66,Wasser::N,물,জল
67,Stein::N,돌,ঢিল
68,Stein::N,돌,প্রস্তর
69,Boden::N,바닥,ভূতল
70,Erde::N,흙,ভূমি
71,Staub::N,먼지,ধুলা
72,Rauch::N,연기,ধোঁয়া
73,Funke::N,불티,স্ফুলিঙ্গ
74,Feuer::N,불,অগ্নি
75,Licht::N,불,আলো
76,Schatten::N,어스레함,ছায়া
77,Wetter::N,기상,আবহাওয়া
78,Nebel::N,안개,কুহেলিকা
79,Wolke::N,구름,মেঘ
80,Regen::N,비,বৃষ্টি
81,Schnee::N,눈,তুষার
82,Eis::N,얼음,বরফ
83,Frost::N,혹한,তুষার
84,Kälte::N,추위,শৈত্য
85,Kälte::N,차가움,শৈত্য
86,Hitze::N,고온,তাপ
87,Hitze::N,더위,তাপ
88,Regenbogen::N,무지개,রামধনু
89,Donner::N,뇌명,বজ্রধ্বনি
90,Strömung::N,유동,স্রোত
91,Tropfen::N,물방울,ফোঁটা
92,Schaum::N,포말,ফেনা
93,Schmutz::N,때,ধুলা
94,See::N,호수,হ্রদ
95,Sumpf::N,습지,জলা
96,Moor::N,저습지,মাঠ
97,Wiese::N,목초지,তৃণভূমি
98,Wald::N,숲,বন
99,Hügel::N,언덕,পাহাড়
100,Anhöhe::N,언덕,টিলা
101,Berg::N,산,পর্বত
102,Gipfel::N,졀졍,শীর্ষ
103,Höhle::N,공동,গুহা
104,Abhang::N,몰매,ঢাল
105,Quelle::N,근원,উৎস
106,Bach::N,내,ক্ষুদ্র নদী
107,Fluss::N,강,নদী
108,Ufer::N,강변,উপকূল
109,Ufer::N,바닷가,উপকূল
110,Küste::N,해변,তীর
111,Küste::N,해변가,তীর
112,Festland::N,본토,ভূমি
113,Meer::N,바다,সমুদ্র
114,Bucht::N,협만,উপসাগর
115,Insel::N,섬,দ্বীপ
116,Blume::N,꽃,ফুল
117,Gras::N,풀,ঘাস
118,Wurzel::N,뿌리,শিকড়
119,Baum::N,나무,গাছ
120,Stamm::N,대,স্কন্ধ
121,Rinde::N,나무껍질,বল্কল
122,Ast::N,가지,শাখা
123,Zweig::N,가지,ডাল
124,Blatt::N,잎,পর্ণ
125,Birke::N,자작나무,ভুর্জ
126,Kiefer[Baum]::N,소나무,পাইন গাছ
127,Weide[Baum]::N,쉬양버들,উইলো
