,Concept_ID,da,nl
0,Auge::N,øje,oog
1,Ohr::N,øre,oor
2,Nase::N,næse,neus
3,Mund::N,mund,mond
4,Zahn::N,tand,tand
5,Zunge::N,tunge,tong
6,Lippe::N,læbe,lip
7,Wange::N,kind,wang
8,Gesicht::N,ansigt,gelaat
9,Gesicht::N,ansigt,gezicht
10,Stirn::N,pande,voorhoofd
11,Haar::N,hår,haar
12,Schnurrbart::N,overskæg,snor
13,Bart::N,skæg,baard
14,Kinn::N,hage,kin
15,Kiefer[Anatomie]::N,kæbe,kaak
16,Kehle::N,strube,keel
17,Kehle::N,strube,strot
18,Hals::N,hals,hals
19,Genick::N,nakke,nek
20,Kopf::N,hoved,hoofd
21,Rücken::N,ryg,rug
22,Bauch::N,mave,buik
23,Nabel::N,navle,navel
24,Busen::N,barm,boezem
25,Brust::N,bryst,borst
26,Schulter::N,skulder,schouder
27,Arm::N,arm,arm
28,Ellenbogen::N,albue,elleboog
29,Hand::N,hånd,hand
30,Handfläche::N,håndflade,handpalm
31,Finger::N,finger,vinger
32,Fingernagel::N,fingernegl,nagel
33,Nagel[Anatomie]::N,negl,nagel
34,Zeh::N,tå,teen
35,Fuß::N,fod,voet
36,Ferse::N,hæl,hak
37,Ferse::N,hæl,hiel
38,Knie::N,knæ,knie
39,Oberschenkel::N,lår,dij
40,Bein::N,ben,been
41,Körper::N,krop,lichaam
42,Körper::N,legeme,lichaam
43,Haut::N,hud,huid
44,Blut::N,blod,bloed
45,Ader::N,åre,ader
46,Sehne::N,sene,pees
47,Knochen::N,ben,bot
48,Knochen::N,ben,been
49,Knochen::N,ben,knook
50,Gehirn::N,hjerne,hersenen
51,Herz::N,hjerte,hart
52,Magen::N,mave,maag
53,Leber::N,lever,lever
54,Atem::N,ånde,adem
55,Hunger::N,sult,honger
56,Träne::N,tåre,traan
57,Geschmack::N,smag,smaak
58,Geruch::N,lugt,geur
59,Schlaf::N,søvn,slaap
60,Traum::N,drøm,droom
61,Himmel::N,himmel,hemel
62,Sonne::N,sol,zon
63,Mond::N,måne,maan
64,Stern::N,stjerne,ster
65,Luft::N,luft,lucht
66,Wind::N,vind,wind
67,Welle::N,bølge,golf
68,Wasser::N,vand,water
69,Stein::N,sten,steen
70,Boden::N,jord,grond
71,Erde::N,jord,aarde
72,Staub::N,støv,stof
73,Rauch::N,røg,rook
74,Funke::N,gnist,vonk
75,Feuer::N,ild,vuur
76,Licht::N,lys,licht
77,Schatten::N,skygge,schaduw
78,Wetter::N,vejr,weer
79,Nebel::N,tåge,mist
80,Nebel::N,tåge,nevel
81,Wolke::N,sky,wolk
82,Regen::N,regn,regen
83,Schnee::N,sne,sneeuw
84,Eis::N,is,ijs
85,Frost::N,frost,vorst
86,Kälte::N,kulde,kou
87,Kälte::N,kulde,koude
88,Hitze::N,hede,hitte
89,Raureif::N,rimfrost,rijp
90,Regenbogen::N,regnbue,regenboog
91,Donner::N,torden,donder
92,Strömung::N,strømning,stroming
93,Tropfen::N,dråbe,druppel
94,Schaum::N,skum,schuim
95,Schmutz::N,snavs,vuil
96,See::N,sø,meer
97,Sumpf::N,sump,moeras
98,Moor::N,mose,veen
99,Wiese::N,eng,wei
100,Wiese::N,eng,weide
101,Wald::N,skov,bos
102,Hügel::N,høj,heuvel
103,Hügel::N,bakke,heuvel
104,Anhöhe::N,høj,hoogte
105,Anhöhe::N,bakke,hoogte
106,Berg::N,bjerg,berg
107,Gipfel::N,top,top
108,Höhle::N,hule,hol
109,Abhang::N,skrænt,helling
110,Abhang::N,skråning,helling
111,Quelle::N,kilde,bron
112,Bach::N,bæk,beek
113,Fluss::N,flod,stroom
114,Ufer::N,bred,wal
115,Ufer::N,bred,oever
116,Küste::N,kyst,kust
117,Festland::N,fastland,vasteland
118,Meer::N,hav,zee
119,Bucht::N,bugt,baai
120,Bucht::N,bugt,inham
121,Insel::N,ø,eiland
122,Blume::N,blomst,bloem
123,Gras::N,græs,gras
124,Wurzel::N,rod,wortel
125,Baum::N,træ,boom
126,Stamm::N,stamme,stam
127,Rinde::N,bark,schors
128,Ast::N,gren,tak
129,Zweig::N,kvist,twijg
130,Blatt::N,blad,blad
131,Birke::N,birk,berk
132,Kiefer[Baum]::N,fyrretræ,den
133,Weide[Baum]::N,piletræ,wilg
134,Tanne::N,gran,spar
135,Horn::N,horn,hoorn
136,Feder::N,fjer,veer
137,Feder::N,fjer,pluim
138,Fell::N,skind,vel
139,Flügel::N,vinge,vleugel
140,Klaue::N,klov,klauw
141,Kralle::N,klo,klauw
142,Schwanz::N,hale,staart
143,Ei::N,æg,ei
144,Nest::N,rede,nest
145,Bau::N,bo,hol
146,Tier::N,dyr,dier
147,Herde::N,flok,kudde
148,Kuh::N,ko,koe
149,Bulle::N,tyr,stier
150,Pferd::N,hest,paard
151,Schaf::N,får,schaap
152,Schwein::N,gris,varken
153,Hund::N,hund,hond
154,Katze::N,kat,kat
155,Bär::N,bjørn,beer
156,Eichhörnchen::N,egern,eekhoorntje
157,Elch::N,elg,eland
158,Fuchs::N,ræv,vos
159,Hase::N,hare,haas
160,Maus::N,mus,muis
161,Wolf::N,ulv,wolf
162,Vogel::N,fugl,vogel
163,Schwarm::N,sværm,zwerm
164,Huhn::N,høne,kip
165,Huhn::N,høne,hoen
166,Hahn::N,hane,haan
167,Gans::N,gås,gans
168,Adler::N,ørn,arend
169,Ente::N,and,eend
170,Eule::N,ugle,uil
171,Kranich::N,trane,kraanvogel
172,Krähe::N,krage,kraai
173,Kuckuck::N,gøg,koekoek
174,Schwan::N,svane,zwaan
175,Fisch::N,fisk,vis
176,Barsch::N,aborre,baars
177,Hecht::N,gedde,snoek
178,Schlange[Tier]::N,slange,slang
179,Wurm::N,orm,worm
180,Spinne::N,edderkop,spin
181,Ameise::N,myre,mier
182,Laus::N,lus,luis
183,Mücke::N,myg,mug
184,Fliege::N,flue,vlieg
185,Schmetterling::N,sommerfugl,vlinder
186,Beere::N,bær,bes
187,Apfel::N,æble,appel
188,Pilz::N,svamp,paddestoel
189,Zwiebel::N,løg,ui
190,Saat::N,sæd,zaad
191,Korn::N,korn,graan
192,Korn::N,korn,korrel
193,Heu::N,hø,hooi
194,Schale::N,skræl,schil
195,Grube::N,grav,kuil
196,Falle::N,fælde,val
197,Schlinge::N,snare,strop
198,Spur::N,spor,spoor
199,Asche::N,aske,as
200,Dreck::N,snavs,drek
201,Eisen::N,jern,ijzer
202,Gold::N,guld,goud
203,Silber::N,sølv,zilver
204,Kohle::N,kul,kool
205,Glas::N,glas,glas
206,Lehm::N,ler,klei
207,Sand::N,sand,zand
208,Mensch::N,mennesge,mens
