,Concept_ID,be,fr
0,Auge::N,вока,œil
1,Ohr::N,вуха,oreille
2,Nase::N,нос,nez
3,Mund::N,рот,bouche
4,Zahn::N,зуб,dent
5,Zunge::N,язык,langue
6,Lippe::N,губа,lèvre
7,Wange::N,шчака,joue
8,Gesicht::N,твар,face
9,Gesicht::N,твар,visage
10,Stirn::N,лоб,front
11,Haar::N,волас,cheveu
12,Haar::N,валасы,cheveu
13,Schnurrbart::N,вус,moustache
14,Schnurrbart::N,вусы,moustache
15,Bart::N,барада,barbe
16,Kinn::N,падбародак,menton
17,Kiefer[Anatomie]::N,сківіца,mâchoire
18,Kehle::N,горла,gorge
19,Hals::N,шыя,cou
20,Genick::N,патыліца,nuque
21,Kopf::N,галава,tête
22,Rücken::N,спіна,dos
23,Bauch::N,жывот,ventre
24,Nabel::N,пупок,nombril
25,Busen::N,грудзі,sein
26,Brust::N,грудзі,poitrine
27,Schulter::N,плячо,épaule
28,Arm::N,рука,bras
29,Ellenbogen::N,локаць,coude
30,Hand::N,кісць,main
31,Handfläche::N,далонь,paume
32,Finger::N,палец,doigt
33,Fingernagel::N,ногаць,ongle
34,Nagel[Anatomie]::N,ногаць,ongle
35,Zeh::N,палец,orteil
36,Zeh::N,палец,doigt de pied
37,Fuß::N,нага,pied
38,Ferse::N,пята,talon
39,Ferse::N,пятка,talon
40,Knie::N,калена,genou
41,Oberschenkel::N,бядро,cuisse
42,Oberschenkel::N,сцягно,cuisse
43,Bein::N,нага,jambe
44,Körper::N,цела,corps
45,Haut::N,скура,peau
46,Blut::N,кроў,sang
47,Ader::N,вена,veine
48,Ader::N,сасуд,veine
49,Sehne::N,жыла,tendon
50,Sehne::N,цеціва,tendon
51,Sehne::N,сухажылле,tendon
52,Knochen::N,косць,os
53,Gehirn::N,мозг,cerveau
54,Herz::N,сэрца,cœur
55,Magen::N,страўнік,estomac
56,Leber::N,печань,foie
57,Atem::N,дыханне,haleine
58,Hunger::N,голад,faim
59,Träne::N,сляза,larme
60,Geschmack::N,смак,goût
61,Geschmack::N,смак,saveur
62,Geruch::N,пах,odeur
63,Schlaf::N,сон,sommeil
64,Traum::N,сон,songe
65,Himmel::N,неба,ciel
66,Sonne::N,сонца,soleil
67,Mond::N,месяц,lune
68,Stern::N,зорка,étoile
69,Luft::N,паветра,air
70,Wind::N,вецер,vent
71,Welle::N,хваля,vague
72,Wasser::N,вада,eau
73,Stein::N,камень,pierre
74,Boden::N,глеба,sol
75,Boden::N,глеба,terrain
76,Erde::N,зямля,terre
77,Staub::N,пыл,poussière
78,Rauch::N,дым,fumée
79,Funke::N,іскра,étincelle
80,Feuer::N,агонь,feu
81,Licht::N,святло,lumière
82,Schatten::N,цень,ombre
83,Wetter::N,пагода,temps
84,Wetter::N,надворʼе,temps
85,Nebel::N,туман,brume
86,Nebel::N,туман,brouillard
87,Wolke::N,воблака,nuage
88,Regen::N,дождж,pluie
89,Schnee::N,снег,neige
90,Eis::N,лёд,glace
91,Frost::N,мароз,gel
92,Frost::N,мароз,gelée
93,Kälte::N,холад,froid
94,Hitze::N,спёка,chaleur
95,Raureif::N,іней,givre
96,Regenbogen::N,вясёлка,arc-en-ciel
97,Donner::N,гром,tonnerre
98,Strömung::N,цячэнне,courant
99,Tropfen::N,кропля,goutte
100,Schaum::N,пена,écume
101,Schaum::N,пена,mousse
102,Schmutz::N,гразь,boue
103,Schmutz::N,гразь,saleté
104,See::N,возера,lac
105,Sumpf::N,багна,marais
106,Sumpf::N,багна,marécage
107,Moor::N,балота,tourbière
108,Wiese::N,луг,pré
109,Wald::N,лес,bois
110,Wald::N,лес,forêt
111,Hügel::N,узгорак,coteau
112,Hügel::N,узгорак,colline
113,Anhöhe::N,узвышша,éminence
114,Anhöhe::N,узвышша,élévation
115,Berg::N,гара,mont
116,Berg::N,гара,montagne
117,Gipfel::N,вяршыня,cime
118,Gipfel::N,вяршыня,sommet
119,Höhle::N,пячора,caverne
120,Abhang::N,схіл,pente
121,Abhang::N,схіл,versant
122,Quelle::N,крыніца,source
123,Quelle::N,крыніца,fontaine
124,Bach::N,ручай,ruisseau
125,Fluss::N,рака,fleuve
126,Fluss::N,рака,rivière
127,Ufer::N,бераг,bord
128,Ufer::N,бераг,rivage
129,Küste::N,узбярэжжа,côte
130,Festland::N,суша,terre ferme
131,Meer::N,мора,mer
132,Bucht::N,бухта,baie
133,Insel::N,востраў,île
134,Blume::N,кветка,fleur
135,Gras::N,трава,herbe
136,Wurzel::N,корань,racine
137,Baum::N,дрэва,arbre
138,Stamm::N,ствол,tronc
139,Rinde::N,кара,écorce
140,Ast::N,сук,branche
141,Zweig::N,галіна,rameau
142,Blatt::N,ліст,feuille
143,Birke::N,бяроза,bouleau
144,Kiefer[Baum]::N,хвоя,pin
145,Kiefer[Baum]::N,сасна,pin
146,Weide[Baum]::N,вярба,saule
147,Tanne::N,яліна,sapin
148,Horn::N,рог,corne
149,Feder::N,пяро,plume
150,Fell::N,шкура,peau
151,Flügel::N,крыло,aile
152,Klaue::N,кіпцюр,serre
153,Kralle::N,лапа,ongle
154,Kralle::N,лапа,griffe
155,Schwanz::N,хвост,queue
156,Ei::N,яйка,œuf
157,Nest::N,гняздо,nid
158,Bau::N,нара,terrier
159,Tier::N,жывёла,animal
160,Herde::N,статак,troupeau
161,Kuh::N,карова,vache
162,Bulle::N,бык,taureau
163,Pferd::N,конь,cheval
164,Schaf::N,авечка,mouton
165,Schwein::N,свіння,porc
166,Schwein::N,свіння,cochon
167,Hund::N,сабака,chien
168,Katze::N,кошка,chat
169,Bär::N,мядзведзь,ours
170,Eichhörnchen::N,вавёрка,écureuil
171,Elch::N,лось,élan
172,Fuchs::N,ліса,renard
173,Hase::N,заяц,lièvre
174,Maus::N,мыш,souris
175,Wolf::N,воўк,loup
176,Vogel::N,птах,oiseau
177,Vogel::N,птушка,oiseau
178,Schwarm::N,чарада,nuée
179,Schwarm::N,чарада,volée
180,Huhn::N,курыца,poule
181,Hahn::N,певень,coq
182,Gans::N,гусь,oie
183,Adler::N,арол,aigle
184,Ente::N,качка,canard
185,Eule::N,сава,hibou
186,Kranich::N,жораў,grue
187,Kranich::N,журавель,grue
188,Krähe::N,варона,corneille
189,Kuckuck::N,зязюля,coucou
190,Schwan::N,лебедзь,cygne
191,Fisch::N,рыба,poisson
192,Barsch::N,акунь,perche
193,Hecht::N,шчупак,brochet
194,Schlange[Tier]::N,змяя,serpent
195,Wurm::N,чарвяк,ver
196,Spinne::N,павук,araignée
197,Ameise::N,мурашка,fourmi
198,Laus::N,вош,pou
199,Mücke::N,камар,moucheron
200,Fliege::N,муха,mouche
201,Schmetterling::N,матыль,papillon
202,Beere::N,ягада,baie
203,Apfel::N,яблык,pomme
204,Pilz::N,грыб,champignon
205,Zwiebel::N,цыбуля,oignon
206,Saat::N,семя,semence
207,Korn::N,зерне,grain
208,Heu::N,сена,foin
209,Schale::N,шалупінне,pelure
210,Grube::N,яма,fosse
211,Falle::N,пастка,piège
212,Schlinge::N,сіло,lacs
213,Spur::N,след,trace
214,Asche::N,попел,cendre
215,Dreck::N,бруд,crotte
216,Eisen::N,жалеза,fer
217,Gold::N,золата,or
218,Silber::N,сребра,argent
219,Kohle::N,вугаль,charbon
220,Glas::N,шкло,verre
221,Lehm::N,гліна,glaise
222,Sand::N,пясок,sable
223,Mensch::N,чалавек,homme
224,Mann::N,мужчына,homme
225,Frau::N,жанчына,femme
226,Kind::N,дзіця,enfant
227,Junge::N,хлопчык,garçon
228,Mädchen::N,дзяўчынка,fille
229,Mädchen::N,дзяўчынка,jeune fille
230,Familie::N,сямʼя,famille
231,Großvater::N,дзядуля,grand-père
232,Großmutter::N,бабуля,grand-mère
233,Eltern::N,бацькі,parents
234,Vater::N,бацька,père
235,Mutter::N,маці,mère
236,Sohn::N,сын,fils
237,Tochter::N,дачка,fille
238,Bruder::N,брат,frère
239,Schwester::N,сястра,sœur
240,Onkel::N,дзядзька,oncle
241,Tante::N,цётка,tante
242,Ehemann::N,муж,mari
243,Ehemann::N,муж,époux
244,Ehefrau::N,жонка,femme
245,Ehefrau::N,жонка,épouse
246,Freude::N,радасць,joie
247,Freude::N,радасць,plaisir
248,Gelächter::N,смех,rires
249,Glück::N,шчасце,bonheur
250,Kummer::N,гора,peine
251,Kummer::N,гора,chagrin
252,Wunsch::N,жаданне,désir
253,Lust::N,цяга,envie
254,Geist::N,дух,esprit
255,Gedanke::N,думка,idée
256,Gedanke::N,думка,pensée
257,Gedächtnis::N,памяць,mémoire
258,Verstand::N,розум,raison
259,Sinn::N,сэнс,sens
260,Grund::N,зачэпка,cause
261,Grund::N,зачэпка,raison
262,Wahrheit::N,праўда,vérité
263,Gespräch::N,размова,conversation
264,Märchen::N,казка,conte
265,Märchen::N,казка,conte de fées
266,Erzählung::N,расказ,conte
267,Erzählung::N,расказ,narration
268,Erzählung::N,апавяданне,conte
269,Erzählung::N,апавяданне,narration
