,Concept_ID,os,he
0,Auge::N,цӕст,עין
1,Ohr::N,хъус,אזן
2,Nase::N,фындз,אף
3,Nase::N,фындз,חטם
4,Mund::N,дзых,פה
5,Zahn::N,дӕндаг,שן
6,Zunge::N,ӕвзаг,לשון
7,Lippe::N,был,שפה
8,Wange::N,рус,לחי
9,Wange::N,уадул,לחי
10,Wange::N,ӕхсӕрфарс,לחי
11,Gesicht::N,цӕсгом,פנים
12,Stirn::N,ных,מצח
13,Haar::N,хил,שערה
14,Schnurrbart::N,рихи,שפם
15,Bart::N,зачъе,זקן
16,Kinn::N,роцъо,סנטר
17,Kiefer[Anatomie]::N,ӕфсӕр,לסת
18,Kehle::N,хъуыр,גרון
19,Hals::N,къубал,צואר
20,Genick::N,къӕбут,ערף
21,Kopf::N,сӕр,ראש
22,Rücken::N,фӕсонтӕ,גב
23,Bauch::N,гуыбын,בטן
24,Nabel::N,бикъ,טבור
25,Busen::N,дзидзи,שד
26,Brust::N,риу,חזה
27,Schulter::N,уӕхск,כתף
28,Arm::N,цонг,זרוע
29,Ellenbogen::N,рæмбын,מרפק
30,Hand::N,къух,יד
31,Handfläche::N,армытъӕпӕн,כף יד
32,Finger::N,ӕнруылдз,אצבע
33,Fingernagel::N,ных,צפרן
34,Nagel[Anatomie]::N,ных,צפרן
35,Zeh::N,къух,אצבע
36,Fuß::N,фад,רגל
37,Ferse::N,зӕвӕт,עקב
38,Knie::N,уӕраг,ברך
39,Oberschenkel::N,агъд,ירך
40,Bein::N,зӕнг,רגל
41,Körper::N,буар,גוף
42,Haut::N,царм,עור
43,Blut::N,туг,דם
44,Ader::N,дадзин,וריד
45,Ader::N,тугдадзин,וריד
46,Sehne::N,хъиутæ,גיד
47,Sehne::N,нуар,גיד
48,Knochen::N,стӕг,עצם
49,Gehirn::N,магъз,מוח
50,Herz::N,зӕрдӕ,לב
51,Magen::N,ахсӕн,קבה
52,Leber::N,игæр,כבד
53,Atem::N,улӕфт,נשימה
54,Hunger::N,стонг,רעב
55,Träne::N,цæссыг,דמעה
56,Geschmack::N,ад,טעם
57,Geruch::N,смаг,ריח
58,Schlaf::N,хуыссӕг,שנה
59,Traum::N,фын,חלום
60,Himmel::N,арв,שמים
61,Himmel::N,уӕларв,שמים
62,Sonne::N,хур,שמש
63,Mond::N,мӕй,ירח
64,Stern::N,стъалы,כוכב
65,Luft::N,уӕлдӕф,אויר
66,Wind::N,дымгӕ,רוח
67,Welle::N,уылӕн,גל
68,Wasser::N,дон,מים
69,Stein::N,дур,אבן
70,Boden::N,зӕхх,קרקע
71,Erde::N,сыджыт,אדמה
72,Staub::N,рыг,אבק
73,Rauch::N,фӕздӕг,עשן
74,Funke::N,цӕхӕр,ניצוץ
75,Feuer::N,зынг,אש
76,Licht::N,рухс,אור
77,Schatten::N,аууон,צל
78,Wetter::N,боныхъӕд,מזג אויר
79,Nebel::N,мигъ,ערפל
80,Wolke::N,ӕврагъ,ענן
81,Regen::N,уарын,גשם
82,Schnee::N,мит,שלג
83,Eis::N,их,קרח
84,Frost::N,ихæн,צנה
85,Kälte::N,уазал,קר
86,Hitze::N,ӕнтӕф,חם
87,Raureif::N,халас,כפור
88,Regenbogen::N,арвырон,קשת
89,Regenbogen::N,арвырдын,קשת
90,Donner::N,æрвнæрын,רעם
91,Strömung::N,цыд,זרימה
92,Tropfen::N,æртах,טפה
93,Schaum::N,фынк,קצף
94,Schmutz::N,цъыф,לכלוך
95,See::N,цад,אגם
96,Sumpf::N,цъыфдзаст,בצה
97,Moor::N,цъыфдзаст,בצה
98,Wiese::N,уыгӕрдӕн,מרעה
99,Wald::N,хъӕд,יער
100,Hügel::N,обау,תל
101,Hügel::N,къуыбыр,תל
102,Anhöhe::N,уæлвæз,מעלה
103,Anhöhe::N,уæлхох,מעלה
104,Berg::N,хох,הר
105,Gipfel::N,цъупп,פסגה
106,Höhle::N,лӕгӕт,מערה
107,Abhang::N,къул,מדרון
108,Abhang::N,къул,שפוע
109,Quelle::N,суадон,מעין
110,Bach::N,мӕсчъыдон,נחל
111,Fluss::N,дон,נהר
112,Fluss::N,цӕугӕдон,נהר
113,Ufer::N,был,גדה
114,Küste::N,донбыл,חוף
115,Festland::N,сурзæхх,יבשה
116,Meer::N,денджыз,ים
117,Bucht::N,донбакæлæн,מפרץ
118,Insel::N,сакъадах,אי
119,Blume::N,дидинӕг,פרח
120,Gras::N,кӕрдӕг,דשא
121,Wurzel::N,уидаг,שרש
122,Baum::N,бӕлас,עץ
123,Stamm::N,хӕтӕл,גזע
124,Rinde::N,цъар,קלפת עץ
125,Ast::N,арх,ענף
126,Zweig::N,къалиу,ענף
127,Blatt::N,сыф,עלה
128,Birke::N,бæрз,שדר
129,Kiefer[Baum]::N,нӕзы,ארן
130,Weide[Baum]::N,хӕрис,ערבה
131,Tanne::N,наз,אשוח
132,Horn::N,сыкъа,קרן
133,Feder::N,сис,נוצה
134,Fell::N,царм,פרוה
135,Flügel::N,базыр,כנף
136,Klaue::N,ных,טלף
137,Kralle::N,дзӕмбы,טפר
138,Schwanz::N,къӕдзил,זנב
139,Ei::N,айк,ביצה
140,Nest::N,ахстон,קן
141,Bau::N,хуынкъ,מחלה
142,Tier::N,сырд,חיה
143,Tier::N,цӕрӕгой,חיה
144,Herde::N,дзуг,עדר
145,Herde::N,рӕгъау,עדר
146,Kuh::N,хъуг,פרה
147,Bulle::N,гал,פר
148,Pferd::N,бӕх,סוס
149,Schaf::N,фыс,כבשה
150,Schwein::N,хуы,חזיר
151,Hund::N,куыдз,כלב
152,Katze::N,гӕды,חתול
153,Bär::N,арс,דב
154,Eichhörnchen::N,æхсæрæг,סנאי
155,Elch::N,цæгатаг саг,דישון
156,Fuchs::N,рувас,שועל
157,Hase::N,тæрхъус,ארנב
158,Maus::N,мыст,עכבר
159,Wolf::N,бирӕгъ,זאב
160,Vogel::N,цъиу,צפור
161,Vogel::N,маргъ,צפור
162,Schwarm::N,бал,נחיל
163,Schwarm::N,бал,להקה
164,Huhn::N,карк,תרנגלת
165,Hahn::N,уасӕг,תרנגול
166,Gans::N,хъаз,אוז
167,Adler::N,цӕргӕс,עיט
168,Ente::N,ацц,ברוז
169,Eule::N, уыг,ינשוף
170,Eule::N,сидахъ,ינשוף
171,Kranich::N,зырнæг,עגור
172,Kranich::N,зырнæг,כרוכיה
173,Kranich::N,хърихъупп,עגור
174,Kranich::N,хърихъупп,כרוכיה
175,Krähe::N,халон,עורב
176,Kuckuck::N,гаккук,קוקיה
177,Schwan::N,доныхъаз,ברבור
178,Fisch::N,кӕсаг,דג
179,Barsch::N,окунь,אוקונוס
180,Hecht::N,хихор кӕсаг,זאב הים
181,Schlange[Tier]::N,калм,נחש
182,Wurm::N,зулкъ,תולעת
183,Wurm::N,къуыдыргалм,תולעת
184,Spinne::N,хӕлуарӕг,עכביש
185,Ameise::N,мæлдзыг,נמלה
186,Laus::N,сыст,כנה
187,Mücke::N,къогъо,יתוש
188,Fliege::N,бындз,זבוב
189,Schmetterling::N,гæлæбу,פרפר
190,Beere::N,гагадыргъ,ענבה
191,Apfel::N,фӕткъуы,תפוח
192,Pilz::N,зокъо,פטריה
193,Pilz::N,къозо,פטריה
194,Zwiebel::N,хъӕдындз,בצל
195,Saat::N,тауинаг,זרעים
196,Saat::N,мыггаг,זרעים
197,Korn::N,мыггаг,גרעין
198,Korn::N,тауинаг,גרעין
199,Heu::N,хос,חציר
200,Schale::N,цъар,קלפה
201,Grube::N,урм,בור
202,Grube::N,урм,שוחה
203,Grube::N,къахт,בור
204,Grube::N,къахт,שוחה
205,Grube::N,дзыхъхъ,בור
206,Grube::N,дзыхъхъ,שוחה
207,Falle::N,цъысым,מלכדת
208,Falle::N,къӕппӕг,מלכדת
209,Schlinge::N,цасм,לולאה
210,Spur::N,фæд,עקבה
211,Asche::N,фӕнык,אפר
212,Asche::N,ӕртхутӕг,אפר
213,Dreck::N,цъыф,זהמה
214,Eisen::N,ӕфсӕйнаг,ברזל
215,Gold::N,сыгъзӕрин,זהב
216,Silber::N,ӕвзист,כסף
217,Kohle::N,ӕвзалы,פחם
218,Glas::N,авг,זכוכית
219,Lehm::N,ӕлыг,חרסית
220,Sand::N,змис,חול
221,Mensch::N,лӕг,אדם
222,Mensch::N,адӕймаг,אדם
223,Mensch::N,удгоймаг,אדם
224,Mann::N,лӕг,איש
225,Mann::N,лӕг,גבר
226,Mann::N,нӕлгоймаг,איש
227,Mann::N,нӕлгоймаг,גבר
228,Frau::N,сылгоймаг,אשה
229,Frau::N,сылгоймаг,גברת
230,Kind::N,сывӕллон,ילד
231,Junge::N,лӕппу,ילד
232,Mädchen::N,чызг,נערה
233,Familie::N,бинонтæ,משפחה
234,Großvater::N,фыдыфыд,סבא
235,Großvater::N,мадыфыд,סבא
236,Großmutter::N,фыды мад,סבתא
237,Großmutter::N,мады мад,סבתא
238,Eltern::N,ныййарджытæ,הורים
239,Vater::N,фыд,אב
240,Mutter::N,мад,אם
241,Sohn::N,фырт,בן
242,Tochter::N,чызг,בת
243,Bruder::N,ӕфсымӕр,אח
244,Schwester::N,хо,אחות
245,Onkel::N,фыдыфсымӕр,דוד
246,Tante::N,мадыхо,דודה
247,Ehemann::N,мой,איש
248,Ehemann::N,мой,בעל
249,Ehefrau::N,ус,אשה
250,Freude::N,цин,שמחה
251,Freude::N,циндзинад,שמחה
252,Gelächter::N,худын,צחוק
253,Gelächter::N,худт,צחוק
254,Gelächter::N,худæг,צחוק
255,Glück::N,амонд,אשר
256,Kummer::N,хъыг,יגון
257,Kummer::N,хъыг,עגמה
258,Wunsch::N,бӕллиц,אחול
259,Wunsch::N,бӕллиц,משאלה
260,Lust::N,монц,חשק
261,Lust::N,монц,תשוקה
262,Geist::N,уд,רוח
263,Gedanke::N,хъуыды,מחשבה
264,Gedächtnis::N,мысæн,זכרון
265,Gedächtnis::N,мысын,זכרון
266,Gedächtnis::N,зæрдылдарын,זכרון
267,Verstand::N,зонд,שכל
268,Sinn::N,нысаниуæг,מובן
269,Sinn::N,нысаниуæг,משמעות
270,Grund::N,ӕфсон,סבה
271,Wahrheit::N,æцæг,אמת
272,Gespräch::N,ныхас,דיון
273,Märchen::N,аргъау,אגדה
274,Erzählung::N,радзырд,ספור
275,Nachricht::N,уац,ידיעה
276,Neuigkeit::N,хабар,חדשה
277,Name::N,ном,שם
278,Rätsel::N,уыци-уыци,תעלומה
279,Rätsel::N,базон-базон,תעלומה
280,Rede::N,раныхас,נאום
281,Sprache::N,ӕвзаг,לשון
282,Stimme::N,хъӕлӕс,קול
283,Wort::N,дзырд,מלה
284,Zeichen::N,нысан,סימן
285,Ruf::N,сидт,קריאה
286,Lärm::N,уынæр,רעש
287,Laut::N,зӕл,הגה
288,Laut::N,мыр,הגה
289,Ton::N,мыр,צליל
290,Lied::N,зарӕг,שיר
291,Ruhe::N,æнцой,שלוה
292,Leute::N,адӕм,אנשים
293,Volk::N,адӕм,עם
294,Arbeit::N,фӕллой,עבודה
295,Gast::N,уазӕг,אורח
296,Geschenk::N,хуын,מתנה
297,Spiel::N,хъазт,משחק
298,Gesellschaft::N,дзыллæ,חברה
299,Gesellschaft::N,æхсæнад,חברה
300,Hilfe::N,æххуыс,עזרה
301,Hilfe::N,ахъаз,עזרה
302,Freund::N,лымӕн,חבר
303,Freund::N,лымӕн,ידיד
304,Kamerad::N,ӕмбал,רע
305,Angelegenheit::N,хъуыддаг,ענין
306,Anzahl::N,бӕрц,מספר
307,Art::N,хуыз,סוג
308,Art::N,хуызад,סוג
309,Stück::N,кæрдих,חתיכה
310,Stück::N,комдзаг,חתיכה
311,Teil::N,хай,פרק
312,Hälfte::N,æрдæг,חצי
313,Hälfte::N,æмбис,חצי
314,Kreis::N,зиллакк,מעגל
315,Kreuz::N,дзуар,צלב
316,Linie::N,хахх,קו
317,Strich::N,хахх,קו קצר
318,Abstand::N,æхсæнуат,מרחק
319,Entfernung::N,дæрддзæг,מרחק
320,Entfernung::N,дардцæг,מרחק
321,Gegend::N,ран,נוף
322,Platz::N,бууат,שטח
323,Ort::N,ран,אתר
324,Ort::N,ран,מקום
325,Ort::N,бынат,אתר
326,Ort::N,бынат,מקום
327,Seite::N,фахс,צד
328,Mitte::N,астӕу,אמצע
329,Gegenstand::N,дзаума,אוביקט
330,Sache::N,дзаума,דבר
331,Rand::N,кӕрон,פרור
332,Kante::N,фӕрск,קצה
333,Ecke::N,тигъ,פנה
334,Ecke::N,фисын,פנה
335,Spitze::N,бырынкъ,קצה
336,Ende::N,кӕрон,סוף
337,Loch::N,хуынкъ,חר
338,Winkel::N,къуым,פנה
339,Muster::N,нывæфтыд,תבנית
340,Muster::N,кæдзист,תבנית
341,Größe::N,ас,גדל
342,Länge::N,дӕргъ,ארך
343,Höhe::N,бæрзонд,קומה
344,Höhe::N,бæрзонд,גבה
345,Höhe::N,бæрзæнд,קומה
346,Höhe::N,бæрзæнд,גבה
347,Höhe::N,бæрзонддзинад,קומה
348,Höhe::N,бæрзонддзинад,גבה
349,Gewicht::N,уӕз,משקל
350,Menge::N,бӕрц,כמות
351,Haufen::N,кӕри,ערמה
352,Reihe::N,рӕнхъ,רצף
353,Boot::N,чема,סירה
354,Ruder::N,къохар,משוט
355,Schlitten::N,дзоныгъ,מזחלת
356,Ski::N,къахдзоныгътæ,מגלשים
357,Ski::N,лыжæтæ,מגלשים
358,Lagerfeuer::N,арт,מדורה
359,Last::N,уаргъ,משא
360,Gang::N,цыд,הליכה
361,Schritt::N,санчъех,צעד
362,Schritt::N,къахдзӕф,צעד
363,Norden::N,цæгат,צפון
364,Süden::N,хуссар,דרום
365,Westen::N,ныгуылæн,מערב
366,Osten::N,скæсæн,מזרח
367,Holz::N,хъӕдӕрмӕг,עץ
368,Brett::N,фæйнæг,קרש
369,Platte::N,къӕй,לוח
370,Stütze::N,быцæу,משען
371,Stange::N,хъил,מוט
372,Stock::N,лӕдзӕг,מקל
373,Stab::N,хъил,מוט
374,Rohr::N,хӕтӕл,צנור
375,Haus::N,хӕдзар,בית
376,Heim::N,къона,בית
377,Ofen::N,пец,תנור
378,Fußboden::N,астӕрд,רצפה
379,Tisch::N,стъол,שלחן
380,Stuhl::N,бандон,כסא
381,Wiege::N,авдæн,ערש
382,Bett::N,сынтӕг,מטה
383,Regal::N,тӕрхӕг,מדף
384,Regal::N,уӕлвӕйнӕг,מדף
385,Kiste::N,асыкк,תבה
386,Kiste::N,асыкк,ארגז
387,Fenster::N,рудзынг,חלון
388,Fenster::N,фæрссаг,חלון
389,Tür::N,дуар,דלת
390,Tor::N,кулдуар,שער
391,Zaun::N,æмбонд,גדר
392,Zaun::N,быру,גדר
393,Zaun::N,гæрæн,גדר
394,Dach::N,уӕлхӕдзар,גג
395,Leiter::N,асин,סלם
396,Besen::N,уисой,מטאטא
397,Spaten::N,бел,את
398,Schaufel::N,æвгæнæн,את
399,Schaufel::N,кæфой,את
400,Gabel::N,вилкæ,מזלג
401,Löffel::N,уидыг,כף
402,Messer::N,кард,סכין
403,Nagel::N,зӕгӕл,מסמר
404,Netz::N,хыз,רשת
405,Haken::N,хæдз,וו
406,Haken::N,хæдз,קרס
407,Haken::N,хæбырæгъ,וו
408,Haken::N,хæбырæгъ,קרס
409,Griff::N,фистон,ידית
410,Schloss::N,гуыдыр,מנעול
411,Bild::N,ныв,תמונה
412,Figur::N,кæрдгæныв,פסל
413,Puppe::N,чындз,בבה
414,Beutel::N,дзӕкъул,שק
415,Bündel::N,баст,צרור
416,Tasche::N,хызын,שקית
417,Tasche::N,дзæкъул,שקית
418,Eimer::N,къæрта,דלי
419,Eimer::N,чъыбыла,דלי
420,Eimer::N,ведра,דלי
421,Deckel::N,сæр,מכסה
422,Deckel::N,æмбæрзæн,מכסה
423,Geschirr::N,мигæнæн,כלים
424,Geschirr::N,мигæнæнтæ,כלים
425,Sack::N,голлаг,שק
426,Tasse::N,пиала,ספל
427,Tasse::N,къус,ספל
428,Topf::N,аг,סיר
429,Topf::N,чысыл аг,סיר
430,Kessel::N,аг,קנקן
431,Essen::N,хӕрд,אכל
432,Essen::N,хӕрд,ארוחה
433,Nahrung::N,хойраг,הזנה
434,Nahrung::N,хойраг,תזונה
435,Speise::N,хӕринаг,מאכל
436,Speise::N,хӕринаг,ארוחה
437,Fleisch::N,дзидза,בשר
438,Fleisch::N,фыдызгъӕл,בשר
439,Getreide::N,халсар,דגן
440,Brei::N,кас,מחית
441,Brot::N,дзул,לחם
442,Scheibe::N,къӕбӕр,עגול
443,Scheibe::N,къӕбӕр,פרוסה
444,Fett::N,сой,שמן
445,Butter::N,нӕлхӕ,חמאה
446,Öl::N,зети,שמן
447,Salz::N,цӕхх,מלח
448,Suppe::N,бас,מרק
449,Honig::N,мыд,דבש
450,Milch::N,ӕхсыр,חלב
451,Tee::N,цай,תה
452,Leder::N,мæскуы,עור
453,Wolle::N,фӕсмын,צמר
454,Stoff::N,хъуымац,בד
455,Stoff::N,хъуымац,אריג
456,Nadel::N,судзин,מחט
457,Faden::N,ӕндах,חוט
458,Knopf::N,цӕппӕр,כפתור
459,Knoten::N,ӕлхынцъ,קשר
460,Farbe::N,ахорæн,צבע
461,Kleidung::N,дарӕс,בגדים
462,Hemd::N,хӕдон,חלצה
463,Kragen::N,æфцæггот,צוארון
464,Ärmel::N,дыс,שרוול
465,Hose::N,хæлаф,מכנסים
466,Hose::N,æддаг хæлаф,מכנסים
467,Hose::N,салбар,מכנסים
468,Gürtel::N,рон,חגורה
469,Mütze::N,худ,כובע
470,Schuh::N,басмахъ,נעל
471,Stiefel::N,цырыхъхъ,מגף
472,Ring::N,къухдарӕн,טבעת
473,Band::N,лент,סרט
474,Kamm::N,сӕрвасӕн,מסרק
475,Spiegel::N,айдæн,מראה
476,Spiegel::N,кæсæн,מראה
477,Riemen::N,гӕрз,רצועה
478,Schnur::N,бӕндӕн,חבל
479,Decke::N,хъӕццул,שמיכה
480,Kissen::N,баз,כרית
481,Tuch::N,кæлмæрзæн,צעיף
482,Tuch::N,кæрдæн,צעיף
483,Handtuch::N,хисæрфæн,מגבת
484,Kraft::N,тых,כוח
485,Kraft::N,хъомыс,כוח
486,Stärke::N,тых,און
487,Stärke::N,æхсар,און
488,Gesundheit::N,æнæниздзинад,בריאות
489,Krankheit::N,низ,מחלה
490,Krankheit::N,рын,מחלה
491,Schmerz::N,рис,כאב
492,Wunde::N,цӕф,פציעה
493,Fieber::N,ризӕг,חם
494,Fieber::N,тӕфсӕг,חם
495,Arznei::N,хос,תרופה
496,Brücke::N,хид,גשר
497,Brunnen::N,цъай,באר
498,Weide::N,хизæн,אחו
499,Weide::N,хизæн,מרעה
500,Weide::N,хизæнуат,אחו
501,Weide::N,хизæнуат,מרעה
502,Weide::N,сæрвæт,אחו
503,Weide::N,сæрвæт,מרעה
504,Pfad::N,къахвæндаг,שביל
505,Pfad::N,къахвæндаг,מדרכה
506,Pfad::N,къахвæд,שביל
507,Pfad::N,къахвæд,מדרכה
508,Weg::N,фӕндаг,דרך
509,Straße::N,фӕндаг,כביש
510,Dorf::N,хъӕу,כפר
511,Stadt::N,сахар,עיר
512,Brief::N,фыстӕг,מכתב
513,Buch::N,чиныг,ספר
514,Buchstabe::N,дамгъӕ,אות
515,Zeitung::N,газет,עתון
516,Leben::N,цард,חיים
517,Leben::N,цӕрӕнбон,חיים
518,Tod::N,мæлæт,מות
519,Tod::N,адзал,מות
520,Grab::N,ингӕн,קבר
521,Kirche::N,аргъуан,כנסיה
522,Sünde::N,тæригъæд,חטא
523,Gott::N,хуыцау,אל
524,Arbeiter::N,кусæг,פועל
525,Chef::N,ӕмцег,ראש
526,Chef::N,ӕмцег,מנהל
527,Meister::N,мастер,ממחה
528,Meister::N,дæсны,ממחה
529,Arzt::N,хосгæнæг,רופא
530,Arzt::N,дохтыр,רופא
531,Lehrer::N,ахуыргæнæг,מורה
532,Geld::N,ӕхца,כסף
533,Geschäft::N,бизнес,עסקה
534,Geschäft::N,хъуыддаг,עסקה
535,Laden::N,дукани,חנות
