,Concept_ID,ce,te
0,Auge::N,бӏаьрг,కన్ను
1,Ohr::N,лерг,చెవి
2,Nase::N,мара,ముక్కు
3,Mund::N,бага,నోరు
4,Zahn::N,церг,పల్లు
5,Zunge::N,мотт,నాలుక
6,Lippe::N,балда,పెదవి
7,Wange::N,бесни,చెంప
8,Gesicht::N,юьхь,ముఖము
9,Stirn::N,хьаж,నుదురు
10,Haar::N,мас,వెండ్రుక
11,Schnurrbart::N,мекх,మీసము
12,Bart::N,маж,గడ్డము
13,Kinn::N,чӏениг,గడ్డము
14,Kiefer[Anatomie]::N,мочхал,దౌడ
15,Kehle::N,къамкъарг,గొంతు
16,Hals::N,ворта,మెడ
17,Genick::N,кӏесаркӏаг,మూపు
18,Kopf::N,корта,తల
19,Rücken::N,букъ,వెన్ను
20,Bauch::N,кийра,కడుపు
21,Nabel::N,цӏонга,బొడ్డు
22,Busen::N,зударийн накха,స్తనము
23,Brust::N,накха,ఱొమ్ము
24,Schulter::N,белш,భుజము
25,Arm::N,пхьарс,చేయి
26,Ellenbogen::N,пхьаьрсан гола,మోచేయి
27,Hand::N,куьг,చేయి
28,Handfläche::N,кераюкъ,అరచేయు
29,Finger::N,пӏелг,చేతిప్రేలు
30,Fingernagel::N,мӏара,గోరు
31,Nagel[Anatomie]::N,мӏара,గోరు
32,Zeh::N,кога пӏелг,కాలిప్రేలు
33,Fuß::N,ког,అడుగు
34,Ferse::N,кӏажа,మడమ
35,Knie::N,гола,మోకాలు
36,Oberschenkel::N,варе,తొడ
37,Bein::N,ког,కాలు
38,Körper::N,хӏума,కాయము
39,Haut::N,чкъор,చర్మము
40,Blut::N,цӏий,రక్తము
41,Ader::N,пха,సిర
42,Sehne::N,хьорзам,స్నాయువు
43,Knochen::N,даьӏахк,ఎముక
44,Gehirn::N,хье,మెదడు
45,Herz::N,дог,హృదయము
46,Magen::N,зорх,కడుపు
47,Leber::N,доӏах,కాలేయము
48,Atem::N,садеӏар,ఉపిరి
49,Hunger::N,мацалла,ఆకలి
50,Träne::N,бӏаьрхи,కన్నీటిచుక్క
51,Geschmack::N,чам,రుచి
52,Geruch::N,хьожа,వాసన
53,Schlaf::N,наб,నిద్ర
54,Traum::N,гӏан,కల
55,Himmel::N,стигал,ఆకాశము
56,Sonne::N,малх,సూర్యుడు
57,Mond::N,бутт,చంద్రుడు
58,Stern::N,седа,నక్షత్రము
59,Luft::N,xӏаваъ,గాలి
60,Wind::N,мох,వీచుచున్నగాలి
61,Welle::N,тулгӏе,అల
62,Wasser::N,хи,నీరు
63,Stein::N,тӏулг,ఱాయి
64,Boden::N,цӏенкъа,నేల
65,Erde::N,латта,మన్ను
66,Staub::N,чан,దుమ్ము
67,Rauch::N,кӏур,పొగ
68,Funke::N,суй,అగ్నికణము
69,Feuer::N,цӏе,అగ్ని
70,Licht::N,серло,కాంతి
71,Schatten::N,ӏиндагӏ,నీడ
72,Wetter::N,хенан хӏоттам,వాతావరణ స్థితి
73,Nebel::N,дохк,పొగమంచు
74,Wolke::N,марха,మేఘము
75,Regen::N,догӏа,వాన
76,Schnee::N,ло,హిమము
77,Eis::N,ша,మంచుగడ్డ
78,Frost::N,шело,పేరిన మంచు
79,Kälte::N,шело,చలి
80,Hitze::N,йовхо,వేడిమి
81,Raureif::N,йис,మంచు
82,Regenbogen::N,стелаӏад,ఇంద్రధనుస్సు
83,Donner::N,ткъес,ఉరుము
84,Strömung::N,дӏаэхар,ప్రవాహము
85,Strömung::N,дӏасалелар,ప్రవాహము
86,Tropfen::N,тӏадам,చుక్క
87,Schaum::N,чопа,నురుగు
88,Schmutz::N,хатт,మైల
89,See::N,ӏам,సరస్సు
90,Sumpf::N,уьшал,చిత్తడినేల
91,Moor::N,уьшал,చిత్తడినేల
92,Wiese::N,бай,పచ్చిక బయలు
93,Wald::N,хьун,అడవి
94,Hügel::N,гу,చివ్నకొండ
95,Hügel::N,шу,చివ్నకొండ
96,Hügel::N,барз,చివ్నకొండ
97,Anhöhe::N,акъари,కొండ
98,Berg::N,лам,పర్వతము
99,Gipfel::N,бохь,శిఖరము
100,Höhle::N,хьех,గుహ
101,Abhang::N,басе,ఏటవాలు
102,Quelle::N,шовда,మూలము
103,Bach::N,татол,కాలువ
104,Fluss::N,хи,నది
105,Ufer::N,хийист,తీరము
106,Küste::N,йист,తీరము
107,Festland::N,латта,భూమి
108,Meer::N,xӏорд,సముద్రము
109,Bucht::N,чож,మరుగు
110,Insel::N,гӏайре,దీవి
111,Blume::N,зезаг,పుష్పము
112,Gras::N,буц,పచ్చగడ్డి
113,Wurzel::N,орам,వేరు
114,Baum::N,дитт,చెట్టు
