,Concept_ID,ar,az
0,Auge::N,عين,göz
1,Ohr::N,أذن,qulaq
2,Nase::N,أنف,burun
3,Mund::N,فم,ağız
4,Zahn::N,سن,diş
5,Zunge::N,لسان,dil
6,Lippe::N,شفة,dodaq
7,Wange::N,خد,yanaq
8,Wange::N,وجنة,yanaq
9,Gesicht::N,وجه,üz
10,Stirn::N,جبين,alın
11,Haar::N,شعر,saç
12,Schnurrbart::N,شارب,bığ
13,Bart::N,لحية,saqqal
14,Kinn::N,ذقن,çənə
15,Kiefer[Anatomie]::N,فك,çənə
16,Kehle::N,حلق,boğaz
17,Hals::N,عنق,boyun
18,Hals::N,رقبة,boyun
19,Genick::N,قفا,ənsə
20,Kopf::N,رأس,baş
21,Rücken::N,ظهر,bel
22,Bauch::N,بطن,qarın
23,Nabel::N,سرة,göbək
24,Busen::N,ثدي,məmə
25,Brust::N,صدر,döş
26,Schulter::N,كتف,çiyin
27,Arm::N,ذراع,qol
28,Ellenbogen::N,كوع,dirsək
29,Hand::N,يد,əl
30,Handfläche::N,كف,ovuc
31,Finger::N,إصبع,barmaq
32,Fingernagel::N,ظفر,barmaq dırnağı
33,Nagel[Anatomie]::N,ظفر,dırnak
34,Zeh::N,إصبع القدم,ayaq barmağı
35,Fuß::N,قدم,ayaq
36,Ferse::N,كعب,daban
37,Knie::N,ركبة,diz
38,Oberschenkel::N,فخذ,bud
39,Bein::N,ساق,qıç
40,Körper::N,جسم,əndam
41,Haut::N,بشرة,dəri
42,Blut::N,دم,qan
43,Ader::N,عرق,damar
44,Sehne::N,طنب,vətər
45,Knochen::N,عظم,sümük
46,Gehirn::N,دماغ,beyin
47,Herz::N,قلب,ürək
48,Magen::N,معدة,mədə
49,Leber::N,كبد,qara ciyər
50,Atem::N,نفس,nəfəs
51,Hunger::N,جوع,aclıq
52,Träne::N,دمعة,göz yaşı
53,Geschmack::N,طعم,tam
54,Geschmack::N,طعم,ləzzət
55,Geschmack::N,مذاق,tam
56,Geschmack::N,مذاق,ləzzət
57,Geruch::N,رائحة,qoxu
58,Schlaf::N,نوم,yuxu
59,Schlaf::N,منام,yuxu
60,Traum::N,حلم,röya
61,Himmel::N,سماء,göy
62,Himmel::N,سماء,səma
63,Sonne::N,شمس,günəş
64,Mond::N,قمر,ay
65,Stern::N,نجم,ulduz
66,Stern::N,كوكب,ulduz
67,Luft::N,هواء,hava
