,Concept_ID,mn,mhr
0,Auge::N,нүд,шинча́
1,Ohr::N,чих,пы́лыш
2,Nase::N,хамар,нер
3,Mund::N,ам,умша́
4,Zahn::N,шүд,пӱй
5,Zunge::N,хэл,йы́лме
6,Lippe::N,уруул,тӱ́рвӧ
7,Wange::N,хацар,шӱ́ргӧ
8,Gesicht::N,царай,чури́й
9,Gesicht::N,нүүр,чури́й
10,Stirn::N,дух,саҥга́
11,Haar::N,үс,ӱп
12,Schnurrbart::N,дээд сахал,ӧ́рыш
13,Schnurrbart::N,живэр сахал,ӧ́рыш
14,Bart::N,сахал,понда́ш
15,Kinn::N,эрүү,оҥыла́ш
16,Kiefer[Anatomie]::N,эрүү,пӱйдӱ́ҥ
17,Kiefer[Anatomie]::N,эрүү,пӱйората́
18,Kehle::N,хоолой,лога́р
19,Hals::N,хүзүү,шӱй
20,Genick::N,шил,шӱйло́дыш
21,Genick::N,хүзүү,шӱйло́дыш
22,Kopf::N,толгой,вуй
23,Rücken::N,ар,туп
24,Rücken::N,нуруу,туп
25,Bauch::N,хэвлий,мӱ́шкыр
26,Bauch::N,гэдэс,мӱ́шкыр
27,Nabel::N,хүйс,кы́лымде
28,Busen::N,хөх,чы́зе
29,Brust::N,цээж,оҥ
30,Schulter::N,мөр,ва́че
31,Schulter::N,бугалга,ва́че
32,Arm::N,гар,кид
33,Ellenbogen::N,тохой,кынерву́й
34,Hand::N,гар,кид
35,Hand::N,гар,копа́
36,Hand::N,алга,кид
37,Hand::N,алга,копа́
38,Handfläche::N,алга,со́во
39,Finger::N,хуруу,парня́
40,Fingernagel::N,хурууны хумс,кидкӱ́ч
41,Fingernagel::N,хурууны хумс,парнягӱ́ч
42,Nagel[Anatomie]::N,хумс,кӱч
43,Zeh::N,хуруу,йолварня́
44,Fuß::N,хөл,йол
45,Fuß::N,хөл,йолкопа́
46,Ferse::N,өсгий,тага́н
47,Knie::N,өвдөг,пулву́й
48,Oberschenkel::N,гуя,э́рде
49,Bein::N,хөл,йол
50,Körper::N,бие,кап
51,Haut::N,арьс,кова́ште
52,Blut::N,цус,вӱр
53,Ader::N,судас,шӧн
54,Sehne::N,бүлх,шӧн
55,Sehne::N,бүлх,кӱсе́н
56,Sehne::N,шандас,шӧн
57,Sehne::N,шандас,кӱсе́н
58,Knochen::N,яс,лу
59,Gehirn::N,тархи,вем
60,Gehirn::N,тархи,вуйве́м
61,Herz::N,зүрх,шӱм
62,Magen::N,ходоод,пага́р
63,Leber::N,элэг,мокш
64,Atem::N,амьсгаа,шӱ́лыш
65,Hunger::N,өлсгөлөн,шужыма́ш
66,Träne::N,нулимс,шинчавӱ́д
67,Geschmack::N,амт,там
68,Geruch::N,үнэр,пуш
69,Schlaf::N,нойр,о́мо
70,Traum::N,зүүд,йӱдо́мо
71,Himmel::N,тэнгэр,кава́
72,Himmel::N,огторгуй,кава́
73,Sonne::N,нар,ке́че
74,Mond::N,сар,ты́лзе
75,Stern::N,од,шӱ́дыр
76,Luft::N,агаар,юж
77,Wind::N,салхи,марде́ж
78,Welle::N,долгио,то́лкын
79,Welle::N,давалгаа,то́лкын
80,Wasser::N,ус,вӱд
81,Stein::N,чулуу,кӱ
82,Boden::N,хөрс,рок
83,Erde::N,газар,мла́нде
84,Erde::N,шороо,мла́нде
85,Staub::N,тоос,пура́к
86,Rauch::N,утаа,шикш
87,Funke::N,оч,сеске́м
88,Funke::N,оч,тулйы́п
89,Feuer::N,гал,тул
90,Licht::N,гэрэл,со́то
91,Licht::N,гэгээ,со́то
92,Schatten::N,сүүдэр,ӱ́мыл
93,Wetter::N,тэнгэр,иге́че
94,Wetter::N,цаг уур,иге́че
95,Nebel::N,будан,тӱтыра́
96,Wolke::N,үүл,пыл
97,Regen::N,бороо,йӱр
98,Schnee::N,цас,лум
99,Eis::N,мөс,ий
100,Frost::N,хүйт,чатлама́
101,Kälte::N,хүйт,йӱ́штӧ
102,Hitze::N,халуун,шо́кшо
103,Raureif::N,цан,пӧрш
104,Raureif::N,цан,по́кшым
105,Raureif::N,хяруу,пӧрш
106,Raureif::N,хяруу,по́кшым
107,Regenbogen::N,солонго,шонанпы́л
108,Donner::N,тэнгэрийн дуу,кӱ́дырчӧ
109,Strömung::N,урсгал,йо́гын
110,Tropfen::N,дусал,чӱча́лтыш
111,Schaum::N,хөөс,шоҥ
112,Schmutz::N,хир,лавыра́
113,Schmutz::N,шавхай,лавыра́
114,See::N,нуур,ер
115,Sumpf::N,намаг,лӱ́кӧ
116,Sumpf::N,балчиг,лӱ́кӧ
117,Moor::N,хүлрийн намаг,куп
118,Wiese::N,нуга,о́лык
119,Wald::N,ой,чодыра́
120,Hügel::N,болдог,арка́
121,Anhöhe::N,гүвээ,тӧва́
122,Anhöhe::N,гүвээ,кӱкшака́
123,Berg::N,уул,ку́рык
124,Gipfel::N,орой,чаҥга́
125,Gipfel::N,орой,курыкву́й
126,Gipfel::N,оргил,чаҥга́
127,Gipfel::N,оргил,курыкву́й
128,Höhle::N,агуй,пеще́р
129,Höhle::N,агуй,курыкпо́мыш
130,Abhang::N,хүр,та́йыл
131,Quelle::N,булаг,важ
132,Quelle::N,булаг,вӱдшинча́
133,Bach::N,горхи,изэҥе́р
134,Fluss::N,гол,эҥе́р
135,Fluss::N,мөрөн,эҥе́р
136,Ufer::N,эрэг,сер
137,Küste::N,эрэг,вӱдтӱ́р
138,Festland::N,хуурай газар,мла́нде
139,Meer::N,далай,те́ҥыз
140,Meer::N,тэнгис,те́ҥыз
141,Bucht::N,булан,икса́
142,Bucht::N,далайн тохой,икса́
143,Insel::N,арал,отро́
144,Blume::N,цэцэг,пеле́дыш
145,Gras::N,өвс,шу́до
146,Gras::N,ногоо,шу́до
147,Wurzel::N,үндэс,вож
148,Baum::N,мод,пуше́ҥге
149,Stamm::N,иш,йы́тыр
150,Stamm::N,гуалин,йы́тыр
151,Rinde::N,холтос,шӱм
152,Ast::N,гишүү,укш
153,Zweig::N,салаа,торма́к
154,Blatt::N,навч,лышта́ш
155,Birke::N,хус,куэ́
156,Kiefer[Baum]::N,нарс,пӱ́нчӧ
157,Weide[Baum]::N,уд,уа́
158,Weide[Baum]::N,бургас,уа́
159,Tanne::N,гачуур,кож
160,Horn::N,эвэр,шур
161,Feder::N,өд,пы́стыл
162,Fell::N,арьс,кова́ште
163,Flügel::N,жигүүр,шу́лдыр
164,Flügel::N,далавч,шу́лдыр
165,Klaue::N,савар,кӱч
166,Klaue::N,хумс,кӱч
167,Kralle::N,савар,ла́па
168,Kralle::N,савар,копа́
169,Schwanz::N,сүүл,поч
170,Ei::N,өндөг,му́но
171,Nest::N,үүр,пыжа́ш
172,Bau::N,нүх,пыжа́ш
173,Bau::N,элүү,пыжа́ш
174,Tier::N,амьтан,я́нлык
175,Tier::N,амьтан,живо́тный
176,Tier::N,адгуус,я́нлык
177,Tier::N,адгуус,живо́тный
178,Herde::N,сүрэг,кӱ́тӱ
179,Herde::N,сүрэг,тӱшка́
180,Kuh::N,үнээ,ушка́л
181,Bulle::N,бух,ӱ́шкыж
182,Pferd::N,морь,и́мне
183,Pferd::N,адуу,и́мне
184,Schaf::N,хонь,шо́рык
185,Schwein::N,гахай,сӧсна́
186,Hund::N,нохой,пий
187,Katze::N,муур,пы́рыс
188,Katze::N,мигуй,пы́рыс
189,Bär::N,баавгай,маска́
190,Eichhörnchen::N,хэрэм,ур
191,Elch::N,хандгай,шо́рдо
192,Fuchs::N,үнэг,ры́выж
193,Hase::N,туулай,мера́ҥ
194,Maus::N,хулгана,коля́
195,Wolf::N,чоно,пи́ре
196,Vogel::N,шувуу,ка́йык
197,Schwarm::N,сүрэг,каша́к
198,Huhn::N,тахиа,чы́ве
199,Hahn::N,эр тахиа,агыта́н
200,Gans::N,галуу,ко́мбо
201,Adler::N,бүргэд,карагу́ш
202,Ente::N,нугас,лу́до
203,Eule::N,ууль,тумна́
204,Kranich::N,тогоруу,турня́
205,Krähe::N,хэрээ,кора́к
206,Kuckuck::N,хөхөө,куку́
207,Schwan::N,хун,йӱ́ксӧ
208,Fisch::N,загас,кол
209,Barsch::N,алгана,ола́ҥге
210,Hecht::N,цурхай,нуж
211,Hecht::N,цурхай,чорта́н
212,Schlange[Tier]::N,могой,ки́шке
213,Wurm::N,өт,шукш
214,Wurm::N,хорхой,шукш
215,Spinne::N,аалз,эҥыре́мыш
216,Ameise::N,шоргоолж,ку́тко
217,Laus::N,бөөс,тий
218,Mücke::N,шумуул,шыҥа́
219,Fliege::N,ялаа,ка́рме
220,Schmetterling::N,эрвээхэй,лы́ве
221,Beere::N,жимсгэнэ,мӧр
222,Apfel::N,алим,олма́
223,Pilz::N,мөөг,по́ҥго
224,Zwiebel::N,сонгино,шога́н
225,Saat::N,тариа,нӧ́шмӧ
226,Saat::N,тариа,туш
227,Korn::N,үр,шу́рно
228,Korn::N,мөхлөг,шу́рно
229,Heu::N,өвс,шу́до
230,Schale::N,хальс,шӱм
231,Grube::N,алам,выне́м
232,Grube::N,нүх,выне́м
233,Falle::N,хавх,лӧ́дӧ
234,Falle::N,занга,лӧ́дӧ
235,Schlinge::N,урхи,о́птыш
236,Schlinge::N,урхи,шӧрга́лтыш
