,Concept_ID,kn,ko
0,Auge::N,ಕಣ್ಣು,눈
1,Ohr::N,ಕಿವಿ,귀
2,Nase::N,ಮೂಗು,코
3,Mund::N,ಬಾಯಿ,입
4,Zahn::N,ಹಲ್ಲು,이
5,Zunge::N,ನಾಲಿಗೆ,혀
6,Lippe::N,ತುಟಿ,입술
7,Wange::N,ಗಲ್ಲ,뺨
8,Gesicht::N,ಮುಖ,얼굴
9,Stirn::N,ಹಣೆ,이마
10,Haar::N,ಕೂದಲು,털
11,Schnurrbart::N,ಮೀಸೆ,윗수몀
12,Schnurrbart::N,ಮೀಸೆ,코밑수염
13,Bart::N,ಗಡ್ಡ,수엄
14,Kinn::N,ಗದ್ದ,아래턱
15,Kiefer[Anatomie]::N,ದವಡೆ,턱
16,Kehle::N,ಗಂಟಲು,인후
17,Hals::N,ಕೊರಳು,목
18,Genick::N,ಹಿಂಗತ್ತು,먹덜이
19,Kopf::N,ತಲೆ,머리
20,Rücken::N,ಬೆನ್ನು,든
21,Bauch::N,ಹೊಟ್ಟೆ,배
22,Nabel::N,ಹೊಕ್ಕುಳು,배꼽
23,Busen::N,ಸ್ತನ,가슴속
24,Brust::N,ಎದೆ,가슴
25,Schulter::N,ಭುಜ,어깨
26,Arm::N,ತೋಳು,팔
27,Ellenbogen::N,ಮೊಣಕೈ,팔쿰치
28,Hand::N,ಕೈ,손
29,Handfläche::N,ಅಂಗೈ,손바닥
30,Finger::N,ಕೈಬೆರಳು,속가락
31,Fingernagel::N,ಉಗುರು,손톱
32,Nagel[Anatomie]::N,ಉಗುರು,손톱
33,Zeh::N,ಕಾಲ್ಬೆರಳು,발가락
34,Fuß::N,ಪಾದ,발
35,Ferse::N,ಹಿಮ್ಮಡಿ,발꿈치
36,Knie::N,ಮಂಡಿ,무릎
37,Oberschenkel::N,ತೊಡೆ,허벅다리
38,Bein::N,ಕಾಲು,다리
39,Körper::N,ದೇಹ,구간
40,Haut::N,ಚರ್ಮ,살갗
41,Blut::N,ರಕ್ತ,피
42,Ader::N,ನರ,정맥
43,Sehne::N,ನರ,현
44,Knochen::N,ಮೂಳೆ,뼈
45,Gehirn::N,ಮಿದುಳು,뇌
46,Gehirn::N,ಮಿದುಳು,뇌수
47,Herz::N,ಹೃದಯ,염통
48,Magen::N,ಉದರ,위
49,Leber::N,ಯಕೃತ್ತು,간
50,Atem::N,ಉಸಿರು,기식
51,Hunger::N,ಹಸಿವು,공복
52,Träne::N,ಕಣ್ಣೀರು,눈물
53,Geschmack::N,ರುಚಿ,기호
54,Geruch::N,ವಾಸನೆ,냄새
55,Schlaf::N,ನಿದ್ರೆ,수면
56,Traum::N,ಕನಸು,쿰
57,Himmel::N,ಬಾನು,하늘
58,Sonne::N,ಸೂರ್ಯ,해
59,Mond::N,ಚಂದ್ರ,달
60,Stern::N,ಚುಕ್ಕಿ,별
61,Luft::N,ವಾಯು,동준
62,Luft::N,ವಾಯು,가스채
63,Wind::N,ಗಾಳಿ,바람
64,Welle::N,ಅಲೆ,물결
65,Wasser::N,ನೀರು,물
66,Stein::N,ಕಲ್ಲು,돌
67,Boden::N,ನೆಲ,바닥
68,Erde::N,ಭೂಮಿ,흙
69,Staub::N,ದೂಳು,먼지
70,Rauch::N,ಹೊಗೆ,연기
71,Funke::N,ಕಿಡಿ,불티
72,Feuer::N,ಬೆಂಕಿ,불
73,Licht::N,ಬೆಳಕು,불
74,Schatten::N,ನೆರಳು,어스레함
75,Wetter::N,ಹವ,기상
76,Nebel::N,ಮಂಜು,안개
77,Wolke::N,ಮೋಡ,구름
78,Regen::N,ಮಳೆ,비
79,Schnee::N,ಹಿಮ,눈
80,Eis::N,ಮಂಜುಗಡ್ಡೆ,얼음
81,Frost::N,ಮಂಜು,혹한
82,Kälte::N,ಹಿಮ,추위
83,Kälte::N,ಹಿಮ,차가움
84,Hitze::N,ಉಷ್ಣ,고온
85,Hitze::N,ಉಷ್ಣ,더위
86,Raureif::N,ಇಬ್ಬನಿ,
87,Regenbogen::N,ಇಂದ್ರಚಾಪ,무지개
88,Donner::N,ಗುಡುಗು,뇌명
89,Strömung::N,ಪ್ರವಾಹ,유동
90,Tropfen::N,ತೊಟ್ಟು,물방울
91,Schaum::N,ನೊರೆ,포말
92,Schmutz::N,ಕಸ,때
93,See::N,ಸರೋವರ,호수
94,Sumpf::N,ಜೌಗುಸ್ಥಳ,습지
95,Moor::N,ಬಂಜರು ಭೂಮಿ,저습지
96,Wiese::N,ಹುಲ್ಲುಗಾವಲು,목초지
97,Wald::N,ಕಾಡು,숲
98,Hügel::N,ಗುಡ್ಡೆ,언덕
99,Anhöhe::N,ದಿಬ್ಬ,언덕
100,Berg::N,ಮಲೆ,산
101,Berg::N,ಪರ್ವತ,산
102,Gipfel::N,ಶೃಂಗ,졀졍
103,Höhle::N,ಗುಹೆ,공동
104,Abhang::N,ಇಳಿಜಾರು,몰매
105,Quelle::N,ಮೂಲ,근원
106,Bach::N,ತೊರೆ,내
107,Fluss::N,ನದಿ,강
108,Ufer::N,ತೀರ,강변
109,Ufer::N,ತೀರ,바닷가
110,Küste::N,ದಂಡೆ,해변
111,Küste::N,ದಂಡೆ,해변가
112,Festland::N,ಭೂಮಿ,본토
113,Meer::N,ಕಡಲು,바다
114,Bucht::N,ಖಾರಿ,협만
115,Insel::N,ದ್ವೀಪ,섬
116,Blume::N,ಸುಮ,꽃
117,Gras::N,ಹುಲ್ಲು,풀
118,Wurzel::N,ಬೇರು,뿌리
119,Baum::N,ಮರ,나무
120,Stamm::N,ಕಾಂಡ,대
121,Rinde::N,ತೂಗಟಿ,나무껍질
122,Ast::N,ಶಾಖೆ,가지
123,Zweig::N,ರೆಂಬೆ,가지
124,Blatt::N,ಎಲೆ,잎
125,Birke::N,ಬರ್ಚ್ ಮರ,자작나무
126,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,소나무
127,Weide[Baum]::N,ವಿಲೋಮರ,쉬양버들
128,Tanne::N,ಭದ್ರದಾರು,전나무
129,Horn::N,ಕೊಂಬು,뿔
130,Feder::N,ಪುಕ್ಕ,깃털
131,Fell::N,ರೋಮ,피혁모피
132,Flügel::N,ರೆಕ್ಕೆ,날개
133,Klaue::N,ಪಂಜ,갈고리 발톺
134,Kralle::N,ಉಗುರು,발툭
135,Schwanz::N,ಬಾಲ,꼬리
136,Ei::N,ಮೊಟ್ಟೆ,알
137,Nest::N,ಗೂಡು,보금자리
138,Bau::N,ಅಡಗುದಾಣ,굴
139,Tier::N,ಪ್ರಾಣಿ,짐승
140,Herde::N,ಗುಂಪು,가축의떼
141,Kuh::N,ಹಸು,암소
142,Bulle::N,ಗೂಳಿ,황소
143,Pferd::N,ಕುದುರೆ,말
