,Concept_ID,ko,av
0,Auge::N,눈,
1,Ohr::N,귀,гӏин
2,Nase::N,코,мегӏер
3,Mund::N,입,кӏал
4,Zahn::N,이,гӏус
5,Zunge::N,혀,мацӏ
6,Lippe::N,입술,кӏветӏ
7,Wange::N,뺨,гӏоно
8,Gesicht::N,얼굴,гьумер
9,Stirn::N,이마,нодо
10,Haar::N,털,рас
11,Schnurrbart::N,윗수몀,михъ
12,Schnurrbart::N,코밑수염,михъ
13,Bart::N,수엄,мегеж
14,Kinn::N,아래턱,нилъу
15,Kiefer[Anatomie]::N,턱,чанагъ
16,Kehle::N,인후,щекъер
17,Hals::N,목,габур
18,Genick::N,먹덜이,гъванща
19,Kopf::N,머리,бетӏер
20,Rücken::N,든,мугъ
21,Bauch::N,배,чехь
22,Nabel::N,배꼽,цӏину
23,Busen::N,가슴속,керен
24,Brust::N,가슴,керен
25,Schulter::N,어깨,гъажазубетӏер
26,Arm::N,팔,гъеж
27,Ellenbogen::N,팔쿰치,гӏункӏрукь
28,Hand::N,손,квер
29,Handfläche::N,손바닥,огъохъат
30,Handfläche::N,손바닥,жанисахъат
31,Finger::N,속가락,килищ
32,Fingernagel::N,손톱,малъ
33,Nagel[Anatomie]::N,손톱,малъ
34,Zeh::N,발가락,килищ
35,Fuß::N,발,хӏетӏ
36,Fuß::N,발,хӏетӏе
37,Ferse::N,발꿈치,эгъе
38,Knie::N,무릎,наку
39,Oberschenkel::N,허벅다리,мачӏ
40,Bein::N,다리,бох
41,Körper::N,구간,къаркъала
42,Haut::N,살갗,тӏом
43,Blut::N,피,би
44,Ader::N,정맥,бидурихь
45,Sehne::N,현,
46,Knochen::N,뼈,ракьа
47,Gehirn::N,뇌,гӏадалнах
48,Gehirn::N,뇌수,гӏадалнах
49,Herz::N,염통,ракӏ
50,Magen::N,위,кванирукъ
51,Leber::N,간,тӏул
52,Atem::N,기식,хӏухь
53,Hunger::N,공복,ракъи
54,Träne::N,눈물,магӏу
55,Geschmack::N,기호,тату
56,Geruch::N,냄새,махӏ
57,Schlaf::N,수면,макьу
58,Traum::N,쿰,макьу
59,Himmel::N,하늘,зоб
60,Sonne::N,해,бакъ
61,Mond::N,달,моцӏ
62,Stern::N,별,цӏва
63,Luft::N,동준,гьава
64,Luft::N,가스채,гьава
65,Wind::N,바람,гьури
66,Welle::N,물결,карачел
67,Wasser::N,물,лъим
68,Stein::N,돌,гьецӏо
69,Boden::N,바닥,ракь
70,Erde::N,흙,ракь
71,Erde::N,흙,дуниял
72,Staub::N,먼지,хӏур
73,Rauch::N,연기,кӏкӏуй
74,Funke::N,불티,
75,Feuer::N,불,цӏа
76,Licht::N,불,канлъи
77,Schatten::N,어스레함,рагӏад
78,Wetter::N,기상,гьава-бакъ
79,Nebel::N,안개,гӏодобнакӏкӏ
80,Wolke::N,구름,накӏкӏ
81,Regen::N,비,цӏад
82,Schnee::N,눈,гӏазу
83,Eis::N,얼음,цӏер
84,Frost::N,혹한,замгьари
85,Kälte::N,추위,квач
86,Kälte::N,차가움,квач
87,Hitze::N,고온,багӏари
88,Hitze::N,더위,багӏари
89,Regenbogen::N,무지개,нур
90,Regenbogen::N,무지개,чамбара
91,Donner::N,뇌명,гъугъай
92,Donner::N,뇌명,гъугъади
93,Strömung::N,유동,чвахи
94,Tropfen::N,물방울,резел
95,Tropfen::N,물방울,тӏинкӏ
96,Tropfen::N,물방울,къатӏра
97,Tropfen::N,물방울,тӏенкӏел
98,Schaum::N,포말,полоп
99,Schmutz::N,때,чороклъи
100,See::N,호수,хӏор
101,Sumpf::N,습지,хьуцӏ
102,Moor::N,저습지,
103,Wiese::N,목초지,мегъ
104,Wiese::N,목초지,гӏурдаллъи
105,Wald::N,숲,рохь
106,Hügel::N,언덕,гохӏ
107,Anhöhe::N,언덕,сийитма
108,Berg::N,산,мегӏер
109,Gipfel::N,졀졍,тӏогь
110,Höhle::N,공동,нохъо
111,Abhang::N,몰매,лабаллъи
112,Quelle::N,근원,ицц
113,Bach::N,내,лъар
114,Fluss::N,강,гӏор
115,Ufer::N,강변,рагӏал
116,Ufer::N,바닷가,рагӏал
117,Küste::N,해변,рагӏал
118,Küste::N,해변가,рагӏал
119,Festland::N,본토,ракь
120,Festland::N,본토,ракъдаллъи
121,Meer::N,바다,ралъад
122,Bucht::N,협만,кӏветӏ
123,Insel::N,섬,чӏинкӏиллъи
124,Blume::N,꽃,тӏегь
125,Gras::N,풀,хер
126,Wurzel::N,뿌리,кьибил
127,Baum::N,나무,гъветӏ
128,Stamm::N,대,рохти
129,Rinde::N,나무껍질,макъар
130,Ast::N,가지,ноцӏ
131,Zweig::N,가지,гӏаркьел
132,Blatt::N,잎,тӏамах
133,Birke::N,자작나무,мах
134,Birke::N,자작나무,махигъветӏ
135,Kiefer[Baum]::N,소나무,накӏкӏигъветӏ
136,Weide[Baum]::N,쉬양버들,рицӏцӏ
137,Weide[Baum]::N,쉬양버들,рицӏцӏигъветӏ
138,Tanne::N,전나무,ёлка
139,Horn::N,뿔,лълъар
140,Feder::N,깃털,хӏули
141,Fell::N,피혁모피,тӏом
142,Fell::N,피혁모피,цӏоко
143,Flügel::N,날개,кваркьи
144,Klaue::N,갈고리 발톺,галъ
145,Kralle::N,발툭,квачӏ
146,Kralle::N,발툭,катиквачӏ
147,Schwanz::N,꼬리,рачӏ
148,Ei::N,알,хоно
149,Nest::N,보금자리,бусен
150,Bau::N,굴,каратӏ
151,Tier::N,짐승,хӏайван
152,Herde::N,가축의떼,рехъен
153,Herde::N,가축의떼,рехъед
154,Kuh::N,암소,гӏака
155,Bulle::N,황소,оц
156,Pferd::N,말,чу
157,Schaf::N,양,чахъу
158,Schwein::N,돼지,болъон
159,Hund::N,개,гьой
160,Katze::N,고양이,кету
161,Bär::N,콤,ци
162,Eichhörnchen::N,다람쥐,гвангва
163,Elch::N,고라니,
164,Fuchs::N,여우,цер
165,Hase::N,토끼,гӏанкӏ
166,Maus::N,쥐,гӏункӏкӏ
167,Wolf::N,늑대,бацӏ
168,Vogel::N,새,хӏинчӏ
169,Schwarm::N,뗴,тӏел
170,Huhn::N,암탉,гӏанкӏу
171,Hahn::N,수탉,хӏелеко
172,Gans::N,거위,хъаз
173,Adler::N,수리,цӏум
174,Ente::N,오리,ордек
175,Eule::N,부엉이,беццаруз
176,Kranich::N,두루미,къункъра
177,Krähe::N,까마귀,гъеду
178,Kuckuck::N,뻐꾸기,гагу
179,Schwan::N,배조,хӏанкъва
180,Fisch::N,물고기,ччугӏа
181,Barsch::N,농어,окунь
182,Hecht::N,에속스,щука
183,Schlange[Tier]::N,뱀,борохь
184,Wurm::N,벌레,хӏапара
185,Spinne::N,거미,хъанхъра
186,Ameise::N,개미,цӏунцӏра
187,Laus::N,이,нацӏ
188,Mücke::N,모기,кӏкӏара
189,Fliege::N,날기,тӏутӏ
190,Schmetterling::N,나비,кӏалкӏучӏ
191,Beere::N,장과,
192,Apfel::N,사과,гӏеч
193,Pilz::N,고방이,гӏурдахӏан
194,Zwiebel::N,양파,кӏочӏопер
195,Saat::N,씨,хьон
196,Korn::N,알맹이,мугь
