,Concept_ID,it,av
0,Auge::N,occhio,
1,Ohr::N,orecchio,гӏин
2,Nase::N,naso,мегӏер
3,Mund::N,bocca,кӏал
4,Zahn::N,dente,гӏус
5,Zunge::N,lingua,мацӏ
6,Lippe::N,labbro,кӏветӏ
7,Wange::N,guancia,гӏоно
8,Gesicht::N,viso,гьумер
9,Gesicht::N,faccia,гьумер
10,Stirn::N,fronte,нодо
11,Haar::N,capello,рас
12,Schnurrbart::N,baffi,михъ
13,Schnurrbart::N,mustacchi,михъ
14,Bart::N,barba,мегеж
15,Kinn::N,mento,нилъу
16,Kiefer[Anatomie]::N,mascella,чанагъ
17,Kehle::N,gola,щекъер
18,Hals::N,collo,габур
19,Genick::N,nuca,гъванща
20,Kopf::N,capo,бетӏер
21,Kopf::N,testa,бетӏер
22,Rücken::N,dorso,мугъ
23,Rücken::N,schiena,мугъ
24,Bauch::N,ventre,чехь
25,Nabel::N,ombelico,цӏину
26,Busen::N,seno,керен
27,Brust::N,petto,керен
28,Schulter::N,spalla,гъажазубетӏер
29,Arm::N,braccio,гъеж
30,Ellenbogen::N,gomito,гӏункӏрукь
31,Hand::N,mano,квер
32,Handfläche::N,palma,огъохъат
33,Handfläche::N,palma,жанисахъат
34,Finger::N,dito,килищ
35,Fingernagel::N,unghia,малъ
36,Nagel[Anatomie]::N,unghia,малъ
37,Zeh::N,dito del piede,килищ
38,Fuß::N,piede,хӏетӏ
39,Fuß::N,piede,хӏетӏе
40,Ferse::N,tallone,эгъе
41,Ferse::N,calcagno,эгъе
42,Knie::N,ginocchio,наку
43,Oberschenkel::N,fèmore,мачӏ
44,Bein::N,gamba,бох
45,Körper::N,corpo,къаркъала
46,Haut::N,pelle,тӏом
47,Blut::N,sangue,би
48,Ader::N,vena,бидурихь
49,Sehne::N,tèndine,
50,Knochen::N,osso,ракьа
51,Gehirn::N,cervello,гӏадалнах
52,Herz::N,cuore,ракӏ
53,Magen::N,stòmaco,кванирукъ
54,Leber::N,fegato,тӏул
55,Atem::N,fiato,хӏухь
56,Atem::N,respiro,хӏухь
57,Hunger::N,fame,ракъи
58,Träne::N,làcrima,магӏу
59,Geschmack::N,gusto,тату
60,Geschmack::N,sapore,тату
61,Geruch::N,odore,махӏ
62,Schlaf::N,sonno,макьу
63,Traum::N,sogno,макьу
64,Himmel::N,cielo,зоб
65,Sonne::N,sole,бакъ
66,Mond::N,luna,моцӏ
67,Stern::N,stella,цӏва
68,Luft::N,aria,гьава
69,Wind::N,vento,гьури
70,Welle::N,onda,карачел
71,Wasser::N,acqua,лъим
72,Stein::N,sasso,гьецӏо
73,Stein::N,pietra,гьецӏо
74,Boden::N,suolo,ракь
75,Boden::N,terreno,ракь
76,Erde::N,terra,ракь
77,Erde::N,terra,дуниял
78,Staub::N,polvere,хӏур
79,Rauch::N,fumo,кӏкӏуй
80,Funke::N,scintilla,
81,Feuer::N,fuoco,цӏа
82,Licht::N,luce,канлъи
83,Schatten::N,ombra,рагӏад
84,Wetter::N,tempo,гьава-бакъ
85,Nebel::N,nebbia,гӏодобнакӏкӏ
86,Wolke::N,nube,накӏкӏ
87,Wolke::N,nùvola,накӏкӏ
88,Regen::N,pioggia,цӏад
89,Schnee::N,neve,гӏазу
90,Eis::N,ghiaccio,цӏер
91,Frost::N,gelo,замгьари
92,Kälte::N,freddo,квач
93,Hitze::N,caldo,багӏари
94,Hitze::N,calura,багӏари
95,Raureif::N,brina,мартӏ
96,Regenbogen::N,arcobaleno,нур
97,Regenbogen::N,arcobaleno,чамбара
98,Donner::N,tuono,гъугъай
99,Donner::N,tuono,гъугъади
100,Strömung::N,corrente,чвахи
101,Tropfen::N,goccia,резел
102,Tropfen::N,goccia,тӏинкӏ
103,Tropfen::N,goccia,къатӏра
104,Tropfen::N,goccia,тӏенкӏел
105,Schaum::N,spuma,полоп
106,Schaum::N,schiuma,полоп
107,Schmutz::N,sudiciume,чороклъи
108,See::N,lago,хӏор
109,Sumpf::N,palude,хьуцӏ
110,Moor::N,torbiera,
111,Wiese::N,prato,мегъ
112,Wiese::N,prato,гӏурдаллъи
113,Wald::N,bosco,рохь
114,Wald::N,foresta,рохь
115,Hügel::N,colle,гохӏ
116,Hügel::N,collina,гохӏ
117,Anhöhe::N,altura,сийитма
118,Berg::N,monte,мегӏер
119,Berg::N,montagna,мегӏер
120,Gipfel::N,cima,тӏогь
121,Höhle::N,grotta,нохъо
122,Höhle::N,caverna,нохъо
123,Abhang::N,pendìo,лабаллъи
124,Quelle::N,sorgente,ицц
125,Bach::N,ruscello,лъар
126,Fluss::N,fiume,гӏор
127,Ufer::N,riva,рагӏал
128,Küste::N,costa,рагӏал
129,Festland::N,terraferma,ракь
130,Festland::N,terraferma,ракъдаллъи
131,Meer::N,mare,ралъад
132,Bucht::N,cala,кӏветӏ
133,Insel::N,ìsola,чӏинкӏиллъи
134,Blume::N,fiore,тӏегь
135,Gras::N,erba,хер
136,Wurzel::N,radice,кьибил
137,Baum::N,àlbero,гъветӏ
138,Stamm::N,tronco,рохти
139,Rinde::N,corteccia,макъар
140,Ast::N,ramo,ноцӏ
141,Zweig::N,ramo,гӏаркьел
142,Blatt::N,foglia,тӏамах
143,Birke::N,betulla,мах
144,Birke::N,betulla,махигъветӏ
145,Kiefer[Baum]::N,pino,накӏкӏигъветӏ
146,Weide[Baum]::N,sàlice,рицӏцӏ
147,Weide[Baum]::N,sàlice,рицӏцӏигъветӏ
148,Tanne::N,abete,ёлка
149,Horn::N,corno,лълъар
150,Feder::N,penna,хӏули
151,Fell::N,manto,тӏом
152,Fell::N,manto,цӏоко
153,Fell::N,pelame,тӏом
154,Fell::N,pelame,цӏоко
155,Flügel::N,ala,кваркьи
156,Klaue::N,grinfia,галъ
157,Kralle::N,unghia,квачӏ
158,Kralle::N,unghia,катиквачӏ
159,Kralle::N,artiglio,квачӏ
160,Kralle::N,artiglio,катиквачӏ
161,Schwanz::N,coda,рачӏ
162,Ei::N,uovo,хоно
163,Nest::N,nido,бусен
164,Bau::N,covo,каратӏ
165,Tier::N,bestia,хӏайван
166,Tier::N,animale,хӏайван
167,Herde::N,gregge,рехъен
168,Herde::N,gregge,рехъед
169,Kuh::N,vacca,гӏака
170,Bulle::N,toro,оц
171,Pferd::N,cavallo,чу
172,Schaf::N,pècora,чахъу
173,Schwein::N,porco,болъон
174,Schwein::N,maiale,болъон
175,Hund::N,cane,гьой
176,Katze::N,gatta,кету
177,Bär::N,orso,ци
178,Eichhörnchen::N,scoiàttolo,гвангва
179,Elch::N,alce,
180,Fuchs::N,volpe,цер
181,Hase::N,lepre,гӏанкӏ
182,Maus::N,topo,гӏункӏкӏ
183,Maus::N,sorcio,гӏункӏкӏ
184,Wolf::N,lupo,бацӏ
185,Vogel::N,uccello,хӏинчӏ
186,Schwarm::N,stormo,тӏел
187,Huhn::N,gallina,гӏанкӏу
188,Hahn::N,gallo,хӏелеко
189,Gans::N,oca,хъаз
190,Adler::N,àquila,цӏум
191,Ente::N,ànatra,ордек
192,Eule::N,gufo,беццаруз
193,Eule::N,civetta,беццаруз
194,Kranich::N,gru,къункъра
195,Krähe::N,cornacchia,гъеду
196,Kuckuck::N,cuccù,гагу
197,Kuckuck::N,cùculo,гагу
198,Schwan::N,cigno,хӏанкъва
199,Fisch::N,pesce,ччугӏа
200,Barsch::N,pèrsico,окунь
201,Hecht::N,luccio,щука
202,Schlange[Tier]::N,serpente,борохь
203,Wurm::N,baco,хӏапара
204,Wurm::N,verme,хӏапара
205,Spinne::N,ragno,хъанхъра
206,Ameise::N,formica,цӏунцӏра
207,Laus::N,pidocchio,нацӏ
208,Mücke::N,zanzara,кӏкӏара
209,Fliege::N,mosca,тӏутӏ
210,Schmetterling::N,farfalla,кӏалкӏучӏ
211,Beere::N,bacca,
212,Apfel::N,mela,гӏеч
213,Pilz::N,fungo,гӏурдахӏан
214,Zwiebel::N,cipolla,кӏочӏопер
215,Saat::N,semente,хьон
216,Korn::N,grano,мугь
217,Heu::N,fieno,хер
218,Schale::N,buccia,хъал
219,Grube::N,cava,гвенд
220,Grube::N,fossa,гвенд
221,Falle::N,tràppola,къор
222,Falle::N,tràppola,къотен
223,Schlinge::N,laccio,кӏичӏ
224,Spur::N,traccia,лъалкӏ
225,Asche::N,cenere,рахъу
226,Dreck::N,fango,гъиз
227,Dreck::N,fango,хӏарщ
228,Eisen::N,ferro,махх
229,Gold::N,oro,месед
230,Silber::N,argento,гӏарац
231,Kohle::N,carbone,тӏурччи
232,Glas::N,vetro,цӏер
233,Lehm::N,argilla,хӏатӏ
234,Sand::N,arena,сали
235,Sand::N,sabbia,сали
236,Mensch::N,uomo,чи
237,Mensch::N,èssere umano,чи
238,Mann::N,uomo,бихьинчи
239,Frau::N,donna,гӏадан
240,Kind::N,bambino,лъимер
241,Junge::N,ragazzo,вас
242,Mädchen::N,ragazza,яс
243,Familie::N,famiglia,хъизан
244,Großvater::N,nonno,кӏудада
245,Großmutter::N,nonna,кӏодо
246,Eltern::N,genitori,эбел-эмен
247,Vater::N,padre,эмен
248,Mutter::N,madre,эбел
249,Sohn::N,figlio,вас
250,Tochter::N,figlia,яс
251,Bruder::N,fratello,вац
252,Schwester::N,sorella,яц
253,Onkel::N,zio,даци
254,Tante::N,zia,ада
255,Ehemann::N,marito,рос
256,Ehefrau::N,moglie,чӏужу
257,Freude::N,gioia,ракӏбохи
