,Concept_ID,fi,ml
0,Auge::N,silmä,കണ്ണ്
1,Ohr::N,korva,ചെവി
2,Nase::N,nenä,മൂക്ക്
3,Mund::N,suu,വായ
4,Zahn::N,hammas,പല്ല്
5,Zunge::N,kieli,നാക്ക്
6,Lippe::N,huuli,ചുണ്ട്
7,Wange::N,poski,കവിൾത്തടം
8,Gesicht::N,naama,മുഖം
9,Gesicht::N,kasvot,മുഖം
10,Stirn::N,otsa,നെറ്റി
11,Haar::N,hius,തലമുടി
12,Haar::N,tukka,തലമുടി
13,Schnurrbart::N,viikset,മീശ
14,Bart::N,parta,താടിരോമം
15,Kinn::N,leuka,താടി
16,Kiefer[Anatomie]::N,leukaluu,താടിയെല്ല്
17,Kehle::N,kurkku,കണ്ഠനാളം
18,Hals::N,kaula,കഴുത്ത്
19,Genick::N,niska,പിടലി
20,Kopf::N,pää,തല
21,Rücken::N,selkä,മുതുക്
22,Bauch::N,maha,നയറ്
23,Bauch::N,vatsa,നയറ്
24,Nabel::N,napa,നാഭി
25,Busen::N,rinta,സ്തനം
26,Brust::N,rinta,സ്തനം
27,Schulter::N,olka,തോൾ
28,Schulter::N,hartia,തോൾ
29,Schulter::N,olkapää,തോൾ
30,Arm::N,käsivarsi,കൈ
31,Ellenbogen::N,kyynärpää,കൈമുട്ട്
32,Hand::N,käsi,കൈ
33,Handfläche::N,kämmen,ഉള്ളം കൈ
34,Finger::N,sormi,വിരൽ
35,Fingernagel::N,kynsi,നഖം
36,Nagel[Anatomie]::N,kynsi,നഖം
37,Zeh::N,varvas,കാൽവിരൽ
38,Fuß::N,jalka,കാൽപ്പാദം
39,Ferse::N,kantapää,ഉപ്പൂറ്റി
40,Knie::N,polvi,കാൽമുട്ട്
41,Oberschenkel::N,reisi,തുട
42,Bein::N,jalka,കാൽ
43,Körper::N,keho,ശരീരം
44,Körper::N,ruumis,ശരീരം
45,Haut::N,iho,ചർമ്മം
46,Blut::N,veri,രക്തം
47,Ader::N,suoni,ഞരമ്പ്
48,Sehne::N,jänne,സ്നായു
49,Knochen::N,luu,അസ്ഥി
50,Gehirn::N,aivot,തലച്ചോറ്
51,Herz::N,sydän,ഹൃദയം
52,Magen::N,maha,വയർ
53,Magen::N,vatsa,വയർ
54,Leber::N,maksa,കരൾ
55,Atem::N,henki,ശ്വാസം
56,Atem::N,hengitys,ശ്വാസം
57,Hunger::N,nälkä,വിശപ്പ്
58,Träne::N,kyynel,കണ്ണീർ
59,Geschmack::N,maku,രുചി
60,Geruch::N,haju,ഗന്ധം
61,Schlaf::N,uni,ഉറകും
62,Traum::N,uni,സ്വപ്നം
63,Himmel::N,taivas,ആകാശം
64,Sonne::N,aurinko,സൂര്യൻ
65,Mond::N,kuu,ചന്ദ്രൻ
66,Stern::N,tähti,നക്ഷത്രം
67,Luft::N,ilma,കാറ്റ്
68,Wind::N,tuuli,കാറ്റ്
69,Welle::N,aalto,തിരമാല
70,Wasser::N,vesi,വെള്ളം
71,Stein::N,kivi,ശില
72,Stein::N,kivi,കല്ല്
73,Boden::N,maa,തറ
74,Boden::N,maa,നിലം
75,Boden::N,maaperä,തറ
76,Boden::N,maaperä,നിലം
77,Erde::N,maa,മണ്ണ്
78,Staub::N,pöly,പൊടി
79,Rauch::N,savu,പുക
80,Funke::N,kipinä,തീപ്പൊരി
81,Feuer::N,tuli,തീ
82,Licht::N,valo,വിളക്ക്
83,Licht::N,valo,സൂര്യപ്രകാശം
84,Schatten::N,varjo,തണൽ
85,Wetter::N,sää,കാലാവസ്ഥ
86,Nebel::N,sumu,മൂടൽമഞ്ഞ്
87,Wolke::N,pilvi,മേഘം
88,Regen::N,sade,മഴ
89,Schnee::N,lumi,മഞ്ഞ്
90,Eis::N,jää,ഐസ്
91,Frost::N,halla,മൂടൽമഞ്ഞ്
92,Frost::N,pakkanen,മൂടൽമഞ്ഞ്
93,Kälte::N,vilu,തണുപ്പ്
94,Kälte::N,kylmyys,തണുപ്പ്
95,Hitze::N,helle,ചൂട്
96,Hitze::N,kuumuus,ചൂട്
97,Raureif::N,huurre,കോടമഞ്ഞ്
98,Regenbogen::N,sateenkaari,മഴവില്ല്
99,Donner::N,jyrinä,ഇടി
100,Strömung::N,virtaus,പ്രവാഹം
101,Tropfen::N,tippa,തുള്ളി
102,Tropfen::N,pisara,തുള്ളി
103,Schaum::N,vaahto,നുര
104,Schmutz::N,loka,അഴുക്ക്
105,See::N,järvi,തടാകം
106,Sumpf::N,suo,ചതുപ്പുനിലം
107,Moor::N,räme,പാഴ്നിലം
108,Wiese::N,niitty,പുൽത്തകിടി
109,Wald::N,metsä,വനം
110,Wald::N,metsä,കാട്
111,Hügel::N,mäki,കുന്ന്
112,Hügel::N,kumpu,കുന്ന്
113,Hügel::N,kukkula,കുന്ന്
114,Anhöhe::N,mäki,ഉയർന്ന ഭൂമി
115,Anhöhe::N,kumpare,ഉയർന്ന ഭൂമി
116,Berg::N,mäki,പർവ്വതം
117,Berg::N,vuori,പർവ്വതം
118,Gipfel::N,laki,ഉച്ചകോടി
119,Gipfel::N,huippu,ഉച്ചകോടി
120,Höhle::N,luola,ഗുഹ
121,Abhang::N,rinne,ചരിവ്
122,Quelle::N,lähde,ഉറവിടം
123,Bach::N,puro,അരുവി
124,Fluss::N,joki,നദി
125,Ufer::N,ranta,തീരം
126,Küste::N,rannikko,കടൽത്തീരം
127,Festland::N,manner,കര
128,Meer::N,meri,കടൽ
129,Bucht::N,lahti,ഉൾക്കടല്
130,Insel::N,saari,ദ്വീപ്
131,Blume::N,kukka,പൂവ്
132,Gras::N,ruoho,പുല്ല്
133,Wurzel::N,juuri,വേര്
134,Baum::N,puu,മരം
