,Concept_ID,el,cy
0,Auge::N,μάτι,llygad
1,Auge::N,οφθαλμός,llygad
2,Ohr::N,αυτί,clust
3,Nase::N,μύτη,trwyn
4,Mund::N,στόμα,ceg
5,Zahn::N,δόντι,dant
6,Zunge::N,γλώσσα,tafod
7,Lippe::N,χείλος,gwefus
8,Wange::N,παρειά,boch
9,Wange::N,μάγουλο,boch
10,Gesicht::N,πρόσωπο,wyneb
11,Stirn::N,μέτωπο,talcen
12,Haar::N,μαλλιά,blew
13,Schnurrbart::N,μουστάκι,mwstas
14,Bart::N,γένια,barf
15,Kinn::N,πιγούνι,gên
16,Kiefer[Anatomie]::N,σαγόνι,gên
17,Kehle::N,λαρύγγι,gwddf
18,Hals::N,λαιμός,gwddf
19,Genick::N,σβέρκος,gwar
20,Genick::N,σβέρκος,gwegil
21,Kopf::N,κεφάλι,pen
22,Rücken::N,ράχη,cefn
23,Bauch::N,κοιλιά,bol
24,Nabel::N,αφαλός,bogail
25,Busen::N,στήθος,bron
26,Brust::N,στήθος,brest
27,Schulter::N,ώμος,ysgwydd
28,Arm::N,χέρι,braich
29,Arm::N,μπράτςο,braich
30,Ellenbogen::N,αγκώνας,penelin
31,Hand::N,χέρι,llaw
32,Handfläche::N,παλάμη,palf
33,Finger::N,δάχτυλο,bys
34,Fingernagel::N,νύχι,ewin
35,Nagel[Anatomie]::N,νύχι,ewin
36,Zeh::N,δάχτυλο του ποδιού,bys troed
37,Fuß::N,πόδι,troed
38,Ferse::N,φτέρνα,sawdl
39,Knie::N,γόνατο,glin
40,Oberschenkel::N,μηρός,clun
41,Bein::N,πόδι,coes
42,Körper::N,σώμα,corff
43,Körper::N,κορμί,corff
44,Haut::N,πετσί,croen
45,Blut::N,αίμα,gwaed
46,Ader::N,φλέβα,gwythïen
47,Sehne::N,νεύρο,gewyn
48,Sehne::N,τένοντας,gewyn
49,Knochen::N,οστό,asgwrn
50,Knochen::N,κόκκαλο,asgwrn
51,Gehirn::N,μυαλό,ymennydd
52,Gehirn::N,εγκέφαλος,ymennydd
53,Herz::N,καρδιά,calon
54,Magen::N,στομάχι,cylla
55,Magen::N,στομάχι,stumog
56,Leber::N,ήπαρ,iau
57,Leber::N,συκωτί,iau
58,Atem::N,αναπνοή,anadl
59,Hunger::N,πείνα,newyn
60,Träne::N,δάκρυ,deigryn
61,Geschmack::N,γεύση,cyflas
62,Geruch::N,οσμή,aroglau
63,Geruch::N,μυρωδία,aroglau
64,Schlaf::N,ύπνος,cwsg
65,Traum::N,όνειρο,breuddwyd
66,Himmel::N,ουρανός,awyr
67,Sonne::N,ήλιος,haul
68,Mond::N,σελήνη,lleuad
69,Mond::N,φεγγάρι,lleuad
70,Stern::N,άστρο,seren
71,Stern::N,αστέρι,seren
72,Luft::N,αέρας,awyr
73,Wind::N,αέρας,gwynt
74,Wind::N,άνεμος,gwynt
75,Welle::N,κύμα,ton
76,Wasser::N,νερό,dŵr
77,Stein::N,πέτρα,carreg
78,Boden::N,χώμα,llawr
79,Erde::N,γη,pridd
80,Staub::N,σκόνη,llwch
81,Rauch::N,καπνός,mwg
82,Funke::N,σπίθα,gwreichioni
83,Funke::N,σπινθήρας,gwreichioni
84,Feuer::N,φωτιά,tân
85,Licht::N,φως,golau
86,Schatten::N,σκιά,cysgod
87,Schatten::N,ίσκιος,cysgod
88,Wetter::N,καιρός,tywydd
89,Nebel::N,ομίχλη,niwl
90,Wolke::N,σύννεφο,cwmwl
91,Regen::N,βροχή,glaw
92,Schnee::N,χιόνι,ôd
93,Schnee::N,χιόνι,eira
94,Eis::N,πάγος,iâ
95,Frost::N,παγωνία,rhew
96,Kälte::N,κρύο,oerni
97,Kälte::N,κρύο,annwyd
98,Kälte::N,ψύχος,oerni
99,Kälte::N,ψύχος,annwyd
100,Hitze::N,ζέστη,gwres
101,Raureif::N,πάχνη,barrug
102,Regenbogen::N,ουράνιο τόξο,enfys
103,Donner::N,βροντή,tyrfau
104,Strömung::N,ρεύμα,cerrynt
105,Tropfen::N,στάλα,dafn
106,Tropfen::N,στάλα,diferyn
107,Schaum::N,αφρός,ewyn
108,Schmutz::N,βρωμιά,baw
109,Schmutz::N,βρωμιά,budreddi
110,See::N,λίμνη,llyn
111,Sumpf::N,βάλτος,cors
112,Moor::N,έλος,rhos
113,Wiese::N,λιβάδι,dôl
114,Wald::N,δάσος,coedwig
115,Hügel::N,λόφος,bryn
116,Anhöhe::N,ύψωμα,bryn
117,Berg::N,όρος,mynydd
118,Berg::N,βουνό,mynydd
119,Gipfel::N,κορυφή,copa
120,Höhle::N,σπηλιά,ogof
121,Abhang::N,πλαγιά,llethr
122,Quelle::N,πηγή,tarddiad
123,Quelle::N,πηγή,ffynhonnell
124,Quelle::N,βρύση,tarddiad
125,Quelle::N,βρύση,ffynhonnell
126,Bach::N,ρυάκι,nant
127,Bach::N,ρυάκι,afonig
128,Bach::N,ρυάκι,cornant
129,Fluss::N,ποτάμι,afon
130,Fluss::N,ποταμός,afon
131,Ufer::N,όχθη,glan
132,Küste::N,ακτή,traeth
133,Küste::N,ακτή,arfordir
134,Küste::N,ακρογιαλιά,traeth
135,Küste::N,ακρογιαλιά,arfordir
136,Festland::N,στεριά,tir
137,Meer::N,θάλασσα,môr
138,Bucht::N,κόλπος,bae
139,Insel::N,νησί,ynys
140,Insel::N,νήσος,ynys
141,Blume::N,άνθος,blodyn
142,Blume::N,λουλούδι,blodyn
143,Gras::N,χόρτο,glaswellt
144,Gras::N,χορτάρι,glaswellt
145,Wurzel::N,ρίζα,gwreiddyn
146,Baum::N,δέντρο,coeden
147,Stamm::N,κορμός,colfen
148,Stamm::N,κορμός,boncyff
149,Rinde::N,φλούδα,rhisgl
150,Ast::N,κλαδί,cangen
151,Zweig::N,κλαδί,cainc
152,Zweig::N,κλαδί,cangen
153,Zweig::N,κλάδος,cainc
154,Zweig::N,κλάδος,cangen
155,Blatt::N,φύλλο,deilen
156,Birke::N,σημύδα,bedwen
157,Kiefer[Baum]::N,πεύκο,pinwydden
158,Weide[Baum]::N,ιτιά,helygen
159,Tanne::N,έλατο,ffynidwydden
160,Horn::N,κέρας,corn
161,Horn::N,κέρατο,corn
162,Feder::N,φτερό,plufyn
163,Fell::N,δέρμα,ffwr
164,Fell::N,τομάρι,ffwr
165,Flügel::N,πτερύγιο,adain
166,Klaue::N,κουλό,crafanc
167,Kralle::N,νύχι,ewin
168,Schwanz::N,ουρά,cwt
169,Schwanz::N,ουρά,cynffon
170,Ei::N,αβγό,wy
171,Nest::N,φωλιά,nyth
172,Bau::N,φωλιά,ffau
173,Tier::N,ζώο,anifail
174,Herde::N,κοπάδι,praidd
175,Herde::N,κοπάδι,diadell
176,Kuh::N,αγελάδα,buwch
177,Bulle::N,ταύρος,tarw
178,Pferd::N,άλογο,ceffyl
179,Schaf::N,πρόβατο,dafad
180,Schwein::N,γουρούνι,mochyn
181,Hund::N,σκυλί,ci
182,Hund::N,σκύλος,ci
183,Katze::N,γάτα,cath
184,Bär::N,άρκτος,arth
185,Bär::N,αρκούδα,arth
186,Eichhörnchen::N,βερβερίτσα,gwiwer
187,Elch::N,άλκη,elc
188,Fuchs::N,αλεπού,cadno
189,Hase::N,λαγός,ysgyfarnog
190,Maus::N,ποντικός,llygoden
191,Wolf::N,λύκος,blaidd
192,Vogel::N,πουλί,aderyn
193,Schwarm::N,σμήνος,haid
194,Huhn::N,κότα,cyw
195,Huhn::N,όρνιθα,cyw
196,Hahn::N,πετεινός,ceiliog
197,Gans::N,χήνα,gŵydd
198,Adler::N,αετός,eryr
199,Ente::N,πάπια,hwyad
200,Eule::N,κουκουβάγια,tylluan
201,Kranich::N,γερανός,garan
202,Kranich::N,γερανός,crychydd
203,Krähe::N,καρακάξα,brân
204,Kuckuck::N,κούκος,cog
205,Kuckuck::N,κούκος,cwcw
206,Schwan::N,κύκνος,alarch
207,Fisch::N,ψάρι,pysgod
208,Barsch::N,πέρκα,draenog
209,Hecht::N,λούτσος,penhwyad
210,Schlange[Tier]::N,φίδι,neidr
211,Wurm::N,σκουλήκι,abwydyn
212,Wurm::N,σκουλήκι,pryf genwair
213,Spinne::N,αράχνη,cor
214,Spinne::N,αράχνη,pryf copyn
215,Ameise::N,μυρμήγκι,morgrugyn
216,Laus::N,ψείρα,lleuen
217,Mücke::N,κουνούπι,gwybedyn
218,Fliege::N,μύγα,cleren
219,Schmetterling::N,πεταλούδα,glöyn byw
220,Schmetterling::N,πεταλούδα,iâr fach yr haf
221,Beere::N,ρόγα,aeronen
222,Apfel::N,μήλο,afal
223,Pilz::N,μανιτάρι,madarch
224,Zwiebel::N,κρεμμύδι,nionyn
225,Zwiebel::N,κρεμμύδι,winwnsyn
226,Saat::N,σπόρος,had
227,Korn::N,σπυρί,grawn
228,Heu::N,σανός,gwair
229,Schale::N,τσόφλι,croen
230,Schale::N,τσόφλι,plisgyn
231,Grube::N,λάκκος,pwll
232,Grube::N,λάκκος,pydew
233,Falle::N,παγίδα,magl
234,Schlinge::N,θηλειά,cwlwm rhedeg
235,Spur::N,ίχνος,ôl
236,Asche::N,στάχτη,lludw
237,Dreck::N,βρωμιά,baw
238,Dreck::N,βρωμιά,budreddi
239,Eisen::N,σίδερο,haearn
240,Gold::N,μάλαμα,aur
241,Gold::N,χρυσάφι,aur
242,Silber::N,ασήμι,arian
243,Silber::N,άργυρος,arian
244,Kohle::N,κάρβουνο,glo
245,Glas::N,γυαλί,gwydr
246,Lehm::N,πηλός,clai
247,Sand::N,άμμος,tywod
248,Mensch::N,άνθρωπος,dyn
249,Mann::N,άνδρας,dyn
250,Frau::N,γυναίκα,merch
251,Frau::N,γυναίκα,gwraig
252,Kind::N,παιδί,plentyn
253,Junge::N,αγόρι,hogyn
254,Junge::N,αγόρι,bachgen
255,Mädchen::N,κοπέλα,merch
256,Mädchen::N,κοπέλα,geneth
257,Mädchen::N,κορίτσι,merch
258,Mädchen::N,κορίτσι,geneth
259,Familie::N,οικογένεια,teulu
260,Familie::N,οικογένεια,tylwyth
261,Großvater::N,παππούς,taid
262,Großvater::N,παππούς,tad-cu
263,Großmutter::N,γιαγιά,nain
264,Großmutter::N,γιαγιά,mam-gu
265,Eltern::N,γονείς,rhieni
266,Vater::N,πατέρας,tad
267,Mutter::N,μητέρα,mam
268,Sohn::N,γιος,mab
269,Tochter::N,κόρη,merch
270,Bruder::N,αδελφός,brawd
271,Schwester::N,αδελφή,chwaer
272,Onkel::N,θείος,ewythr
273,Tante::N,θεία,modryb
274,Ehemann::N,σύζυγος,gŵr
275,Ehefrau::N,σύζυγος,gwraig
276,Freude::N,χαρά,gorfoledd
277,Gelächter::N,γέλια,chwerthin
278,Glück::N,ευτυχία,hapusrwydd
279,Kummer::N,έγνοια,galar
280,Wunsch::N,επιθυμία,dymuniad
281,Lust::N,όρεξη,chwant
282,Geist::N,πνέυμα,ysbryd
283,Gedanke::N,σκέψη,meddwl
284,Gedächtnis::N,μνήμη,cof
285,Verstand::N,νους,meddwl
286,Sinn::N,νόημα,ystyr
287,Grund::N,λόγος,achos
288,Grund::N,λόγος,rheswm
289,Wahrheit::N,αλήθεια,gwir
290,Wahrheit::N,αλήθεια,gwirionedd
291,Gespräch::N,συνομιλία,sgwrs
292,Märchen::N,παραμύθι,chwedl werin
293,Erzählung::N,διήγημα,stori
294,Nachricht::N,είδηση,neges
295,Neuigkeit::N,νέο,newydd
296,Name::N,όνομα,enw
297,Rätsel::N,αίνιγμα,pos
298,Rede::N,λόγος,araith
299,Rede::N,ομιλία,araith
300,Sprache::N,γλώσσα,iaith
301,Stimme::N,φωνή,llais
302,Wort::N,λέξη,gair
303,Zeichen::N,σημείο,arwydd
304,Ruf::N,κραυγή,galwad
305,Lärm::N,θόρυβος,trwst
306,Laut::N,ήχος,sain
307,Ton::N,ήχος,tôn
308,Ton::N,τόνος,tôn
