,Concept_ID,mdf,la
0,Auge::N,сельме,oculus
1,Ohr::N,пиле,auris
2,Nase::N,шалхка,nasus
3,Mund::N,курга,os
4,Zahn::N,пей,dens
5,Zunge::N,кяль,lingua
6,Lippe::N,търва́,labrum
7,Wange::N,щёка,gena
8,Gesicht::N,шама,vultus
9,Stirn::N,коня,frons
10,Haar::N,шя́ярь,capillus
11,Schnurrbart::N,уса́,barba labri superioris
12,Bart::N,сакал,barba
13,Kinn::N,ула,mentum
14,Kiefer[Anatomie]::N,саласка,mala
15,Kehle::N,кълдома,iugulums
16,Kehle::N,кърга́парь,iugulums
17,Hals::N,сялдаз,collum
18,Genick::N,шовонь,cervices
19,Kopf::N,пря,caput
20,Rücken::N,копорь,tergum
21,Bauch::N,пеке,venter
22,Nabel::N,по́кон,umbilicus
23,Busen::N,потя,sinus
24,Brust::N,мяште,pectus
25,Schulter::N,лафту,umerus
26,Arm::N,кядь,bracchium
27,Ellenbogen::N,кенерьба́карь,cubitum
28,Hand::N,кядь,manus
29,Handfläche::N,кядьлапш,palma
30,Finger::N,сур,digitus
31,Fingernagel::N,кенже,unguiculus
32,Nagel[Anatomie]::N,кенже,unguis
33,Zeh::N,пильгосу́р,digitus
34,Fuß::N,пильге,pes
35,Fuß::N,пильгелапа,pes
36,Ferse::N,кочкяря,calx
37,Knie::N,эль,genu
38,Knie::N,пълма́нжа,genu
39,Oberschenkel::N,пильгепукша,femur
40,Bein::N,пильге,crus
41,Körper::N,ро́нга,corpus
42,Körper::N,по́нда,corpus
43,Haut::N,киське,cutis
44,Haut::N,киське,pellis
45,Blut::N,вер,sanguis
46,Ader::N,сан,vena
47,Ader::N,верза́н,vena
48,Sehne::N,коське сан,nervus
49,Knochen::N,пакарь,os
50,Gehirn::N,уй,cerebrum
51,Herz::N,седи,cor
52,Herz::N,седи,animus
53,Magen::N,коткърдазь,stomachus
54,Leber::N,макса,iecur
55,Atem::N,лекома,spiritus
56,Atem::N,ваймонь тарксема,spiritus
57,Hunger::N,вачеши,fames
58,Träne::N,сельмове́дь,lacrima
59,Geschmack::N,таньф,sapor
60,Geschmack::N,таньф,gustus
61,Geruch::N,шине,odor
62,Schlaf::N,удома́,somnus
63,Traum::N,он,somnium
64,Himmel::N,менель,caelum
65,Sonne::N,ши,sol
66,Mond::N,ков,luna
67,Stern::N,тяште,sidus
68,Stern::N,тяште,stella
69,Luft::N,кожф,aer
70,Wind::N,варма,ventus
71,Welle::N,тавла,unda
72,Wasser::N,ведь,aqua
73,Stein::N,кев,lapis
74,Boden::N,мода,solum
75,Boden::N,потмакс,solum
76,Erde::N,мода,terra
77,Erde::N,мастор,terra
78,Staub::N,пуль,pulvis
79,Rauch::N,качам,fumus
80,Funke::N,ця́тка,scintilla
81,Feuer::N,тол,ignis
82,Licht::N,ва́лда,lux
83,Licht::N,ва́лда,lumen
84,Schatten::N,цильф,umbra
85,Wetter::N,уша,caelum
86,Wetter::N,уша,tempestas
87,Nebel::N,тума́н,nebula
88,Wolke::N,ковол,nubes
89,Regen::N,пизем,imber
90,Regen::N,пизем,pluvia
91,Schnee::N,лов,nix
92,Eis::N,эй,glacies
93,Frost::N,ке́льме,gelu
94,Kälte::N,якшама,frigus
95,Hitze::N,пси,calor
96,Hitze::N,пси,aestus
97,Raureif::N,леш,pruina
98,Regenbogen::N,а́тямъёнга,arcus
99,Donner::N,атям,tonitrus
100,Strömung::N,шудема́,fluctus
101,Tropfen::N,путькс,gutta
102,Tropfen::N,пътняфкс,gutta
103,Schaum::N,шов,spuma
104,Schmutz::N,ърда́з,sordes
105,Schmutz::N,ърда́з,squalor
106,See::N,эрьхке,lacus
107,Sumpf::N,шяй,palus
108,Moor::N,шяй,palus
109,Wiese::N,луга,pratum
110,Wald::N,вирь,silva
111,Hügel::N,губо́р,collis
112,Hügel::N,пандоня,collis
113,Anhöhe::N,губо́р,specula
114,Berg::N,панда,mons
115,Gipfel::N,пря,vertex
116,Höhle::N,у́нда,caverna
117,Höhle::N,у́нда,spelunca
118,Abhang::N,па́нда ша́ма,declivum
119,Quelle::N,эшиня,fons
120,Bach::N,шудерькс,rivus
121,Fluss::N,ляй,flumen
122,Ufer::N,търва́,ripa
123,Küste::N,ляйтърва́,litus
124,Festland::N,мода,continens
125,Meer::N,моря,mare
126,Bucht::N,ведьуське,sinus
127,Insel::N,цёнга,insula
128,Blume::N,панчф,flos
129,Gras::N,тише,herba
130,Gras::N,тише,gramen
131,Wurzel::N,юр,radix
132,Wurzel::N,ункс,radix
133,Baum::N,шуфта,arbor
134,Stamm::N,ро́нга,truncus
135,Rinde::N,кер,cortex
136,Ast::N,морга,ramus
137,Zweig::N,тарад,ramus
138,Blatt::N,лопа,folium
139,Birke::N,ке́лу,betulla
140,Kiefer[Baum]::N,пиче,pinus
141,Weide[Baum]::N,каль,salix
142,Tanne::N,куз,abies
143,Horn::N,сюра,cornu
144,Feder::N,толга,penna
145,Fell::N,кедь,pellis
146,Flügel::N,паця,ala
147,Klaue::N,кенже,unguis
148,Kralle::N,кенже,unguis
149,Schwanz::N,пула,cauda
150,Ei::N,ал,ovum
151,Nest::N,пиза,nidus
152,Bau::N,пиза,cavum
153,Bau::N,пиза,latibulum
154,Tier::N,жува́та,bestia
155,Herde::N,нал,grex
156,Herde::N,стада,grex
157,Kuh::N,скал,vacca
158,Kuh::N,тракс,vacca
159,Bulle::N,бука,taurus
160,Pferd::N,лишме,equus
161,Schaf::N,уча́,ovis
162,Schwein::N,тува,sus
163,Schwein::N,тува,porcus
164,Hund::N,пине,canis
165,Katze::N,катоня,felis
166,Katze::N,аваката,felis
167,Bär::N,офта,ursus
168,Eichhörnchen::N,ур,sciurus
