,Concept_ID,fr,pl
0,Auge::N,œil,oko
1,Ohr::N,oreille,ucho
2,Nase::N,nez,nos
3,Mund::N,bouche,usta
4,Zahn::N,dent,ząb
5,Zunge::N,langue,język
6,Lippe::N,lèvre,warga
7,Wange::N,joue,policzek
8,Gesicht::N,face,twarz
9,Gesicht::N,visage,twarz
10,Stirn::N,front,czoło
11,Haar::N,cheveu,włos
12,Haar::N,cheveu,włosy
13,Schnurrbart::N,moustache,wąsy
14,Bart::N,barbe,broda
15,Kinn::N,menton,podbródek
16,Kiefer[Anatomie]::N,mâchoire,czeluść
17,Kehle::N,gorge,gardło
18,Hals::N,cou,szyja
19,Genick::N,nuque,kark
20,Kopf::N,tête,głowa
21,Rücken::N,dos,plecy
22,Rücken::N,dos,grzbiet
23,Bauch::N,ventre,brzuch
24,Nabel::N,nombril,pępek
25,Busen::N,sein,biust
26,Brust::N,poitrine,pierś
27,Schulter::N,épaule,bark
28,Schulter::N,épaule,ramię
29,Arm::N,bras,ręka
30,Arm::N,bras,ramię
31,Ellenbogen::N,coude,łokieć
32,Hand::N,main,dłoń
33,Handfläche::N,paume,dłoń
34,Finger::N,doigt,palec
35,Fingernagel::N,ongle,paznokieć
36,Nagel[Anatomie]::N,ongle,paznokieć
37,Zeh::N,orteil,palec
38,Zeh::N,doigt de pied,palec
39,Fuß::N,pied,stopa
40,Ferse::N,talon,pięta
41,Knie::N,genou,kolano
42,Oberschenkel::N,cuisse,udo
43,Bein::N,jambe,noga
44,Körper::N,corps,ciało
45,Haut::N,peau,skóra
46,Blut::N,sang,krew
47,Ader::N,veine,żyła
48,Sehne::N,tendon,ścięgno
49,Knochen::N,os,kość
50,Gehirn::N,cerveau,mózg
51,Herz::N,cœur,serce
52,Magen::N,estomac,żołądek
53,Leber::N,foie,wątroba
54,Atem::N,haleine,dech
55,Atem::N,haleine,oddech
56,Hunger::N,faim,głód
57,Träne::N,larme,łza
58,Geschmack::N,goût,smak
59,Geschmack::N,saveur,smak
60,Geruch::N,odeur,woń
61,Geruch::N,odeur,zapach
62,Schlaf::N,sommeil,sen
63,Traum::N,songe,sen
64,Himmel::N,ciel,niebo
65,Sonne::N,soleil,słońce
66,Mond::N,lune,księżyc
67,Stern::N,étoile,gwiazda
68,Luft::N,air,powietrze
69,Wind::N,vent,wiatr
70,Welle::N,vague,fala
71,Wasser::N,eau,woda
