,Concept_ID,lez,te
0,Auge::N,вил,కన్ను
1,Ohr::N,яб,చెవి
2,Nase::N,нер,ముక్కు
3,Mund::N,сив,నోరు
4,Zahn::N,сас,పల్లు
5,Zahn::N,свах,పల్లు
6,Zunge::N,мез,నాలుక
7,Lippe::N,пӏуз,పెదవి
8,Wange::N,хъвехъ,చెంప
9,Gesicht::N,ччин,ముఖము
10,Stirn::N,пел,నుదురు
11,Haar::N,чӏар,వెండ్రుక
12,Schnurrbart::N,спел,మీసము
13,Schnurrbart::N,спелар,మీసము
14,Bart::N,ччуру,గడ్డము
15,Kinn::N,чене,గడ్డము
16,Kiefer[Anatomie]::N,чене,దౌడ
17,Kehle::N,туьд,గొంతు
18,Hals::N,гардан,మెడ
19,Genick::N,кьам,మూపు
20,Kopf::N,кьил,తల
21,Rücken::N,далу,వెన్ను
22,Bauch::N,руфун,కడుపు
23,Nabel::N,пицӏ,బొడ్డు
24,Busen::N,мам,స్తనము
25,Brust::N,хур,ఱొమ్ము
26,Schulter::N,къуьн,భుజము
27,Arm::N,гъил,చేయి
28,Ellenbogen::N,кьуьнт,మోచేయి
29,Hand::N,капаш,చేయి
30,Handfläche::N,капан юкь,అరచేయు
31,Finger::N,тӏуб,చేతిప్రేలు
32,Fingernagel::N,кек,గోరు
33,Nagel[Anatomie]::N,кек,గోరు
34,Zeh::N,кул,కాలిప్రేలు
35,Fuß::N,кӏвач,అడుగు
36,Ferse::N,дабан,మడమ
37,Knie::N,мет,మోకాలు
38,Bein::N,кӏвач,కాలు
39,Körper::N,беден,కాయము
40,Haut::N,хам,చర్మము
41,Blut::N,иви,రక్తము
42,Ader::N,дамар,సిర
43,Sehne::N,кьуру дамар,స్నాయువు
44,Knochen::N,кӏараб,ఎముక
45,Gehirn::N,мефт,మెదడు
46,Herz::N,рикӏ,హృదయము
47,Magen::N,хук,కడుపు
48,Leber::N,лекь,కాలేయము
49,Atem::N,ял,ఉపిరి
50,Atem::N,нефес,ఉపిరి
51,Hunger::N,каш,ఆకలి
52,Träne::N,вилин нагъв,కన్నీటిచుక్క
53,Geschmack::N,дад,రుచి
54,Geschmack::N,тӏям,రుచి
55,Geruch::N,ни,వాసన
56,Schlaf::N,ахвар,నిద్ర
57,Traum::N,ахвар,కల
58,Himmel::N,цав,ఆకాశము
59,Sonne::N,рагъ,సూర్యుడు
60,Mond::N,варз,చంద్రుడు
61,Stern::N,гъед,నక్షత్రము
62,Luft::N,гьава,గాలి
63,Wind::N,гар,వీచుచున్నగాలి
64,Welle::N,лепе,అల
65,Wasser::N,яд,నీరు
66,Stein::N,къван,ఱాయి
67,Boden::N,накьв,నేల
68,Erde::N,ччил,మన్ను
69,Staub::N,руг,దుమ్ము
70,Rauch::N,гум,పొగ
71,Funke::N,цӏелхем,అగ్నికణము
72,Feuer::N,цӏай,అగ్ని
73,Licht::N,экв,కాంతి
74,Schatten::N,серин,నీడ
75,Wetter::N,гьава,వాతావరణ స్థితి
76,Nebel::N,ччилин циф,పొగమంచు
77,Wolke::N,циф,మేఘము
78,Regen::N,марф,వాన
79,Schnee::N,жив,హిమము
80,Eis::N,мурк,మంచుగడ్డ
81,Frost::N,аяз,పేరిన మంచు
82,Kälte::N,мекь,చలి
83,Kälte::N,мекьивал,చలి
84,Hitze::N,зегьем,వేడిమి
85,Raureif::N,къирав,మంచు
86,Regenbogen::N,яргъируш,ఇంద్రధనుస్సు
87,Donner::N,цавун ван,ఉరుము
88,Tropfen::N,стӏал,చుక్క
89,Schaum::N,каф,నురుగు
90,Schmutz::N,чирк,మైల
91,Schmutz::N,кьуруш,మైల
92,See::N,вир,సరస్సు
93,Sumpf::N,уьлен,చిత్తడినేల
94,Wiese::N,векь,పచ్చిక బయలు
95,Wald::N,там,అడవి
96,Hügel::N,кӏунтӏ,చివ్నకొండ
97,Anhöhe::N,тепе,కొండ
98,Anhöhe::N,гьуьндуьрвал,కొండ
99,Berg::N,дагъ,పర్వతము
100,Gipfel::N,кӏукӏ,శిఖరము
101,Höhle::N,кьветӏ,గుహ
102,Abhang::N,гуьне,ఏటవాలు
103,Quelle::N,чешме,మూలము
104,Bach::N,булах,కాలువ
105,Fluss::N,вацӏ,నది
106,Ufer::N,къерех,తీరము
107,Küste::N,къерех,తీరము
108,Festland::N,кьурамат,భూమి
109,Meer::N,гьуьл,సముద్రము
110,Bucht::N,бухта,మరుగు
111,Insel::N,остров,దీవి
112,Blume::N,цуьк,పుష్పము
113,Gras::N,хъач,పచ్చగడ్డి
114,Wurzel::N,дувул,వేరు
115,Baum::N,ттар,చెట్టు
116,Stamm::N,тан,చెట్టుబోదె
117,Rinde::N,чкал,చెట్టుపట్ట
118,Ast::N,тӏур,కొమ్మ
119,Zweig::N,хел,చివుకు
120,Blatt::N,пеш,ఆకు
121,Birke::N,верх,తరహా చెట్టు
122,Kiefer[Baum]::N,шамагъаж,దేవదారు చెట్టు
123,Weide[Baum]::N,цӏвелин ттар,జాతిచెట్టు
124,Tanne::N,ель,దేవదారుచెట్టు
125,Horn::N,карч,కొమ్ము
126,Feder::N,цӏакул,ఈక
127,Fell::N,хам,తోలు
128,Flügel::N,лув,ఱెక్క
129,Klaue::N,къармах,వంకరగోరు
130,Kralle::N,пац,వంకరగోరు
131,Kralle::N,тапас,వంకరగోరు
132,Schwanz::N,ттум,తోక
133,Ei::N,кака,గ్రుడ్డు
134,Nest::N,муг,పక్షిగూడు
135,Bau::N,тӏеквен,గుహ
136,Tier::N,гьайван,జంతువు
137,Herde::N,суьруь,మంద
138,Kuh::N,ккал,ఆవు
139,Bulle::N,яц,గిత్త
140,Bulle::N,бугъа,గిత్త
141,Pferd::N,балкӏан,గుఱ్ఱము
142,Schaf::N,хеб,గొఱ్ఱె
143,Schwein::N,вак,పంది
144,Hund::N,кицӏ,కుక్క
145,Katze::N,кац,పిల్లి
146,Bär::N,сев,ఎలుగుబంటి
147,Eichhörnchen::N,белка,ఉడుత
148,Elch::N,лось,కణంజు
149,Fuchs::N,сикӏ,గుంటనక్క
150,Hase::N,къуьр,కుందేలు
151,Maus::N,кьиф,చిట్టెలుక
152,Wolf::N,жанавур,తోడేలు
153,Vogel::N,луван ничхир,పక్షి
154,Schwarm::N,луж,గుంపు
155,Huhn::N,верч,కోడిపిల్ల
156,Hahn::N,кӏек,కోడివుంజు
157,Gans::N,къаз,ఆడుబాతు
158,Adler::N,лекь,గ్రద్ద
159,Ente::N,пӏатӏ,పాట్టిబాతు
160,Eule::N,тӏиб,గ్రుడ్లగూబ
161,Kranich::N,дурна,కొంగ
162,Krähe::N,къаргъа,కాకి
163,Kuckuck::N,кукупӏ,కోయల
164,Schwan::N,къугь,హంస
165,Fisch::N,гъед,చేప
166,Barsch::N,окунь,ఒకచేఁప
167,Hecht::N,щука,గండుమీను
168,Schlange[Tier]::N,илан,పాము
169,Schlange[Tier]::N,гъуьлягъ,పాము
170,Wurm::N,квак,పురుగు
171,Spinne::N,хуьшрекан,సాలె పురుగు
172,Ameise::N,цегв,చీమ
173,Laus::N,нет,పేను
174,Mücke::N,ветӏ,చీకటీగ
175,Fliege::N,тӏветӏ,ఈగ
176,Schmetterling::N,чепелукь,సీతాకోకచిలుక
177,Beere::N,куьлуь емиш,కాయ
178,Apfel::N,ич,ఆపిల్ పండు
179,Pilz::N,къарникъуз,కుక్కగొడుగు
180,Zwiebel::N,чичӏек,నీరుల్లి
181,Saat::N,тумар,విత్తనము
182,Korn::N,твар,గింజ
183,Heu::N,векь,ఎండుగడ్డి
184,Heu::N,векьер,ఎండుగడ్డి
185,Schale::N,пириш,పొట్టు
186,Schale::N,хъуьруьш,పొట్టు
187,Grube::N,фур,గొయ్యి
188,Falle::N,ракьар,బోను
189,Schlinge::N,гьалкъа,ఉరి
190,Spur::N,гел,జాడ
191,Asche::N,руьхъ,బూడిద
192,Dreck::N,чирк,ముఱికి
193,Dreck::N,кьуруш,ముఱికి
194,Eisen::N,ракь,ఇనుము
195,Gold::N,алтун,బంగారము
196,Silber::N,гимиш,వెండి
197,Kohle::N,цӏивин,నేలబొగ్గు
198,Glas::N,шуьше,గాజు
199,Lehm::N,ччеб,బంకమన్ను
200,Sand::N,къум,ఇసుక
201,Mensch::N,инсан,నరుడు
202,Mann::N,итим,పురుమడు
203,Frau::N,паб,ఆడుది
204,Frau::N,дишегьли,ఆడుది
205,Kind::N,аял,బిడ్డ
206,Junge::N,гада,బాలుడు
207,Mädchen::N,руш,బాలిక
208,Familie::N,хзан,కుటుంబము
209,Familie::N,килфет,కుటుంబము
210,Großvater::N,чӏехи буба,తాత
211,Großmutter::N,чӏехи диде,అయ్యమ్మ
212,Eltern::N,диде-буба,తల్లితండ్రులు
213,Vater::N,буба,తండ్రి
214,Mutter::N,диде,తల్లి
215,Sohn::N,хва,కొడుకు
216,Tochter::N,руш,కూతురు
217,Bruder::N,стха,పోదరుడు
218,Schwester::N,вах,సోదరి
219,Onkel::N,ими,మేనమామ
220,Onkel::N,халу,మేనమామ
221,Tante::N,эме,మేనత్త
222,Tante::N,эме,పినతల్లి
223,Tante::N,хала,మేనత్త
224,Tante::N,хала,పినతల్లి
225,Ehemann::N,гъуьл,భర్త
226,Ehefrau::N,паб,భార్య
227,Freude::N,шадвал,సంతోషము
228,Gelächter::N,хъвер,నవ్వు
229,Glück::N,бахт,సంతోషము
230,Kummer::N,дерт,దుఃఖము
231,Kummer::N,хажалат,దుఃఖము
232,Wunsch::N,мурад,కోరిక
233,Lust::N,гьевес,కోరిక
234,Geist::N,руьгь,ఆత్మ
235,Gedanke::N,фикир,ఆలోచన
236,Verstand::N,акьул,మనస్సు
237,Sinn::N,мана,అర్థము
238,Grund::N,себеб,కారణము
239,Wahrheit::N,керчек,సత్యము
240,Wahrheit::N,гьакъикъат,సత్యము
241,Gespräch::N,ихтилат,పంభాషణ
242,Märchen::N,мах,అద్భుతకథ
243,Erzählung::N,кьиса,కథ
244,Nachricht::N,хабар,వార్త
245,Neuigkeit::N,цӏийи хабар,వార్త
246,Name::N,тӏвар,పేరు
247,Rätsel::N,мискӏал,చిక్కు
248,Rede::N,рахун,ఉపన్యాసము
249,Sprache::N,чӏал,భాష
250,Stimme::N,ван,కంరథ్సని
251,Wort::N,гаф,మాట
252,Zeichen::N,ишара,గుర్తు
253,Ruf::N,эвер,పిలువు
254,Lärm::N,ван-сес,సందడి
255,Laut::N,ван,ధ్వని
256,Laut::N,сес,ధ్వని
257,Ton::N,ван-сес,స్వరము
258,Lied::N,мани,పాట
