,Concept_ID,de,es
0,Auge::N,Auge,ojo
1,Ohr::N,Ohr,oreja
2,Nase::N,Nase,nariz
3,Mund::N,Mund,boca
4,Zahn::N,Zahn,diente
5,Zunge::N,Zunge,lengua
6,Lippe::N,Lippe,labio
7,Wange::N,Wange,mejilla
8,Gesicht::N,Gesicht,cara
9,Stirn::N,Stirn,frente
10,Haar::N,Haar,cabello
11,Schnurrbart::N,Schnurrbart,bigote
12,Bart::N,Bart,barba
13,Kinn::N,Kinn,barbilla
14,Kiefer[Anatomie]::N,Kiefer,mandíbula
15,Kehle::N,Kehle,garganta
16,Hals::N,Hals,cuello
17,Genick::N,Genick,nuca
18,Genick::N,Genick,cerviz
19,Kopf::N,Kopf,cabeza
20,Rücken::N,Rücken,espalda
21,Bauch::N,Bauch,vientre
22,Nabel::N,Nabel,ombligo
23,Busen::N,Busen,pecho
24,Brust::N,Brust,pecho
25,Schulter::N,Schulter,hombro
26,Arm::N,Arm,brazo
27,Ellenbogen::N,Ellenbogen,codo
28,Hand::N,Hand,mano
29,Handfläche::N,Handfläche,palma
30,Finger::N,Finger,dedo
31,Fingernagel::N,Fingernagel,uña
32,Nagel[Anatomie]::N,Nagel,uña
33,Zeh::N,Zeh,dedo del pie
34,Fuß::N,Fuß,pie
35,Ferse::N,Ferse,talón
36,Knie::N,Knie,rodilla
37,Oberschenkel::N,Oberschenkel,muslo
38,Bein::N,Bein,pierna
39,Körper::N,Körper,cuerpo
40,Haut::N,Haut,piel
41,Blut::N,Blut,sangre
42,Ader::N,Ader,vena
43,Sehne::N,Sehne,tendón
44,Knochen::N,Knochen,hueso
45,Gehirn::N,Gehirn,cerebro
46,Gehirn::N,Gehirn,encéfalo
47,Herz::N,Herz,corazón
48,Magen::N,Magen,estómago
49,Leber::N,Leber,hígado
50,Atem::N,Atem,aliento
51,Hunger::N,Hunger,hambre
52,Träne::N,Träne,lágrima
53,Geschmack::N,Geschmack,gusto
54,Geruch::N,Geruch,olor
55,Schlaf::N,Schlaf,sueño
56,Traum::N,Traum,sueño
57,Traum::N,Traum,ensueño
58,Himmel::N,Himmel,cielo
59,Sonne::N,Sonne,sol
60,Mond::N,Mond,luna
61,Stern::N,Stern,estrella
62,Luft::N,Luft,aire
63,Wind::N,Wind,viento
64,Welle::N,Welle,ola
65,Welle::N,Welle,onda
66,Wasser::N,Wasser,agua
67,Stein::N,Stein,piedra
68,Boden::N,Boden,suelo
69,Erde::N,Erde,tierra
70,Staub::N,Staub,polvo
71,Rauch::N,Rauch,humo
72,Funke::N,Funke,chispa
73,Feuer::N,Feuer,fuego
74,Licht::N,Licht,luz
75,Schatten::N,Schatten,sombra
76,Wetter::N,Wetter,tiempo
77,Nebel::N,Nebel,niebla
78,Wolke::N,Wolke,nube
79,Regen::N,Regen,lluvia
80,Schnee::N,Schnee,nieve
81,Eis::N,Eis,hielo
82,Frost::N,Frost,helada
83,Kälte::N,Kälte,frío
84,Hitze::N,Hitze,calor
85,Raureif::N,Raureif,escarcha
86,Regenbogen::N,Regenbogen,arco iris
87,Donner::N,Donner,trueno
88,Strömung::N,Strömung,corriente
89,Tropfen::N,Tropfen,gota
90,Schaum::N,Schaum,espuma
91,Schmutz::N,Schmutz,suciedad
92,See::N,See,lago
93,Sumpf::N,Sumpf,pantano
94,Moor::N,Moor,turbera
95,Wiese::N,Wiese,prado
96,Wiese::N,Wiese,pradera
97,Wald::N,Wald,bosque
98,Hügel::N,Hügel,colina
99,Anhöhe::N,Anhöhe,cerro
100,Berg::N,Berg,monte
101,Berg::N,Berg,montaña
102,Gipfel::N,Gipfel,cima
103,Gipfel::N,Gipfel,cumbre
104,Höhle::N,Höhle,cueva
105,Höhle::N,Höhle,caverna
106,Abhang::N,Abhang,cuesta
107,Abhang::N,Abhang,declive
108,Quelle::N,Quelle,fuente
109,Quelle::N,Quelle,manantial
110,Bach::N,Bach,arroyo
111,Fluss::N,Fluss,río
112,Ufer::N,Ufer,orilla
113,Küste::N,Küste,costa
114,Festland::N,Festland,tierra firme
115,Meer::N,Meer,mar
116,Bucht::N,Bucht,cala
117,Bucht::N,Bucht,bahía
118,Insel::N,Insel,isla
119,Blume::N,Blume,flor
120,Gras::N,Gras,hierba
121,Wurzel::N,Wurzel,raíz
122,Baum::N,Baum,árbol
123,Stamm::N,Stamm,tronco
124,Rinde::N,Rinde,corteza
125,Ast::N,Ast,rama
126,Zweig::N,Zweig,ramo
127,Blatt::N,Blatt,hoja
