,Concept_ID,br,ba
0,Auge::N,lagad,күҙ
1,Ohr::N,skouarn,ҡолаҡ
2,Nase::N,fri,танау
3,Mund::N,genoù,ауыҙ
4,Zahn::N,dant,теш
5,Zunge::N,teod,тел
6,Lippe::N,muzell,ирен
7,Wange::N,chot,яцаҡтар
8,Gesicht::N,dremm,бит
9,Stirn::N,tal,маңлай
10,Haar::N,blev,сәс
11,Schnurrbart::N,mourenn,мылтыҡ
12,Bart::N,barv,һаҡал
13,Kinn::N,groñj,эйэк
14,Kiefer[Anatomie]::N,javed,яңаҡ һөйәге
15,Kehle::N,gouzoug,тамаҡ
16,Hals::N,gouzoug,муйын
17,Genick::N,choug,соңҡа
18,Kopf::N,penn,баш
19,Rücken::N,kein,арҡа
20,Bauch::N,kof,ҡорһаҡ
21,Nabel::N,begel,кендек
22,Busen::N,bronn,күкрәк
23,Brust::N,bruched,түш
24,Schulter::N,skoaz,яурын
25,Arm::N,brec'h,ҡул
26,Ellenbogen::N,ilin,терһәк
27,Hand::N,dorn,ҡул
28,Hand::N,dorn,ҡул суғы
29,Handfläche::N,palv,ус төбө
30,Finger::N,biz,бармаҡ
31,Fingernagel::N,ivin,тырнаҡ
32,Nagel[Anatomie]::N,ivin,тырнаҡ
33,Zeh::N,biz-troad,бармаҡ
34,Fuß::N,troad,табан
35,Ferse::N,seul,үксә
36,Knie::N,glin,тубыҡ
37,Oberschenkel::N,morzhed,сандыр
38,Bein::N,gar,аяҡ
39,Körper::N,korf,тән
40,Haut::N,kroc'hen,тире
41,Blut::N,gwad,ҡан
42,Ader::N,gwazhi,тамыр
43,Sehne::N,stir,һеңер
44,Sehne::N,stir,тарамыш
45,Knochen::N,askorn,һойәк
46,Gehirn::N,empenn,мейе
47,Herz::N,kalon,йорәк
48,Magen::N,stomog,ашҡаҙан
49,Leber::N,avu,бауыр
50,Atem::N,anal,һулыш
51,Hunger::N,naon,аслыҡ
52,Träne::N,daer,күҙ иәше
53,Geschmack::N,blaz,тәм
54,Geruch::N,c'hwezh,еҫ
55,Schlaf::N,kousked,йоҡлау
56,Traum::N,hune,төш
57,Himmel::N,oabl,күк
58,Sonne::N,heol,ҡояш
59,Mond::N,loar,ай
60,Stern::N,steredenn,йондоҙ
61,Luft::N,aer,һауа
62,Wind::N,avel,ел
