,Concept_ID,en,cs
0,Auge::N,eye,oko
1,Ohr::N,ear,ucho
2,Nase::N,nose,nos
3,Mund::N,mouth,pusa
4,Zahn::N,tooth,zub
5,Zunge::N,tongue,jazyk
6,Lippe::N,lip,ret
7,Wange::N,cheek,tvář
8,Gesicht::N,face,obličej
9,Stirn::N,forehead,čelo
10,Haar::N,hair,vlas
11,Haar::N,hair,vlasy
12,Schnurrbart::N,moustache,kníry
13,Bart::N,beard,vousy
14,Kinn::N,chin,brada
15,Kiefer[Anatomie]::N,jaw,čelist
16,Kehle::N,throat,hrdlo
17,Hals::N,neck,krk
18,Genick::N,nape,týl
19,Kopf::N,head,hlava
20,Rücken::N,back,záda
21,Rücken::N,back,hřbet
22,Rücken::N,spine,záda
23,Rücken::N,spine,hřbet
24,Bauch::N,belly,břicho
25,Nabel::N,navel,pupek
26,Busen::N,bosom,ňadra
27,Brust::N,chest,prsa
28,Brust::N,breast,prsa
29,Schulter::N,shoulder,plece
30,Schulter::N,shoulder,rameno
31,Arm::N,arm,ruka
32,Ellenbogen::N,elbow,loket
33,Hand::N,hand,ruka
34,Handfläche::N,palm,dlaň
35,Finger::N,finger,prst
36,Fingernagel::N,fingernail,nehet
37,Nagel[Anatomie]::N,nail,nehet
38,Zeh::N,toe,prst u nohy
39,Fuß::N,foot,noha
40,Ferse::N,heel,pata
41,Knie::N,knee,koleno
42,Oberschenkel::N,thigh,stehno
43,Bein::N,leg,noha
44,Körper::N,body,tělo
45,Haut::N,skin,kůže
46,Blut::N,blood,krev
47,Ader::N,vein,céva
48,Sehne::N,sinew,šlacha
49,Knochen::N,bone,kost
50,Gehirn::N,brain,mozek
51,Herz::N,heart,srdce
52,Magen::N,stomach,žaludek
53,Leber::N,liver,játra
54,Atem::N,breath,dech
55,Hunger::N,hunger,hlad
56,Träne::N,tear,slza
57,Geschmack::N,flavour,vkus
58,Geschmack::N,flavor,vkus
59,Geruch::N,odour,vůně
60,Geruch::N,odour,zápach
61,Geruch::N,odor,vůně
62,Geruch::N,odor,zápach
63,Schlaf::N,sleep,spánek
64,Traum::N,dream,sen
65,Himmel::N,sky,nebe
66,Sonne::N,sun,slunce
67,Mond::N,moon,měsíc
68,Stern::N,star,hvězda
69,Luft::N,air,vzduch
70,Wind::N,wind,vítr
71,Welle::N,wave,vlna
72,Wasser::N,water,voda
73,Stein::N,stone,kámen
74,Boden::N,soil,půda
75,Boden::N,ground,půda
76,Erde::N,earth,země
77,Staub::N,dust,prach
78,Rauch::N,smoke,dým
79,Rauch::N,smoke,kouř
80,Funke::N,spark,jiskra
81,Feuer::N,fire,oheň
82,Licht::N,light,světlo
83,Schatten::N,shadow,stín
84,Wetter::N,weather,počasí
85,Nebel::N,fog,mlha
86,Wolke::N,cloud,mrak
87,Wolke::N,cloud,oblak
88,Regen::N,rain,déšť
89,Schnee::N,snow,sníh
90,Eis::N,ice,led
91,Frost::N,frost,mráz
92,Kälte::N,chill,chlad
93,Hitze::N,heat,horko
94,Raureif::N,hoarfrost,jinovatka
95,Regenbogen::N,rainbow,duha
96,Donner::N,thunder,hrom
97,Strömung::N,current,proudění
98,Tropfen::N,drop,kapka
99,Schaum::N,foam,pěna
100,Schmutz::N,dirt,špína
101,See::N,lake,jezero
102,Sumpf::N,swamp,močál
103,Sumpf::N,swamp,bažina
104,Moor::N,moor,bažina
105,Moor::N,moor,slatina
106,Wiese::N,meadow,louka
107,Wald::N,forest,les
108,Hügel::N,hill,kopec
