,Concept_ID,,tt
0,Auge::N,,күз
1,Ohr::N,,колак
2,Nase::N,,борын
3,Mund::N,,авыз
4,Mund::N,,тамак
5,Zahn::N,,теш
6,Zunge::N,,тел
7,Lippe::N,,ирен
8,Wange::N,,яңак
9,Gesicht::N,,йөз
10,Stirn::N,,маңгай
11,Haar::N,,чәч
12,Schnurrbart::N,,мыек
13,Bart::N,,сакал
14,Kinn::N,,ияк
15,Kiefer[Anatomie]::N,,казналык
16,Kehle::N,,тамак
17,Hals::N,,бугаз
18,Genick::N,,җилкә
19,Kopf::N,,баш
20,Rücken::N,,сырт
21,Bauch::N,,корсак
22,Nabel::N,,кендек
23,Busen::N,,түш
24,Brust::N,,имчәк
25,Brust::N,,күкрәк
26,Schulter::N,,иңбаш
27,Schulter::N,,кулбаш
28,Arm::N,,кул
29,Ellenbogen::N,,терсәк
30,Hand::N,,кул
31,Handfläche::N,,уч
32,Finger::N,,бармак
33,Fingernagel::N,,тырнак
34,Nagel[Anatomie]::N,,тырнак
35,Zeh::N,,бармак
36,Fuß::N,,табан
37,Ferse::N,,үкчә
38,Knie::N,,тез
39,Oberschenkel::N,,бот
40,Bein::N,,аяк
41,Körper::N,,тән
42,Körper::N,,җисем
43,Haut::N,,тире
44,Blut::N,,кан
45,Ader::N,,тамыр
46,Sehne::N,,сеңер
47,Knochen::N,,сөяк
48,Gehirn::N,,ми
49,Herz::N,,йөрәк
50,Magen::N,,ашказаны
51,Leber::N,,бавыр
52,Atem::N,,сулыш
53,Hunger::N,,ачлык
54,Träne::N,,яшь
55,Geschmack::N,,тәм
56,Geschmack::N,,зәвык
57,Geruch::N,,ис
58,Schlaf::N,,йокы
59,Traum::N,,төш
60,Himmel::N,,күк
61,Sonne::N,,кояш
62,Mond::N,,ай
63,Stern::N,,йолдыз
64,Luft::N,,һава
65,Wind::N,,җил
66,Welle::N,,дулкын
67,Wasser::N,,су
68,Stein::N,,таш
69,Boden::N,,туфрак
70,Erde::N,,җир
71,Staub::N,,тузан
72,Rauch::N,,төтен
73,Funke::N,,очкын
74,Feuer::N,,ут
75,Licht::N,,якты
76,Schatten::N,,күләгә
77,Wetter::N,,һава
78,Nebel::N,,томан
79,Wolke::N,,болыт
80,Regen::N,,яңгыр
81,Schnee::N,,кар
82,Eis::N,,боз
83,Frost::N,,суык
84,Frost::N,,салкын
85,Kälte::N,,суык
86,Kälte::N,,салкын
87,Hitze::N,,эсселек
88,Raureif::N,,бәс
89,Raureif::N,,сыкы
90,Regenbogen::N,,салават күпере
91,Donner::N,,күкрәү
92,Strömung::N,,агыш'агым
93,Tropfen::N,,тамчы
94,Schaum::N,,күбек
95,Schmutz::N,,пычрак
96,See::N,,күл
97,Sumpf::N,,саз
98,Moor::N,,торфлык
99,Wiese::N,,болын
100,Wald::N,,урман
101,Hügel::N,,калку
102,Anhöhe::N,,үр
103,Berg::N,,тау
104,Gipfel::N,,оч
105,Höhle::N,,мәгарә
106,Abhang::N,,кабырга
107,Quelle::N,,чишмә
108,Bach::N,,елга
109,Fluss::N,,дәрья
110,Ufer::N,,су кырые
111,Küste::N,,яр буе
112,Festland::N,,коры җир
113,Meer::N,,диңгез
114,Bucht::N,,бухта
115,Bucht::N,,култык
116,Insel::N,,атау
117,Insel::N,,утрау
118,Blume::N,,чәчкә
119,Gras::N,,үлән
120,Wurzel::N,,тамыр
121,Baum::N,,агач
122,Stamm::N,,кәүсә
123,Rinde::N,,кабык
124,Ast::N,,ботак
125,Zweig::N,,ботак
126,Zweig::N,,тармак
127,Blatt::N,,яфрак
128,Birke::N,,каен
129,Kiefer[Baum]::N,,нарат
130,Weide[Baum]::N,,тал
131,Tanne::N,,чыршы
132,Horn::N,,мөгез
133,Feder::N,,йон
134,Fell::N,,тире
135,Flügel::N,,канат
136,Klaue::N,,тырнак
137,Kralle::N,,тырнак
138,Schwanz::N,,койрык
139,Ei::N,,күкәй
140,Ei::N,,йомырка
141,Nest::N,,оя
142,Bau::N,,өн
143,Tier::N,,хайван
144,Herde::N,,көтү
145,Kuh::N,,сыер
146,Bulle::N,,үгез
147,Pferd::N,,ат
148,Schaf::N,,сарык
149,Schwein::N,,дуңгыз
150,Hund::N,,эт
151,Katze::N,,песи
152,Bär::N,,аю
153,Eichhörnchen::N,,тиен
154,Elch::N,,поши
155,Fuchs::N,,төлке
156,Hase::N,,куян
157,Maus::N,,тычкан
158,Wolf::N,,бүре
159,Vogel::N,,кош
160,Schwarm::N,,көтү
161,Huhn::N,,тавык
162,Hahn::N,,әтәч
163,Gans::N,,каз
164,Adler::N,,каракош
165,Ente::N,,үрдәк
166,Eule::N,,ябалак
167,Kranich::N,,торна
168,Krähe::N,,карга
169,Kuckuck::N,,күке
170,Kuckuck::N,,кәккүк
171,Schwan::N,,аккош
172,Fisch::N,,балык
173,Barsch::N,,алабуга
174,Hecht::N,,чуртан
175,Schlange[Tier]::N,,елан
176,Wurm::N,,корт
177,Spinne::N,,үрмәкүч
178,Ameise::N,,кырмыска
179,Laus::N,,бет
180,Mücke::N,,черки
181,Mücke::N,,озынборын
182,Fliege::N,,чебен
183,Schmetterling::N,,күбәләк
184,Beere::N,,җиләк
185,Apfel::N,,алма
186,Pilz::N,,гөмбә
187,Zwiebel::N,,суган
188,Zwiebel::N,,суганбаш
189,Saat::N,,орлык
190,Korn::N,,иген
191,Korn::N,,орлык
192,Heu::N,,печән
193,Schale::N,,кабык
194,Grube::N,,баз
195,Grube::N,,чокыр
196,Falle::N,,тозак
197,Falle::N,,капкын
198,Schlinge::N,,элмәк
199,Spur::N,,эз
200,Asche::N,,көл
201,Dreck::N,,пычрак
202,Eisen::N,,тимер
203,Gold::N,,алтын
204,Silber::N,,көмеш
205,Kohle::N,,күмер
206,Glas::N,,пыяла
207,Lehm::N,,балчык
208,Sand::N,,ком
209,Mensch::N,,адәм
210,Mensch::N,,инсан
211,Mann::N,,ир
212,Frau::N,,хатын
213,Kind::N,,бала
214,Junge::N,,малай
215,Mädchen::N,,кыз
216,Familie::N,,гаилә
217,Großvater::N,,бабай
218,Großmutter::N,,әби
219,Eltern::N,,ата-ана
220,Vater::N,,ата
221,Mutter::N,,ана
222,Sohn::N,,ул
223,Tochter::N,,кыз
224,Bruder::N,,кардәш
225,Schwester::N,,апа
226,Schwester::N,,сеңел
227,Onkel::N,,дәдә
228,Onkel::N,,дәдәй
229,Tante::N,,түти
230,Tante::N,,тәтәй
231,Ehemann::N,,ир
232,Ehefrau::N,,хатын
233,Freude::N,,сөенеч
234,Gelächter::N,,көлү
235,Gelächter::N,,көлеш
236,Glück::N,,бәхет
237,Kummer::N,,хәсрәт
238,Wunsch::N,,теләк
239,Lust::N,,теләк
240,Lust::N,,теләү
241,Geist::N,,рух
242,Gedanke::N,,уй
243,Gedanke::N,,фикер
244,Gedächtnis::N,,хәтер
245,Verstand::N,,акыл
246,Sinn::N,,мәгънә
247,Grund::N,,сәбәп
248,Wahrheit::N,,хак
249,Gespräch::N,,әңгәмә
250,Märchen::N,,әкият
251,Erzählung::N,,хикәя
252,Nachricht::N,,хәбәр
253,Neuigkeit::N,,яңалык
254,Name::N,,исем
255,Rätsel::N,,табышмак
256,Rede::N,,нотык
257,Sprache::N,,тел
258,Stimme::N,,тавыш
259,Wort::N,,сүз
260,Zeichen::N,,ишарә
261,Ruf::N,,дәшү
262,Lärm::N,,шау
263,Laut::N,,аваз
264,Ton::N,,шалтырату
265,Lied::N,,җыр
266,Ruhe::N,,тынлык
267,Leute::N,,халык
268,Volk::N,,халык
269,Arbeit::N,,эш
270,Arbeit::N,,хезмәт
