,Concept_ID,myv,ba
171,Vogel::N,нармунь,ҡош
172,Schwarm::N,полк,көтөү
173,Schwarm::N,стада,көтөү
174,Huhn::N,сараз,тауыҡ
175,Hahn::N,атякш,әтәс
176,Gans::N,гала,ҡаҙ
177,Gans::N,мацей,ҡаҙ
178,Adler::N,куцькан,бөркөт
179,Adler::N,тумоатякш,бөркөт
180,Ente::N,яксярго,өйрәк
181,Eule::N,корж,өкө
182,Eule::N,корж,ябалаҡ
183,Kranich::N,карго,торна
184,Krähe::N,варака,ҡарға
185,Kuckuck::N,куко,кәкүк
186,Schwan::N,локсей,аҡҡош
187,Fisch::N,кал,балыҡ
188,Barsch::N,окунь,алабуға
189,Hecht::N,щука,суртан
190,Schlange[Tier]::N,гуй,йылан
191,Wurm::N,сукс,селяүсен
192,Spinne::N,шанжав,үрмәксе
193,Ameise::N,коткудав,ҡырмыҫҡа
194,Laus::N,сий,бет
195,Mücke::N,сеське,серәкәй
196,Fliege::N,карво,себен
197,Schmetterling::N,нимиляв,күбәләк
198,Beere::N,умарь,еләк
199,Apfel::N,умарь,алма
200,Pilz::N,панго,бәшмәк
201,Zwiebel::N,чурька,һуган
202,Saat::N,видьметь,орлоҡ
203,Korn::N,сюро,иген
204,Heu::N,тикше,бесән
205,Schale::N,кедь,ҡабыҡ
206,Schale::N,ваткавкс,ҡабыҡ
207,Grube::N,латко,соҡор
208,Falle::N,тувор,тоҙак
209,Falle::N,тувор,ҡапҡан
210,Falle::N,кундамка,тоҙак
211,Falle::N,кундамка,ҡапҡан
212,Schlinge::N,килькш,тоҙак
213,Spur::N,челькс,әҫер
214,Spur::N,пильгеки,әҫер
215,Asche::N,кулов,көл
216,Dreck::N,рудаз,батҡаҡ
217,Eisen::N,кшни,тимер
218,Gold::N,сырне,алтын
219,Silber::N,сия,көмөш
220,Kohle::N,сэдь,күмер
221,Kohle::N,уголия,күмер
222,Glas::N,сулика,быяла
223,Lehm::N,сёвонь,балсыҡ
224,Sand::N,човар,ҡом
225,Mensch::N,ломань,кеше
226,Mann::N,аля,ир
227,Mann::N,цёраломань,ир
228,Frau::N,ава,ҡатын
229,Kind::N,эйкакш,бала
230,Junge::N,цёрыне,малай
231,Mädchen::N,тейтерне,ҡыҙ
232,Mädchen::N,тейтерне,ҡыҙыҡай
233,Familie::N,семия,ғаилә
234,Großvater::N,покштя,олатай
235,Großmutter::N,баба,әбәй
236,Eltern::N,тетят-ават,ата-әсә
237,Vater::N,тетя,атай
