,Concept_ID,zh,lez
0,Auge::N,眼睛,вил
1,Ohr::N,耳朵,яб
2,Nase::N,鼻子,нер
3,Mund::N,嘴,сив
4,Zahn::N,牙齿,сас
5,Zahn::N,牙齿,свах
6,Zunge::N,舌头,мез
7,Lippe::N,嘴唇,пӏуз
8,Wange::N,面颊,хъвехъ
9,Gesicht::N,脸,ччин
10,Stirn::N,额,пел
11,Haar::N,头发,чӏар
12,Schnurrbart::N,髭须,спел
13,Schnurrbart::N,髭须,спелар
14,Bart::N,胡子,ччуру
15,Kinn::N,下巴,чене
16,Kiefer[Anatomie]::N,颌,чене
17,Kehle::N,嗓子,туьд
18,Hals::N,颈,гардан
19,Genick::N,后颈,кьам
20,Kopf::N,头,кьил
21,Rücken::N,背,далу
22,Bauch::N,肚子,руфун
23,Nabel::N,肚脐,пицӏ
24,Busen::N,胸脯,мам
25,Brust::N,胸,хур
26,Schulter::N,肩膀,къуьн
27,Arm::N,臂膀,гъил
28,Ellenbogen::N,肘,кьуьнт
29,Hand::N,手,капаш
30,Handfläche::N,手掌,капан юкь
31,Finger::N,手指,тӏуб
32,Fingernagel::N,指甲,кек
33,Nagel[Anatomie]::N,指甲,кек
34,Zeh::N,脚趾,кул
35,Fuß::N,脚,кӏвач
36,Ferse::N,后跟,дабан
37,Knie::N,膝,мет
38,Oberschenkel::N,大腿,
39,Bein::N,腿,кӏвач
40,Körper::N,身体,беден
41,Haut::N,皮肤,хам
42,Blut::N,血,иви
43,Ader::N,血管,дамар
44,Sehne::N,腱,кьуру дамар
45,Knochen::N,骨,кӏараб
46,Gehirn::N,脑,мефт
47,Herz::N,心,рикӏ
48,Magen::N,胃,хук
49,Leber::N,肝,лекь
50,Atem::N,呼吸,ял
51,Atem::N,呼吸,нефес
52,Hunger::N,饿,каш
53,Träne::N,眼泪,вилин нагъв
54,Geschmack::N,味道,дад
55,Geschmack::N,味道,тӏям
56,Geruch::N,气味,ни
57,Schlaf::N,睡眠,ахвар
58,Traum::N,梦,ахвар
59,Himmel::N,天空,цав
60,Sonne::N,太阳,рагъ
61,Mond::N,月亮,варз
62,Stern::N,星,гъед
63,Luft::N,空气,гьава
64,Wind::N,风,гар
65,Welle::N,波,лепе
66,Wasser::N,水,яд
67,Stein::N,石头,къван
68,Boden::N,地面,накьв
69,Erde::N,地,ччил
70,Staub::N,灰尘,руг
71,Rauch::N,烟,гум
72,Funke::N,火花,цӏелхем
73,Feuer::N,火,цӏай
74,Licht::N,光,экв
75,Schatten::N,影子,серин
76,Wetter::N,天气,гьава
77,Nebel::N,雾,ччилин циф
78,Wolke::N,云,циф
79,Regen::N,雨,марф
80,Schnee::N,雪,жив
81,Eis::N,冰,мурк
82,Frost::N,霜冻,аяз
83,Kälte::N,寒冷,мекь
84,Kälte::N,寒冷,мекьивал
85,Hitze::N,炎热,зегьем
86,Raureif::N,霜,къирав
87,Regenbogen::N,虹,яргъируш
88,Donner::N,雷,цавун ван
89,Strömung::N,水流,
90,Tropfen::N,滴,стӏал
91,Schaum::N,泡沫,каф
92,Schmutz::N,赃物,чирк
93,Schmutz::N,赃物,кьуруш
94,See::N,湖,вир
95,Sumpf::N,沼泽,уьлен
96,Moor::N,沼泽,
97,Wiese::N,草地,векь
98,Wald::N,森林,там
99,Hügel::N,丘陵,кӏунтӏ
100,Anhöhe::N,山丘,тепе
101,Anhöhe::N,山丘,гьуьндуьрвал
102,Berg::N,山,дагъ
103,Gipfel::N,峰,кӏукӏ
104,Höhle::N,洞穴,кьветӏ
105,Abhang::N,斜坡,гуьне
106,Quelle::N,泉,чешме
107,Bach::N,溪,булах
108,Fluss::N,河流,вацӏ
109,Ufer::N,岸,къерех
110,Küste::N,海岸,къерех
111,Festland::N,大陆,кьурамат
112,Meer::N,海,гьуьл
113,Bucht::N,海湾,бухта
114,Insel::N,岛,остров
115,Blume::N,花,цуьк
116,Gras::N,草,хъач
117,Wurzel::N,根,дувул
118,Baum::N,树,ттар
119,Stamm::N,树干,тан
120,Rinde::N,树皮,чкал
121,Ast::N,树枝,тӏур
122,Zweig::N,树枝,хел
123,Blatt::N,叶子,пеш
124,Birke::N,桦木,верх
125,Kiefer[Baum]::N,松树,шамагъаж
126,Weide[Baum]::N,柳树,цӏвелин ттар
127,Tanne::N,冷杉,ель
128,Horn::N,角,карч
129,Feder::N,羽毛,цӏакул
130,Fell::N,皮毛,хам
131,Flügel::N,翅膀,лув
132,Klaue::N,爪子,къармах
133,Kralle::N,爪子,пац
134,Kralle::N,爪子,тапас
135,Schwanz::N,尾巴,ттум
136,Ei::N,蛋,кака
137,Nest::N,巢,муг
138,Bau::N,穴,тӏеквен
139,Tier::N,动物,гьайван
140,Herde::N,群,суьруь
141,Kuh::N,母牛,ккал
142,Bulle::N,公牛,яц
143,Bulle::N,公牛,бугъа
144,Pferd::N,马,балкӏан
145,Schaf::N,羊,хеб
146,Schwein::N,猪,вак
147,Hund::N,狗,кицӏ
148,Katze::N,猫,кац
149,Bär::N,熊,сев
150,Eichhörnchen::N,松鼠,белка
151,Elch::N,麋鹿,лось
152,Fuchs::N,狐狸,сикӏ
153,Hase::N,兔子,къуьр
154,Maus::N,老鼠,кьиф
155,Wolf::N,狼,жанавур
156,Vogel::N,鸟,луван ничхир
157,Schwarm::N,群,луж
158,Huhn::N,鸡,верч
159,Hahn::N,公鸡,кӏек
160,Gans::N,鹅,къаз
161,Adler::N,鹰,лекь
162,Ente::N,鸭,пӏатӏ
163,Eule::N,猫头鹰,тӏиб
164,Kranich::N,鹤,дурна
165,Krähe::N,乌鸦,къаргъа
166,Kuckuck::N,布谷鸟,кукупӏ
167,Schwan::N,天鹅,къугь
168,Fisch::N,鱼,гъед
169,Barsch::N,鲈鱼,окунь
170,Hecht::N,狗鱼,щука
171,Schlange[Tier]::N,蛇,илан
172,Schlange[Tier]::N,蛇,гъуьлягъ
173,Wurm::N,蠕虫,квак
174,Spinne::N,蜘蛛,хуьшрекан
175,Ameise::N,蚂蚁,цегв
176,Laus::N,虱子,нет
177,Mücke::N,蚊子,ветӏ
178,Fliege::N,苍蝇,тӏветӏ
