,Concept_ID,pl,eu
0,Auge::N,oko,begi
1,Ohr::N,ucho,belarri
2,Nase::N,nos,sudur
3,Mund::N,usta,aho
4,Zahn::N,ząb,hortz
5,Zunge::N,język,mihi
6,Lippe::N,warga,ezpain
7,Wange::N,policzek,masail
8,Gesicht::N,twarz,aurpegi
9,Stirn::N,czoło,bekoki
10,Haar::N,włos,ile
11,Haar::N,włos,bilo
12,Haar::N,włosy,ile
13,Haar::N,włosy,bilo
14,Schnurrbart::N,wąsy,bibote
15,Schnurrbart::N,wąsy,sudurpeko
16,Bart::N,broda,bizar
17,Kinn::N,podbródek,kokots
18,Kiefer[Anatomie]::N,czeluść,masailezur
19,Kehle::N,gardło,eztarri
20,Hals::N,szyja,sama
21,Genick::N,kark,garondo
22,Kopf::N,głowa,buru
23,Rücken::N,plecy,bizkar
24,Rücken::N,grzbiet,bizkar
25,Bauch::N,brzuch,sabel
26,Nabel::N,pępek,zilbor
27,Busen::N,biust,titi
28,Busen::N,biust,ugatz
29,Brust::N,pierś,bular
30,Schulter::N,bark,besaburu
31,Schulter::N,ramię,besaburu
32,Arm::N,ręka,beso
33,Arm::N,ramię,beso
34,Ellenbogen::N,łokieć,ukondo
35,Hand::N,dłoń,esku
36,Handfläche::N,dłoń,ahur
37,Finger::N,palec,hatz
38,Fingernagel::N,paznokieć,azazkal
39,Nagel[Anatomie]::N,paznokieć,azazkal
40,Zeh::N,palec,behatz
41,Fuß::N,stopa,oin
42,Ferse::N,pięta,orpo
43,Ferse::N,pięta,oinburu
44,Knie::N,kolano,belaun
45,Oberschenkel::N,udo,izter
46,Bein::N,noga,zango
47,Körper::N,ciało,soin
48,Haut::N,skóra,azal
49,Blut::N,krew,odol
50,Ader::N,żyła,zain
51,Sehne::N,ścięgno,gihar-zain
52,Knochen::N,kość,hezur
53,Gehirn::N,mózg,garun
54,Gehirn::N,mózg,burmuin
55,Herz::N,serce,bihotz
56,Magen::N,żołądek,urdail
57,Leber::N,wątroba,gibel
58,Atem::N,dech,hats
59,Atem::N,dech,arnasa
60,Atem::N,oddech,hats
61,Atem::N,oddech,arnasa
62,Hunger::N,głód,gose
63,Träne::N,łza,malko
64,Geschmack::N,smak,dasta
65,Geruch::N,woń,usain
66,Geruch::N,zapach,usain
67,Schlaf::N,sen,lo
68,Traum::N,sen,amets
69,Himmel::N,niebo,zeru
70,Sonne::N,słońce,eguzki
71,Mond::N,księżyc,ilargi
72,Stern::N,gwiazda,izar
73,Luft::N,powietrze,aire
74,Wind::N,wiatr,haize
75,Welle::N,fala,uhin
76,Welle::N,fala,olatu
77,Wasser::N,woda,ur
78,Stein::N,kamień,harri
79,Boden::N,grunt,lur
80,Boden::N,grunt,zoru
81,Erde::N,ziemia,lur
82,Staub::N,pył,hauts
83,Staub::N,kurz,hauts
84,Rauch::N,dym,ke
85,Funke::N,iskra,zirta
86,Funke::N,iskra,txinparta
87,Feuer::N,ogień,su
88,Licht::N,światło,argi
89,Schatten::N,cień,itzal
90,Schatten::N,cień,geriza
91,Wetter::N,pogoda,eguraldi
92,Nebel::N,mgła,laino
93,Wolke::N,obłok,hodei
94,Wolke::N,chmura,hodei
95,Regen::N,deszcz,euri
96,Schnee::N,śnieg,elur
97,Eis::N,lód,horma
98,Frost::N,mróz,izotzaldi
99,Kälte::N,chłód,hotz
100,Hitze::N,gorąco,bero
101,Raureif::N,szron,antzigar
102,Regenbogen::N,tęcza,ostadar
103,Regenbogen::N,tęcza,ortzadar
104,Donner::N,grzmot,ostots
105,Donner::N,grzmot,ihurtzuri
106,Strömung::N,nurt,laster
107,Tropfen::N,kropla,xorta
108,Schaum::N,piana,bits
109,Schmutz::N,brud,lohi
110,Schmutz::N,brud,zikin
111,See::N,jezioro,laku
112,See::N,jezioro,aintzira
113,Sumpf::N,bagno,zingira
114,Moor::N,bagno,zohikaztegi
115,Wiese::N,łąka,larre
116,Wiese::N,łąka,belardi
117,Wald::N,las,baso
118,Wald::N,las,oihan
119,Hügel::N,pagórek,muino
120,Hügel::N,pagórek,pentoka
121,Anhöhe::N,wzgórze,garai
122,Anhöhe::N,wzgórze,goragune
123,Berg::N,góra,mendi
124,Gipfel::N,szczyt,gain
125,Gipfel::N,szczyt,tontor
126,Gipfel::N,wierzchołek,gain
127,Gipfel::N,wierzchołek,tontor
128,Höhle::N,pieczara,kobazulo
129,Abhang::N,stok,aldapa
130,Abhang::N,zbocze,aldapa
131,Quelle::N,zdrój,iturri
132,Quelle::N,zdrój,iturbegi
133,Quelle::N,źródło,iturri
134,Quelle::N,źródło,iturbegi
135,Bach::N,potok,lats
136,Bach::N,potok,erreka
137,Bach::N,strumień,lats
138,Bach::N,strumień,erreka
139,Fluss::N,rzeka,ibai
140,Fluss::N,rzeka,uhaitz
141,Ufer::N,brzeg,bazter
142,Küste::N,wybrzeże,itsasalde
143,Festland::N,ląd,lehor
144,Meer::N,morze,itsaso
145,Bucht::N,zatoka,golko
146,Insel::N,wyspa,irla
147,Insel::N,wyspa,uharte
148,Blume::N,kwiat,lili
149,Gras::N,trawa,belar
150,Wurzel::N,korzeń,zuztar
151,Wurzel::N,korzeń,sustrai
152,Baum::N,drzewo,zuhaitz
153,Stamm::N,pień,enbor
154,Rinde::N,kora,azal
155,Ast::N,gałąź,adar
156,Zweig::N,gałąź,abar
157,Blatt::N,liść,hosto
158,Birke::N,brzoza,urki
159,Kiefer[Baum]::N,sosna,ler
160,Weide[Baum]::N,wierzba,zume
161,Weide[Baum]::N,wierzba,sahats
162,Tanne::N,jodła,izei
163,Horn::N,róg,adar
164,Feder::N,pióro,luma
165,Feder::N,pióro,hegaki
166,Fell::N,futro,ile
167,Fell::N,futro,larru
168,Flügel::N,skrzydło,hego
169,Klaue::N,szpon,atzapar
170,Kralle::N,pazur,erpe
171,Kralle::N,pazur,atzapar
172,Schwanz::N,ogon,isats
173,Schwanz::N,ogon,buztan
174,Ei::N,jajko,arrautza
175,Nest::N,gniazdo,habia
176,Bau::N,nora,ohantze
177,Tier::N,zwierzę,abere
178,Tier::N,zwierzę,piztia
179,Herde::N,stado,saldo
180,Herde::N,stado,abere talde
181,Herde::N,trzoda,saldo
182,Herde::N,trzoda,abere talde
183,Kuh::N,krowa,behi
184,Bulle::N,byk,zezen
185,Pferd::N,koń,zaldi
186,Schaf::N,owca,ardi
187,Schwein::N,świnia,urde
188,Schwein::N,świnia,txerri
189,Hund::N,pies,txakur
190,Katze::N,kot,katu
191,Katze::N,kotka,katu
192,Bär::N,niedźwiedż,hartz
193,Eichhörnchen::N,wiewiórka,urtxintxa
194,Elch::N,łóś,altze
195,Fuchs::N,lis,azeri
196,Hase::N,zając,erbi
197,Maus::N,mysz,sagu
198,Wolf::N,wilk,otso
199,Vogel::N,ptak,txori
200,Vogel::N,ptak,hegazti
201,Schwarm::N,stado,aldra
202,Huhn::N,kura,oilo
203,Hahn::N,kogut,oilar
204,Gans::N,gęś,antzara
205,Adler::N,orzeł,arrano
206,Ente::N,kaczka,ahate
207,Eule::N,sowa,hontza
208,Kranich::N,żuraw,kurrilo
209,Krähe::N,wrona,bele
210,Kuckuck::N,kukułka,kuku
211,Schwan::N,łabędż,beltxarga
212,Fisch::N,ryba,arrain
213,Barsch::N,okoń,perka
214,Hecht::N,szczupak,lutxo
215,Schlange[Tier]::N,wąż,suge
216,Schlange[Tier]::N,żmija,suge
217,Wurm::N,robak,har
218,Spinne::N,pająk,armiarma
219,Ameise::N,mrówka,inurri
220,Laus::N,wesz,zorri
221,Mücke::N,komar,eltxo
222,Fliege::N,mucha,euli
223,Schmetterling::N,motyl,pinpirin
224,Schmetterling::N,motyl,tximeleta
225,Beere::N,jagoda,baia
226,Apfel::N,jabłko,sagar
227,Pilz::N,grzyb,onddo
228,Pilz::N,grzyb,perretxiko
229,Zwiebel::N,cebula,tipula
230,Saat::N,siew,haziak
231,Korn::N,ziarno,ale
232,Korn::N,ziarno,pikor
233,Heu::N,siano,belar ondu
234,Schale::N,łupina,azal
235,Grube::N,dół,hobi
236,Grube::N,jama,hobi
237,Falle::N,pułapka,harrapagailu
238,Schlinge::N,sidła,bilur
239,Schlinge::N,sidła,xedera
240,Spur::N,ślad,lorratz
241,Asche::N,popiół,errauts
242,Dreck::N,brud,satsukeria
243,Eisen::N,żelazo,burdina
244,Gold::N,złoto,urre
245,Gold::N,złoto,urregorri
246,Silber::N,srebro,zilar
247,Silber::N,srebro,urrezuri
248,Kohle::N,węgiel,ikatz
249,Glas::N,szkło,beira
250,Lehm::N,glina,buztin
251,Sand::N,piasek,harea
252,Sand::N,piasek,hondar
253,Mensch::N,człowiek,gizaki
254,Mann::N,mężczyzna,gizon
255,Frau::N,kobieta,andere
256,Frau::N,kobieta,emakume
257,Kind::N,dziecko,haur
258,Junge::N,chłopak,mutil
259,Junge::N,chłopiec,mutil
260,Mädchen::N,dziewczynka,neska
261,Familie::N,rodzina,sendi
262,Familie::N,rodzina,familia
263,Großvater::N,dziadek,aitona
264,Großvater::N,dziadek,aitatxi
265,Großmutter::N,babka,amona
266,Großmutter::N,babka,amatxi
267,Eltern::N,rodzice,gurasoak
268,Vater::N,ojciec,aita
269,Mutter::N,matka,ama
270,Sohn::N,syn,seme
271,Tochter::N,córka,alaba
272,Bruder::N,brat,neba
273,Bruder::N,brat,anaia
274,Schwester::N,siostra,ahizpa
