,Concept_ID,sk,hu
0,Auge::N,oko,szem
1,Ohr::N,ucho,fül
2,Nase::N,nos,orr
3,Mund::N,ústa,száj
4,Zahn::N,zub,fog
5,Zunge::N,jazyk,nyelv
6,Lippe::N,pera,ajak
7,Wange::N,líce,orca
8,Gesicht::N,tvár,arc
9,Gesicht::N,obličaj,arc
10,Stirn::N,čelo,homlok
11,Haar::N,vlas,haj
12,Schnurrbart::N,fúzy,bajusz
13,Bart::N,brada,szakáll
14,Kinn::N,brada,áll
15,Kiefer[Anatomie]::N,čeľusť,állkapocs
16,Kehle::N,hrdlo,gége
17,Kehle::N,hrdlo,torok
18,Hals::N,krk,nyak
19,Genick::N,väzy,tarkó
20,Kopf::N,hlava,fő
21,Kopf::N,hlava,fej
22,Rücken::N,chrbát,hát
23,Bauch::N,brucho,has
24,Nabel::N,pupok,köldök
25,Busen::N,prsia,mell
26,Busen::N,prsia,kebel
27,Brust::N,hruď,mell
28,Schulter::N,plece,váll
29,Arm::N,rameno,kar
30,Ellenbogen::N,lakeť,könyök
31,Hand::N,ruka,kéz
32,Handfläche::N,dlaň,tenyér
33,Finger::N,prst,ujj
34,Fingernagel::N,necht,köröm
35,Nagel[Anatomie]::N,necht,köröm
36,Zeh::N,prst na nohe,lábujj
37,Fuß::N,noha,láb
38,Ferse::N,päta,sarok
39,Knie::N,koleno,térd
40,Oberschenkel::N,stehno,comb
41,Bein::N,noha,láb
42,Bein::N,noha,lábszár
43,Körper::N,telo,test
44,Haut::N,koža,bőr
45,Blut::N,krv,vér
46,Ader::N,žila,ér
47,Sehne::N,šľacha,ín
48,Knochen::N,kosť,csont
49,Gehirn::N,mozog,agy
50,Gehirn::N,mozog,agyvelő
51,Herz::N,srdce,szív
52,Magen::N,žalúdok,gyomor
53,Leber::N,pečeň,máj
54,Atem::N,dych,lehelet
55,Atem::N,dych,lélegzet
56,Hunger::N,hlad,éhség
57,Träne::N,slza,könny
58,Geschmack::N,chuť,íz
59,Geruch::N,pach,szag
60,Schlaf::N,spánok,álom
61,Schlaf::N,spánok,alvás
62,Traum::N,sen,álom
63,Himmel::N,nebo,ég
64,Himmel::N,nebo,menny
65,Sonne::N,slnko,nap
66,Mond::N,mesiac,hold
67,Stern::N,hviezda,csillag
68,Luft::N,vzduch,levegő
69,Wind::N,vietor,szél
70,Welle::N,vlna,hullám
71,Wasser::N,voda,víz
72,Stein::N,kameň,kő
73,Boden::N,zem,föld
74,Boden::N,zem,talaj
75,Boden::N,pôda,föld
76,Boden::N,pôda,talaj
77,Erde::N,zem,föld
78,Staub::N,prach,por
79,Rauch::N,dym,füst
80,Funke::N,iskra,szikra
81,Feuer::N,oheň,tűz
82,Licht::N,svetlo,fény
83,Schatten::N,tieň,árnyék
84,Wetter::N,počasie,idő
85,Wetter::N,počasie,időjárás
86,Nebel::N,hmla,köd
87,Wolke::N,oblak,felhő
88,Wolke::N,mračno,felhő
89,Regen::N,dážď,eső
90,Schnee::N,sneh,hó
91,Eis::N,ľad,jég
92,Frost::N,mráz,fagy
93,Kälte::N,zima,hideg
94,Kälte::N,chlad,hideg
95,Hitze::N,horúčava,hő
96,Hitze::N,horúčava,hőség
97,Raureif::N,srieň,zúzmara
98,Raureif::N,inovať,zúzmara
99,Regenbogen::N,dúha,szivárvány
100,Donner::N,hrom,dörgés
101,Donner::N,hrom,mennydörgés
102,Strömung::N,prúdenie,áramlat
103,Tropfen::N,kvapka,csepp
104,Schaum::N,pena,hab
105,Schaum::N,pena,tajték
106,Schmutz::N,špina,piszok
107,Schmutz::N,nečistota,piszok
108,See::N,jazero,tó
109,Sumpf::N,bahno,mocsár
110,Moor::N,močiar,láp
111,Wiese::N,lúka,rét
112,Wiese::N,lúka,mező
113,Wald::N,les,erdő
114,Wald::N,hora,erdő
115,Hügel::N,vŕšok,domb
116,Anhöhe::N,výšina,magaslat
117,Anhöhe::N,vyvýšenina,magaslat
118,Berg::N,hora,hegy
119,Gipfel::N,vrchol,csúcs
120,Höhle::N,jaskyňa,barlang
121,Abhang::N,úbočie,lejtő
122,Quelle::N,prameň,forrás
123,Bach::N,potok,patak
124,Fluss::N,rieka,folyó
125,Ufer::N,breh,part
126,Küste::N,pobrežie,tengerpart
127,Festland::N,pevnina,szárazföld
128,Meer::N,more,tenger
129,Bucht::N,záliv,öböl
130,Bucht::N,zátoka,öböl
131,Insel::N,ostrov,sziget
132,Blume::N,kvet,virág
133,Blume::N,kvetina,virág
134,Gras::N,tráva,fű
135,Wurzel::N,koreň,gyökér
136,Baum::N,strom,fa
137,Stamm::N,kmeň,tő
138,Stamm::N,kmeň,törzs
139,Rinde::N,kôra,kéreg
140,Ast::N,konár,ág
141,Zweig::N,vetva,gally
142,Blatt::N,list,levél
143,Birke::N,breza,nyír
144,Kiefer[Baum]::N,sosna,fenyő
145,Kiefer[Baum]::N,borovica,fenyő
146,Weide[Baum]::N,vŕba,fűz
147,Tanne::N,jedľa,fenyő
148,Horn::N,roh,szarv
149,Feder::N,pero,toll
150,Fell::N,koža,szőr
151,Fell::N,koža,bunda
152,Fell::N,kožušina,szőr
153,Fell::N,kožušina,bunda
154,Flügel::N,krídlo,szárny
155,Klaue::N,paznecht,köröm
156,Kralle::N,pazúr,karom
157,Schwanz::N,chvost,farok
158,Ei::N,vajce,tojás
159,Ei::N,vajíčko,tojás
160,Nest::N,hniezdo,fészek
161,Bau::N,nora,odú
162,Tier::N,zviera,állat
163,Herde::N,stádo,nyáj
164,Herde::N,stádo,csorda
165,Kuh::N,krava,tehén
166,Bulle::N,býk,bika
167,Pferd::N,kôň,ló
168,Schaf::N,ovca,juh
169,Schaf::N,ovca,birka
170,Schwein::N,sviňa,sertés
171,Hund::N,pes,eb
172,Hund::N,pes,kutya
173,Katze::N,mačka,macska
174,Bär::N,medveď,medve
175,Eichhörnchen::N,veverička,mókus
176,Elch::N,los,jávorszarvas
177,Fuchs::N,líška,róka
178,Hase::N,zajac,nyúl
179,Maus::N,myš,egér
180,Wolf::N,vlk,farkas
181,Vogel::N,vták,madár
182,Schwarm::N,roj,raj
183,Huhn::N,kurča,tyúk
184,Huhn::N,sliepka,tyúk
185,Hahn::N,kohút,kakas
186,Gans::N,hus,lúd
187,Gans::N,hus,liba
188,Adler::N,orol,sas
189,Ente::N,kačka,kacsa
190,Ente::N,kačica,kacsa
191,Eule::N,sova,bagoly
192,Kranich::N,žeriav,daru
193,Krähe::N,vrana,varjú
194,Kuckuck::N,kukučka,kakukk
195,Schwan::N,labuť,hattyú
196,Fisch::N,ryba,hal
197,Barsch::N,ostriež,sügér
198,Hecht::N,šťuka,csuka
199,Schlange[Tier]::N,had,kígyó
200,Wurm::N,červ,kukac
201,Spinne::N,pavúk,pók
202,Ameise::N,mravec,hangya
203,Laus::N,voš,tetű
204,Mücke::N,komár,szúnyog
205,Fliege::N,mucha,légy
206,Schmetterling::N,motýľ,lepke
207,Schmetterling::N,motýľ,pillangó
208,Beere::N,bobuľa,bogyó
209,Apfel::N,jablko,alma
210,Pilz::N,hríb,gomba
211,Zwiebel::N,cibuľa,hagyma
212,Saat::N,osivo,vetőmag
213,Korn::N,zrno,mag
214,Korn::N,zrno,szem
215,Heu::N,seno,széna
216,Schale::N,šupa,héj
217,Schale::N,škrupina,héj
218,Grube::N,jama,verem
219,Falle::N,pasca,csapda
220,Falle::N,klepec,csapda
221,Schlinge::N,slučka,tőr
222,Spur::N,stopa,nyom
223,Asche::N,popol,hamu
224,Dreck::N,kal,sár
225,Dreck::N,kal,piszok
226,Dreck::N,blato,sár
227,Dreck::N,blato,piszok
228,Eisen::N,železo,vas
229,Gold::N,zlato,arany
230,Silber::N,striebro,ezüst
231,Kohle::N,uhlie,szén
232,Glas::N,sklo,üveg
233,Lehm::N,íl,agyag
234,Lehm::N,íl,vályog
235,Lehm::N,hlina,agyag
236,Lehm::N,hlina,vályog
237,Sand::N,piesok,homok
238,Mensch::N,človek,ember
239,Mann::N,muž,úr
240,Mann::N,muž,férfi
241,Mann::N,chlap,úr
242,Mann::N,chlap,férfi
243,Frau::N,žena,nő
244,Frau::N,žena,asszony
245,Kind::N,dieťa,gyerek
246,Kind::N,dieťa,gyermek
247,Junge::N,chlapec,fiú
248,Mädchen::N,dievka,lány
249,Familie::N,rodina,család
250,Großvater::N,dedo,nagyapa
251,Großvater::N,starý otec,nagyapa
252,Großmutter::N,babička,nagyanya
253,Großmutter::N,stará mať,nagyanya
254,Eltern::N,rodičia,szülők
255,Vater::N,otec,apa
256,Vater::N,otec,atya
257,Mutter::N,mať,anya
258,Mutter::N,matka,anya
259,Sohn::N,syn,fiú
260,Tochter::N,dcéra,lány
261,Bruder::N,brat,fivér
262,Bruder::N,brat,testvér
