,Concept_ID,tt,cs
0,Auge::N,күз,oko
1,Ohr::N,колак,ucho
2,Nase::N,борын,nos
3,Mund::N,авыз,pusa
4,Mund::N,тамак,pusa
5,Zahn::N,теш,zub
6,Zunge::N,тел,jazyk
7,Lippe::N,ирен,ret
8,Wange::N,яңак,tvář
9,Gesicht::N,йөз,obličej
10,Stirn::N,маңгай,čelo
11,Haar::N,чәч,vlas
12,Haar::N,чәч,vlasy
13,Schnurrbart::N,мыек,kníry
14,Bart::N,сакал,vousy
15,Kinn::N,ияк,brada
16,Kiefer[Anatomie]::N,казналык,čelist
17,Kehle::N,тамак,hrdlo
18,Hals::N,бугаз,krk
19,Genick::N,җилкә,týl
20,Kopf::N,баш,hlava
21,Rücken::N,сырт,záda
22,Rücken::N,сырт,hřbet
23,Bauch::N,корсак,břicho
24,Nabel::N,кендек,pupek
25,Busen::N,түш,ňadra
26,Brust::N,имчәк,prsa
27,Brust::N,күкрәк,prsa
28,Schulter::N,иңбаш,plece
29,Schulter::N,иңбаш,rameno
30,Schulter::N,кулбаш,plece
31,Schulter::N,кулбаш,rameno
32,Arm::N,кул,ruka
33,Ellenbogen::N,терсәк,loket
34,Hand::N,кул,ruka
35,Handfläche::N,уч,dlaň
36,Finger::N,бармак,prst
37,Fingernagel::N,тырнак,nehet
38,Nagel[Anatomie]::N,тырнак,nehet
39,Zeh::N,бармак,prst u nohy
40,Fuß::N,табан,noha
41,Ferse::N,үкчә,pata
42,Knie::N,тез,koleno
43,Oberschenkel::N,бот,stehno
44,Bein::N,аяк,noha
45,Körper::N,тән,tělo
46,Körper::N,җисем,tělo
47,Haut::N,тире,kůže
48,Blut::N,кан,krev
49,Ader::N,тамыр,céva
50,Sehne::N,сеңер,šlacha
51,Knochen::N,сөяк,kost
52,Gehirn::N,ми,mozek
53,Herz::N,йөрәк,srdce
54,Magen::N,ашказаны,žaludek
55,Leber::N,бавыр,játra
56,Atem::N,сулыш,dech
57,Hunger::N,ачлык,hlad
58,Träne::N,яшь,slza
59,Geschmack::N,тәм,vkus
60,Geschmack::N,зәвык,vkus
61,Geruch::N,ис,vůně
62,Geruch::N,ис,zápach
63,Schlaf::N,йокы,spánek
64,Traum::N,төш,sen
65,Himmel::N,күк,nebe
66,Sonne::N,кояш,slunce
67,Mond::N,ай,měsíc
68,Stern::N,йолдыз,hvězda
69,Luft::N,һава,vzduch
70,Wind::N,җил,vítr
71,Welle::N,дулкын,vlna
72,Wasser::N,су,voda
73,Stein::N,таш,kámen
74,Boden::N,туфрак,půda
75,Erde::N,җир,země
76,Staub::N,тузан,prach
77,Rauch::N,төтен,dým
78,Rauch::N,төтен,kouř
79,Funke::N,очкын,jiskra
80,Feuer::N,ут,oheň
81,Licht::N,якты,světlo
82,Schatten::N,күләгә,stín
83,Wetter::N,һава,počasí
84,Nebel::N,томан,mlha
85,Wolke::N,болыт,mrak
86,Wolke::N,болыт,oblak
87,Regen::N,яңгыр,déšť
88,Schnee::N,кар,sníh
89,Eis::N,боз,led
90,Frost::N,суык,mráz
91,Frost::N,салкын,mráz
92,Kälte::N,суык,chlad
93,Kälte::N,салкын,chlad
94,Hitze::N,эсселек,horko
95,Raureif::N,бәс,jinovatka
96,Raureif::N,сыкы,jinovatka
97,Regenbogen::N,салават күпере,duha
98,Donner::N,күкрәү,hrom
99,Strömung::N,агыш'агым,proudění
100,Tropfen::N,тамчы,kapka
101,Schaum::N,күбек,pěna
102,Schmutz::N,пычрак,špína
103,See::N,күл,jezero
104,Sumpf::N,саз,močál
105,Sumpf::N,саз,bažina
106,Moor::N,торфлык,bažina
107,Moor::N,торфлык,slatina
108,Wiese::N,болын,louka
109,Wald::N,урман,les
110,Hügel::N,калку,kopec
