,Concept_ID,vep,br
0,Auge::N,sil'm,lagad
1,Ohr::N,korv,skouarn
2,Nase::N,nena,fri
3,Mund::N,su,genoù
4,Zahn::N,pi,dant
5,Zahn::N,hambaz,dant
6,Zunge::N,kel',teod
7,Lippe::N,hul',muzell
8,Wange::N,modpolišk,chot
9,Gesicht::N,mod,dremm
10,Stirn::N,oc,tal
11,Haar::N,tuk,blev
12,Haar::N,hibuz,blev
13,Schnurrbart::N,habinod,mourenn
14,Bart::N,bard,barv
15,Kinn::N,löug,groñj
16,Kiefer[Anatomie]::N,hambazlu,javed
17,Kehle::N,kurk,gouzoug
18,Hals::N,kagl,gouzoug
19,Genick::N,tagarai,choug
20,Kopf::N,pä,penn
21,Rücken::N,sel'g,kein
22,Bauch::N,vac,kof
23,Bauch::N,koht,kof
24,Nabel::N,naba,begel
25,Busen::N,niža,bronn
26,Brust::N,rind,bruched
27,Schulter::N,oug,skoaz
28,Arm::N,käzi,brec'h
29,Ellenbogen::N,künambruz,ilin
30,Hand::N,käzi,dorn
31,Hand::N,käzitera,dorn
32,Handfläche::N,kämen,palv
33,Finger::N,sor'm,biz
34,Fingernagel::N,künz',ivin
35,Nagel[Anatomie]::N,künz',ivin
36,Zeh::N,barbaz,biz-troad
37,Fuß::N,jaug,troad
38,Ferse::N,kand,seul
39,Knie::N,komb,glin
40,Knie::N,pol'v,glin
41,Oberschenkel::N,riiže,morzhed
42,Bein::N,jaug,gar
43,Körper::N,hibj,korf
44,Haut::N,nahk,kroc'hen
45,Blut::N,čak,gwad
46,Blut::N,veri,gwad
47,Ader::N,son',gwazhi
48,Sehne::N,jände,stir
49,Knochen::N,lu,askorn
50,Gehirn::N,aivod,empenn
51,Herz::N,südäin,kalon
52,Magen::N,südäikoht,stomog
53,Leber::N,maks,avu
54,Atem::N,hengaiduz,anal
55,Hunger::N,näl'g,naon
56,Träne::N,kündal',daer
57,Geschmack::N,magu,blaz
58,Geruch::N,haju,c'hwezh
59,Schlaf::N,uni,kousked
60,Traum::N,unikuva,hune
61,Himmel::N,taivaz,oabl
62,Sonne::N,päiväine,heol
63,Mond::N,kudmaine,loar
64,Stern::N,tähtaz,steredenn
65,Luft::N,il'm,aer
66,Wind::N,döl,avel
67,Wind::N,tullei,avel
68,Welle::N,ald,houlenn
69,Welle::N,laineh,houlenn
70,Wasser::N,vezi,dour
71,Stein::N,kivi,maen
72,Boden::N,ma,tachenn
73,Boden::N,pohj,tachenn
74,Erde::N,ma,douar
75,Staub::N,pölü,poultr
76,Rauch::N,savu,moged
77,Funke::N,kibin,ful
78,Feuer::N,lämoi,tan
79,Licht::N,vauktuz,gouloù
80,Schatten::N,pil'vez,disheol
81,Schatten::N,kuvahaine,disheol
82,Wetter::N,sä,amzer
