,Concept_ID,uz,myv
0,Auge::N,ko'z,сельме
1,Ohr::N,quloq,пиле
2,Nase::N,burun,судо
3,Mund::N,og'iz,курго
4,Zahn::N,tish,пей
5,Zunge::N,til,кель
6,Lippe::N,dudoq,турва
7,Wange::N,bet,чамабока
8,Wange::N,bet,чамаумарь
9,Gesicht::N,yuz,чама
10,Stirn::N,manglay,коня
11,Haar::N,soch,черь
12,Schnurrbart::N,mo'ylov,ус
13,Schnurrbart::N,mo'ylov,муюк
14,Bart::N,soqol,сакал
15,Kinn::N,ängak,уло
16,Kiefer[Anatomie]::N,iyak,пейпакар
17,Kiefer[Anatomie]::N,iyak,пейловажа
18,Kehle::N,bo'g'iz,кирьгапарь
19,Hals::N,bo'yin,кирьга
20,Genick::N,gardan,човонь
21,Kopf::N,bosh,пря
22,Rücken::N,orqa,копорь
23,Bauch::N,qorin,пеке
24,Nabel::N,kindik,почо
25,Busen::N,ämchak,поте
26,Brust::N,ko'krak,меште
27,Schulter::N,elka,лавтов
28,Arm::N,bilak,кедь
29,Ellenbogen::N,tirsak,кенерепакарь
30,Hand::N,qo'l,кедь
31,Handfläche::N,kaft,кедькуншка
32,Handfläche::N,kaft,кедьлапушка
33,Finger::N,barmoq,сур
34,Fingernagel::N,tirnoq,кенже
35,Nagel[Anatomie]::N,tirnoq,кенже
36,Zeh::N,oyoq barmog'i,пильге сур
37,Fuß::N,oyoq,пильге
38,Ferse::N,tovon,кочкаря
39,Knie::N,tiz,эле
40,Knie::N,tiz,эзне
41,Knie::N,tiz,кумажа
42,Oberschenkel::N,son,качо
43,Bein::N,oyoq,пильге
44,Körper::N,badna,рунго
45,Haut::N,teri,киське
46,Blut::N,qon,верь
47,Ader::N,qon tomir,сан
48,Sehne::N,tomir,коське сан
49,Knochen::N,suyak,пакарь
50,Gehirn::N,miya,удем
51,Herz::N,qalb,седей
52,Magen::N,oshqozon,пеке
53,Leber::N,bag'ir,максо
54,Atem::N,dam,лексема
55,Atem::N,dam,оймень таргсема
56,Hunger::N,ochlik,вачочи
57,Träne::N,yosh,селведь
58,Geschmack::N,tam,тансть
59,Geruch::N,jid,чине
60,Schlaf::N,uyqu,удома
61,Traum::N,tush,он
62,Himmel::N,osmon,менель
63,Sonne::N,quyosh,чи
64,Mond::N,oy,ков
65,Stern::N,yulduz,теште
66,Luft::N,havo,кошт
67,Wind::N,el,варма
68,Welle::N,to'lqin,толкун
69,Wasser::N,suv,ведь
70,Stein::N,tosh,кев
71,Boden::N,tuproq,мода
72,Erde::N,er,мастор
73,Staub::N,chang,пуль
74,Rauch::N,tutun,качамо
75,Funke::N,yalt,сятко
76,Feuer::N,o't,тол
77,Licht::N,yorug',валдо
78,Schatten::N,soya,сулей
79,Schatten::N,soya,сулейкс
80,Wetter::N,havo,ушо
81,Nebel::N,tuman,сув
82,Wolke::N,bulut,пель
83,Regen::N,yomg'ir,пиземс
84,Schnee::N,qor,лов
85,Eis::N,muz,эй
86,Frost::N,ajoz,кельме
87,Kälte::N,ajoz,якшамо
88,Hitze::N,issiq,пси
89,Raureif::N,qirov,лекш
90,Regenbogen::N,kamalak,пурьгинечирьке
91,Regenbogen::N,kamalak,пурьгинеёнкс
92,Donner::N,guldur,пурьгине
93,Strömung::N,oqim,чудема
94,Strömung::N,oqim,чудевкс
95,Tropfen::N,tomchi,петнявкс
96,Schaum::N,ko'pik,чов
97,Schmutz::N,gard,рудаз
98,See::N,ko'l,эрьке
99,Sumpf::N,botqoq,чей
100,Moor::N,qir-adir,чей
101,Wiese::N,o'tzor,луга
102,Wald::N,o'rmon,вирь
103,Hügel::N,tepa,губорь
104,Hügel::N,tepa,пандыне
105,Anhöhe::N,adir,губорь
