,Concept_ID,bn,se
0,Auge::N,চক্ষু,tjelmie
1,Auge::N,চক্ষু,tjalmme
2,Auge::N,চক্ষু,čalbmi
3,Auge::N,চক্ষু,čalme
4,Auge::N,চক্ষু,čâ´lmm
5,Auge::N,চক্ষু,ча̄лльм
6,Ohr::N,কর্ণ,bieljie
7,Ohr::N,কর্ণ,biellje
8,Ohr::N,কর্ণ,beallji
9,Ohr::N,কর্ণ,pelji
10,Ohr::N,কর্ণ,pe´llj
11,Ohr::N,কর্ণ,пе̄лльй
12,Nase::N,নাক,njuenie
13,Nase::N,নাক,njunnje
14,Nase::N,নাক,njunni
15,Nase::N,নাক,njuṇe
16,Nase::N,নাক,njuu´nn
17,Nase::N,নাক,нюннҍ
18,Mund::N,মুখ,njaelmie
19,Mund::N,মুখ,njálmme
20,Mund::N,মুখ,njálbmi
21,Mund::N,মুখ,njälmi
22,Mund::N,মুখ,njä´lmm
23,Mund::N,মুখ,ня̄лльм
24,Zahn::N,দাঁত,baenie
25,Zahn::N,দাঁত,bádne
26,Zahn::N,দাঁত,bátni
27,Zahn::N,দাঁত,pääṇi
28,Zahn::N,দাঁত,pää´nn
29,Zahn::N,দাঁত,па̄ннҍ
30,Zunge::N,জিহবা,njoektjeme
31,Zunge::N,জিহবা,njuovtjav
32,Zunge::N,জিহবা,njuovčča
33,Zunge::N,জিহবা,njuovčâ
34,Zunge::N,জিহবা,njuhččâm
35,Zunge::N,জিহবা,нюхчем
36,Lippe::N,অধর,bangseme
37,Lippe::N,অধর,njálmmerabdda
38,Lippe::N,অধর,bavssa
39,Lippe::N,অধর,poovsâ
40,Lippe::N,অধর,põõus
41,Lippe::N,অধর,пэ̄кс
42,Wange::N,গণ্ড,skiehrie
43,Wange::N,গণ্ড,nierra
44,Wange::N,গণ্ড,muohtu
45,Wange::N,গণ্ড,nieṛâ
46,Wange::N,গণ্ড,njiõrr
47,Wange::N,গণ্ড,нӣрр
48,Gesicht::N,মুখমণ্ডল,ååredæjja
49,Gesicht::N,মুখমণ্ডল,muohto
50,Gesicht::N,মুখমণ্ডল,muođut
51,Gesicht::N,মুখমণ্ডল,ámadadju
52,Gesicht::N,মুখমণ্ডল,muáđuh
53,Gesicht::N,মুখমণ্ডল,muâđ
54,Gesicht::N,মুখমণ্ডল,ка̄ссв
55,Stirn::N,কপাল,gaalloe
56,Stirn::N,কপাল,gállo
57,Stirn::N,কপাল,gállu
58,Stirn::N,কপাল,kállu
59,Stirn::N,কপাল,käll
60,Stirn::N,কপাল,вуэххьц
61,Haar::N,চুল,voepte
62,Haar::N,চুল,vuoppta
63,Haar::N,চুল,vuokta
64,Haar::N,চুল,vuop'tâ
65,Haar::N,চুল,vuõpt
66,Haar::N,চুল,вӯппт
67,Schnurrbart::N,গোঁফ,bijjie-skaavtjoe
68,Schnurrbart::N,গোঁফ,njunjevuolskávttjá
69,Schnurrbart::N,গোঁফ,seamu
70,Schnurrbart::N,গোঁফ,siämu
71,Schnurrbart::N,গোঁফ,ää´bben
72,Schnurrbart::N,গোঁফ,о̄а̄бпан
73,Bart::N,শ্মশ্রু,skaavtja
74,Bart::N,শ্মশ্রু,skaavtjoe
75,Bart::N,শ্মশ্রু,skávttjá
76,Bart::N,শ্মশ্রু,seamu
77,Bart::N,শ্মশ্রু,siämu
78,Bart::N,শ্মশ্রু,seäm
79,Bart::N,শ্মশ্রু,ся̄м
80,Kinn::N,চিবুক,gaejpie
81,Kinn::N,চিবুক,gájbbe
82,Kinn::N,চিবুক,gáibi
83,Kinn::N,চিবুক,käibi
84,Kinn::N,চিবুক,käi´bb
85,Kinn::N,চিবুক,ка̄ййп
86,Kiefer[Anatomie]::N,চোয়াল,gaejpie
87,Kiefer[Anatomie]::N,চোয়াল,oalol
88,Kiefer[Anatomie]::N,চোয়াল,oaloldákte
89,Kiefer[Anatomie]::N,চোয়াল,gáibi
90,Kiefer[Anatomie]::N,চোয়াল,uá'lultähti
91,Kiefer[Anatomie]::N,চোয়াল,vuâl'lõš
92,Kiefer[Anatomie]::N,চোয়াল,вуаллнешш
93,Kehle::N,কণ্ঠ,gealoe
94,Kehle::N,কণ্ঠ,tjåttå
95,Kehle::N,কণ্ঠ,njiello
96,Kehle::N,কণ্ঠ,čotta
97,Kehle::N,কণ্ঠ,čuudâ
98,Kehle::N,কণ্ঠ,čoodd
99,Kehle::N,কণ্ঠ,чонт
100,Kehle::N,কণ্ঠ,кэ̄ҏс
101,Hals::N,গল,tjeapohke
102,Hals::N,গল,tjiebet
103,Hals::N,গল,čeabet
104,Hals::N,গল,čiäppát
105,Hals::N,গল,čeäppat
106,Hals::N,গল,ча̄пэх
107,Genick::N,ঘাড়,tjovrese
108,Genick::N,ঘাড়,nisske
109,Genick::N,ঘাড়,niehkki
110,Genick::N,ঘাড়,niski
111,Genick::N,ঘাড়,niek'ki
112,Genick::N,ঘাড়,nji´šǩǩmaadd
113,Genick::N,ঘাড়,нышшькмоант
114,Kopf::N,মাথা,åejjie
115,Kopf::N,মাথা,oajvve
116,Kopf::N,মাথা,oaivi
117,Kopf::N,মাথা,uái'vi
118,Kopf::N,মাথা,vuei´vv
119,Kopf::N,মাথা,вуэййв
120,Rücken::N,পৃষ্ঠ,rudtje
121,Rücken::N,পৃষ্ঠ,hárddo
122,Rücken::N,পৃষ্ঠ,tjavelk
123,Rücken::N,পৃষ্ঠ,sealgi
124,Rücken::N,পৃষ্ঠ,selgi
125,Rücken::N,পৃষ্ঠ,čielgi
126,Rücken::N,পৃষ্ঠ,seä´lǧǧ
127,Rücken::N,পৃষ্ঠ,се̄лльк
128,Bauch::N,উদর,tjåejjie
129,Bauch::N,উদর,tjoajvve
130,Bauch::N,উদর,čoavji
131,Bauch::N,উদর,čuáv'ji
132,Bauch::N,উদর,čåu´jj
133,Bauch::N,উদর,чо̄ввьй
134,Nabel::N,নাভি,naepie
135,Nabel::N,নাভি,náhpe
136,Nabel::N,নাভি,náhpi
137,Nabel::N,নাভি,nääpi
138,Nabel::N,নাভি,nää´pp
139,Nabel::N,নাভি,на̄бпь
140,Busen::N,স্তন,boenge
141,Busen::N,স্তন,bållå
142,Busen::N,স্তন,čižži
143,Busen::N,স্তন,njamma
144,Busen::N,স্তন,njižže
145,Busen::N,স্তন,nje´ǯǯ
146,Busen::N,স্তন,раннҍт
147,Brust::N,বুক,mïelke
148,Brust::N,বুক,radde
149,Brust::N,বুক,mielgga
150,Brust::N,বুক,raddi
151,Brust::N,বুক,radde
152,Brust::N,বুক,râ´dd
153,Brust::N,বুক,раннҍт
154,Schulter::N,স্কন্ধ,åelkie
155,Schulter::N,স্কন্ধ,oalgge
156,Schulter::N,স্কন্ধ,hárdu
