,Concept_ID,hy,xal
0,Auge::N,աչք,нүдн
1,Ohr::N,ականջ,чикн
2,Nase::N,քիթ,хамр
3,Mund::N,բերան,амн
4,Zahn::N,ատամ,шүдн
5,Zunge::N,լեզու,келн
6,Lippe::N,շրթունք,урл
7,Wange::N,այտ,халх
8,Wange::N,թուշ,халх
9,Gesicht::N,դեմք,нүр
10,Stirn::N,ճակատ,маңна
11,Haar::N,մազ,үсн
12,Schnurrbart::N,բեղ,сахл
13,Bart::N,մորուք,сахл
14,Bart::N,մորուք,өргнә сахл
15,Kinn::N,կզակ,өргн
16,Kiefer[Anatomie]::N,ծնոտ,өргн
17,Kehle::N,կոկորդ,хол
18,Hals::N,վիզ,күзүн
19,Hals::N,պարանոց,күзүн
20,Genick::N,ծոծրակ,гиҗг
21,Kopf::N,գլուխ,толһа
22,Rücken::N,մեջք,нурһн
23,Bauch::N,փոր,гесн
24,Bauch::N,որովայն,гесн
25,Nabel::N,պորտ,киисн
26,Busen::N,ծոց,көкн
27,Brust::N,կուրծք,чееҗ
28,Schulter::N,ուս,ээм
29,Arm::N,թեւ,һар
30,Arm::N,բազուկ,һар
31,Ellenbogen::N,արմունկ,тоха
32,Hand::N,ձեռք,баһлцг
33,Handfläche::N,ափ,альхн
34,Finger::N,մատ,хурһн
35,Finger::N,մատ,һарин хурһн
36,Fingernagel::N,եղունգ,хумсн
37,Nagel[Anatomie]::N,եղունգ,хумсн
38,Zeh::N,ոտքի մատ,хурһн
39,Zeh::N,ոտքի մատ,көлин хурһн
40,Fuß::N,ոտք,тавг
41,Ferse::N,գարշապար,өскә
42,Knie::N,ծունկ,өвдг
43,Oberschenkel::N,ազդր,һуй
44,Bein::N,ոտք,көл
45,Körper::N,մարմին,махмуд
46,Haut::N,մաշկ,арсн
47,Blut::N,արյուն,цусн
48,Ader::N,երակ,судцн
49,Sehne::N,ջիղ,шүрүсн
50,Sehne::N,ձգտան,шүрүсн
51,Knochen::N,ոսկոր,ясн
52,Gehirn::N,խելք,экн
53,Herz::N,սիրտ,зүркн
54,Magen::N,ստամոքս,гесн
55,Leber::N,լյարդ,элкн
56,Atem::N,շունչ,әмсхл
57,Hunger::N,քաղց,харһнлһн
58,Träne::N,արտասուք,нульмсн
59,Geschmack::N,համ,амтн
60,Geschmack::N,բուրմունք,амтн
61,Geruch::N,հոտ,үнр
62,Geruch::N,բուրում,үнр
63,Schlaf::N,քուն,нөр
64,Traum::N,երազ,зүүдн
65,Himmel::N,երկինք,теңгр
66,Sonne::N,արեւ,нарн
67,Mond::N,լուսին,сар
68,Stern::N,աստղ,одн
69,Luft::N,օդ,аһар
70,Wind::N,քամի,салькн
71,Welle::N,ալիք,дольган
72,Wasser::N,ջուր,усн
73,Stein::N,քար,чолун
74,Boden::N,գետին,Һазр
75,Erde::N,հող,Һазр
76,Staub::N,փոշի,тоосн
77,Rauch::N,ծուխ,утан
78,Funke::N,կայծ,очн
79,Feuer::N,կրակ,һал
80,Feuer::N,հրդեհ,һал
81,Licht::N,լույս,герл
82,Schatten::N,ստվեր,сүүдр
83,Wetter::N,եղանակ,теңгр
84,Nebel::N,մեգ,будн
85,Nebel::N,մառախուղ,будн
86,Wolke::N,ամպ,үүлн
87,Regen::N,անձրև,хур
88,Schnee::N,ձյուն,цасн
89,Eis::N,սառույց,мөсн
90,Frost::N,սառնամանիք,киитн
91,Kälte::N,դող,киитн
92,Hitze::N,շոգ,халун
93,Raureif::N,ցօղեղեամ,цаң
94,Raureif::N,ցօղեղեամ,кирү
95,Regenbogen::N,ծիածան,солңһ
96,Donner::N,որոտ,оһтрһун дун
97,Strömung::N,հոսանք,урсхл
98,Tropfen::N,կաթիլ,дусал
99,Schaum::N,փրփուր,көөсн
100,Schmutz::N,կեղտ,кир
101,See::N,լիճ,нур
