,Concept_ID,lbe,en
0,Auge::N,я,eye
1,Ohr::N,вичӏи,ear
2,Nase::N,май,nose
3,Mund::N,кьацӏ,mouth
4,Zahn::N,ккарччи,tooth
5,Zunge::N,маз,tongue
6,Lippe::N,мурччи,lip
7,Wange::N,чӏав,cheek
8,Gesicht::N,лажин,face
9,Stirn::N,ненттабакӏ,forehead
10,Haar::N,чӏара,hair
11,Schnurrbart::N,ссирссилтту,moustache
12,Bart::N,чӏири,beard
13,Kinn::N,лунттубакӏ,chin
14,Kiefer[Anatomie]::N,ххинчулул,jaw
15,Kehle::N,кьакьари,throat
16,Hals::N,ссурссу,neck
17,Genick::N,махъабакӏ,nape
18,Kopf::N,бакӏ,head
19,Rücken::N,ттиликӏ,back
20,Rücken::N,ттиликӏ,spine
21,Bauch::N,лякьа,belly
22,Nabel::N,цӏумуккутӏ,navel
23,Busen::N,ккукку,bosom
24,Brust::N,хъазам,chest
25,Brust::N,хъазам,breast
26,Schulter::N,хъачӏ,shoulder
27,Arm::N,ка,arm
28,Ellenbogen::N,ссюрхъ,elbow
29,Hand::N,бартка,hand
30,Handfläche::N,хъат,palm
31,Handfläche::N,битӏянхъ,palm
32,Finger::N,кӏисса,finger
33,Fingernagel::N,михь,fingernail
34,Nagel[Anatomie]::N,михь,nail
35,Zeh::N,кӏисса,toe
36,Fuß::N,чӏанччан,foot
37,Ferse::N,никъа,heel
38,Knie::N,ник,knee
39,Oberschenkel::N,жира,thigh
40,Bein::N,ччан,leg
41,Körper::N,чурх,body
42,Haut::N,бурчу,skin
43,Blut::N,оь,blood
44,Ader::N,тунну,vein
45,Sehne::N,хьхьа,sinew
46,Knochen::N,ттаркӏ,bone
47,Gehirn::N,ня,brain
48,Herz::N,дакӏ,heart
49,Herz::N,къюкӏ,heart
50,Magen::N,лякьа,stomach
51,Atem::N,ссихӏ ласаву,breath
52,Atem::N,ссихӏ бигьаву,breath
53,Hunger::N,ккаши,hunger
54,Träne::N,макь,tear
55,Geschmack::N,тӏин,flavour
56,Geschmack::N,тӏин,flavor
57,Geschmack::N,тӏааьн,flavour
