,Concept_ID,mrj,ml
0,Auge::N,сӹнзӓ,കണ്ണ്
1,Ohr::N,пӹлӹш,ചെവി
2,Nase::N,нер,മൂക്ക്
3,Mund::N,ышма,വായ
4,Zahn::N,пӱ,പല്ല്
5,Zunge::N,йӹлмӹ,നാക്ക്
6,Lippe::N,тӹрвӹ,ചുണ്ട്
7,Wange::N,шӹргӹ,കവിൾത്തടം
8,Gesicht::N,лицӓ,മുഖം
9,Stirn::N,лепкӓ,നെറ്റി
10,Haar::N,ӱп,തലമുടി
11,Schnurrbart::N,öрш,മീശ
12,Bart::N,пандаш,താടിരോമം
13,Kinn::N,онгылаш,താടി
14,Kiefer[Anatomie]::N,пӱ арата,താടിയെല്ല്
15,Kehle::N,логер,കണ്ഠനാളം
16,Hals::N,шӱ,കഴുത്ത്
17,Genick::N,ланга,പിടലി
18,Kopf::N,вуй,തല
19,Rücken::N,туп,മുതുക്
20,Bauch::N,мӹшкӹр,നയറ്
21,Nabel::N,кӹлӹмдӹ,നാഭി
22,Busen::N,цӹзӹ,സ്തനം
23,Brust::N,мел,സ്തനം
24,Schulter::N,ӹнгӹжӓ,തോൾ
25,Arm::N,кид,കൈ
26,Ellenbogen::N,кӹнервуй,കൈമുട്ട്
27,Hand::N,лапа,കൈ
28,Handfläche::N,кид лапа,ഉള്ളം കൈ
29,Finger::N,парня,വിരൽ
30,Fingernagel::N,кӹч,നഖം
31,Nagel[Anatomie]::N,кӹч,നഖം
32,Zeh::N,парня,കാൽവിരൽ
33,Fuß::N,ял лапа,കാൽപ്പാദം
34,Ferse::N,ялгавал,ഉപ്പൂറ്റി
35,Ferse::N,ял кавал,ഉപ്പൂറ്റി
36,Knie::N,пылвуй,കാൽമുട്ട്
37,Oberschenkel::N,ӓрдӹ,തുട
38,Bein::N,ял,കാൽ
39,Körper::N,монгыр,ശരീരം
40,Haut::N,кавашты,ചർമ്മം
41,Blut::N,вӹр,രക്തം
42,Ader::N,вӹршӓр,ഞരമ്പ്
43,Sehne::N,кукшышӱн,സ്നായു
44,Knochen::N,лу,അസ്ഥി
45,Gehirn::N,вим,തലച്ചോറ്
46,Herz::N,шӱм,ഹൃദയം
47,Magen::N,шӱм,വയർ
48,Leber::N,мокш,കരൾ
49,Atem::N,шӱлӹш,ശ്വാസം
50,Hunger::N,шужымаш,വിശപ്പ്
51,Träne::N,сӹнзӓвӹд,കണ്ണീർ
52,Geschmack::N,тот,രുചി
53,Geruch::N,пыш,ഗന്ധം
54,Schlaf::N,ом,ഉറകും
55,Traum::N,ом,സ്വപ്നം
56,Himmel::N,пӹлгом,ആകാശം
57,Sonne::N,кечӹ,സൂര്യൻ
58,Mond::N,тӹлзӹ,ചന്ദ്രൻ
59,Stern::N,шӹдӹр,നക്ഷത്രം
60,Luft::N,юж,കാറ്റ്
61,Luft::N,воздух,കാറ്റ്
62,Wind::N,мардеж,കാറ്റ്
63,Welle::N,ко,തിരമാല
64,Welle::N,коэ,തിരമാല
65,Wasser::N,вӹд,വെള്ളം
66,Stein::N,кӱ,ശില
67,Stein::N,кӱ,കല്ല്
68,Boden::N,рок,തറ
69,Boden::N,рок,നിലം
70,Erde::N,свет,മണ്ണ്
71,Staub::N,пырак,പൊടി
72,Rauch::N,шӹкш,പുക
73,Funke::N,ип,തീപ്പൊരി
74,Funke::N,тылип,തീപ്പൊരി
75,Feuer::N,тыл,തീ
76,Licht::N,соты,വിളക്ക്
77,Licht::N,соты,സൂര്യപ്രകാശം
78,Licht::N,валгыды,വിളക്ക്
79,Licht::N,валгыды,സൂര്യപ്രകാശം
80,Schatten::N,ӹмӹл,തണൽ
81,Wetter::N,игечӹ,കാലാവസ്ഥ
82,Nebel::N,тӹтӹрӓ,മൂടൽമഞ്ഞ്
83,Wolke::N,пӹл,മേഘം
84,Regen::N,юр,മഴ
85,Schnee::N,лым,മഞ്ഞ്
86,Eis::N,и,ഐസ്
87,Frost::N,ӱштӹ,മൂടൽമഞ്ഞ്
88,Kälte::N,ӱштӹ,തണുപ്പ്
89,Hitze::N,шокшы,ചൂട്
90,Raureif::N,пöрш,കോടമഞ്ഞ്
91,Regenbogen::N,шанавӹл,മഴവില്ല്
92,Donner::N,хӹдӹртӹш,ഇടി
93,Strömung::N,йогы,പ്രവാഹം
94,Tropfen::N,капльы,തുള്ളി
95,Tropfen::N,капльык,തുള്ളി
96,Schaum::N,шонг,നുര
97,Schmutz::N,лявӹрӓ,അഴുക്ക്
98,See::N,йӓр,തടാകം
99,Sumpf::N,лӱкӹ,ചതുപ്പുനിലം
100,Moor::N,куп,പാഴ്നിലം
101,Wiese::N,алык,പുൽത്തകിടി
102,Wald::N,шӹргӹ,വനം
103,Wald::N,шӹргӹ,കാട്
104,Hügel::N,пӱгӹрикӓ,കുന്ന്
105,Anhöhe::N,кӱкшикӓ,ഉയർന്ന ഭൂമി
106,Berg::N,кырык,പർവ്വതം
107,Gipfel::N,неркӓ,ഉച്ചകോടി
108,Höhle::N,ы́раж,ഗുഹ
109,Abhang::N,полом,ചരിവ്
110,Quelle::N,вӹдсӹнзӓ,ഉറവിടം
111,Bach::N,ӓнгӹр,അരുവി
112,Fluss::N,вӹд,നദി
113,Ufer::N,сир,തീരം
114,Küste::N,сир,കടൽത്തീരം
115,Festland::N,мӱлӓндӹ,കര
116,Meer::N,тангыж,കടൽ
117,Bucht::N,вӹдъял,ഉൾക്കടല്
118,Insel::N,острок,ദ്വീപ്
119,Blume::N,пеледӹш,പൂവ്
120,Gras::N,шуды,പുല്ല്
121,Wurzel::N,важ,വേര്
122,Baum::N,пушӓнгӹ,മരം
123,Stamm::N,пушӓнгӹ тӹнг,തായ്ത്തടി
124,Rinde::N,каргыж,പട്ട
125,Ast::N,укш,ശാഖ
126,Zweig::N,укш,ശാഖ
127,Blatt::N,листӹ,ഇല
128,Birke::N,куги,പൂവരശ്
129,Kiefer[Baum]::N,йӓктӹ,പൈൻമരം
130,Weide[Baum]::N,уа,വില്ലോ
131,Tanne::N,кож,ദേവദാരു
132,Horn::N,шур,മൃഗത്തിൻറെ കൊമ്പ്
133,Feder::N,пын,തൂവൽ
134,Fell::N,кавашты,മൃദുരോമം
135,Flügel::N,шылдыр,ചിറക്
136,Klaue::N,кӹч,നഖം
137,Kralle::N,лапа,നഖം
138,Schwanz::N,пач,വാൽ
139,Ei::N,мыны,മുട്ട
140,Nest::N,пӹжӓш,കൂട്
141,Bau::N,ыраж,മാളം
142,Tier::N,во́льык,മൃഗം
143,Herde::N,кӹтö,കൂട്ടം
144,Kuh::N,ышкал,പശു
145,Bulle::N,ӱшкӱж,കാള
146,Pferd::N,имни,കുതിര
147,Schaf::N,шарык,ആട്
148,Schwein::N,сасна,പന്നി
149,Hund::N,пи,നായ്
150,Katze::N,коти,പൂച്ച
151,Bär::N,мöскӓ,കരടി
152,Eichhörnchen::N,ур,അണ്ണാൻ
153,Elch::N,шарды,കടമാന്
154,Fuchs::N,рӹвӹж,കുറുക്കൻ
155,Hase::N,морен,മുയൽ
156,Maus::N,каля,ചുണ്ടലി
157,Wolf::N,пирӹ,ചെന്നായ
158,Vogel::N,кек,പക്ഷി
159,Schwarm::N,цуца,കൂട്ടം
160,Huhn::N,цӹвӹ,കോഴി
161,Hahn::N,ӓптӓн,പൂവൻകോഴി
162,Gans::N,комбы,അരയന്നം
163,Adler::N,кучкыж,കഴുകൻ
164,Ente::N,лыды,താറാവ്
165,Eule::N,тымана,മൂങ്ങ
166,Kranich::N,тырня,കൊക്ക്
167,Kranich::N,тыртня,കൊക്ക്
168,Krähe::N,лудыгарак,കാക്ക
169,Kuckuck::N,куку,കുയിൽ
170,Schwan::N,йӱксӹ,അരയന്നം
171,Fisch::N,кол,മത്സ്യം
172,Barsch::N,алангы,ഒരിനം മത്സ്യം
173,Hecht::N,нуж,ഒരു മത്സ്യം
174,Hecht::N,нужгол,ഒരു മത്സ്യം
175,Schlange[Tier]::N,кӹшкы,പാമ്പ്
176,Wurm::N,шукш,വിര
177,Spinne::N,ӓнгӹремшӹ,ചിലന്തി
178,Ameise::N,кыткы,ഉറുമ്പ്
179,Laus::N,ти,പേന്
180,Mücke::N,кужнер,മശകം
181,Mücke::N,кужынер,മശകം
182,Fliege::N,шӹнгӓ,ഈച്ച
183,Schmetterling::N,лӹпӹ,ചിത്രശലഭം
184,Beere::N,мöр,ബെറി
185,Apfel::N,олма,ആപ്പിൾ
186,Pilz::N,понгы,കൂൺ
187,Zwiebel::N,охыра,സവാള
188,Saat::N,нӱшмӹ,വിത്ത്
189,Saat::N,нӱшмӱ,വിത്ത്
190,Korn::N,пӹрцӹ,ധാന്യം
191,Heu::N,шуды,വയ്ക്കോൽ
192,Schale::N,аваха,തൊലി
193,Schale::N,карлангы,തൊലി
194,Grube::N,йӓм,കുഴി
195,Falle::N,лӱдӹ,കെണി
196,Falle::N,лӱдӹш,കെണി
197,Schlinge::N,онгы,കുടുക്ക്
198,Spur::N,кишӓ,ചുവട്
199,Asche::N,ломых,ചാരം
200,Asche::N,ломпыж,ചാരം
201,Dreck::N,лявӹрӓ,അഴുക്ക്
202,Eisen::N,кӹртни,ഇരുമ്പ്
203,Gold::N,шöртни,സ്വർണ്ണം
204,Gold::N,шöртньӹ,സ്വർണ്ണം
205,Silber::N,ши,വെള്ളി
206,Kohle::N,шӱ,കൽക്കരി
207,Glas::N,охоница,ഗ്ലാസ്
208,Lehm::N,шун,കളിമണ്ണ്
209,Sand::N,ошма,മണൽ
210,Mensch::N,эдем,മനുഷ്യർ
211,Mann::N,пӱэргӹ,പുരുഷൻ
212,Frau::N,ӹдӹрӓмӓш,സ്ത്രീ
213,Kind::N,ӓзӓ,കുഞ്ഞ്
214,Kind::N,шачшы,കുഞ്ഞ്
215,Junge::N,рвезӹ,ആൺകുട്ടി
216,Junge::N,ӹрвезӹ,ആൺകുട്ടി
217,Mädchen::N,ӹдӹрӓш,പെൺകുട്ടി
218,Familie::N,йиш,കുടുംബം
219,Familie::N,семня,കുടുംബം
220,Großvater::N,тьоти,അപ്പൂപ്പൻ
221,Großmutter::N,папа,അമ്മുമ്മ
222,Eltern::N,ӓтя-ӓвӓ,മാതാപിതാക്കള്
223,Vater::N,ӓтя,അച്ഛൻ
224,Mutter::N,ӓвӓ,അമ്മ
225,Sohn::N,эргӹ,മകൻ
226,Tochter::N,ӹдӹр,മകൾ
227,Bruder::N,ӹза,ചേട്ടൻ
228,Bruder::N,ӹза,അനിയൻ
229,Schwester::N,ӓкӓ,ചേച്ചി
230,Schwester::N,ӓкӓ,അനിയത്തി
231,Onkel::N,кугуза,അമ്മാവൻ
232,Tante::N,куака,മാമി
233,Ehemann::N,мары,ഭർത്താവ്
234,Ehefrau::N,вӓтӹ,ഭാര്യ
235,Freude::N,ӹвӹртӹмӓш,ആഹ്ലാദം
236,Gelächter::N,ваштылмаш,ചിരിയുടെ ശബ്ദം
237,Glück::N,пиӓл,സന്തോഷം
238,Glück::N,пиӓл,സന്തുഷ്ടി
239,Kummer::N,ясы,ശോകം
240,Wunsch::N,охата,ആഗ്രഹം
241,Wunsch::N,шанымаш,ആഗ്രഹം
242,Lust::N,шӓр,ആഗ്രഹം
243,Lust::N,охата,ആഗ്രഹം
244,Lust::N,шанымаш,ആഗ്രഹം
245,Geist::N,тух,ചുറുചുറുക്ക്
246,Gedanke::N,шанымаш,ചിന്ത
247,Gedächtnis::N,ӓш,ഓർമ്മശക്തി
248,Verstand::N,ыш,മനസ്സ്
249,Sinn::N,кын,അർത്ഥം
250,Grund::N,вир,കാരണം
251,Wahrheit::N,тöр,സത്യം
252,Gespräch::N,хытырымаш,സല്ലാപം
253,Märchen::N,ямак,യക്ഷിക്കഥ
254,Erzählung::N,шайыштмаш,കഥ
255,Nachricht::N,увертӓрӹмӓш,സന്ദേശം
256,Neuigkeit::N,увер,വാർത്ത
257,Name::N,лӹм,പേര്
258,Rätsel::N,тышты,പ്രഹേളിക
259,Rede::N,шая,സംസാരം
260,Rede::N,шамак,സംസാരം
261,Sprache::N,йӹлмӹ,ഭാഷ
262,Stimme::N,юк,സ്വരം
263,Wort::N,шамак,വാക്ക്
264,Zeichen::N,палӹ,സംജ്ഞ
265,Ruf::N,сӹгӹрӹмӓш,വിളി
266,Lärm::N,юкланымащ,ആരവം
267,Laut::N,юк,ശബ്ദം
268,Ton::N,юк,സ്വരഭേദം
269,Lied::N,мыры,പാട്ട്
270,Ruhe::N,тыр,നിശ്ചലത
271,Leute::N,эдемвлӓ,ജനങ്ങൾ
272,Volk::N,халык,രാഷ്ടം
273,Arbeit::N,пӓшӓ,ജോലി
274,Gast::N,хына,അതിലി
275,Geschenk::N,подарка,സമ്മാനം
276,Spiel::N,мадыш,കളി
277,Gesellschaft::N,йӓл,കൂട്ടായ്മ
278,Gesellschaft::N,йӓлвлӓ,കൂട്ടായ്മ
279,Hilfe::N,палшык,സഹായം
280,Freund::N,тӓнг,സുഹൃത്ത്
281,Kamerad::N,тос,കൂട്ടാളി
282,Angelegenheit::N,дела,കാര്യം
283,Angelegenheit::N,йела,കാര്യം
284,Angelegenheit::N,йыла,കാര്യം
285,Angelegenheit::N,пӓшӓ,കാര്യം
286,Anzahl::N,шот,എണ്ണം
287,Art::N,цӹре,തരം
288,Stück::N,лаштык,കഷണം
289,Teil::N,пай,ഭാഗം
290,Teil::N,часть,ഭാഗം
291,Hälfte::N,пел,പകുതി
292,Kreis::N,тӹртӹш,വൃത്തം
293,Kreuz::N,крестӹ,കുരിശടയാളം
294,Abstand::N,ло,വിടവ്
295,Entfernung::N,ло,അകലം
296,Gegend::N,вӓр,പ്രദേശം
297,Platz::N,вӓр,ഇടം
298,Ort::N,вӓр,സ്ഥലം
299,Seite::N,öрдӹж,വശം
300,Mitte::N,ло,മധ്യസ്ഥാനം
301,Gegenstand::N,хӓдӹр,സാധനം
302,Sache::N,хӓдӹр,വസ്തു
303,Rand::N,шöр,തൊങ്ങൽ
304,Kante::N,шöр,അറ്റം
305,Ecke::N,лык,മൂല
306,Spitze::N,вуй,അഗ്രം
307,Ende::N,вуй,അവസാനം
308,Ende::N,мычаш,അവസാനം
309,Loch::N,ыраж,ദ്വാരം
310,Winkel::N,лык,കോൺ
311,Muster::N,тӹрлец,ക്രമം
312,Größe::N,кӱкшӹц,വലുപ്പം
313,Länge::N,кыт,നീളം
314,Höhe::N,кӱкшӹц,ഉയരം
315,Gewicht::N,нелӹц,കട്ടി
316,Menge::N,шот,അളവ്
317,Haufen::N,ара,കൂമ്പാരം
318,Reihe::N,ряд,വരി
319,Boot::N,пыш,ബോട്ട്
320,Ruder::N,вешлӓ,പങ്കായം
321,Schlitten::N,тир,ഉരുളില്ലാവണ്ടി
322,Ski::N,ечӹ,ഹിമപാദുകം
323,Lagerfeuer::N,тыл,തീ
324,Last::N,нелӹц,ഭാരം
325,Gang::N,ход,നടത്തം
326,Schritt::N,ашкыл,ചുവട്
327,Norden::N,йыдпелвел,വടക്ക്
328,Süden::N,кечӹвӓлвел,തെക്ക്
329,Westen::N,кечӹ шӹцмӹ,പടിഞ്ഞാറ്
330,Osten::N,ирвел,കിഴക്ക്
331,Osten::N,кечӹ лӱлтмӹ,കിഴക്ക്
332,Holz::N,пушӓнгӹ,തടി
333,Brett::N,ханга,ബോർഡ്
334,Platte::N,плитӓ,തകിട്
335,Stütze::N,цӓрӓк,താങ്ങ്
336,Stange::N,равы,കമ്പ്
337,Stange::N,намаш,കമ്പ്
338,Stock::N,панды,വടി
339,Stab::N,равы,കുറുവടി
340,Rohr::N,пыч,കുഴൽ
341,Haus::N,пöрт,വീട്
342,Heim::N,пöрт,വീട്
343,Ofen::N,камака,സ്റ്റൌ
344,Fußboden::N,седӹрӓ,തറ
345,Tisch::N,стöл,മേശ
346,Stuhl::N,пöкен,കസേര
347,Wiege::N,шипкӓ,തൊട്ടിൽ
348,Bett::N,койка,കിടക്ക
349,Bett::N,кравать,കിടക്ക
350,Regal::N,полицӓ,ഷെൽഫ്
351,Kiste::N,шӱ́ндӹк,പെട്ടി
352,Fenster::N,окня,ജനൽ
353,Tür::N,амаса,വാതിൽ
354,Tor::N,хапка,കവാടം
355,Zaun::N,забор,വേലി
356,Dach::N,левӓш,മേൽക്കുര
357,Leiter::N,ташкалтыш,ഏണി
358,Besen::N,сало,ചൂല്
359,Besen::N,салко,ചൂല്
360,Spaten::N,кольмы,തൂമ്പ
361,Schaufel::N,лоток,തൂമ്പ
362,Gabel::N,ви́лка,മുൾക്കത്തി
363,Löffel::N,савала,സ്പൂൺ
364,Messer::N,кӹзӹ,കത്തി
365,Nagel::N,пыда,ആണി
366,Netz::N,вӓпш,വല
367,Haken::N,крӱк,കൊളുത്ത്
368,Haken::N,кагак,കൊളുത്ത്
369,Griff::N,кычем,കൈപ്പിടി
370,Schloss::N,замок,പൂട്ട്
371,Schloss::N,сыравач,പൂട്ട്
372,Bild::N,картин,ചിത്രം
373,Figur::N,кӓн,കണക്ക്
374,Puppe::N,поханя,പാവ
375,Beutel::N,мешӓк,ബാഗ്
376,Bündel::N,топ,കെട്ട്
377,Bündel::N,пидӹш,കെട്ട്
378,Bündel::N,кӹлдӹш,കെട്ട്
379,Tasche::N,сумкы,ബാഗ്
380,Eimer::N,ведӹрӓ,ബക്കറ്റ്
381,Deckel::N,комдыш,ഉറ
382,Geschirr::N,ӓтӹ,പിഞ്ഞാണം
383,Sack::N,мешӓк,ചാക്ക്
384,Tasse::N,цӓшкӓ,കപ്പ്
385,Topf::N,ми́ска,പാത്രം
386,Kessel::N,пад,കെറ്റ്ല്
387,Essen::N,качкыш,ആഹാരസമയം
388,Essen::N,качкыш-йӱш,ആഹാരസമയം
389,Nahrung::N,качкыш,ഭക്ഷണം
390,Nahrung::N,качкыш-йӱш,ഭക്ഷണം
391,Speise::N,няня,ഡിഷ്
392,Fleisch::N,пай,മാംസം
393,Getreide::N,киндӹ,ചോളം
394,Brei::N,шӹрӓш,കഞ്ഞി
395,Brot::N,сыкыр,റോട്ടി
396,Scheibe::N,ламыт,തുണ്ട്
397,Scheibe::N,лаштык,തുണ്ട്
398,Fett::N,кая,കൊഴുപ്പ്
399,Butter::N,ӱ,വെണ്ണ
400,Öl::N,ӱ,എണ്ണ
401,Salz::N,санзал,ഉപ്പ്
402,Suppe::N,лем,സൂപ്പ്
403,Honig::N,мӱ,തേൻ
404,Milch::N,шӹшер,പാൽ
405,Tee::N,чӓй,ചായ
406,Leder::N,шарга,തുകൽ
407,Leder::N,кавашты,തുകൽ
408,Wolle::N,миж,കമ്പിളി
409,Stoff::N,матер,തുണി
410,Stoff::N,матери,തുണി
411,Nadel::N,им,സൂചി
412,Faden::N,шӹртӹ,നൂല്
413,Knopf::N,полдыш,ബട്ടൺ
414,Knoten::N,пӱкшем,കുരുക്ക്
415,Farbe::N,чиӓ,പെയിൻറ്
416,Farbe::N,крӓскӓ,പെയിൻറ്
417,Kleidung::N,выргем,വസ്ത്രങ്ങൾ
418,Hemd::N,тыгыр,ഷർട്ട്
419,Kragen::N,шӱ,കുപ്പായക്കഴുത്ത്
420,Ärmel::N,шокш,കുപ്പായക്കൈ
421,Hose::N,ялаш,ട്രൌസർ
422,Gürtel::N,ӹштӹ,ബെൽറ്റ്
423,Mütze::N,упш,തൊപ്പി
424,Schuh::N,ту́фльы,ഷൂ
425,Stiefel::N,кем,ബൂട്ട്
426,Ring::N,шӓргӓш,മോതിരം
427,Band::N,лемтӓ,റിബൺ
428,Kamm::N,шерге,ചീപ്പ്
429,Spiegel::N,тӹгӹр,കണ്ണാടി
430,Riemen::N,прӓжӓ,സ്ട്രാപ്പ്
431,Schnur::N,кӓндӹра,ചരട്
432,Leine::N,керем,കെട്ടാനുള്ള തോൽവാർ
433,Decke::N,одеял,പുതപ്പ്
434,Kissen::N,кӹпцӹк,തലയിണ
435,Tuch::N,савыц,സ്കാർഫ്
436,Handtuch::N,шӹргӹсавыц,തോർത്ത്
437,Handtuch::N,шӹргӹмсавыц,തോർത്ത്
438,Kraft::N,ви,ശക്തി
439,Stärke::N,ви,ശക്തി
440,Gesundheit::N,шу,ആരോഗ്യം
441,Gesundheit::N,шулык,ആരോഗ്യം
442,Krankheit::N,мыж,അസുഖം
443,Schmerz::N,карштыш,വേദന
444,Wunde::N,шушыр,മുറിവ്
445,Fieber::N,ӱштӹмыж,പനി
446,Arznei::N,лекӓрцӹ,മരുന്ന്
447,Brücke::N,кӹвер,പാലം
448,Brunnen::N,вӹдсӹнзӓ,കിണർ
449,Weide::N,ныр,മേച്ചൽ
450,Pfad::N,ялгорны,വഴി
451,Weg::N,корны,വഴി
452,Straße::N,корны,റോഡ്
453,Dorf::N,сола,ഗ്രാമം
454,Stadt::N,города,നഗരം
455,Brief::N,сирмӓш,കത്ത്
456,Buch::N,книгӓ,പുസ്തകം
457,Buchstabe::N,буква́,അക്ഷരം
458,Zeitung::N,газет,വർത്തമാനപത്രം
459,Zeitung::N,кайзет,വർത്തമാനപത്രം
460,Leben::N,житя,ജീവൻ
461,Tod::N,смöрт,മരണം
462,Grab::N,шӹгер,ശവക്കുഴി
463,Grab::N,мыгилӓ,ശവക്കുഴി
464,Grab::N,шӹгерлӓ,ശവക്കുഴി
465,Kirche::N,церкӹ,പള്ളി
466,Sünde::N,сулык,പാപം
467,Gott::N,йымы,ദൈവം
468,Arbeiter::N,пӓшӓзӹ,ജോലിക്കാരൻ
469,Chef::N,вуй,മേധാവി
470,Meister::N,мастар,യജമാനൻ
471,Arzt::N,доктор,ഡോക്ടർ
472,Lehrer::N,тымдышы,അധ്യാപകൻ
473,Geld::N,окса,പണം
474,Geschäft::N,торге́йӹмӓш,ബിസിനസ്
475,Laden::N,лапка,കട
476,Laden::N,магазин,കട
477,Preis::N,ӓк,വില
478,Ware::N,товар,ചരക്ക്
479,Nutzen::N,пайда,ലാഭം
480,Reichtum::N,перке,ധനം
481,Welt::N,сӓндӓлӹк,ലോകം
482,Welt::N,свет,ലോകം
483,Land::N,сӓндӓлӹк,രാജ്യം
484,Staat::N,кугижӓншӹ,രാജ്യം
485,König::N,король,രാജാവ്
486,Macht::N,власть,അധികാരം
487,Grenze::N,пӹсмӓн,അതിർത്തി
488,Krieg::N,вырсы,യുദ്ധം
489,Feind::N,тышман,ശത്രു
490,Gewalt::N,ви,അക്രമം
491,Kampf::N,кредӓлмӓш,പോരാട്ടം
492,Bogen[Waffe]::N,янгеж,വില്ല്
493,Pfeil::N,пикш,അമ്പ്
494,Gewehr::N,пичӓл,തോക്ക്
495,Fehler::N,самынь,പിശക്
496,Lüge::N,шая,കള്ളം
497,Schaden::N,вре́дӓ,കേടുപാട്
498,Unglück::N,пёда,ദൌർഭാഗ്യം
499,Unglück::N,тымаша,ദൌർഭാഗ്യം
500,Schuld::N,вуйнамат,തെറ്റ്
501,Alter::N,иӓш,വയസ്സ്
502,Alter::N,игечӹ,വയസ്സ്
503,Schluss::N,пӹтӓртӹш,നിഗമനം
504,Zeit::N,веремӓ,സമയം
505,Tag::N,кечӹ,ദിവസം
506,Morgen::N,ир,പ്രഭാതം
507,Morgen::N,ирок,പ്രഭാതം
508,Mittag::N,кечӹвӓл,ഉച്ച
509,Abend::N,вады,സായാഹ്നം
510,Nacht::N,йыд,രാത്രി
511,Woche::N,ӓрня,ആഴ്ച
512,Monat::N,тӹ́лзӹ,മാസം
513,Jahr::N,год,വർഷം
514,Frühling::N,шошым,വസന്തം
515,Sommer::N,кӓнгӹж,വേനൽ
516,Herbst::N,шӹжӹ,ശരത്കാലം
517,Winter::N,тел,ശൈത്യം
518,Winter::N,телӹ,ശൈത്യം
519,Januar::N,январ,ജനുവരി
520,Januar::N,январь,ജനുവരി
521,Februar::N,февраль,ഫെബ്രുവരി
522,März::N,март,മാർച്ച്
523,April::N,апрель,ഏപ്രിൾ മാസം
524,Mai::N,май,മെയ് മാസം
525,Juni::N,июнь,ജൂൺ
526,Juli::N,июль,ജൂലൈ
527,August::N,август,ആഗസ്റ്റ്
528,September::N,сентябрь,സെപ്തംബർ
529,Oktober::N,октябрь,ഒക്ടോബർ
530,November::N,ноябрь,നവംബർ
531,Dezember::N,декавыр,ഡിസംബർ
532,Montag::N,шачмы,തിങ്കളാഴ്ച
533,Dienstag::N,кышкыжмы,ചൊവ്വ
534,Mittwoch::N,вӹрчегӹ,ബുധനാഴ്ച
535,Donnerstag::N,изӓрня,വ്യാഴാഴ്ച
536,Freitag::N,когарня,വെള്ളിയാഴ്ച
537,Samstag::N,кукшыгечӹ,ശനിയാഴ്ച
538,Sonntag::N,рушӓрня,ഞായറാഴ്ച
539,groß::A,кого,വലിയ
540,klein::A,изи,ചെറിയ
541,lang::A,кужы,നീണ്ട
542,kurz::A,кӹтӹк,ഹ്രസ്വമായ
543,breit::A,кымда,വിശാലമായ
544,schmal::A,ӓнгӹсӹр,ഇടുങ്ങിയ
545,dicht::A,шӹре,നിബിഡമായ
546,dick[Gegenstand]::A,кӹжгӹ,തടിച്ച
547,dünn::A,вӹцкӹж,മെലിഞ്ഞ
548,fein::A,пыльга,നേർത്ത
